t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,clay,0.500,0.350,0.0000,-0.0186,-0.0140,-0.0000,-0.6537,-0.0209,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,clay,0.500,0.350,0.0088,-0.0217,0.0252,0.0014,-0.5935,0.0110,-0.0292,-0.0292,-0.0292,-0.0292,0.0000
0.0240,clay,0.500,0.350,0.0176,-0.0018,0.0753,-0.0033,0.0576,-0.0529,-0.0057,-0.0057,-0.0057,-0.0057,0.0063
0.0360,clay,0.500,0.350,0.0264,0.0734,-0.0410,-0.0029,-0.1785,0.0379,0.0148,0.0148,0.0148,0.0148,0.0100
0.0480,clay,0.500,0.350,0.0351,0.0055,-0.0656,-0.0019,0.1767,0.0024,0.0226,0.0226,0.0226,0.0226,0.0130
0.0600,clay,0.500,0.350,0.0439,0.0266,0.0294,-0.0021,0.7299,0.0054,-0.0160,-0.0160,-0.0160,-0.0160,0.0195
0.0720,clay,0.500,0.350,0.0526,0.0363,0.0780,-0.0018,0.0233,0.0179,-0.0170,-0.0170,-0.0170,-0.0170,0.0245
0.0840,clay,0.500,0.350,0.0613,0.0147,-0.0732,-0.0013,-0.0874,-0.0496,-0.0061,-0.0061,-0.0061,-0.0061,0.0273
0.0960,clay,0.500,0.350,0.0699,0.0124,0.0213,-0.0017,-0.2683,0.1480,-0.0011,-0.0011,-0.0011,-0.0011,0.0313
0.1080,clay,0.500,0.350,0.0785,-0.0167,-0.0382,-0.0006,-0.0612,-0.0353,-0.0023,-0.0023,-0.0023,-0.0023,0.0380
0.1200,clay,0.500,0.350,0.0870,-0.0877,0.1323,-0.0014,0.0448,-0.0074,-0.0036,-0.0036,-0.0036,-0.0036,0.0415
0.1320,clay,0.500,0.350,0.0955,-0.0656,0.0459,-0.0008,0.0570,-0.0242,-0.0071,-0.0071,-0.0071,-0.0071,0.0446
