t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,dirt,0.700,0.550,0.0511,0.1088,-0.0127,-0.0008,-0.6820,-0.0004,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,dirt,0.700,0.550,0.0598,-0.0567,0.1027,-0.0075,-0.5035,-0.2813,-0.0290,-0.0290,-0.0290,-0.0290,0.0117
0.0240,dirt,0.700,0.550,0.0685,0.0717,0.0273,-0.0111,-0.2883,-0.0199,-0.0053,-0.0053,-0.0053,-0.0053,0.0320
0.0360,dirt,0.700,0.550,0.0771,-0.0021,0.0257,-0.0075,-0.1203,-0.0020,0.0153,0.0153,0.0153,0.0153,0.0372
0.0480,dirt,0.700,0.550,0.0856,-0.0386,0.0145,-0.0021,0.1058,0.0170,0.0224,0.0224,0.0224,0.0224,0.0383
0.0600,dirt,0.700,0.550,0.0941,-0.0274,-0.0251,-0.0027,0.7741,0.0171,-0.0174,-0.0174,-0.0174,-0.0174,0.0437
0.0720,dirt,0.700,0.550,0.1026,0.0056,0.0392,-0.0014,0.0347,-0.0471,-0.0198,-0.0198,-0.0198,-0.0198,0.0494
0.0840,dirt,0.700,0.550,0.1109,-0.0606,0.0778,-0.0016,-0.0475,-0.0538,-0.0102,-0.0101,-0.0102,-0.0102,0.0533
0.0960,dirt,0.700,0.550,0.1192,0.0221,-0.0097,-0.0007,-0.0176,0.2450,-0.0094,-0.0094,-0.0094,-0.0094,0.0566
0.1080,dirt,0.700,0.550,0.1275,-0.0464,0.0609,0.0001,-0.0313,0.0124,-0.0139,-0.0139,-0.0139,-0.0139,0.0613
0.1200,dirt,0.700,0.550,0.1356,-0.0340,-0.0369,-0.0013,0.1508,-0.1071,-0.0172,-0.0172,-0.0172,-0.0172,0.0658
0.1320,dirt,0.700,0.550,0.1437,-0.0465,0.0178,-0.0017,0.0576,-0.0475,-0.0300,-0.0300,-0.0300,-0.0300,0.0697
0.1440,dirt,0.700,0.550,0.1517,-0.0770,0.0243,-0.0006,-0.0038,0.0306,-0.0419,-0.0419,-0.0419,-0.0419,0.0736
0.1560,dirt,0.700,0.550,0.1595,-0.0207,-0.0192,-0.0007,-0.0233,0.0351,-0.0576,-0.0576,-0.0576,-0.0576,0.0776
0.1680,dirt,0.700,0.550,0.1673,-0.0723,0.0038,0.0006,-0.0575,-0.1210,-0.0747,-0.0747,-0.0747,-0.0747,0.0838
0.1800,dirt,0.700,0.550,0.1750,0.0301,-0.0163,-0.0010,0.0376,0.1431,-0.0952,-0.0952,-0.0952,-0.0952,0.0865
