t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,sand,1.100,0.650,0.0000,0.0088,-0.0102,-0.0003,-0.6719,-0.0056,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,sand,1.100,0.650,0.0126,-0.1299,0.0018,0.0020,-0.5907,0.0080,-0.0291,-0.0291,-0.0291,-0.0291,0.0000
0.0240,sand,1.100,0.650,0.0251,-0.0050,0.1036,-0.0028,-0.9150,-0.0610,-0.0057,-0.0057,-0.0057,-0.0057,0.0064
0.0360,sand,1.100,0.650,0.0377,0.0699,0.0657,-0.0042,-0.0848,0.0639,0.0151,0.0151,0.0151,0.0151,0.0150
0.0480,sand,1.100,0.650,0.0502,0.0196,0.0072,-0.0026,0.1987,-0.0135,0.0225,0.0225,0.0225,0.0225,0.0212
0.0600,sand,1.100,0.650,0.0627,-0.0656,-0.0187,-0.0018,0.7709,-0.0106,-0.0177,-0.0177,-0.0177,-0.0177,0.0272
0.0720,sand,1.100,0.650,0.0751,0.0429,0.0050,-0.0026,0.3204,-0.0224,-0.0205,-0.0205,-0.0205,-0.0205,0.0338
0.0840,sand,1.100,0.650,0.0875,-0.0721,0.0007,-0.0036,-0.1579,-0.0688,-0.0130,-0.0130,-0.0130,-0.0130,0.0397
0.0960,sand,1.100,0.650,0.0999,0.0840,0.0379,-0.0037,-0.0572,0.1364,-0.0136,-0.0136,-0.0136,-0.0136,0.0456
0.1080,sand,1.100,0.650,0.1121,0.0827,-0.0264,-0.0012,-0.7043,-0.1595,-0.0170,-0.0170,-0.0170,-0.0170,0.0525
0.1200,sand,1.100,0.650,0.1243,0.0743,-0.0822,-0.0027,-0.2015,-0.0042,-0.0303,-0.0303,-0.0303,-0.0303,0.0576
0.1320,sand,1.100,0.650,0.1365,0.0239,-0.0239,-0.0038,0.0411,-0.0694,-0.0459,-0.0459,-0.0459,-0.0459,0.0644
0.1440,sand,1.100,0.650,0.1485,0.0544,-0.0799,-0.0047,-0.0108,0.1614,-0.0643,-0.0643,-0.0643,-0.0643,0.0711
0.1560,sand,1.100,0.650,0.1605,0.0585,0.0182,-0.0018,-0.1432,0.2114,-0.0864,-0.0864,-0.0864,-0.0864,0.0775
0.1680,sand,1.100,0.650,0.1723,-0.0334,0.0096,-0.0034,0.0277,-0.0338,-0.1111,-0.1111,-0.1111,-0.1111,0.0833
0.1800,sand,1.100,0.650,0.1841,-0.0510,-0.0185,-0.0019,-0.1619,0.1245,-0.1401,-0.1402,-0.1402,-0.1402,0.0885
0.1920,sand,1.100,0.650,0.1957,0.0342,0.0272,-0.0015,0.1491,-0.0362,-0.1779,-0.1779,-0.1779,-0.1779,0.0941
0.2040,sand,1.100,0.650,0.2072,-0.0536,0.0918,-0.0040,-0.4615,0.2866,-0.2076,-0.2076,-0.2076,-0.2076,0.1025
0.2160,sand,1.100,0.650,0.2186,0.0013,-0.0003,-0.0047,-0.0733,0.1808,-0.2691,-0.2692,-0.2692,-0.2691,0.1100
0.2280,sand,1.100,0.650,0.2298,-0.0387,0.0364,-0.0005,0.0339,0.2054,-0.3102,-0.3103,-0.3102,-0.3102,0.1141
0.2400,sand,1.100,0.650,0.2409,-0.0093,0.0456,-0.0007,0.0025,0.0284,-0.3709,-0.3710,-0.3710,-0.3710,0.1166
0.2520,sand,1.100,0.650,0.2518,-0.0350,0.0657,-0.0026,0.0322,0.2756,-0.4375,-0.4375,-0.4375,-0.4375,0.1221
0.2640,sand,1.100,0.650,0.2626,0.1001,-0.0306,-0.0077,0.2466,-0.2870,-0.5265,-0.5266,-0.5266,-0.5266,0.1376
0.2760,sand,1.100,0.650,0.2732,-0.0880,0.0461,-0.0040,-0.3441,-0.0984,-0.5982,-0.5982,-0.5982,-0.5982,0.1412
0.2880,sand,1.100,0.650,0.2836,0.0228,0.0063,-0.0007,0.0134,0.3123,-0.6698,-0.6698,-0.6698,-0.6698,0.1396
0.3000,sand,1.100,0.650,0.2939,0.0466,0.0965,-0.0009,-0.0147,0.5214,-0.7749,-0.7748,-0.7749,-0.7749,0.1414
0.3120,sand,1.100,0.650,0.3040,-0.0247,0.0813,-0.0026,0.0669,-0.0695,-0.8838,-0.8837,-0.8838,-0.8838,0.1489
0.3240,sand,1.100,0.650,0.3138,0.0758,-0.0202,-0.0050,0.0127,-0.1304,-0.9931,-0.9931,-0.9931,-0.9931,0.1602
0.3360,sand,1.100,0.650,0.3235,0.0804,0.0410,-0.0021,-0.1082,0.7852,-1.1369,-1.1369,-1.1369,-1.1369,0.1630
0.3480,sand,1.100,0.650,0.3330,-0.0794,0.0592,-0.0027,-0.0045,0.1050,-1.2857,-1.2857,-1.2858,-1.2858,0.1672
0.3600,sand,1.100,0.650,0.3423,-0.0230,-0.0410,-0.0045,-0.0214,0.0368,-1.4609,-1.4609,-1.4609,-1.4609,0.1737
