t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,dirt,0.800,0.450,0.0000,-0.0047,-0.0407,0.0018,-0.6838,0.0048,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,dirt,0.800,0.450,0.0126,-0.1361,0.1350,0.0001,-0.6292,-0.0084,-0.0291,-0.0291,-0.0291,-0.0291,0.0000
0.0240,dirt,0.800,0.450,0.0251,-0.0070,0.0018,-0.0021,-0.3698,-0.0058,-0.0060,-0.0060,-0.0060,-0.0060,0.0060
0.0360,dirt,0.800,0.450,0.0377,-0.1187,-0.0637,-0.0047,-0.0668,0.0997,0.0153,0.0153,0.0153,0.0153,0.0159
0.0480,dirt,0.800,0.450,0.0502,-0.0758,-0.0959,-0.0003,0.1246,-0.0367,0.0228,0.0228,0.0228,0.0228,0.0224
0.0600,dirt,0.800,0.450,0.0627,0.0059,-0.0457,-0.0028,0.9044,0.0069,-0.0167,-0.0167,-0.0167,-0.0167,0.0268
0.0720,dirt,0.800,0.450,0.0751,-0.0776,-0.0284,-0.0030,0.1977,-0.0905,-0.0196,-0.0196,-0.0196,-0.0196,0.0328
0.0840,dirt,0.800,0.450,0.0875,0.0218,-0.0040,-0.0007,0.0585,-0.0400,-0.0116,-0.0116,-0.0116,-0.0116,0.0373
0.0960,dirt,0.800,0.450,0.0999,0.0037,0.0396,-0.0034,-0.1482,0.1781,-0.0051,-0.0051,-0.0051,-0.0051,0.0465
0.1080,dirt,0.800,0.450,0.1121,0.0017,-0.0227,-0.0006,0.0223,-0.2240,-0.0068,-0.0068,-0.0068,-0.0068,0.0537
0.1200,dirt,0.800,0.450,0.1243,-0.0587,0.0737,-0.0000,0.0766,-0.0664,-0.0107,-0.0107,-0.0107,-0.0107,0.0584
0.1320,dirt,0.800,0.450,0.1365,-0.0262,-0.0274,-0.0025,0.2564,-0.0852,-0.0252,-0.0251,-0.0252,-0.0252,0.0663
0.1440,dirt,0.800,0.450,0.1485,0.0391,-0.0194,-0.0027,0.1106,-0.0054,-0.0255,-0.0255,-0.0255,-0.0255,0.0708
0.1560,dirt,0.800,0.450,0.1605,0.0299,-0.0562,-0.0040,-0.0255,0.0858,-0.0338,-0.0338,-0.0338,-0.0338,0.0752
0.1680,dirt,0.800,0.450,0.1723,0.0667,0.0062,-0.0032,0.0873,-0.0703,-0.0450,-0.0450,-0.0450,-0.0450,0.0818
0.1800,dirt,0.800,0.450,0.1841,-0.0415,-0.0311,-0.0032,0.0649,-0.0845,-0.0520,-0.0520,-0.0520,-0.0520,0.0894
0.1920,dirt,0.800,0.450,0.1957,0.0820,0.1035,-0.0033,0.0056,-0.0302,-0.0703,-0.0703,-0.0703,-0.0703,0.0963
0.2040,dirt,0.800,0.450,0.2072,-0.0186,0.0368,-0.0040,0.2310,-0.2314,-0.0823,-0.0823,-0.0823,-0.0823,0.1036
0.2160,dirt,0.800,0.450,0.2186,-0.0466,-0.0259,0.0009,-0.1426,1.6843,-0.1049,-0.1049,-0.1049,-0.1049,0.1074
0.2280,dirt,0.800,0.450,0.2298,0.0388,-0.0452,-0.0023,0.0930,0.0261,-0.1283,-0.1283,-0.1283,-0.1283,0.1125
0.2400,dirt,0.800,0.450,0.2409,-0.0088,-0.0327,-0.0030,0.0440,-0.4055,-0.1502,-0.1501,-0.1502,-0.1502,0.1186
