t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,sand,1.133,0.600,0.0000,-0.0066,0.0544,0.0007,-0.6746,0.0110,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,sand,1.133,0.600,0.0101,-0.0804,-0.1211,0.0017,-0.6196,0.0134,-0.0291,-0.0291,-0.0291,-0.0291,0.0000
0.0240,sand,1.133,0.600,0.0201,-0.0883,0.1014,-0.0001,-0.3381,-0.0342,-0.0056,-0.0056,-0.0056,-0.0056,0.0038
0.0360,sand,1.133,0.600,0.0301,-0.0482,-0.0243,-0.0041,0.0030,0.0923,0.0154,0.0154,0.0154,0.0154,0.0129
0.0480,sand,1.133,0.600,0.0401,0.0404,0.0353,-0.0005,-0.0237,-0.1095,0.0223,0.0223,0.0223,0.0223,0.0177
0.0600,sand,1.133,0.600,0.0501,-0.0075,-0.0692,-0.0011,0.6448,0.0677,-0.0171,-0.0171,-0.0171,-0.0171,0.0192
0.0720,sand,1.133,0.600,0.0601,-0.1372,0.0236,-0.0039,-0.0755,0.0199,-0.0191,-0.0191,-0.0191,-0.0191,0.0258
0.0840,sand,1.133,0.600,0.0700,-0.0565,-0.0065,-0.0049,-0.0589,-0.1087,-0.0040,-0.0040,-0.0040,-0.0040,0.0329
0.0960,sand,1.133,0.600,0.0799,-0.0669,0.0167,-0.0007,0.0474,0.2123,-0.0108,-0.0108,-0.0108,-0.0108,0.0365
0.1080,sand,1.133,0.600,0.0897,0.0232,-0.0259,-0.0021,0.0875,-0.0483,-0.0168,-0.0168,-0.0168,-0.0168,0.0416
0.1200,sand,1.133,0.600,0.0995,0.0303,0.0346,-0.0030,0.1045,-0.0229,-0.0260,-0.0260,-0.0260,-0.0260,0.0470
0.1320,sand,1.133,0.600,0.1092,0.0580,-0.0220,-0.0038,0.1642,-0.0048,-0.0367,-0.0367,-0.0366,-0.0366,0.0517
0.1440,sand,1.133,0.600,0.1188,-0.0768,-0.0315,-0.0012,0.0519,-0.2031,-0.0537,-0.0537,-0.0537,-0.0537,0.0559
0.1560,sand,1.133,0.600,0.1284,-0.0293,0.0282,-0.0060,0.2224,0.2500,-0.0715,-0.0715,-0.0715,-0.0715,0.0624
0.1680,sand,1.133,0.600,0.1379,0.0167,0.0073,0.0009,0.0219,-0.0147,-0.0869,-0.0869,-0.0869,-0.0869,0.0634
0.1800,sand,1.133,0.600,0.1472,-0.0254,0.0626,0.0001,0.0614,0.4390,-0.1157,-0.1157,-0.1157,-0.1157,0.0677
0.1920,sand,1.133,0.600,0.1565,-0.0364,0.0131,-0.0062,0.0503,-0.0739,-0.1422,-0.1422,-0.1422,-0.1422,0.0779
0.2040,sand,1.133,0.600,0.1658,0.0104,0.0202,-0.0025,0.0137,-0.2261,-0.1808,-0.1808,-0.1808,-0.1808,0.0827
0.2160,sand,1.133,0.600,0.1748,0.0261,0.0358,-0.0013,-0.1124,0.2359,-0.2191,-0.2191,-0.2191,-0.2191,0.0854
0.2280,sand,1.133,0.600,0.1838,-0.0145,0.0095,-0.0019,-0.1784,0.0502,-0.2594,-0.2594,-0.2594,-0.2594,0.0881
0.2400,sand,1.133,0.600,0.1927,-0.0282,0.0249,-0.0049,-0.3209,-0.6627,-0.2919,-0.2919,-0.2919,-0.2919,0.0973
0.2520,sand,1.133,0.600,0.2014,0.0084,0.0149,-0.0031,0.3266,-0.6310,-0.3646,-0.3646,-0.3646,-0.3646,0.1007
0.2640,sand,1.133,0.600,0.2101,-0.0682,0.0378,-0.0002,0.5972,-0.0035,-0.4210,-0.4211,-0.4211,-0.4210,0.0984
0.2760,sand,1.133,0.600,0.2186,0.0095,0.0603,0.0002,0.0071,0.1683,-0.4795,-0.4797,-0.4794,-0.4797,0.1054
0.2880,sand,1.133,0.600,0.2269,0.0962,0.0238,-0.0057,0.0016,-0.2041,-0.5557,-0.5559,-0.5556,-0.5559,0.1166
0.3000,sand,1.133,0.600,0.2351,-0.0045,0.0661,-0.0015,-0.0520,-0.7510,-0.6300,-0.6302,-0.6299,-0.6302,0.1205
0.3120,sand,1.133,0.600,0.2432,-0.0188,-0.0163,-0.0004,0.0845,0.1197,-0.7060,-0.7061,-0.7058,-0.7062,0.1212
0.3240,sand,1.133,0.600,0.2511,0.0023,-0.0237,-0.0016,-0.0171,0.2726,-0.7893,-0.7895,-0.7891,-0.7895,0.1246
0.3360,sand,1.133,0.600,0.2588,0.0598,0.0469,-0.0032,-0.0239,0.0266,-0.8925,-0.8926,-0.8923,-0.8926,0.1295
0.3480,sand,1.133,0.600,0.2664,-0.0575,0.0469,-0.0014,0.1120,0.0193,-1.0072,-1.0074,-1.0071,-1.0074,0.1354
0.3600,sand,1.133,0.600,0.2738,0.0543,0.0213,-0.0014,-0.0468,-0.2172,-1.1270,-1.1271,-1.1268,-1.1271,0.1395
0.3720,sand,1.133,0.600,0.2811,-0.0064,0.1543,-0.0026,0.0490,0.1007,-1.2679,-1.2680,-1.2677,-1.2681,0.1424
0.3840,sand,1.133,0.600,0.2881,-0.0036,0.0744,-0.0000,-0.0620,0.3901,-1.4217,-1.4219,-1.4216,-1.4219,0.1452
0.3960,sand,1.133,0.600,0.2950,0.0592,0.0576,-0.0022,-0.0359,0.1619,-1.5718,-1.5720,-1.5717,-1.5720,0.1492
0.4080,sand,1.133,0.600,0.3017,0.0202,0.0337,0.0001,-0.0085,0.0945,-1.7692,-1.7693,-1.7690,-1.7694,0.1537
0.4200,sand,1.133,0.600,0.3082,0.0344,0.1226,-0.0013,0.0158,0.0933,-1.9381,-1.9815,-1.9509,-1.9771,0.1579
0.4320,sand,1.133,0.600,0.3145,-0.0529,0.1163,-0.0077,1.9176,-1.6173,-1.3865,-2.2427,-1.5147,-2.2560,0.1610
0.4440,sand,1.133,0.600,0.3206,-0.0218,0.0602,-0.0009,5.4637,-1.4607,-0.8707,-1.5888,-1.2274,-1.9645,0.1644
0.4560,sand,1.133,0.600,0.3265,0.1231,0.0434,0.0101,5.0294,-0.3567,-1.0811,-0.5360,-1.4421,-1.8146,0.1679
0.4680,sand,1.133,0.600,0.3322,0.2217,0.0115,0.0264,6.1456,1.2657,-1.4134,-0.4488,-1.3560,-1.5485,0.1678
0.4800,sand,1.133,0.600,0.3377,0.2227,0.0954,0.0262,5.2502,-0.9499,-1.3378,-0.7654,-1.0382,-1.3812,0.1630
0.4920,sand,1.133,0.600,0.3430,0.3206,0.0559,0.0256,5.8173,-2.0909,-1.0647,-1.0172,-0.9264,-1.2436,0.1609
0.5040,sand,1.133,0.600,0.3481,0.4985,0.0271,0.0262,7.0702,-2.2425,-0.9122,-1.1096,-1.1056,-1.0951,0.1642
0.5160,sand,1.133,0.600,0.3529,0.4601,-0.0083,0.0184,6.9440,-1.4584,-0.7048,-1.1976,-3.0339,0.2199,0.1687
0.5280,sand,1.133,0.600,0.3575,0.5066,0.0026,0.0156,0.5812,0.2997,-0.3669,-2.5783,-2.9701,-0.1087,0.1693
0.5400,sand,1.133,0.600,0.3619,0.4674,-0.0132,0.0028,2.8351,-1.9524,-0.4880,-2.8727,-3.3648,0.3575,0.1693
0.5520,sand,1.133,0.600,0.3661,0.6294,0.1115,0.0130,1.0582,-1.5321,-0.8825,-3.1883,-3.1465,0.7456,0.1701
0.5640,sand,1.133,0.600,0.3700,0.4841,0.0726,0.0181,0.7088,0.2176,-1.1020,-3.0902,-1.6459,-0.0878,0.1714
0.5760,sand,1.133,0.600,0.3737,0.5475,0.0402,0.0275,0.4670,4.9712,-0.3267,-2.6130,-1.4429,-0.5536,0.1718
0.5880,sand,1.133,0.600,0.3772,0.5537,-0.0141,0.0260,-0.2374,-0.9175,-0.4744,-2.1950,-1.0644,-0.9668,0.1756
0.6000,sand,1.133,0.600,0.3804,0.4653,0.0369,0.0342,-0.8695,-0.8109,-0.7262,-1.7123,-1.2377,-1.1843,0.1796
0.6120,sand,1.133,0.600,0.3834,0.6163,-0.0943,0.0452,-0.0408,0.2196,-0.9881,-1.7566,-1.0202,-1.3404,0.1827
0.6240,sand,1.133,0.600,0.3862,0.5217,0.0308,0.0520,-0.3934,0.1420,-1.0213,-1.9252,-1.2903,-1.4478,0.1847
0.6360,sand,1.133,0.600,0.3887,0.5531,0.0785,0.0570,-1.0800,0.0241,-1.3383,-2.3068,-1.2304,-1.6472,0.1875
0.6480,sand,1.133,0.600,0.3909,0.5061,0.0773,0.0681,0.6183,0.7165,-1.3359,-2.9944,-1.4069,-1.9587,0.1905
