t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,dirt,0.756,0.350,0.0672,0.0231,-0.1137,-0.0000,-0.6854,-0.0034,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,dirt,0.756,0.350,0.0733,0.0327,0.0217,-0.0154,-0.3631,-0.2727,-0.0288,-0.0288,-0.0288,-0.0288,0.0210
0.0240,dirt,0.756,0.350,0.0792,0.0568,0.0088,-0.0131,-0.2129,-0.0393,-0.0068,-0.0068,-0.0068,-0.0068,0.0448
0.0360,dirt,0.756,0.350,0.0852,-0.0196,0.0648,-0.0048,-0.1969,-0.0346,0.0149,0.0148,0.0148,0.0148,0.0434
0.0480,dirt,0.756,0.350,0.0911,-0.0630,-0.0113,-0.0005,0.2506,0.0719,0.0215,0.0215,0.0215,0.0215,0.0380
0.0600,dirt,0.756,0.350,0.0969,-0.0256,-0.0632,-0.0043,0.7306,0.1103,-0.0161,-0.0161,-0.0162,-0.0161,0.0448
0.0720,dirt,0.756,0.350,0.1026,-0.0037,-0.0512,-0.0026,0.0001,-0.0588,-0.0171,-0.0171,-0.0171,-0.0171,0.0519
0.0840,dirt,0.756,0.350,0.1083,0.0811,0.0894,-0.0006,-0.0598,-0.0636,-0.0065,-0.0065,-0.0065,-0.0065,0.0528
0.0960,dirt,0.756,0.350,0.1140,0.0665,-0.0301,0.0003,-0.1012,0.1673,-0.0025,-0.0026,-0.0026,-0.0026,0.0550
0.1080,dirt,0.756,0.350,0.1195,-0.0135,0.0145,-0.0012,0.0254,-0.0189,-0.0029,-0.0029,-0.0029,-0.0029,0.0586
0.1200,dirt,0.756,0.350,0.1250,-0.0451,-0.0084,-0.0009,0.0362,-0.0151,-0.0046,-0.0046,-0.0046,-0.0046,0.0615
0.1320,dirt,0.756,0.350,0.1304,0.0553,-0.0890,0.0006,0.0030,-0.0062,-0.0081,-0.0081,-0.0081,-0.0081,0.0642
0.1440,dirt,0.756,0.350,0.1357,0.0194,-0.0206,-0.0026,-0.0137,-0.0417,-0.0118,-0.0119,-0.0119,-0.0118,0.0667
0.1560,dirt,0.756,0.350,0.1410,-0.0099,0.0123,-0.0005,-0.0170,0.0168,-0.0162,-0.0163,-0.0163,-0.0163,0.0694
0.1680,dirt,0.756,0.350,0.1461,-0.0953,-0.0600,-0.0003,-0.0150,-0.0222,-0.0224,-0.0225,-0.0225,-0.0225,0.0728
0.1800,dirt,0.756,0.350,0.1511,-0.0551,-0.0805,0.0000,0.0846,0.0239,-0.0286,-0.0286,-0.0286,-0.0286,0.0751
0.1920,dirt,0.756,0.350,0.1561,0.0183,0.0301,-0.0012,-0.0636,0.0489,-0.0378,-0.0378,-0.0378,-0.0378,0.0768
0.2040,dirt,0.756,0.350,0.1610,0.0046,-0.0275,0.0015,0.0542,0.1068,-0.0451,-0.0451,-0.0451,-0.0451,0.0794
0.2160,dirt,0.756,0.350,0.1657,0.0077,-0.0036,-0.0006,-0.0204,0.0033,-0.0564,-0.0564,-0.0564,-0.0564,0.0830
0.2280,dirt,0.756,0.350,0.1704,0.1048,0.0248,-0.0010,-0.0272,-0.0134,-0.0659,-0.0659,-0.0659,-0.0659,0.0860
0.2400,dirt,0.756,0.350,0.1749,-0.0126,0.0934,0.0019,0.0426,0.0054,-0.0781,-0.0781,-0.0781,-0.0781,0.0885
0.2520,dirt,0.756,0.350,0.1793,0.0441,0.0096,-0.0017,0.0315,0.0156,-0.0917,-0.0917,-0.0917,-0.0917,0.0905
0.2640,dirt,0.756,0.350,0.1837,-0.0123,0.0623,-0.0009,0.1170,-0.0700,-0.1103,-0.1103,-0.1103,-0.1103,0.0935
0.2760,dirt,0.756,0.350,0.1879,-0.0675,-0.0599,0.0002,-0.0302,0.0724,-0.1227,-0.1227,-0.1227,-0.1227,0.0957
0.2880,dirt,0.756,0.350,0.1920,-0.0808,0.0526,-0.0017,0.0100,0.0628,-0.1411,-0.1411,-0.1411,-0.1411,0.0973
0.3000,dirt,0.756,0.350,0.1959,-0.0082,-0.0141,-0.0000,-0.0077,0.0103,-0.1597,-0.1597,-0.1597,-0.1597,0.0990
0.3120,dirt,0.756,0.350,0.1998,0.0370,-0.0760,0.0004,0.0232,-0.0649,-0.1796,-0.1796,-0.1796,-0.1796,0.1014
0.3240,dirt,0.756,0.350,0.2035,0.0417,0.0288,0.0007,-0.0460,0.0020,-0.2041,-0.2041,-0.2041,-0.2041,0.1035
0.3360,dirt,0.756,0.350,0.2071,0.0399,0.0054,0.0006,0.0071,0.0614,-0.2260,-0.2260,-0.2260,-0.2260,0.1051
0.3480,dirt,0.756,0.350,0.2105,0.0232,-0.0483,-0.0015,-0.0143,0.0612,-0.2530,-0.2531,-0.2531,-0.2530,0.1076
0.3600,dirt,0.756,0.350,0.2138,-0.0208,0.0140,0.0009,-0.0023,0.0334,-0.2787,-0.2787,-0.2787,-0.2787,0.1100
0.3720,dirt,0.756,0.350,0.2170,0.0004,-0.0188,-0.0003,-0.0057,0.0252,-0.3077,-0.3077,-0.3077,-0.3077,0.1114
