slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
0.613406,-0.205486,6.187264,2704.881102,-0.242416,2755656.210975,5768.943718,1.289985,14012.536410,0.464568,0.011056,0.098980,2502.830596,1210.828944,268.159624
-0.453733,0.474639,8.800472,1637.323603,-0.302381,539046.639893,856.765251,0.766985,19743.172038,0.472626,0.015089,0.140299,1808.718224,-1619.941358,-657.146515
-0.401135,0.445681,3.190897,3074.175477,-0.047286,686092.114716,4850.892609,0.717053,18198.706161,0.643489,0.015061,0.130704,3781.222274,-2912.368763,-1634.922949
0.110369,-0.152455,7.916556,2077.623162,0.426766,1088833.418384,3347.636563,1.208769,9698.312386,0.310250,0.017024,0.131009,1897.748035,-2.087436,567.686602
0.059469,-0.195084,6.260011,5769.483106,0.215482,3419332.336331,4706.240880,0.716710,4172.382028,0.419812,0.013226,0.098917,3917.369387,-56.164142,1357.346150
-0.527629,-0.436337,5.882595,2581.060594,0.447330,1128151.942243,3.254288,0.713923,1356.753850,0.650019,0.019543,0.091373,1520.515070,-979.471453,350.849906
-0.665860,0.482368,3.530347,2434.544379,0.338463,2257200.903499,4993.943545,0.740926,11750.770082,0.629420,0.023418,0.141489,3585.705246,-2614.987610,-331.779650
-0.520553,-0.443644,6.681312,2480.612854,0.519575,1595362.413473,16973.889183,0.598670,19817.620901,0.452056,0.022967,0.070429,1535.442636,-605.862937,211.640104
0.695467,0.149439,6.774115,2548.045588,-0.004952,3581528.425651,2873.383409,1.236095,18161.381007,0.534138,0.019420,0.070347,4007.910481,2115.876237,-826.641463
0.686467,0.063202,3.408307,6851.187212,0.224410,3439620.359287,11097.510230,1.159957,11165.900535,0.448444,0.018729,0.098987,4470.556722,2011.645481,273.691238
0.845467,-0.408621,3.790069,1574.680113,-0.307868,2182970.623178,18659.172353,1.196312,3580.873803,0.166677,0.021025,0.120147,1441.808929,226.338486,132.632708
-0.692805,-0.458596,9.194818,5141.919509,-0.298438,2957921.825699,15378.975526,0.452181,19668.620601,0.621108,0.010313,0.076575,7103.810457,-5337.933554,731.859396
0.716928,0.114339,2.330395,5733.976740,0.105650,3474311.073355,1731.190973,0.943314,1555.727061,0.234823,0.012498,0.119494,6687.091059,1494.661834,-222.795804
0.061432,-0.045648,3.624778,5697.416845,0.392228,2475435.819836,3151.102990,1.290364,7585.838105,0.381345,0.023949,0.143250,6223.263233,-461.988814,1926.899016
0.950389,-0.167035,2.354178,1730.844295,0.024380,794129.861290,13031.077575,1.068048,2432.729254,0.226520,0.015231,0.089120,1608.500632,375.500220,148.819264
0.945789,0.183869,2.274748,3866.858525,-0.473480,2656165.209722,2147.377455,0.780244,13564.354494,0.541477,0.018399,0.067970,2139.277618,1088.963389,-1000.224961
0.641527,-0.299363,7.559695,4696.932566,-0.380679,1202404.060970,8510.479518,1.290744,7927.379482,0.225797,0.014308,0.050037,5578.904249,1367.837100,400.838318
0.926036,-0.129080,3.824789,1654.268667,-0.504942,862842.014744,8947.465601,0.476292,8400.360644,0.453178,0.015510,0.083403,1701.937832,933.328804,-242.363730
0.808632,-0.376951,5.402753,2967.465001,0.509572,2012786.660263,14585.410864,0.605430,19301.553542,0.423169,0.013186,0.094313,1895.844237,562.436237,525.100007
0.218139,0.121549,6.208921,7356.125271,0.164164,3825000.729762,12625.822328,0.370276,9013.487472,0.136065,0.015014,0.123183,15581.956486,823.991602,-190.315949
-0.718258,-0.170133,8.671251,6784.929722,0.356780,1734492.378428,14258.862138,1.211623,6338.855969,0.114508,0.018870,0.135901,8992.147028,-1136.984753,133.059517
0.004454,0.346764,9.777075,7325.397906,-0.268276,1700870.245508,6317.172935,0.371132,13211.130330,0.308246,0.014814,0.056193,5107.678938,-431.254468,-1360.960941
0.122502,-0.306201,5.133512,1997.189146,0.447993,692546.062586,3712.250031,0.637388,2060.480265,0.165029,0.023708,0.115330,1643.254500,16.213940,116.579818
0.368191,0.309791,7.747743,3568.520533,0.249990,2634296.690322,12462.258274,1.155799,5959.206313,0.646177,0.021924,0.076048,2015.934394,788.060033,-611.816257
0.817032,-0.463273,7.951160,3961.422592,0.166107,1559434.442704,14857.831204,0.915729,14093.940906,0.369376,0.015649,0.135853,2864.987223,574.559517,906.764701
-0.193250,-0.156170,3.725476,2730.253769,0.487952,3008283.806028,6117.700948,0.526067,4190.865412,0.618214,0.017306,0.089242,3487.871808,-634.882166,988.915517
0.066704,-0.018190,6.986968,6080.968836,0.271954,1805338.468305,19995.240289,1.141409,1045.694715,0.527712,0.019019,0.107322,9813.909540,70.099885,2764.841561
-0.427482,0.248754,6.828620,2625.523760,0.190249,517800.412266,1289.034935,1.136714,7592.205143,0.458096,0.015767,0.061343,2331.446531,-1368.320497,-230.135397
-0.803866,-0.504851,5.472633,7338.348597,0.473850,1258114.825051,15595.453579,0.832022,4368.886464,0.603947,0.020224,0.050840,7389.228994,-4916.661950,467.369074
-0.812949,0.014192,4.708553,5771.523675,-0.521796,2142897.523167,17336.080476,0.346175,11647.476009,0.554995,0.022554,0.064730,3784.154928,-1703.993436,-135.362260
0.897755,-0.392042,9.123290,5406.746113,-0.414150,1091410.205349,3514.744786,0.773361,1947.820711,0.636953,0.015092,0.103835,0.000000,0.000000,0.000000
-0.769682,-0.177280,2.003284,2227.594472,0.285956,3129759.004459,2496.462734,0.801011,9894.075944,0.587840,0.010010,0.053279,2921.207823,-2186.147238,175.997328
-0.531221,0.566301,6.471728,3211.448723,0.380098,1309772.143011,2968.288948,0.873128,13608.747332,0.432487,0.018364,0.073888,3679.913874,-2026.454228,-547.573137
0.189522,-0.429316,3.025792,2737.378975,-0.105922,3789376.185367,2292.860452,1.198120,19336.895438,0.515135,0.012407,0.077419,2406.692530,371.623101,1839.438311
0.026932,-0.132268,2.062083,5569.504812,-0.080278,2953780.230597,7592.404069,0.929037,11891.351281,0.562487,0.022171,0.092271,7652.458371,441.568895,1853.019751
-0.426655,-0.217841,9.316036,2919.736641,-0.402716,1620791.447908,19303.407299,0.709416,1256.698873,0.352349,0.011438,0.100696,3128.587511,-1138.534818,20.481828
-0.958925,-0.518067,2.306160,4158.431589,-0.044084,853264.922106,5290.292768,0.502788,2795.531003,0.206747,0.022407,0.120805,561.360911,-99.363444,2.035116
-0.303702,-0.598532,8.914551,3555.154829,-0.328652,3270436.937022,15448.088702,1.210282,3667.515868,0.542467,0.023527,0.101970,2913.616519,-1056.493618,821.603682
-0.132887,0.104230,4.173854,6260.016012,0.333530,1037593.602013,4468.355488,0.618297,12669.708591,0.355923,0.022288,0.089828,6223.466130,-1767.046880,592.818539
-0.074929,0.287933,5.324401,4535.183174,-0.220308,1096279.156263,5399.469765,1.136760,5953.206041,0.140439,0.013803,0.113723,5249.196123,-479.373188,-898.109020
0.636317,0.310686,5.843591,7292.341336,0.317329,2292735.774850,10434.495258,1.075306,17857.792466,0.239117,0.021557,0.070262,5298.026192,1612.092216,-687.232048
-0.087335,-0.339648,7.530629,1993.903620,-0.371926,3211433.935574,14666.922183,0.830157,1755.783210,0.433023,0.011097,0.130201,3428.527470,-520.356767,794.622803
0.763821,-0.082063,9.809043,4041.625704,-0.421486,641620.141233,8408.682644,0.385120,15737.865876,0.579465,0.017343,0.123549,6029.283586,4119.254909,-1268.171460
-0.697747,0.394325,8.427125,6610.058907,0.293053,1488594.990169,6215.539740,1.018682,6454.553275,0.122980,0.015003,0.111282,7493.549585,-1268.522909,-109.816053
0.859369,-0.376800,7.087247,6488.763022,0.479040,737409.475001,14663.459985,1.221406,8566.764345,0.241618,0.016415,0.085327,17326.066304,2757.338545,2911.322638
-0.768433,-0.276658,7.666539,1716.827134,-0.212337,1285021.454535,1848.265043,1.174715,16668.943639,0.420643,0.014016,0.137591,1299.440191,-1204.555715,57.689196
0.806087,0.336418,4.708146,5285.786368,-0.217381,2951186.159395,12621.429570,0.784753,3819.263505,0.360938,0.017711,0.055040,5944.029654,1281.784258,-1613.183649
0.152905,-0.454757,8.479153,7027.490175,-0.402678,3831959.729998,7224.726150,1.283396,2088.665513,0.211519,0.021414,0.146881,6474.604096,123.659372,502.930831
0.740621,-0.520427,5.742652,1700.807981,-0.133391,1848718.933368,8161.689879,1.185020,15047.541135,0.583018,0.021761,0.071853,1738.833095,636.861422,901.847221
-0.771557,0.279168,3.227773,4132.696877,-0.537554,2479080.653359,16867.605880,1.026291,17114.385712,0.565511,0.023000,0.124213,3779.420111,-2980.691288,-104.229093
0.072927,0.277111,9.575885,2454.644155,0.289496,511780.235418,17886.502698,0.382247,13443.107675,0.644427,0.022284,0.123257,2747.444845,206.425866,-591.597777
-0.490158,-0.333736,2.368050,1635.335126,-0.505066,3092574.828346,18181.327033,1.115500,12085.660185,0.217101,0.013697,0.096527,1579.329120,-722.145394,49.840756
-0.352537,-0.448995,2.058880,2774.020309,0.416252,1119715.390504,1991.253071,0.887540,8584.585784,0.488454,0.022824,0.107429,3799.854621,-1254.015428,1186.021040
-0.612530,-0.205043,5.533449,2444.197939,0.540157,1370799.086300,9771.751563,0.837365,20049.465517,0.317280,0.012495,0.051482,2468.059831,-1397.515955,304.802679
0.773271,0.503127,4.818252,6844.511294,0.358218,1687397.271611,12592.443233,0.635945,9596.086595,0.305449,0.014124,0.141291,8672.025231,2217.767507,-1909.074057
0.240190,0.567794,7.488958,4541.780086,0.387134,928998.537568,11981.745610,0.685856,4607.886847,0.476738,0.015134,0.087746,3590.923548,353.164193,-1279.634280
0.058331,0.517176,9.069973,5425.130304,0.229174,1277633.679847,13262.693035,0.956139,14512.970437,0.366367,0.015202,0.117533,2458.656027,-153.014206,-936.134781
-0.965625,-0.088063,2.035354,4969.248280,-0.342164,2348650.217374,12957.480665,1.040909,8338.726018,0.550895,0.019577,0.118952,5437.502371,-3884.245943,-86.987702
-0.552519,0.492777,3.973684,2289.760219,0.197272,711529.265712,11012.322339,0.509139,7570.962362,0.527849,0.018980,0.117546,2357.261082,-1196.579868,-317.626320
0.791049,-0.478779,4.731805,3026.746771,-0.558115,1516178.246625,3065.384519,1.068149,4220.197293,0.385548,0.019619,0.100168,2606.523846,892.359777,408.305162
0.790380,0.469879,5.216653,5183.763342,0.351397,3491357.148202,19050.552223,1.178932,3307.086182,0.285318,0.012345,0.120990,4070.457513,1032.212673,-784.312798
0.620462,-0.484645,2.392953,5170.136994,-0.396329,749816.462663,12884.541262,1.008070,5306.398341,0.540573,0.017786,0.113864,4774.877536,2040.727726,1667.901100
-0.919212,0.546056,4.293588,2377.328191,0.247696,779851.394461,18681.314122,0.585992,14597.691806,0.393257,0.021158,0.138584,1612.475050,-854.155827,-16.587091
0.985132,0.564348,2.128312,2496.283048,-0.190562,3080079.907049,10268.308560,1.099395,13112.045342,0.461334,0.021870,0.115110,2798.365655,916.797972,-1345.642765
-0.134643,-0.355399,7.975848,6981.846448,0.448682,1601788.730648,9221.296071,0.767559,18301.650721,0.339199,0.010963,0.069387,4657.501200,-974.234185,1676.715541
-0.580696,-0.573450,2.285511,4156.996124,-0.405892,994281.357361,12192.677872,0.578574,19884.903272,0.345944,0.017784,0.085352,4723.443580,-2097.483583,594.429748
-0.595068,0.483966,5.869431,6092.501515,0.417109,3729347.659723,12411.876172,1.152156,16452.711025,0.361982,0.016917,0.125176,4219.439556,-2385.164691,-345.132132
