true_terrain,nn_model,time,u,v_body,omega,ay,actual_front_fy,actual_rear_fy,front_left_slip_angle,front_right_slip_angle,rear_left_slip_angle,rear_right_slip_angle,front_left_fy,front_right_fy,rear_left_fy,rear_right_fy,front_left_Fz,front_right_Fz,rear_left_Fz,rear_right_Fz,front_left_long_slip,front_right_long_slip,rear_left_long_slip,rear_right_long_slip,steering_rate,clay_pred_front_fy,clay_pred_rear_fy,dirt_pred_front_fy,dirt_pred_rear_fy,sand_pred_front_fy,sand_pred_rear_fy
sand,factored_v1_resnet_h32_b2_sim,2.003999999999965,2.7287940136419278,-0.20526865181024181,-0.08656699384465717,-0.8786721868839433,-2799.4620165240967,-1357.9791149064852,0.1305920590830546,-0.06278691974138423,0.04469941163294542,0.054460718452115274,-1737.483865215677,-1061.9781513084195,-1022.2506299320594,-335.7284849744257,6786.430539266012,5757.613844652025,8085.23605323346,6046.457773101779,0.14371693621145393,0.3752743757033348,0.03858924883800308,0.21350721920417992,0.0,553.9178522172906,726.7906054953921,822.2775339754926,1085.9720717029818,1105.1705637908153,1463.486295557599
sand,factored_v1_resnet_h32_b2_sim,2.0159999999999654,2.7562646554086063,-0.11703062820573078,-0.0896485774210632,-0.422298233538695,-2558.0547120624324,75.86277114579838,-0.05604109978137961,-0.07803326995291816,0.04139885715869812,0.04036810765894932,-1813.9394185817562,-744.1152934806763,426.19439646179364,-350.33162531599527,6628.223055875072,4137.089400924639,7332.620721730649,6255.103228850721,0.14353580715631284,0.3823084674390618,0.07292743400345005,0.1833098900037438,-0.1919717788723427,-766.6042934652711,560.909104480617,-1038.7371127095173,849.0180407987516,-1131.397569394504,1162.6620234035347
sand,factored_v1_resnet_h32_b2_sim,2.027999999999966,2.703152993209741,-0.18263466775871556,-0.10261720990758942,-1.008195202369763,-2424.4139626194715,13.656842790667383,-0.07180603513069897,-0.07718127566918614,0.03954051518472623,0.048566194913158015,-1515.1811914392506,-909.232771180221,329.6674472874252,-316.0106044967578,5928.524644827949,4747.451591663572,8803.152687648471,4923.395652167179,0.1285679545226825,0.3631179939673559,0.05268749306040901,0.19525175917092746,-0.28183233762838256,-874.0260903618271,639.7146258582957,-1195.8184962292512,956.746170772816,-1291.6764369784069,1311.097094821962
sand,factored_v1_resnet_h32_b2_sim,2.0399999999999663,2.6843070372513287,-0.19577919116044096,-0.10290033920786988,-0.6160312923365124,-2830.4931165966887,-128.00939929320407,-0.08133064363569509,-0.08073483538864232,0.039257750208877194,0.05099098417581213,-1802.7363795156793,-1027.7567370810093,322.81281813854474,-450.8222174317488,7585.258117460234,4974.9313209906095,7344.506419575929,7004.804096873389,0.15846544206296315,0.3625268936576508,0.05027065368215456,0.2030819866439898,-0.24070477166057253,-1107.0876213514196,647.5422470129189,-1568.8153390147227,982.4774392208766,-1761.197109156949,1334.119624782269
sand,factored_v1_resnet_h32_b2_sim,2.0519999999999667,2.7430115751969466,-0.2139821696232293,-0.11184627088858634,-0.5050944279206718,-2358.005579275185,99.36826100261283,-0.08142596543040272,-0.09211222943831018,0.03228384495285854,0.04066319638870955,-1444.4226700146178,-913.5829092605672,409.7080799030809,-310.33981890046806,6260.922661446266,5076.641659939429,7797.744810833966,5328.613172275446,0.12950293630476326,0.3363036158738121,0.07966687665185081,0.16409205433256166,-0.1834683393675725,-1032.5322231099835,470.7108451071115,-1433.6069990022368,716.8326773202499,-1633.18490064737,993.4653363367154
sand,factored_v1_resnet_h32_b2_sim,2.063999999999967,2.721250745771063,-0.17895620636951465,-0.11458196799860251,-0.8363960449290628,-2533.58889747442,-328.0253158732051,-0.09020776554670781,0.07835510475165679,0.040442356606862837,0.04852421276656825,-1645.6410677874749,-887.947829686945,6.225958635214078,-334.25127450841916,6448.599336704111,4865.530564304559,7760.106500217936,5760.523073908468,0.12603574462143147,0.310877218775146,0.0491065615152722,0.19596885064967573,-0.16361549843217943,-394.6667636779994,616.0992508103168,-472.5002600790731,921.9416434956352,-596.6489249734303,1253.702729121526
sand,factored_v1_resnet_h32_b2_sim,2.0759999999999676,2.781047893388837,-0.1265603485403339,-0.11744111878691882,-0.8139193511833213,-2221.1561886486534,305.6046608528427,-0.09713357036382124,-0.10373172468157985,0.032385748266545056,0.03436464729646896,-1492.7732799518599,-728.3829086967934,652.2951766693644,-346.6905158165217,6040.396609418739,3791.136535807752,6446.67708071082,6293.313081792045,0.12880443294816563,0.3230683159804424,0.07208531920504153,0.14924022158156638,-0.23476717536611696,-1038.2743644113436,424.2038894441653,-1405.9146836229493,640.6366825047659,-1601.8762261525483,893.042506574367
sand,factored_v1_resnet_h32_b2_sim,2.087999999999968,2.84848530441124,-0.2000236082394815,-0.12984522569804377,-0.7695145993962813,-2374.1018080405456,250.3945661610121,-0.10509443317790833,-0.10543934322319179,0.034370924374409376,0.042936374758121926,-1495.9177298632078,-878.184078177338,602.367008448106,-351.97244228709394,6057.4627390728565,4816.3710743784495,8075.435838193662,5570.9330997156985,0.13396033388713896,0.3328126529715087,0.05486029779632067,0.16490562847322726,-0.2157670651439779,-1168.6860433039224,544.3420987438815,-1632.2564817668829,819.2936055465701,-1865.308247401786,1130.8348155240737
sand,factored_v1_resnet_h32_b2_sim,2.0999999999999686,2.738919055516836,-0.2031711560222015,-0.13366932612987592,-0.5493624348041133,-2246.4874401321476,68.86263774951271,-0.10879715758092134,-0.11006764886838258,0.036541515771272064,0.04282808837868736,-1326.7607276467004,-919.7267124854471,443.2295371303773,-374.3668993808646,6201.506181389603,4611.605730071061,7704.490024381277,6475.5902114081455,0.12425152874034014,0.32899665215992113,0.05991181432994692,0.16824944679282844,-0.17891578935986407,-1208.0995277990392,575.5947587162931,-1680.0592299560662,872.1563713598847,-1960.9461351475938,1203.3875075449093
sand,factored_v1_resnet_h32_b2_sim,2.111999999999969,2.811203600776031,-0.15070504781310023,-0.14054498730241385,-1.0398494124661353,-2361.2777373609997,-93.31071169400997,-0.10855668067187413,-0.11489339250384917,0.0377670177857787,0.03654073480384126,-1452.7890449532065,-908.4886924077931,195.18784531471698,-288.49855700872695,6398.359382095422,4941.230900849405,7943.164458799396,5463.770214264041,0.12067360479386545,0.33410870298714,0.05492554071459514,0.1484050808243797,-0.12693538084298592,-1267.07137226766,535.1348004225589,-1779.1658368349508,800.6977513293026,-2107.547559338095,1113.814165595913
