true_terrain,nn_model,time,u,v_body,omega,ay,actual_front_fy,actual_rear_fy,front_left_slip_angle,front_right_slip_angle,rear_left_slip_angle,rear_right_slip_angle,front_left_fy,front_right_fy,rear_left_fy,rear_right_fy,front_left_Fz,front_right_Fz,rear_left_Fz,rear_right_Fz,front_left_long_slip,front_right_long_slip,rear_left_long_slip,rear_right_long_slip,steering_rate,clay_pred_front_fy,clay_pred_rear_fy,dirt_pred_front_fy,dirt_pred_rear_fy,sand_pred_front_fy,sand_pred_rear_fy
dirt,factored_v1_resnet_h32_b2_sim,2.003999999999965,3.05244687966931,-0.13630062880857052,0.009054644787391921,-0.08386456482301623,-1871.5204745943877,280.44305972294853,0.1164613252505359,0.07877251480452639,0.06814999879974136,0.06546367444524083,-1265.407799215064,-606.1126753793237,334.174270850823,-53.7312111278745,6623.687047265389,5133.136237496153,5359.491338606114,4803.644012116098,0.1842444039526934,0.3610812789194325,0.11262917285603014,0.15952757525813346,0.0,1025.294485315682,681.9916852354957,1570.9922132691677,963.8709652918259,1897.612092559632,1240.2898180061957
dirt,factored_v1_resnet_h32_b2_sim,2.0159999999999654,3.104212144306777,-0.020740010673966622,0.005676481658039821,-0.4473065530812023,-1636.9385455570782,341.21772918956094,0.0751411743415145,0.07844633080957913,0.05540844905420726,0.07994785907636794,-1051.570001859322,-585.3685436977561,473.2247859884289,-132.00705679886798,5783.72583730017,4863.404433809191,7937.783004984747,6613.551924311933,0.157316104285187,0.35553385308266816,0.12925233513228626,0.17233773774116903,-0.45618470497935343,629.1483333669065,969.4344236770446,990.942745988792,1463.9269952173013,1259.6367272330665,1914.7951539556882
dirt,factored_v1_resnet_h32_b2_sim,2.027999999999966,3.1366101065060508,-0.02229026608278348,-0.006688492816839529,-0.2711439829778729,-1834.606445080402,339.6805246671847,0.11305716698629578,0.06661585456075285,0.07071313548741942,0.06491733381223153,-1153.425885178396,-681.1805599020059,306.8340287296824,32.84649593750228,6205.207540296301,5764.2277370033,6651.411300153551,6738.299635691433,0.180819180141279,0.31786690973852294,0.11499017076804086,0.15058349278015223,-0.3122702403258815,912.4832519216477,927.8242810854908,1420.6841034247245,1369.0479676281316,1769.68386839132,1788.4705405160187
dirt,factored_v1_resnet_h32_b2_sim,2.0399999999999663,3.193763897132175,0.0004745219828270475,-0.0125680662610988,-0.5421310785886084,-1554.7547266326787,295.17930687136067,0.06453320268070992,0.07347051260742937,0.06447092643242971,0.06973998368656781,-975.4418590226236,-579.3128676100553,261.05631537913945,34.12299149222121,5702.824947850469,4758.022066660484,8003.227134059984,6019.814867525826,0.152259667927009,0.3244164985067931,0.12560124415130383,0.1531276586819681,-0.40022705822905175,555.6239414445429,964.5085132161262,872.1918451443485,1438.4598147021716,1121.9477031102338,1886.8999639405306
dirt,factored_v1_resnet_h32_b2_sim,2.0519999999999667,3.194570485309367,-0.012264732459365914,-0.01653153904093484,-0.1276439676445234,-1691.5752816955976,353.6676082694963,0.11443691264037799,0.062331447530129064,0.07534128968955035,0.06786168425421688,-1103.8978057100405,-587.6774759855571,352.1406984563853,1.5269098131110224,6228.188223428417,5232.552545686081,6913.799944717987,5356.915500216339,0.1789212158826744,0.3286109165454353,0.10198230187092988,0.15537663832208043,-0.41412384022982374,859.0510028078722,915.2201597381971,1346.347324930197,1327.9518117669877,1680.8132825729797,1722.079982768018
dirt,factored_v1_resnet_h32_b2_sim,2.063999999999967,3.1939604858717723,-0.11099457610611821,-0.020993498910134193,-0.38587822892403256,-2006.6309887712237,325.1031251466218,0.05791755491356983,0.07574333717178151,0.07098462712983213,-0.002303386695865607,-1448.1757625818327,-558.4552261893908,380.60821676658367,-55.50509161996192,7739.955776148294,4697.386847876427,7890.204379840328,6650.490282677007,0.16233376560427126,0.31750148661583005,0.10423521488403686,0.16424007805782792,-0.3748811025174114,644.9972482080459,562.3901852028544,1040.1554170444688,875.1959405944926,1379.1099580276602,1203.3314728357182
dirt,factored_v1_resnet_h32_b2_sim,2.0759999999999676,3.2705525919122755,-0.10736287906711464,-0.028109875740871516,-0.5464026421626739,-1635.6054622570205,274.48868388967475,0.12188991099496052,0.048313373521498414,0.0809491977350658,0.06864744082137784,-1185.1377298134357,-450.4677324435847,231.08472855160463,43.403955338070105,6488.876967684367,3975.5181704464794,6821.990988676208,6032.707892948673,0.17275191793635966,0.2982443530725953,0.09136067715751056,0.15126089665720535,-0.3466950606597753,843.6117900847811,1009.1176950345723,1317.3746960547728,1466.9307584572125,1644.9144888582207,1901.2349666505718
dirt,factored_v1_resnet_h32_b2_sim,2.087999999999968,3.1729726613073015,-0.032657086110555615,-0.03950024850944598,-0.8506042021121154,-1788.6879464753088,250.7161416139144,0.05043560146564485,0.0460443499496502,0.0705744082634955,0.07804721392746741,-1261.6787743665413,-527.0091721087675,299.364614681765,-48.64847306785057,7158.615139044943,4615.488507648276,8096.640556866986,6318.203630564493,0.15196569072579902,0.3162364745766474,0.11194440838156927,0.15497116848920478,-0.3874581387404399,428.5302237419166,1114.6093907464935,708.8734532855202,1655.962624244975,994.5444961854284,2166.595955910165
dirt,factored_v1_resnet_h32_b2_sim,2.0999999999999686,3.2627797311396316,-0.0064471522085652044,-0.03966327036454088,-0.2729363447178499,-1686.141847107846,209.92815775251265,0.11910362979731623,0.04013502330446353,0.08518837854096183,0.07586694222204854,-1092.6925161162574,-593.4493309915885,217.94021139638406,-8.012053643871406,5947.016459815587,4438.263968847684,7762.672142049793,6819.283498046962,0.17114287375438694,0.29810913862960065,0.08708620807385999,0.15437205600059323,-0.31839102159095195,755.7272184574782,1252.6781919997377,1166.9993017235188,1849.7756008115425,1465.615396954874,2407.425268603315
dirt,factored_v1_resnet_h32_b2_sim,2.111999999999969,3.2477735285536773,0.014655509606453967,-0.04784228694987197,-1.054918207940664,-1823.7044506483899,155.5664041968534,0.04551262925423259,0.037425241526313456,-0.013521491500411058,0.08598038742346793,-1320.1101996291316,-503.5942510192583,243.2148293061149,-87.64842510926148,7147.979699149949,4481.306760332755,7703.626826656375,4785.482370147704,0.14585216997347636,0.3149283305691751,0.08866653280660919,0.16818163792919852,-0.3474883051091747,362.36007939568503,227.6683833080769,608.2721901794689,368.78122390967746,873.8184974062369,469.60253182035126
dirt,factored_v1_resnet_h32_b2_sim,2.1239999999999695,3.3534824307506788,-0.10997678208338314,-0.048936459013694575,-0.18985621494282517,-1964.281767777418,35.810685321605746,0.12114207954762764,0.032511937501677544,0.0909035783448899,0.008780323176712457,-1218.8703080273963,-745.4114597500218,159.68763998091873,-123.87695465931299,6984.139158361244,4833.301000540621,8018.691779583758,5726.506277247496,0.16185403450612865,0.2953761195734931,0.06361876371865877,0.1836209933499696,-0.32466926419380693,887.9085513821985,864.041183440445,1392.9392742014622,1288.4981068433262,1769.391572648567,1713.0413047935206
dirt,factored_v1_resnet_h32_b2_sim,2.13599999999997,3.302462635542314,-0.09123491953216112,-0.05331107123596188,-0.3576899925741641,-1800.6190342278203,68.65370239178412,0.03698714692869284,0.026562250990329543,-0.013683945895756255,0.08840959117360574,-1269.6374454510492,-530.9815887767711,227.51072683706613,-158.857024445282,7090.519519130591,4299.409114274818,8352.180663368234,5554.4197521027645,0.129906270910906,0.2858766948070558,0.08091347603771792,0.1872052112779983,-0.3440590330882351,256.1093361589901,271.203163913413,450.2428207615606,459.3581597189518,694.320828574997,573.5199689280141
dirt,factored_v1_resnet_h32_b2_sim,2.1479999999999704,3.3670468567446865,-0.048112999440397944,-0.058975653237149386,-0.8607844652536467,-1926.36722283266,44.120645142113034,0.12050668637070784,0.026155949071790245,0.07915749124115495,0.08994464329264831,-1280.8168442656663,-645.5503785669938,219.82939163214624,-175.7087464900332,6796.912461737271,4050.032463315899,8430.04109313547,5240.943117496007,0.14231315562156424,0.2824395533660003,0.07634168763778633,0.19402665269697242,-0.37124940265514456,830.804095802325,1223.8204208002255,1300.6384048742455,1793.4573137894506,1662.709672998945,2314.0282833846372
dirt,factored_v1_resnet_h32_b2_sim,2.159999999999971,3.335898597095571,-0.15123750048057882,-0.06420539372058298,-0.4997930695191136,-2148.1518086481274,8.21941330626305,0.12135236171389292,0.01918374672857932,-0.005212009967982539,0.08209714036740164,-1614.3171432475444,-533.8346654005828,154.86732171291308,-146.64790840665003,8384.979734223432,4160.058874402819,8545.793830154,5732.770079969753,0.15040022622329266,0.27707825791430407,0.07633941299243421,0.1683522051938354,-0.30741343233049945,1065.5659261969379,351.5822228509692,1686.4304708495176,569.460910809915,2174.3584400465907,737.2921012309964
dirt,factored_v1_resnet_h32_b2_sim,2.1719999999999713,3.3766463691086206,-0.15282698315000925,-0.06527263673964985,-0.4041668607321669,-2263.355484731167,-105.90628674957915,0.11636195724657881,0.01833136163412006,0.08983331669026304,0.08428117219485987,-1338.5058984978496,-924.8495862333173,110.61121488682886,-216.517501636408,7384.538969870166,4816.756789332251,7327.508132932132,5572.75063725364,0.13902912050013563,0.271231332562634,0.06762755916964491,0.17197929162560013,-0.3102037551536636,880.8268355508166,1188.9803513493382,1379.6691489528594,1723.7526895886078,1790.8337037097358,2207.15444934225
dirt,factored_v1_resnet_h32_b2_sim,2.1839999999999717,3.368033486160037,-0.12217999324359868,-0.07196681468811021,-0.3020525468220271,-1695.50030766227,-150.01581078908737,0.11811415985154419,0.014266828881697516,-0.0010383634661962928,0.08010289496675631,-1126.0034455200346,-569.4968621422354,53.030793159161945,-203.0466039482493,6549.519649887902,3762.4965737808684,8898.038061676485,5787.557427881242,0.13584567513635384,0.27075109602421316,0.074328314782535,0.1543699778258408,-0.31427886841284014,751.8907581709612,395.748401435456,1171.6588062281078,630.2585012687725,1508.3703676598268,826.8145578663832
dirt,factored_v1_resnet_h32_b2_sim,2.195999999999972,3.433590403563305,-0.04120515819146553,-0.07333356322876253,-0.9193725197401179,-2226.1572718445605,-207.04714802579215,0.11533585832785227,0.013269593674065125,0.0953292520032356,0.08129479336587428,-1354.3570756745055,-871.800196170055,-14.389898980424363,-192.6572490453678,7512.436290625164,4816.706163624506,7114.359876723677,5748.846719477008,0.1494841124575686,0.2840288207288951,0.05100096322132908,0.1559200532637453,-0.30397313026321826,858.1564677217947,1221.211088601255,1355.0679323219692,1758.542950377142,1760.3624820459293,2251.4996845093115
dirt,factored_v1_resnet_h32_b2_sim,2.2079999999999727,3.4414257762651603,0.02929496851232538,-0.0786417545260153,-0.7784243472433643,-1537.2020240461109,-239.5640648935367,0.007907639122390746,0.0064297137833030015,0.0052668288676165145,0.0795775435354945,-901.5740543237024,-635.6279697224085,-34.11738019389716,-205.44668469963955,5654.63186789238,4091.223505831686,9759.624524590228,5913.201101624397,0.12970831640114275,0.28163783317377955,0.05540895849494704,0.14601129634655502,-0.30767188230859427,-50.51866834738988,494.00644632271315,3.9924787595156843,769.268323881887,126.75572927465446,1011.4996856465089
dirt,factored_v1_resnet_h32_b2_sim,2.219999999999973,3.477945264573264,-0.12608366131178964,-0.07907182109179048,-0.6781015925866958,-2331.021115066857,-255.07171377581807,-0.0003845081034872679,0.005243948867359697,0.08987008021956104,0.08008207991083839,-1467.9129687739355,-863.1081462929216,-46.51944838229663,-208.55226539352142,7524.750380581346,4851.48741821739,7867.82361157638,5806.56956986971,0.1332179640788439,0.2764472813170506,0.05872303501612274,0.14529507297403224,-0.2090584916563678,-106.83707730110312,1281.0625701284653,-70.81713198158906,1856.6562015009022,50.33890209556165,2396.7584820869397
dirt,factored_v1_resnet_h32_b2_sim,2.2319999999999736,3.4933005029085393,-0.10672576849398743,-0.08230200279552649,-0.2807855161887062,-1744.972305130388,-314.2711629834996,-0.0013951377647954094,-0.0011183289971159094,0.006310438343067157,0.07736486382530354,-1005.9543721641603,-739.0179329662276,-82.57274534827815,-231.6984176352215,5970.323531341374,4326.035553681239,9450.378918539705,5818.606709961955,0.1251838266503788,0.2806086968001211,0.058384677746408264,0.13921874207682258,-0.4777643721490351,-168.40632553901918,490.67943518061736,-155.25587110444394,758.9255889759423,-26.153042396577206,1006.3242545903676
dirt,factored_v1_resnet_h32_b2_sim,2.243999999999974,3.492942314243176,-0.19555088681791524,-0.08268394824908964,-0.7025883724282905,-2488.615544889026,-219.6631934479239,-0.0057868306140419256,-0.002481331094831062,0.08546565626249765,0.07841426194722467,-1557.814537909441,-930.8010069795846,9.495087584972717,-229.1582810328966,7642.146621585863,4922.721115544842,7735.547589262615,6236.917523614493,0.14455333733234618,0.2839068707023421,0.05378928502195485,0.1416631285643795,-0.2992300906705082,-207.93810173363823,1257.8859166381708,-214.21017987200793,1826.6206218056482,-88.14336091724847,2367.187474530473
dirt,factored_v1_resnet_h32_b2_sim,2.2559999999999745,3.618262353973958,-0.19692345364505628,-0.08916846290210291,-1.1499088833775166,-1613.3826673658498,-460.03410949590784,-0.005450847050139765,-0.012748460837111312,0.00740371265315672,0.07988703192557885,-869.4347580125876,-743.9479093532622,-241.87717027759555,-218.1569392183123,5075.433421456666,4299.561243063465,8502.084529675567,5518.401749540105,0.13827152371999235,0.2567806799825772,0.05167209513343385,0.14063802550514165,-0.16374487439410917,-172.3252049727908,493.6715929448014,-167.77453520131377,748.1205475672664,-104.34649732738345,987.3734920287575
dirt,factored_v1_resnet_h32_b2_sim,2.267999999999975,3.571615258515634,-0.046418049069683665,-0.09673041206461278,-1.03694581426241,-2249.421948154907,-165.54389443603972,0.12520683660670073,-0.012754969244104814,-0.0016064875790956054,0.07931061571541236,-1481.8086017793578,-767.6133463755493,50.55619962158435,-216.10009405762406,7218.422632035854,4131.361228360712,6759.8497499127625,4977.525898400069,0.13996457170094895,0.2734566335449249,0.06244790449579674,0.13801792699118923,-0.310041380933557,792.2282852509691,361.64078196013276,1261.1030321313224,539.9781889093688,1637.6393138038393,707.2592833611192
dirt,factored_v1_resnet_h32_b2_sim,2.2799999999999754,3.557229509121203,-0.1143907008655613,-0.09636421699742892,-0.7996725373486782,-1844.9932611720449,-250.8363001476845,0.12439825667448441,-0.026071924989041925,0.07385935399086674,0.07911944884841998,-1228.0451856485704,-616.9480755234745,-10.643090279091318,-240.1932098685932,6282.828861485154,3705.237904023395,7744.023507719053,5423.151231476686,0.14686794212416163,0.23863769454241543,0.07451613670702431,0.13580794010856878,-0.3316057067148695,606.2187565469904,1086.233394238016,973.6127165508235,1570.5036201815046,1271.254537823059,2039.9597168524035
dirt,factored_v1_resnet_h32_b2_sim,2.291999999999976,3.499424361796432,-0.2000679962632685,-0.104322950294409,-0.6072157399403735,-2203.095575711544,-300.4805980900123,0.1255190792456936,-0.024253664192993254,0.06844845731126818,0.08115467885493044,-1173.9903863247293,-1029.1051893868146,81.92427248960514,-382.4048705796174,6216.771741551059,4972.714734800694,5985.0045002661755,7572.550202580468,0.13896819149935435,0.24693541234429758,0.07958551366754009,0.13783307360959496,-0.30200156552403595,586.2247560679186,1083.2582544020006,920.9183748501555,1584.469656709895,1230.576742920888,2059.4400627614414
dirt,factored_v1_resnet_h32_b2_sim,2.3039999999999763,3.5932174986007004,-0.18036127766678994,-0.10775754516868706,-0.9980174232216751,-2189.478145316549,-189.66141843413988,0.12375001553318042,-0.03260696402583477,0.06880921906646616,0.08213797951547636,-1359.2666361031527,-830.2115092133965,157.38856956292835,-347.04998799706823,6887.553956955838,4255.611719039707,7619.090185722432,5496.976511553724,0.14148438013398465,0.22369166414582098,0.08165022112487057,0.1364138566548474,-0.21090831472397076,656.4429000317052,1046.5006174472126,1050.4795273188274,1515.9823516573488,1375.1937875152269,1966.031253592584
dirt,factored_v1_resnet_h32_b2_sim,2.3159999999999767,3.5710528063465454,-0.018437543250619387,-0.11357974866473758,-0.8931571567996694,-2417.3806355829897,-234.62924497468634,-0.026768350423015164,-0.031365354783737226,0.06730200257700016,0.07983153166555186,-1303.8792217836306,-1113.5014137993592,78.16997769196928,-312.7992226666556,6070.990439872873,5453.0027449455165,6240.786406529489,6229.127434681311,0.11354708531202429,0.22641850460897744,0.08100130959398236,0.13913223768412766,-0.2112462244476498,-460.52165448122634,962.4489685578994,-577.4090540590354,1387.9065707984164,-569.7334676754685,1790.4000657798233
dirt,factored_v1_resnet_h32_b2_sim,2.327999999999977,3.5871781690011195,-0.14303581491031575,-0.1206904460764363,-1.2782992633834813,-2179.858627737725,-228.92775576071594,0.12072467290850057,-0.04188783438318556,0.06756855314549587,0.025699150949294244,-1422.1958871374075,-757.6627406003174,34.00398816462646,-262.9317439253424,7010.373402474836,4505.151836914124,7927.899243462113,4691.749758747445,0.12962196743038745,0.19923886219747589,0.07757363268818653,0.14807385562996472,-0.22785949630165472,610.3191084443528,719.4866701416339,985.0861145743102,1069.177196863856,1311.28259247623,1431.7570677190058
dirt,factored_v1_resnet_h32_b2_sim,2.3399999999999777,3.669595782875666,-0.11502303990341858,-0.12550180140707534,-0.6277705384538117,-2109.7094423825993,-358.7076848567307,-0.03723093980244656,-0.04037800952792052,0.06175799318299509,0.08634840072476882,-977.9124818926124,-1131.796960489987,105.30720278818282,-464.01488764491353,5080.24532343408,5483.899929122802,6664.476716906118,7295.60260338618,0.1041063685398257,0.20582949372323944,0.08466038545575093,0.16068456485337634,-0.30366513737035283,-553.4261373932686,1075.2674190149983,-695.6887837442478,1594.8252991227191,-697.5186841802977,2055.3311776722176
dirt,factored_v1_resnet_h32_b2_sim,2.351999999999978,3.637259143583962,-0.18590567099118213,-0.12811062853040747,-0.8212720304876691,-2302.356570354528,-251.15916936439172,0.11803686217291431,0.09118697001180565,0.06283644111971008,0.0754599381922151,-1490.7935932983298,-811.5629770561978,93.42784280222267,-344.5870121666144,7609.756482654402,4631.352300756545,6242.961831898467,6443.73024175271,0.11685785410163059,0.1888993485562694,0.09680325209949955,0.12484904302637728,-0.2651993192577058,1304.793468849842,923.758316333083,1954.123955204818,1338.7248731517634,2445.6270935965476,1733.8266199702136
dirt,factored_v1_resnet_h32_b2_sim,2.3639999999999786,3.6650878040907995,-0.2836502574203744,-0.137239745036676,-0.6123638046523722,-2218.6066430189276,-138.04891922739506,-0.04780253303151047,-0.049737149509325465,0.06406890111181224,0.06414999140882698,-1074.3868938521075,-1144.2197491668203,76.6335647053658,-214.68248393276087,5374.758414501064,5849.058588465879,6348.528775906713,6933.460024025011,0.10687172479733677,0.18221556531114586,0.10593506174054623,0.09840216503092956,-0.17108591476072965,-680.8681839971061,912.6041623820853,-875.2665534954037,1328.352816553916,-965.320728210142,1740.72322130554
dirt,factored_v1_resnet_h32_b2_sim,2.375999999999979,3.6668416909495543,-0.19606567962848903,-0.14130346349466144,-0.7574071242011734,-2250.190524817076,-145.499129722119,-0.053351991073705314,0.08645310888251767,0.06483538943007389,0.07030658458487168,-1467.6959777400484,-782.4945470770275,72.12093324866197,-217.62006297078096,6624.907917882165,4666.993253943663,6033.463244027667,5515.692182379357,0.10480203243696737,0.17753736177904006,0.09868233001216567,0.10841068815773545,-0.11332303296266848,-75.72267019641652,824.9208519361575,-51.66651054095121,1171.1041614689188,-47.78599072729787,1515.07696932603
