sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778651475.079312,0,1.665348,0.037660,0.000977,0.0314,0.0605,0.000324,1.648994,-0.000000,-0.000000,-0.0020,1.666623,0.038165,0.000988,0.0264,0.0003,0.000011,-0.112832,0.0000,1.666623,0.000000,-0.000000,1.3918,0.000000,2.000000,299.7085,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0503,0.0000,0.000000,0.2000,17.08,9.09,43.25,3.97,-0.000000,-0.0000,-1.3938,nan,nan,nan,nan,nan,nan,0.0,0.0,-214.80140543429798,-1608.1518584425285,-0.121345,-0.119234,6560.5,6060.0,-0.049819,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778651475.087897,1,1.599123,0.042165,-0.003220,0.0006,0.0461,0.000362,1.648913,-0.000001,-0.000000,-0.0094,1.600043,0.042641,-0.003209,0.0231,0.0005,0.000022,-0.023501,0.0000,1.600043,0.000000,0.000000,1.4821,0.000000,2.000000,291.6120,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0546,0.0000,0.000000,0.2240,14.58,8.43,37.58,4.63,-0.000001,-0.0000,-1.4915,nan,nan,nan,nan,nan,nan,0.0,0.0,-199.30475759570703,-1521.0081628278022,-0.115895,-0.113733,6557.3,6063.3,-0.044157,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778651475.100051,2,1.660340,0.043938,-0.001081,-0.0876,0.0216,-0.000298,1.648775,-0.000002,-0.000001,-0.0124,1.660991,0.044354,-0.001071,0.0189,0.0008,0.000034,-0.014733,0.0000,1.660991,0.000000,-0.000000,1.4001,0.000000,2.000000,247.8349,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0595,0.0000,0.000000,0.2480,12.46,7.54,32.46,2.51,-0.000002,-0.0001,-1.4125,nan,nan,nan,nan,nan,nan,0.0,0.0,-169.904972469972,-1361.1375254770853,-0.101695,-0.100323,6552.6,6068.0,-0.035948,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778651475.112189,3,1.626157,-0.031096,0.001759,-0.0282,0.0390,0.001108,1.648627,-0.000004,-0.000003,-0.0121,1.626618,-0.030700,0.001768,0.0157,0.0014,0.000057,0.000528,0.0000,1.626618,0.000000,0.000000,1.4480,0.000000,2.000000,260.7668,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0649,0.0000,0.000000,0.2720,10.66,6.79,28.11,2.52,-0.000004,-0.0002,-1.4601,nan,nan,nan,nan,nan,nan,0.0,0.0,-162.39837754460373,-1260.356188348354,-0.097769,-0.095258,6546.5,6074.1,-0.025259,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778651475.123966,4,1.659315,-0.003920,0.004719,0.0378,-0.0675,0.000708,1.648492,-0.000007,-0.000005,-0.0106,1.659828,-0.003708,0.004725,0.0205,0.0012,0.000048,0.020494,0.0000,1.659828,0.000000,-0.000000,1.4018,0.000000,2.000000,252.5998,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0707,0.0000,0.000000,0.2960,9.14,6.14,24.42,2.46,-0.000007,-0.0003,-1.4124,nan,nan,nan,nan,nan,nan,0.0,0.0,-77.87163381198262,-824.8522354555424,-0.053352,-0.050411,6539.5,6081.1,-0.013085,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778651475.135970,5,1.719153,-0.003337,-0.005600,0.0568,0.0076,-0.000771,1.648462,-0.000004,-0.000003,0.0005,1.719763,-0.003165,-0.005596,0.0283,0.0015,0.000059,0.051596,0.0000,1.719763,0.000000,-0.000000,1.3049,0.000000,2.000000,321.1669,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0770,0.0000,0.000000,0.3200,7.85,5.59,21.28,2.48,-0.000004,-0.0002,-1.3043,nan,nan,nan,nan,nan,nan,0.0,0.0,-83.77759799505829,-760.136678521685,-0.045512,-0.044123,6530.0,6090.6,0.003507,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778651475.148158,6,1.627942,-0.019657,-0.013430,-0.0793,-0.0423,0.000072,1.648468,0.000003,0.000001,0.0005,1.628377,-0.019587,-0.013428,0.0233,0.0009,0.000037,0.073065,0.0000,1.628377,0.000000,0.000000,1.4457,0.000000,2.000000,259.6390,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0837,0.0000,0.000000,0.3440,6.75,5.12,18.61,2.46,0.000003,0.0000,-1.4451,nan,nan,nan,nan,nan,nan,0.0,0.0,-45.37648946940547,-561.3661286435956,-0.020379,-0.019165,6523.1,6097.4,0.015411,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778651475.160119,7,1.688488,-0.037118,-0.004497,0.1066,0.0198,0.001280,1.648452,0.000007,0.000003,-0.0009,1.689143,-0.037032,-0.004493,0.0398,0.0015,0.000062,0.087383,0.0000,1.689143,0.000000,-0.000000,1.3569,0.000000,2.000000,320.5998,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0908,0.0000,0.000000,0.3680,5.80,4.72,16.33,2.47,0.000007,0.0002,-1.3578,nan,nan,nan,nan,nan,nan,0.0,0.0,-71.08210351400733,-595.8459388923429,-0.024882,-0.022267,6518.3,6102.3,0.023815,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778651475.172047,8,1.772551,-0.003686,-0.000136,0.0494,0.0153,-0.000591,1.648434,0.000013,0.000006,-0.0008,1.773159,-0.003598,-0.000134,0.0421,0.0020,0.000076,0.106549,0.0000,1.773159,-0.000000,-0.000000,1.1993,0.000000,2.000000,248.4055,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0983,0.0000,0.000000,0.3920,4.99,4.39,14.38,2.51,0.000013,0.0004,-1.2001,nan,nan,nan,nan,nan,nan,0.0,0.0,-93.87220653761922,-624.2124853016526,-0.025637,-0.024283,6512.4,6108.1,0.034058,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778651475.184122,9,1.643655,-0.002661,-0.003422,0.0395,-0.0231,-0.001324,1.648415,0.000020,0.000011,-0.0007,1.644191,-0.002626,-0.003421,0.0419,0.0011,0.000033,0.124851,0.0000,1.644191,0.000000,0.000000,1.4241,0.000000,2.000000,286.6175,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1061,0.0000,0.000000,0.4160,4.32,4.09,12.73,2.43,0.000020,0.0006,-1.4248,0.008000,0.083637,-0.2448,-0.459541,0.005601,0.001290,0.0,0.0,-64.56722318127166,-542.1320085413254,-0.010912,-0.011512,6506.9,6113.6,0.043628,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778651475.195950,10,1.629377,0.028825,-0.003008,-0.0096,-0.0073,0.002340,1.648397,0.000027,0.000015,-0.0006,1.629763,0.028846,-0.003006,0.0341,0.0007,0.000051,0.142716,0.0000,1.629763,0.000000,0.000000,1.4438,0.000000,2.000000,285.0833,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1143,0.0000,0.000000,0.4400,3.74,3.85,11.33,2.45,0.000027,0.0009,-1.4444,0.008000,0.024770,0.0147,-0.467372,0.003097,0.000942,0.0,0.0,-65.34917348091216,-507.2454891717647,-0.007403,-0.004896,6501.7,6118.9,0.052792,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778651475.208138,11,1.683751,-0.087490,-0.000763,0.0006,-0.0439,0.000994,1.648380,0.000034,0.000019,-0.0005,1.684033,-0.087523,-0.000762,0.0280,-0.0017,-0.000002,0.160871,0.0000,1.684033,0.000000,-0.000000,1.3650,0.000000,2.000000,328.6266,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1229,0.0000,0.000000,0.4640,3.25,3.64,10.14,2.43,0.000034,0.0011,-1.3655,0.008000,0.134576,0.0239,-0.473562,-0.005993,0.001598,0.0,0.0,-8.842598370083053,-393.2017251449465,0.010399,0.013690,6496.5,6124.1,0.061887,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778651475.219988,12,1.704126,-0.012440,-0.008800,0.0053,-0.0756,-0.001273,1.648364,0.000041,0.000022,-0.0004,1.704340,-0.012551,-0.008801,0.0239,-0.0061,-0.000154,0.179344,0.0000,1.704340,0.000000,-0.000000,1.3318,0.000000,2.000000,285.0572,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1317,0.0000,0.000000,0.4880,2.83,3.46,9.13,2.49,0.000041,0.0013,-1.3322,0.008000,0.032965,-0.6085,-0.477707,-0.019458,-0.000373,0.0,0.0,89.74100672220146,-245.90085138866965,0.038400,0.039427,6491.3,6129.3,0.070974,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778651475.232147,13,1.537087,0.019862,-0.005548,-0.0658,-0.0746,0.001221,1.648349,0.000048,0.000026,-0.0003,1.537244,0.019702,-0.005549,0.0196,-0.0106,-0.000236,0.197730,0.0000,1.537244,0.000000,0.000000,1.5564,0.000000,2.000000,248.1547,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1409,0.0000,0.000000,0.5120,2.47,3.30,8.25,2.40,0.000048,0.0015,-1.5568,0.008000,0.174512,-0.5831,-0.484029,-0.030125,0.001327,0.0,0.0,168.19637857829,-133.30506911877546,0.059028,0.061409,6486.2,6134.4,0.079876,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778651475.244141,14,1.685139,0.040875,-0.003220,0.0127,-0.0372,-0.000258,1.648334,0.000056,0.000031,-0.0002,1.685274,0.040718,-0.003221,0.0186,-0.0122,-0.000273,0.216135,0.0000,1.685274,0.000000,-0.000000,1.3631,0.000000,2.000000,281.4590,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1503,0.0000,0.000000,0.5360,2.17,3.17,7.52,2.41,0.000056,0.0018,-1.3633,0.008000,0.095986,0.1282,-0.488168,-0.031502,-0.001139,0.0,0.0,198.17737543205237,-121.50827004717189,0.062153,0.063744,6481.1,6139.5,0.088674,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778651475.256033,15,1.627879,-0.004683,-0.009829,0.0104,-0.0046,0.000988,1.648320,0.000063,0.000035,-0.0002,1.627994,-0.004807,-0.009830,0.0173,-0.0111,-0.000061,0.233955,0.0000,1.627994,0.000000,0.000000,1.4462,0.000000,2.000000,323.9307,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1600,0.0000,0.000000,0.5600,1.92,3.06,6.90,2.44,0.000063,0.0020,-1.4463,0.008000,0.053542,0.1850,-0.491595,-0.026291,-0.003311,0.0,0.0,178.4867323952566,-165.98761379058288,0.051305,0.053849,6476.3,6144.3,0.097111,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778651475.268127,16,1.616866,0.055316,-0.001610,-0.0243,-0.0140,0.000363,1.648307,0.000071,0.000039,-0.0001,1.616953,0.055209,-0.001610,0.0143,-0.0108,-0.000082,0.251593,0.0000,1.616953,0.000000,0.000000,1.4607,0.000000,2.000000,323.6439,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1700,0.0000,0.000000,0.5840,1.71,2.97,6.38,2.46,0.000071,0.0023,-1.4608,0.008000,0.154067,0.1527,-0.496068,-0.023916,-0.001798,0.0,0.0,175.61613783848176,-180.44348962757147,0.046582,0.049097,6471.5,6149.0,0.105374,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778651475.279878,17,1.691366,-0.095478,-0.009062,-0.0674,-0.0063,-0.000060,1.648295,0.000080,0.000044,-0.0000,1.691431,-0.095565,-0.009063,0.0118,-0.0098,-0.000096,0.268553,0.0000,1.691431,0.000000,-0.000000,1.3532,0.000000,2.000000,276.8244,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1802,0.0000,0.000000,0.6080,1.51,2.90,5.92,2.51,0.000080,0.0025,-1.3532,0.008000,0.161531,-0.5124,-0.500437,-0.020516,0.000154,0.0,0.0,160.00059862993936,-204.51169446655905,0.040066,0.042019,6467.0,6153.6,0.113288,0.000000,0.000000,0.5000,1.0000,,,,,
0.2160,1778651475.291860,18,1.610647,0.022359,0.004682,0.0269,0.0232,-0.000984,1.648284,0.000088,0.000048,0.0000,1.610727,0.022310,0.004682,0.0150,-0.0060,-0.000097,0.285643,0.0000,1.610727,0.000000,0.000000,1.4687,0.000000,2.000000,304.7424,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1907,0.0000,0.000000,0.6320,1.34,2.83,5.51,2.40,0.000088,0.0028,-1.4686,0.008000,0.088446,0.4593,-0.499047,-0.012046,-0.000830,0.0,0.0,86.93886607505965,-290.60165768375947,0.023933,0.024253,6462.5,6158.1,0.121189,0.000000,0.000000,0.5000,1.0000,,,,,
0.2280,1778651475.304114,19,1.603993,-0.035324,0.001123,0.0656,-0.0383,0.000690,1.648273,0.000097,0.000053,0.0001,1.604120,-0.035390,0.001123,0.0251,-0.0089,-0.000112,0.301509,0.0000,1.604120,0.000000,0.000000,1.4770,0.000000,2.000000,303.3627,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2014,0.0000,0.000000,0.6560,1.20,2.77,5.18,2.47,0.000097,0.0030,-1.4770,0.008000,0.100286,0.2377,-0.490741,-0.017122,0.000369,0.0,0.0,152.12163866338216,-206.01090500651694,0.033680,0.034819,6458.3,6162.3,0.128506,0.000000,0.000000,0.5000,1.0000,,,,,
0.2400,1778651475.315978,20,1.624647,-0.025442,-0.004284,-0.0048,-0.0083,0.001153,1.648263,0.000107,0.000058,0.0001,1.624745,-0.025499,-0.004284,0.0205,-0.0083,-0.000036,0.318197,0.0000,1.624745,0.000000,0.000000,1.4505,0.000000,2.000000,275.6969,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2123,0.0000,0.000000,0.6800,1.10,2.72,4.92,2.44,0.000107,0.0033,-1.4504,0.008000,0.127195,-0.2185,-0.497111,-0.015423,-0.002552,0.0,0.0,141.23041295473806,-197.85270168535374,0.029683,0.032074,6453.9,6166.7,0.136105,0.000000,0.000000,0.5000,1.0000,,,,,
0.2520,1778651475.328058,21,1.733804,-0.015952,0.002089,-0.0012,-0.0446,0.001663,1.648254,0.000116,0.000062,0.0001,1.733881,-0.016025,0.002090,0.0169,-0.0117,-0.000005,0.333541,0.0000,1.733881,0.000000,-0.000000,1.2789,0.000000,2.000000,277.5088,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2235,0.0000,0.000000,0.7040,1.01,2.68,4.69,2.44,0.000116,0.0036,-1.2787,0.008000,0.022521,0.6098,-0.502631,-0.021077,-0.001851,0.0,0.0,214.2511865648634,-101.06862589307453,0.040176,0.044224,6449.9,6170.7,0.143091,0.000000,0.000000,0.5000,1.0000,,,,,
0.2640,1778651475.339869,22,1.677604,0.022799,0.002671,0.0585,-0.0673,0.000476,1.648245,0.000126,0.000067,0.0002,1.677714,0.022698,0.002672,0.0252,-0.0172,-0.000093,0.349815,0.0000,1.677714,0.000000,-0.000000,1.3749,0.000000,2.000000,252.9140,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2348,0.0000,0.000000,0.7280,0.90,2.66,4.47,2.55,0.000126,0.0038,-1.3747,0.008000,0.088448,0.4670,-0.496103,-0.030014,-0.000103,0.0,0.0,328.9253004057356,26.991134089575382,0.058091,0.061955,6445.6,6174.9,0.150492,0.000000,0.000000,0.5000,1.0000,,,,,
0.2760,1778651475.352072,23,1.631755,0.076079,0.003369,-0.0574,-0.0785,-0.000557,1.648237,0.000137,0.000072,0.0002,1.631842,0.075947,0.003369,0.0207,-0.0230,-0.000258,0.364786,0.0000,1.631842,0.000000,0.000000,1.4410,0.000000,2.000000,257.1833,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2463,0.0000,0.000000,0.7520,0.84,2.66,4.33,2.64,0.000137,0.0041,-1.4408,0.008000,0.111493,0.3806,-0.502525,-0.039399,0.000889,0.0,0.0,441.42272559033404,149.75088622259483,0.077478,0.079879,6441.8,6178.8,0.157240,0.000000,0.000000,0.5000,1.0000,,,,,
0.2880,1778651475.364150,24,1.760416,0.070006,-0.005060,0.0053,-0.0053,0.001345,1.648229,0.000147,0.000077,0.0002,1.760488,0.069899,-0.005059,0.0180,-0.0194,-0.000120,0.379192,0.0000,1.760488,-0.000000,-0.000000,1.2261,0.000000,1.500000,54.9013,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2578,0.0000,0.000000,0.7700,0.79,3.32,4.89,7.10,0.000147,0.0044,-1.2259,0.008000,0.109946,0.2591,-0.506979,-0.032806,-0.001934,0.0,0.0,387.33773330122347,112.4082151163297,0.063757,0.067409,6438.1,6182.5,0.163694,0.000000,0.000000,0.5000,1.0000,,,,,
0.3000,1778651475.376108,25,1.667503,0.059271,-0.001167,0.0061,0.0773,0.000060,1.648222,0.000159,0.000082,0.0002,1.667577,0.059231,-0.001166,0.0163,-0.0063,0.000037,0.386982,0.0000,1.667577,0.000000,-0.000000,1.3903,0.000000,1.000000,37.8785,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2691,0.0000,0.000000,0.7820,0.74,3.52,4.99,4.66,0.000159,0.0047,-1.3901,0.008000,0.004588,0.0333,-0.510742,-0.011486,0.001832,0.0,0.0,137.07617541927456,-126.50826229771667,0.021505,0.024538,6435.8,6184.8,0.167692,0.000000,0.000000,0.5000,1.0000,,,,,
0.3120,1778651475.387986,26,1.677592,0.075409,-0.000351,0.0478,-0.0216,-0.000333,1.648215,0.000170,0.000087,0.0002,1.677699,0.075360,-0.000351,0.0228,-0.0073,-0.000034,0.387214,0.0000,1.677699,0.000000,-0.000000,1.3749,0.000000,0.511901,31.9887,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2802,0.0000,0.000000,0.7881,0.69,3.68,5.06,4.55,0.000170,0.0050,-1.3747,0.008000,0.183905,0.4692,-0.505980,-0.013441,-0.004914,0.0,0.0,167.57906251646395,-99.23452249433834,0.025902,0.027922,6435.1,6185.4,0.168802,0.000000,0.000000,0.5000,1.0000,,,,,
0.3240,1778651475.400034,27,1.725171,-0.008337,-0.003469,-0.0220,-0.0368,0.000095,1.648209,0.000182,0.000092,0.0003,1.725260,-0.008404,-0.003469,0.0187,-0.0097,-0.000091,0.381930,0.0000,1.725260,0.000000,-0.000000,1.2949,0.000000,0.243388,26.6628,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2910,0.0000,0.000000,0.7911,0.66,3.79,5.10,4.41,0.000182,0.0053,-1.2946,0.008000,0.068903,-0.4565,-0.511730,-0.017954,0.002104,0.0,0.0,224.71486108654844,-47.525418663947335,0.035048,0.036797,6435.9,6184.7,0.167508,0.000000,0.000000,0.5000,1.0000,,,,,
0.3360,1778651475.412059,28,1.694087,0.085786,0.001488,-0.0459,-0.0527,-0.000795,1.648203,0.000195,0.000097,0.0003,1.694161,0.085692,0.001487,0.0155,-0.0132,-0.000220,0.375018,0.0000,1.694161,0.000000,-0.000000,1.3487,0.000000,0.109626,27.9436,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3014,0.0000,0.000000,0.7924,0.63,3.91,5.16,4.61,0.000195,0.0056,-1.3485,0.008000,0.126628,0.0160,-0.516575,-0.024682,-0.000806,0.0,0.0,307.44554268701586,18.302726937124305,0.049132,0.049528,6437.3,6183.3,0.165042,0.000000,0.000000,0.5000,1.0000,,,,,
0.3480,1778651475.424021,29,1.682012,0.023876,0.004983,0.0276,-0.0271,0.001589,1.648198,0.000208,0.000103,0.0003,1.682100,0.023782,0.004983,0.0182,-0.0134,-0.000133,0.367298,0.0000,1.682100,0.000000,-0.000000,1.3681,0.000000,0.045261,25.4058,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3114,0.0000,0.000000,0.7929,0.60,4.00,5.19,4.52,0.000208,0.0059,-1.3678,0.008000,0.049771,0.5203,-0.515534,-0.025144,-0.001500,0.0,0.0,301.5182340760958,16.3238863522632,0.049114,0.051459,6439.1,6181.5,0.161929,0.000000,0.000000,0.5000,1.0000,,,,,
0.3600,1778651475.435953,30,1.600235,-0.056160,-0.003701,-0.0602,-0.0321,0.001440,1.648193,0.000222,0.000108,0.0002,1.600308,-0.056260,-0.003700,0.0150,-0.0140,-0.000082,0.358940,0.0000,1.600308,0.000000,0.000000,1.4818,0.000000,0.022865,26.0322,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3211,0.0000,0.000000,0.7932,0.58,4.08,5.24,4.50,0.000222,0.0062,-1.4816,0.008000,0.191263,-0.3319,-0.520221,-0.026493,0.000555,0.0,0.0,306.5299994651067,20.73965865601025,0.051139,0.054866,6441.1,6179.4,0.158382,0.000000,0.000000,0.5000,1.0000,,,,,
0.3720,1778651475.447971,31,1.685728,-0.070348,-0.010682,0.0082,0.0398,-0.000814,1.648188,0.000236,0.000113,0.0002,1.685795,-0.070400,-0.010682,0.0140,-0.0072,-0.000040,0.349990,0.0000,1.685795,0.000000,-0.000000,1.3622,0.000000,0.014312,26.8195,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3304,0.0000,0.000000,0.7934,0.56,4.12,5.23,4.36,0.000236,0.0065,-1.3620,0.008000,0.103696,-0.7572,-0.522799,-0.013662,0.001684,0.0,0.0,149.07236243463328,-153.346780808213,0.026366,0.028338,6443.4,6177.2,0.154481,0.000000,0.000000,0.5000,1.0000,,,,,
0.3840,1778651475.459946,32,1.610585,-0.035401,-0.000298,0.0994,0.0038,0.001074,1.648183,0.000251,0.000119,0.0002,1.610740,-0.035439,-0.000297,0.0308,-0.0054,0.000038,0.341695,0.0000,1.610740,0.000000,0.000000,1.4687,0.000000,0.024406,25.4493,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3394,0.0000,0.000000,0.7937,0.53,4.17,5.24,4.48,0.000251,0.0068,-1.4685,0.008000,0.134348,-0.1912,-0.507419,-0.010287,0.003738,0.0,0.0,98.12392622810381,-208.32659065866835,0.019142,0.022105,6445.4,6175.1,0.150838,0.000000,0.000000,0.5000,1.0000,,,,,
