sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0960,1778655478.425770,0,1.638462,-0.013075,0.003934,-0.0968,0.0785,-0.001092,1.648434,0.000012,0.000007,-0.0008,1.638463,-0.012429,0.003943,0.0001,0.0003,0.000011,0.002890,0.0000,1.638463,0.000000,0.000000,1.4320,0.000000,0.317086,36.2122,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0092,0.0000,0.000000,0.0317,18.00,9.12,45.12,4.15,0.000012,0.0004,-1.4329,nan,nan,nan,nan,nan,nan,0.0,0.0,-9489.405465059608,-8895.03471460747,-0.152347,-0.159387,6531.2,6089.3,0.001276,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778655478.431590,1,1.686141,-0.043293,-0.001596,0.0288,-0.0367,0.000447,1.648415,0.000018,0.000011,-0.0007,1.686372,-0.042833,-0.001590,0.0061,0.0004,0.000017,0.019687,0.0000,1.686372,0.000000,-0.000000,1.3613,0.000000,0.449383,34.1710,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0099,0.0000,0.000000,0.0371,15.36,8.01,38.73,1.70,0.000018,0.0006,-1.3620,nan,nan,nan,nan,nan,nan,0.0,0.0,-8826.023133886692,-8345.912857409603,-0.109448,-0.114628,6530.2,6090.4,0.003114,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778655478.443588,2,1.642457,0.037882,0.006053,-0.0852,-0.0145,0.000198,1.648397,0.000024,0.000015,-0.0006,1.642618,0.038228,0.006058,0.0051,0.0006,0.000025,0.026658,0.0000,1.642618,0.000000,0.000000,1.4263,0.000000,0.509598,34.0803,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0108,0.0000,0.000000,0.0432,13.13,7.10,33.36,1.98,0.000024,0.0008,-1.4269,nan,nan,nan,nan,nan,nan,0.0,0.0,-7907.96344535313,-7539.0256619004485,-0.082936,-0.086884,6528.9,6091.6,0.005258,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778655478.455625,3,1.658869,0.024473,0.004644,0.0304,0.0430,0.000998,1.648380,0.000029,0.000019,-0.0005,1.659159,0.024818,0.004650,0.0103,0.0011,0.000045,0.032754,0.0000,1.659159,0.000000,-0.000000,1.4028,0.000000,0.530341,33.5318,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0118,0.0000,0.000000,0.0496,11.23,6.28,28.74,1.63,0.000029,0.0011,-1.4033,nan,nan,nan,nan,nan,nan,0.0,0.0,-7955.987743840796,-7504.309473853254,-0.084118,-0.086036,6527.5,6093.1,0.007811,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778655478.467590,4,1.661238,0.150796,-0.004877,0.0959,0.1454,-0.000057,1.648364,0.000035,0.000023,-0.0004,1.661919,0.151289,-0.004869,0.0270,0.0027,0.000107,0.037101,0.0000,1.661919,0.000000,-0.000000,1.3987,0.000000,0.552972,40.7645,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0128,0.0000,0.000000,0.0562,9.62,5.65,24.88,2.05,0.000035,0.0013,-1.3992,nan,nan,nan,nan,nan,nan,0.0,0.0,-9110.600762801128,-8534.48013496206,-0.123600,-0.125207,6526.0,6094.6,0.010407,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778655478.479544,5,1.630021,0.079073,0.003255,0.0009,0.0295,0.001314,1.648349,0.000042,0.000027,-0.0003,1.630500,0.079512,0.003264,0.0221,0.0036,0.000141,0.042145,0.0000,1.630500,0.000000,0.000000,1.4428,0.000000,0.548978,35.3186,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0139,0.0000,0.000000,0.0628,8.24,5.12,21.59,2.10,0.000042,0.0015,-1.4431,nan,nan,nan,nan,nan,nan,0.0,0.0,-8861.079030690964,-8271.542209790736,-0.111956,-0.111597,6524.4,6096.2,0.013207,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778655478.491570,6,1.611515,0.000235,0.009622,-0.0709,-0.0545,0.000069,1.648334,0.000048,0.000031,-0.0002,1.611851,0.000500,0.009627,0.0180,0.0032,0.000122,0.046656,0.0000,1.611851,0.000000,0.000000,1.4672,0.000000,0.538945,32.6524,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0150,0.0000,0.000000,0.0693,7.07,4.59,18.74,1.64,0.000048,0.0018,-1.4675,nan,nan,nan,nan,nan,nan,0.0,0.0,-7175.705394106872,-6686.849538628958,-0.069494,-0.069115,6522.8,6097.7,0.015933,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778655478.503515,7,1.702814,-0.087762,-0.008692,-0.0525,0.0248,0.000721,1.648320,0.000054,0.000035,-0.0002,1.703054,-0.087525,-0.008687,0.0146,0.0041,0.000149,0.050672,0.0000,1.703054,0.000000,-0.000000,1.3339,0.000000,0.527349,34.3508,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0163,0.0000,0.000000,0.0756,6.07,4.21,16.35,2.03,0.000054,0.0020,-1.3341,nan,nan,nan,nan,nan,nan,0.0,0.0,-6957.092868087466,-6432.943396569399,-0.066095,-0.064872,6521.4,6099.1,0.018391,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778655478.515550,8,1.656588,0.024517,0.009325,-0.0373,-0.0105,-0.000647,1.648307,0.000061,0.000039,-0.0001,1.656756,0.024688,0.009328,0.0119,0.0040,0.000138,0.054866,0.0000,1.656756,0.000000,-0.000000,1.4063,0.000000,0.518828,32.8260,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0176,0.0000,0.000000,0.0818,5.23,3.88,14.34,2.04,0.000061,0.0023,-1.4064,nan,nan,nan,nan,nan,nan,0.0,0.0,-5659.233503314976,-5281.925188572592,-0.048859,-0.048696,6520.0,6100.5,0.020812,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778655478.527619,9,1.615726,0.011618,-0.003669,0.0014,-0.0139,0.000542,1.648295,0.000068,0.000044,-0.0000,1.615852,0.011730,-0.003667,0.0100,0.0034,0.000120,0.059094,0.0000,1.615852,0.000000,0.000000,1.4621,0.000000,0.513283,32.6064,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0189,0.0000,0.000000,0.0880,4.51,3.55,12.58,1.65,0.000068,0.0025,-1.4621,0.008000,0.076602,-0.4362,-0.492570,0.016733,0.000115,0.0,0.0,-4254.539435277396,-3900.080760185537,-0.034373,-0.033549,6518.7,6101.9,0.023134,0.000000,0.000000,0.5000,1.0000,,,,,
0.2160,1778655478.539621,10,1.657348,-0.021938,0.010481,0.0059,0.0219,0.001907,1.648284,0.000075,0.000048,0.0000,1.657449,-0.021822,0.010485,0.0093,0.0044,0.000165,0.063462,0.0000,1.657449,0.000000,-0.000000,1.4053,0.000000,0.503298,32.0753,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0203,0.0000,0.000000,0.0940,3.91,3.26,11.08,1.60,0.000075,0.0028,-1.4052,0.008000,0.081915,0.6914,-0.495569,0.017489,0.000394,0.0,0.0,-4557.722833654267,-3965.5219941799683,-0.037350,-0.034251,6517.4,6103.2,0.025443,0.000000,0.000000,0.5000,1.0000,,,,,
0.2280,1778655478.551565,11,1.646333,0.004453,0.002352,-0.0963,0.1006,0.000074,1.648273,0.000082,0.000053,0.0001,1.646406,0.004655,0.002356,0.0076,0.0098,0.000318,0.067483,0.0000,1.646406,0.000000,0.000000,1.4210,0.000000,0.496107,32.2199,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0218,0.0000,0.000000,0.1000,3.39,3.01,9.79,1.59,0.000082,0.0030,-1.4210,0.008000,0.057686,-0.2123,-0.498241,0.033435,0.000485,0.0,0.0,-7092.839749016962,-6496.0693638912635,-0.068994,-0.066409,6516.2,6104.4,0.027565,0.000000,0.000000,0.5000,1.0000,,,,,
