time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,31.999950
0.102000,0.055424,0.000004,1.677833,-0.000079,-0.000753,0.000135,0.000319,0.000000,0.134537,0.000000,0,0,32.000516
0.204000,0.055295,0.000015,1.522611,0.000520,-0.000033,0.000654,0.000372,0.000000,0.218057,0.000000,0,0,32.000643
0.306000,0.055218,0.000046,1.263977,0.000581,0.000225,0.002567,0.000422,0.000000,0.326018,0.000000,0,0,32.000716
0.408000,0.055173,0.000115,0.902700,0.000385,0.000066,0.007946,0.000450,0.000000,0.426564,0.000000,0,0,32.000753
0.510000,0.058371,-0.000471,0.535944,0.043451,0.085934,-0.009626,0.005317,0.000000,0.520253,0.000000,0,0,31.997639
0.612000,0.062158,-0.000771,0.544228,-0.034058,-0.071057,-0.002884,-0.004890,0.000000,0.585725,0.000000,0,0,31.993908
0.714000,0.056253,-0.000554,0.648469,-0.010770,-0.033604,0.003368,-0.010021,0.000000,0.650793,0.000000,0,0,31.999754
0.816000,0.056743,-0.000165,0.659942,0.076553,0.076819,0.003789,-0.015234,0.000000,0.702565,0.000000,0,0,31.999224
0.918000,0.079295,-0.003100,0.628874,0.377024,0.382475,-0.037529,-0.011671,0.000000,0.748978,0.000000,0,0,31.977134
1.020000,0.134206,-0.004257,0.628568,0.710335,0.702079,0.018856,0.004669,0.000000,0.776768,0.000000,0,0,31.922687
1.122000,0.221453,-0.000942,0.656974,1.013554,1.001440,0.032858,0.014059,0.000000,0.791734,0.000000,0,0,31.835610
1.224000,0.337519,0.003879,0.689524,1.281233,1.278299,0.051065,0.010102,0.000000,0.785978,0.000000,0,0,31.719726
1.326000,0.481900,0.010561,0.716302,1.552052,1.552565,0.061744,0.007846,0.000000,0.758288,0.000000,0,0,31.575497
1.428000,0.653712,0.017835,0.732582,1.811384,1.813182,0.064764,0.013150,0.000000,0.718912,0.000000,0,0,31.403946
1.530000,0.852777,0.025142,0.738574,2.083350,2.083504,0.062957,0.019316,0.000000,0.662059,0.000000,0,0,31.205315
1.632000,1.078923,0.031696,0.737493,2.328841,2.334257,0.045418,0.021508,0.000000,0.602949,0.000000,0,0,30.979866
1.734000,1.329669,0.037535,0.733079,2.568390,2.574929,0.037707,0.021926,0.000000,0.522803,0.000000,0,0,30.730068
1.836000,1.605213,0.043691,0.729864,2.815964,2.818769,0.037721,0.020086,0.000000,0.466289,0.002690,0,0,30.455613
1.938000,1.903716,0.050872,0.733222,3.016210,3.018045,0.036630,0.012976,0.000000,0.419306,0.021289,0,0,30.158254
2.040000,2.219367,0.058834,0.740402,3.153159,3.160349,0.040251,0.017190,0.000000,0.386467,0.044283,0,0,29.843795
2.142000,2.547583,0.067933,0.742158,3.260685,3.264665,0.041459,0.013432,0.000000,0.356385,0.073938,0,0,29.516749
2.244000,2.883431,0.076359,0.737101,3.319169,3.315075,0.023453,0.007196,0.000000,0.333944,0.100983,0,0,29.182230
2.346000,3.223193,0.085031,0.721370,3.375301,3.328566,0.046604,-0.021344,0.000000,0.312131,0.129344,0,0,28.843828
2.448000,3.557681,0.092148,0.686836,3.180992,3.187149,-0.007558,0.054243,-0.045455,0.294995,0.150975,0,0,28.510881
2.550000,3.876787,0.095871,0.695171,3.031241,3.082765,-0.052861,-0.028888,-0.162955,0.277619,0.167775,0,0,28.193648
2.652000,4.185483,0.093020,0.720471,2.960365,2.975088,-0.084224,-0.060503,-0.217892,0.263501,0.175043,0,0,27.887591
2.754000,4.484275,0.085241,0.732009,2.900945,2.888918,-0.117600,-0.086512,-0.107897,0.248819,0.175919,0,0,27.592026
2.856000,4.774880,0.074301,0.726062,2.820178,2.805550,-0.107797,-0.055174,-0.100280,0.236661,0.171263,0,0,27.305048
2.958000,5.056384,0.062035,0.719385,2.712469,2.714090,-0.089530,-0.019026,-0.072982,0.223841,0.160946,0,0,27.027340
3.060000,5.328785,0.051932,0.717145,2.616769,2.627362,-0.057893,-0.016107,-0.051081,0.213119,0.148027,0,0,26.758462
3.162000,5.591468,0.045843,0.716960,2.524740,2.525880,-0.007824,-0.000581,-0.055405,0.201735,0.130033,0,0,26.498767
3.264000,5.843579,0.043263,0.718830,2.432831,2.428181,0.009907,-0.010759,-0.008931,0.192166,0.112095,0,0,26.249148
3.366000,6.087468,0.043433,0.720878,2.362632,2.360264,0.035153,0.018569,0.009583,0.181970,0.090484,0,0,26.007360
3.468000,6.325432,0.044409,0.721202,2.306501,2.306010,0.009729,-0.010584,-0.072040,0.173651,0.069578,0,0,25.771374
3.570000,6.558232,0.040945,0.719102,2.258100,2.261142,-0.022554,-0.019278,-0.045600,0.177448,0.044689,0,0,25.541136
3.672000,6.786812,0.035363,0.715903,2.226054,2.226608,-0.012558,-0.014128,0.035897,0.193220,0.030151,0,0,25.315409
3.774000,7.012211,0.032073,0.711585,2.200828,2.197565,0.016069,0.023853,-0.068865,0.240593,0.019366,0,0,25.092568
3.876000,7.235300,0.029232,0.708461,2.186496,2.181831,0.002448,-0.010907,0.069366,0.296632,0.013066,0,0,24.871996
3.978000,7.458492,0.028487,0.707254,2.200445,2.198701,0.027503,0.021889,-0.014183,0.360497,0.008392,0,0,24.651071
4.080000,7.685291,0.026596,0.708107,2.258142,2.254795,0.006577,-0.008041,0.048027,0.403721,0.005662,0,0,24.426774
4.182000,7.920028,0.025462,0.710168,2.359238,2.354893,0.012665,0.013447,-0.017056,0.437251,0.003637,0,0,24.194556
4.284000,8.167028,0.024472,0.712127,2.488453,2.485042,0.009459,0.003997,0.020519,0.453353,0.002453,0,0,23.950225
4.386000,8.428529,0.023655,0.713963,2.647755,2.644225,0.016892,-0.007901,0.034138,0.455864,0.001576,0,0,23.691571
4.488000,8.707323,0.023150,0.714173,2.819936,2.817166,0.035488,0.025041,0.028741,0.445480,0.001063,0,0,23.415824
4.590000,9.003524,0.025374,0.715221,2.978741,2.981749,0.037808,0.006485,-0.053853,0.411326,0.000683,0,0,23.122524
4.692000,9.315516,0.026786,0.718603,3.126802,3.129188,0.039838,-0.000992,-0.016489,0.391274,0.001592,0,0,22.813801
4.794000,9.641813,0.027496,0.720561,3.260454,3.259636,0.025526,-0.006685,-0.047996,0.371847,0.015457,0,0,22.491130
4.896000,9.979839,0.025497,0.720898,3.360195,3.359899,-0.005122,-0.026299,-0.018688,0.355073,0.032167,0,0,22.157380
4.998000,10.326323,0.020381,0.719412,3.428505,3.428807,-0.028040,-0.018564,0.017179,0.336874,0.053344,0,0,21.815885
5.100000,10.677787,0.014429,0.717668,3.453360,3.456566,-0.014120,0.018208,0.000193,0.321345,0.072127,0,0,21.469752
5.202000,11.030436,0.010004,0.717174,3.445656,3.449103,-0.002792,0.004102,0.036092,0.304628,0.091557,0,0,21.122363
5.304000,11.380579,0.006751,0.719369,3.414923,3.414713,-0.001802,0.002021,0.002035,0.290442,0.106136,0,0,20.777417
5.406000,11.726813,0.003384,0.720837,3.372284,3.369794,-0.002053,0.015348,0.012887,0.275227,0.118449,0,0,20.436505
5.508000,12.067460,0.000540,0.720896,3.309031,3.310165,-0.000011,0.020836,-0.010825,0.262348,0.125266,0,0,20.101175
5.610000,12.401923,-0.000686,0.718693,3.244292,3.247591,0.023098,0.010971,0.039703,0.248558,0.128390,0,0,19.771822
5.712000,12.728806,0.000780,0.716030,3.161065,3.163538,0.027832,0.000962,0.052816,0.236900,0.127240,0,0,19.449623
5.814000,13.046912,0.003669,0.714472,3.077395,3.078092,0.028749,0.010698,0.000255,0.224429,0.121860,0,0,19.135952
5.916000,13.356063,0.006154,0.714223,2.988149,2.988329,0.034101,0.025087,0.046964,0.213890,0.113341,0,0,18.831298
6.018000,13.656792,0.009630,0.714256,2.909155,2.909208,0.035878,0.024936,0.137655,0.202621,0.100195,0,0,18.534880
6.120000,13.949539,0.015776,0.714304,2.834898,2.830985,0.073518,0.061672,0.100221,0.193102,0.085953,0,0,18.245943
6.222000,14.235154,0.025397,0.714527,2.776269,2.775487,0.051089,0.030360,0.092928,0.182925,0.067587,0,0,17.963478
6.324000,14.514746,0.034408,0.714443,2.712640,2.712132,0.057152,0.034053,0.156266,0.182020,0.045599,0,0,17.687138
6.426000,14.789310,0.045664,0.714892,2.667665,2.674021,0.080509,0.048195,0.162893,0.193967,0.029288,0,0,17.415404
6.528000,15.059574,0.062368,0.716859,2.631762,2.635415,0.133862,0.070096,0.260842,0.223397,0.019760,0,0,17.146930
6.630000,15.326189,0.084543,0.718686,2.611822,2.607957,0.145160,0.082572,0.267224,0.278912,0.012692,0,0,16.881040
6.732000,15.591845,0.109753,0.718718,2.630423,2.623254,0.132433,0.066215,0.243884,0.334142,0.008563,0,0,16.615547
6.834000,15.859891,0.136157,0.716640,2.657770,2.654614,0.121348,0.091397,0.197698,0.393385,0.005500,0,0,16.347515
6.936000,16.133088,0.164243,0.717274,2.727322,2.729312,0.127836,0.103543,0.250283,0.432237,0.003711,0,0,16.074139
7.038000,16.415464,0.196262,0.719813,2.842251,2.838611,0.134165,0.104625,0.246657,0.458261,0.002383,0,0,15.791024
7.140000,16.708681,0.234520,0.720223,2.947664,2.946793,0.180854,0.092096,0.260060,0.464631,0.001608,0,0,15.496072
7.242000,17.013785,0.280314,0.722026,3.085644,3.084226,0.192060,0.113584,0.239699,0.453219,0.001033,0,0,15.187985
7.344000,17.331088,0.330475,0.724536,3.203990,3.206304,0.178927,0.128963,0.255847,0.419639,0.000697,0,0,14.867084
7.446000,17.660811,0.385681,0.727770,3.335986,3.337338,0.175578,0.115561,0.272657,0.394145,0.004685,0,0,14.533011
7.548000,18.001698,0.446279,0.729414,3.429785,3.432299,0.172134,0.129669,0.232852,0.374601,0.021033,0,0,14.186921
7.650000,18.349400,0.511340,0.730960,3.487828,3.490464,0.161622,0.099086,0.247656,0.354098,0.046637,0,0,13.833255
7.752000,18.700406,0.580402,0.730164,3.506961,3.509666,0.167556,0.112795,0.284114,0.337013,0.073310,0,0,13.475541
7.854000,19.050012,0.655988,0.729373,3.489838,3.490033,0.188207,0.139139,0.302730,0.318918,0.104669,0,0,13.117867
7.956000,19.394371,0.737024,0.728216,3.428793,3.431497,0.197293,0.147062,0.224296,0.303737,0.131688,0,0,12.764223
8.058000,19.730731,0.820853,0.727892,3.352759,3.355767,0.167257,0.091160,0.236120,0.287582,0.158935,0,0,12.417853
8.160000,20.057123,0.905304,0.728632,3.243953,3.246513,0.170290,0.109258,0.212373,0.273981,0.179165,0,0,12.081134
8.262000,20.371446,0.990074,0.728801,3.125782,3.125474,0.164969,0.100039,0.206412,0.259475,0.196311,0,0,11.756199
8.364000,20.672436,1.073562,0.727740,2.991793,2.991089,0.152650,0.115349,0.167976,0.247243,0.206275,0,0,11.444615
8.466000,20.958843,1.154256,0.726497,2.842583,2.843647,0.101653,0.074386,0.136062,0.234181,0.211529,0,0,11.147916
8.568000,21.230020,1.230576,0.725685,2.683107,2.684376,0.102241,0.075158,0.178379,0.223158,0.210939,0,0,10.867046
8.670000,21.484773,1.304550,0.725061,2.517884,2.518084,0.090768,0.068978,0.121655,0.211381,0.204819,0,0,10.602781
8.772000,21.723794,1.374817,0.723950,2.362930,2.363243,0.080788,0.051700,0.165373,0.201439,0.195194,0,0,10.354709
8.874000,21.947452,1.442338,0.722196,2.220595,2.218792,0.072598,0.042547,0.070183,0.190814,0.180347,0,0,10.122286
8.976000,22.157059,1.505116,0.720915,2.081013,2.081991,0.064458,0.050015,-0.018536,0.181842,0.164344,0,0,9.904601
9.078000,22.354572,1.561545,0.719319,1.947960,1.947409,0.017045,0.000081,0.056901,0.172252,0.144277,0,0,9.700022
9.180000,22.540160,1.613479,0.718706,1.836580,1.834894,0.025437,0.036254,0.005344,0.164155,0.124958,0,0,9.508021
9.282000,22.715311,1.661827,0.717297,1.738945,1.734856,-0.017817,-0.009779,0.041770,0.155499,0.103018,0,0,9.326963
9.384000,22.880903,1.708063,0.715235,1.636895,1.638208,-0.000537,0.010764,-0.036450,0.148189,0.083727,0,0,9.155709
9.486000,23.038179,1.750321,0.715131,1.557101,1.559436,-0.018460,-0.007608,-0.049193,0.143547,0.058994,0,0,8.993374
9.588000,23.188281,1.789884,0.714638,1.488749,1.487642,-0.005966,-0.005854,-0.004279,0.155760,0.039802,0,0,8.838597
9.690000,23.331752,1.828903,0.714268,1.435435,1.433702,0.011034,0.025834,-0.031899,0.184280,0.025565,0,0,8.690453
9.792000,23.470117,1.867685,0.713133,1.386985,1.385451,-0.012750,-0.028641,-0.112243,0.218562,0.017248,0,0,8.547391
9.894000,23.605940,1.901617,0.712084,1.369213,1.366953,-0.031429,-0.017639,-0.078646,0.274842,0.011078,0,0,8.407705
9.996000,23.741550,1.936055,0.710664,1.380832,1.380825,-0.028798,-0.001727,-0.076939,0.322050,0.007474,0,0,8.268148
