sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0960,1778670150.300787,0,1.681400,0.055750,0.007292,0.0016,0.0086,0.001110,1.648434,0.000012,0.000007,-0.0008,1.681475,0.055829,0.007298,0.0017,0.0000,0.000001,0.001031,0.0000,1.681475,0.000000,-0.000000,5.0000,0.000000,2.000000,1857.0971,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0721,0.0000,0.000000,0.2000,17.94,9.27,45.16,5.12,0.000012,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,1862.5709869453046,3786.60761652022,-0.020668,-0.013337,6531.7,6088.9,0.000182,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778670150.306864,1,1.605579,0.049830,0.007364,0.0420,0.0509,0.000060,1.648415,0.000018,0.000011,-0.0007,1.605995,0.049978,0.007371,0.0120,0.0001,0.000005,0.104152,0.0000,1.605995,0.000000,0.000000,5.0000,0.000000,2.000000,1907.2560,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0783,0.0000,0.000000,0.2240,15.31,8.58,39.20,4.67,0.000018,0.0006,-5.0007,nan,nan,nan,nan,nan,nan,0.0,0.0,2344.5194865848844,4134.469735098341,-0.036396,-0.030413,6525.8,6094.8,0.004303,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778670150.318919,2,1.604352,0.003558,0.000118,-0.0222,-0.0736,-0.000103,1.648397,0.000024,0.000015,-0.0006,1.604660,0.003557,0.000121,0.0105,-0.0000,-0.000000,0.117525,0.0000,1.604660,0.000000,0.000000,5.0000,0.000000,2.000000,1905.6189,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0853,0.0000,0.000000,0.2480,13.09,8.22,34.40,6.20,0.000024,0.0009,-5.0006,nan,nan,nan,nan,nan,nan,0.0,0.0,1483.831584667551,3494.4055750928983,-0.000817,0.003882,6519.8,6100.8,0.008479,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778670150.330856,3,1.546649,0.090652,-0.000846,0.0230,-0.0009,0.002532,1.648380,0.000029,0.000019,-0.0005,1.547015,0.090653,-0.000842,0.0137,-0.0000,0.000000,0.131527,0.0000,1.547015,0.000000,0.000000,5.0000,0.000000,2.000000,1910.5652,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0930,0.0000,0.000000,0.2720,11.19,7.48,29.87,3.29,0.000029,0.0011,-5.0005,nan,nan,nan,nan,nan,nan,0.0,0.0,1573.4754917481177,3488.6265857684753,-0.001890,0.005136,6514.2,6106.4,0.012415,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778670150.342890,4,1.654327,-0.043444,-0.000787,0.0045,-0.0065,-0.001132,1.648364,0.000036,0.000023,-0.0004,1.654618,-0.043454,-0.000785,0.0126,-0.0001,-0.000001,0.146275,0.0000,1.654618,0.000000,0.000000,5.0000,0.000000,2.000000,1910.5758,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1013,0.0000,0.000000,0.2960,9.59,6.75,25.92,2.60,0.000036,0.0013,-5.0004,nan,nan,nan,nan,nan,nan,0.0,0.0,1543.475940594933,3489.7952010987947,0.001709,0.005928,6508.4,6112.1,0.016414,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778670150.354870,5,1.650445,0.051694,0.004088,0.0236,0.0043,-0.000433,1.648349,0.000042,0.000027,-0.0003,1.650762,0.051693,0.004090,0.0153,-0.0000,0.000000,0.160525,0.0000,1.650762,0.000000,0.000000,5.0000,0.000000,2.000000,1915.2555,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1103,0.0000,0.000000,0.3200,8.21,6.15,22.57,2.72,0.000042,0.0015,-5.0003,nan,nan,nan,nan,nan,nan,0.0,0.0,1649.4727125115646,3564.470307376477,-0.000031,0.002819,6503.1,6117.5,0.020158,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778670150.366883,6,1.637103,-0.045191,0.000829,0.0591,0.1067,-0.000333,1.648334,0.000049,0.000031,-0.0002,1.637563,-0.045035,0.000833,0.0244,0.0016,0.000065,0.176277,0.0000,1.637563,0.000000,0.000000,5.0000,0.000000,2.000000,1920.8643,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1198,0.0000,0.000000,0.3440,7.05,5.69,19.79,3.08,0.000049,0.0018,-5.0002,nan,nan,nan,nan,nan,nan,0.0,0.0,2920.364553870695,4381.978126570857,-0.041089,-0.039219,6497.6,6123.0,0.023972,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778670150.378847,7,1.608144,-0.045880,-0.002931,0.0862,0.0354,-0.000475,1.648320,0.000056,0.000035,-0.0002,1.608773,-0.045710,-0.002928,0.0369,0.0025,0.000097,0.192318,0.0000,1.608773,0.000000,0.000000,5.0000,0.000000,2.000000,1929.1271,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1300,0.0000,0.000000,0.3680,6.06,5.26,17.38,2.88,0.000056,0.0020,-5.0002,nan,nan,nan,nan,nan,nan,0.0,0.0,3146.526882799467,4494.7122983508325,-0.046517,-0.045615,6492.3,6128.3,0.027668,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778670150.390943,8,1.636600,0.034296,0.003252,0.0364,0.0219,-0.000101,1.648307,0.000064,0.000039,-0.0001,1.637162,0.034461,0.003255,0.0373,0.0033,0.000116,0.208305,0.0000,1.637162,0.000000,0.000000,5.0000,0.000000,2.000000,1938.4819,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1407,0.0000,0.000000,0.3920,5.23,5.01,15.48,3.59,0.000064,0.0023,-5.0001,nan,nan,nan,nan,nan,nan,0.0,0.0,3212.2856432407757,4501.718912056836,-0.045917,-0.045318,6487.2,6133.4,0.031223,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778670150.402910,9,1.715195,-0.014610,-0.000106,0.0795,0.0168,0.001935,1.648295,0.000071,0.000044,-0.0000,1.715821,-0.014459,-0.000102,0.0460,0.0038,0.000146,0.224535,0.0000,1.715821,0.000000,-0.000000,5.0000,0.000000,2.000000,1949.6460,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1519,0.0000,0.000000,0.4160,4.52,4.77,13.82,3.38,0.000071,0.0025,-5.0000,0.008000,0.072653,-0.4050,-0.457033,0.021664,0.003797,0.0,0.0,3256.7059155835377,4456.441922768528,-0.044725,-0.041774,6482.2,6138.3,0.034678,0.000000,0.000000,0.5000,1.0000,,,,,
