time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,22.542451
0.102000,0.055424,0.000004,1.677833,-0.000090,-0.000760,0.000122,0.000348,0.000000,0.140496,0.000000,0,0,22.543016
0.204000,0.055295,0.000016,1.522611,0.000523,-0.000031,0.000698,0.000375,0.000000,0.243074,0.000000,0,0,22.543143
0.306000,0.055218,0.000051,1.263977,0.000581,0.000218,0.002919,0.000421,0.000000,0.385395,0.000000,0,0,22.543215
0.408000,0.055172,0.000136,0.902700,0.000370,0.000000,0.009513,0.000446,0.000000,0.526120,0.000000,0,0,22.543250
0.510000,0.058692,-0.000636,0.536160,0.052910,0.093142,-0.014343,0.010185,0.000000,0.673950,0.000000,0,0,22.539853
0.612000,0.062932,-0.001249,0.544134,-0.023059,-0.060498,-0.002785,-0.004964,0.000000,0.779968,0.000000,0,0,22.535722
0.714000,0.060060,-0.000250,0.648726,0.032279,0.007460,0.017149,-0.021556,0.000000,0.858675,0.000000,0,0,22.538448
0.816000,0.065088,0.000437,0.662306,0.124318,0.123497,-0.030328,-0.000040,0.000000,0.904652,0.000000,0,0,22.533373
0.918000,0.093837,-0.002938,0.636982,0.437563,0.449304,0.000270,0.004736,0.000000,0.938758,0.000000,0,0,22.505267
1.020000,0.159448,-0.002396,0.635724,0.822247,0.817361,0.019682,-0.012101,0.000000,0.958682,0.000000,0,0,22.440099
1.122000,0.259721,0.001473,0.664784,1.149151,1.138371,0.041101,0.024560,0.000000,0.973462,0.000000,0,0,22.340128
1.224000,0.389403,0.007762,0.698783,1.412861,1.408903,0.062379,0.012553,0.000000,0.982095,0.000000,0,0,22.210680
1.326000,0.546810,0.015262,0.724487,1.676570,1.678268,0.065736,0.011714,0.000000,0.988500,0.000000,0,0,22.053580
1.428000,0.731297,0.023209,0.738033,1.937520,1.938236,0.068417,0.016256,0.000000,0.992241,0.000000,0,0,21.869567
1.530000,0.942708,0.030800,0.740803,2.194298,2.197136,0.057643,0.021655,0.000000,0.994765,0.000000,0,0,21.658904
1.632000,1.179642,0.037359,0.736290,2.435386,2.441849,0.042216,0.024838,0.000000,0.996638,0.000000,0,0,21.423078
1.734000,1.441891,0.043705,0.730480,2.689937,2.693510,0.036314,0.022394,0.000000,0.997840,0.000000,0,0,21.162202
1.836000,1.729550,0.050678,0.730487,2.934035,2.933516,0.035656,0.017283,0.000000,0.998543,0.000000,0,0,20.876086
1.938000,2.039582,0.059092,0.737649,3.130054,3.137621,0.045053,0.018731,0.000000,0.999064,0.000000,0,0,20.567645
2.040000,2.370010,0.069553,0.742598,3.328276,3.333511,0.054491,0.015562,0.000000,0.999369,0.000000,0,0,20.238764
2.142000,2.718923,0.081084,0.741819,3.506695,3.502035,0.047154,0.023202,0.000000,0.999594,0.000000,0,0,19.891476
2.244000,3.084876,0.092545,0.734437,3.698911,3.675740,0.046506,-0.001424,0.000000,0.999163,0.000000,0,0,19.527376
2.346000,3.465071,0.103723,0.699621,3.781403,3.732909,0.007284,0.027910,-0.045455,0.975075,0.000000,0,0,19.149282
2.448000,3.845867,0.111067,0.688108,3.700763,3.750900,-0.027359,-0.008127,-0.126033,0.953924,0.000000,0,0,18.771217
2.550000,4.232948,0.112463,0.712900,3.830081,3.846102,-0.090745,-0.034770,-0.124762,0.946674,0.000000,0,0,18.387891
2.652000,4.630792,0.108578,0.735874,3.970731,3.954995,-0.108208,-0.048184,-0.053339,0.938717,0.000000,0,0,17.994839
2.754000,5.039625,0.104289,0.736054,4.057580,4.051017,-0.075828,-0.054542,-0.063376,0.918417,0.000000,0,0,17.591176
2.856000,5.457168,0.101171,0.725027,4.123260,4.129263,-0.047067,-0.034935,-0.048408,0.891135,0.000000,0,0,17.178946
2.958000,5.881193,0.100049,0.717544,4.169597,4.174905,-0.018527,-0.036247,-0.069440,0.860890,0.000000,0,0,16.760236
3.060000,6.308117,0.098402,0.717130,4.189635,4.195803,-0.021581,-0.037230,-0.042208,0.842103,0.000000,0,0,16.338994
3.162000,6.736869,0.095702,0.721559,4.210183,4.209552,-0.011231,-0.009482,-0.026864,0.837664,0.000000,0,0,15.916391
3.264000,7.167849,0.092422,0.724765,4.246257,4.239945,-0.016158,-0.010953,-0.003134,0.839224,0.000000,0,0,15.491989
3.366000,7.601553,0.087921,0.724412,4.262399,4.259979,-0.022913,-0.008229,-0.032820,0.847169,0.000000,0,0,15.065445
3.468000,8.035976,0.082361,0.726277,4.252159,4.258263,-0.033115,-0.011319,-0.013553,0.863503,0.000000,0,0,14.638754
3.570000,8.471245,0.076817,0.729111,4.278682,4.276713,-0.026788,-0.016532,0.020915,0.893954,0.000000,0,0,14.211639
3.672000,8.908612,0.071775,0.728562,4.307327,4.299211,-0.014706,-0.006300,-0.000729,0.922578,0.000000,0,0,13.782817
3.774000,9.348416,0.067822,0.725208,4.324035,4.321323,-0.002292,-0.000780,0.003809,0.946913,0.000000,0,0,13.351876
3.876000,9.790575,0.064523,0.721833,4.341354,4.343422,0.009825,0.004422,-0.000216,0.964060,0.000000,0,0,12.919015
3.978000,10.234332,0.062306,0.721315,4.345461,4.354089,0.016808,-0.005155,0.035741,0.976916,0.000000,0,0,12.484928
4.080000,10.679229,0.060978,0.722198,4.356620,4.363308,0.010417,0.011915,-0.009888,0.984426,0.000000,0,0,12.050142
4.182000,11.124617,0.058608,0.725143,4.367756,4.370123,0.004709,-0.002813,0.014876,0.989997,0.000000,0,0,11.615758
4.284000,11.571078,0.055575,0.727206,4.384721,4.382851,-0.009925,0.014426,-0.027247,0.993251,0.000000,0,0,11.181213
4.386000,12.018705,0.051491,0.727304,4.393068,4.392703,-0.008108,0.006406,-0.006935,0.995665,0.000000,0,0,10.746606
4.488000,12.466825,0.047935,0.726272,4.393063,4.393801,-0.000385,0.009528,0.011660,0.997075,0.000000,0,0,10.312323
4.590000,12.915153,0.045370,0.725494,4.396957,4.397115,0.002804,-0.003455,0.016704,0.998122,0.000000,0,0,9.878617
4.692000,13.363800,0.043822,0.725220,4.399966,4.398823,0.016487,0.014238,-0.014077,0.998733,0.000000,0,0,9.445462
4.794000,13.812733,0.043070,0.724723,4.405769,4.402060,0.027312,0.012587,0.079824,0.999186,0.000000,0,0,9.013052
4.896000,14.261966,0.046509,0.723077,4.405761,4.403102,0.071472,0.061566,0.158214,0.999451,0.000000,0,0,8.580542
4.998000,14.710888,0.057333,0.721841,4.398137,4.397740,0.117911,0.106020,0.226482,0.999647,0.000000,0,0,8.147605
5.100000,15.158807,0.076931,0.722444,4.382746,4.388571,0.151481,0.133424,0.293344,0.999762,0.000000,0,0,7.714401
5.202000,15.605109,0.105885,0.726038,4.373511,4.375956,0.184791,0.178882,0.335768,0.999847,0.000000,0,0,7.281200
5.304000,16.049962,0.145179,0.727846,4.370292,4.368426,0.214776,0.198078,0.319736,0.999897,0.000000,0,0,6.847372
5.406000,16.493069,0.196831,0.727649,4.358606,4.358378,0.256155,0.177036,0.353638,0.999934,0.000000,0,0,6.412329
5.508000,16.932982,0.261819,0.728669,4.340415,4.344714,0.308320,0.196970,0.354171,0.999955,0.000000,0,0,5.976841
5.610000,17.370105,0.336847,0.729522,4.329883,4.331968,0.291759,0.213289,0.335847,0.999971,0.000000,0,0,5.541420
5.712000,17.804332,0.419550,0.732260,4.319515,4.319108,0.277714,0.208292,0.325319,0.999981,0.000000,0,0,5.106853
5.814000,18.235885,0.508689,0.733976,4.305293,4.306734,0.252605,0.184570,0.297023,0.999988,0.000000,0,0,4.673291
5.916000,18.665287,0.603789,0.735469,4.297888,4.300190,0.236449,0.182013,0.257420,0.999992,0.000000,0,0,4.240370
6.018000,19.093122,0.704300,0.735613,4.297511,4.298675,0.208621,0.161716,0.223362,0.999995,0.000000,0,0,3.807736
6.120000,19.519110,0.809594,0.735280,4.291380,4.292004,0.187788,0.142976,0.214459,0.999996,0.000000,0,0,3.375902
6.222000,19.943420,0.918655,0.735172,4.284485,4.285804,0.173869,0.136824,0.188773,0.999998,0.000000,0,0,2.945189
6.324000,20.366054,1.031502,0.734918,4.285274,4.284182,0.151624,0.117162,0.161037,0.999998,0.000000,0,0,2.515707
6.426000,20.787682,1.147017,0.734876,4.285967,4.283369,0.122586,0.088292,0.113883,0.999999,0.000000,0,0,2.087560
6.528000,21.208887,1.264110,0.734151,4.289542,4.287744,0.102006,0.054415,0.120200,0.999999,0.000000,0,0,1.661139
6.630000,21.629962,1.382760,0.732925,4.289489,4.288480,0.095198,0.056510,0.066661,1.000000,0.000000,0,0,1.236888
6.732000,22.051124,1.502079,0.732122,4.293024,4.292818,0.072068,0.062854,0.027183,1.000000,0.000000,0,15,0.816217
6.834000,22.470864,1.619782,0.731050,3.938228,3.936650,-0.069993,0.074883,0.032802,1.000000,0.000000,0,49,0.403709
6.936000,22.614203,1.586306,0.800323,0.483839,0.316137,-0.787622,0.750901,-0.077931,1.000000,0.000000,0,83,0.310354
7.038000,22.658211,1.529795,0.902506,0.288958,0.293829,-0.360797,0.395362,-0.282477,1.000000,0.000000,0,117,0.312664
7.140000,22.693308,1.497842,0.954230,0.136467,0.195140,-0.331218,0.239147,-0.395941,1.000000,0.000000,0,151,0.307318
7.242000,22.724345,1.475730,0.923243,0.083576,0.166317,-0.409014,0.151199,-0.483060,1.000000,0.000000,0,185,0.299217
7.344000,22.757233,1.470776,0.832309,0.267153,0.315758,-0.329434,0.099621,-0.568736,1.000000,0.000000,0,219,0.278560
7.446000,22.787290,1.488221,0.759374,0.313578,0.242725,0.099606,0.155021,-0.623719,1.000000,0.000000,0,253,0.244745
7.548000,22.770929,1.525734,0.742631,-0.067372,-0.080351,0.567726,0.260350,-0.710748,1.000000,0.000000,0,287,0.231075
7.650000,22.739746,1.575732,0.741284,0.018644,0.065164,0.554447,0.295340,-0.877911,1.000000,0.000000,0,321,0.220949
7.752000,22.735343,1.637523,0.706780,0.459170,0.501684,0.453450,0.173034,-1.000000,1.000000,0.000000,0,355,0.184198
7.854000,22.784959,1.707195,0.685106,0.988582,0.984935,0.188039,0.001908,-1.000000,1.000000,0.000000,0,389,0.101585
7.956000,22.877151,1.771755,0.700298,1.192430,1.194629,-0.047617,-0.098516,-1.000000,1.000000,0.000000,4,419,-0.010641
8.058000,22.992740,1.828732,0.719557,1.279382,1.290448,-0.179374,-0.146903,-1.000000,1.000000,0.000000,38,419,-0.135859
8.160000,23.127917,1.881925,0.730118,1.539049,1.537859,-0.266784,-0.187773,-1.000000,1.000000,0.000000,72,419,-0.272673
8.262000,23.292834,1.939421,0.731901,1.816640,1.813442,-0.340253,-0.223783,-1.000000,1.000000,0.000000,106,419,-0.432381
8.364000,23.484954,2.000238,0.731346,2.066735,2.065862,-0.388525,-0.249973,-1.000000,1.000000,0.000000,140,419,-0.609364
8.466000,23.704416,2.063979,0.731285,2.323517,2.327133,-0.427566,-0.290163,-1.000000,1.000000,0.000000,174,419,-0.797550
8.568000,23.950665,2.128625,0.731681,2.569682,2.572396,-0.465011,-0.325074,-1.000000,1.000000,0.000000,208,419,-0.982988
8.670000,24.222673,2.191589,0.732257,2.809873,2.810293,-0.489910,-0.349292,-1.000000,1.000000,0.000000,242,419,-1.138102
8.772000,24.520358,2.251134,0.728982,3.043912,3.043876,-0.515628,-0.363773,-1.000000,1.000000,0.000000,276,419,-1.216463
8.874000,24.841978,2.304410,0.726324,3.244134,3.249897,-0.538542,-0.389712,-0.977273,1.000000,0.000000,310,419,-1.167543
8.976000,25.184308,2.348246,0.726448,3.413564,3.421736,-0.551831,-0.399935,-0.795455,1.000000,0.000000,344,419,-0.988247
9.078000,25.545128,2.382975,0.727051,3.588401,3.589740,-0.539308,-0.367054,-0.590909,1.000000,0.000000,378,419,-0.718561
9.180000,25.732364,2.370193,0.754424,0.242327,0.443893,-0.516994,0.965991,-0.409091,1.000000,0.000000,412,419,-0.548704
9.282000,25.797635,2.314788,0.796128,0.314627,0.331779,-0.844609,0.689130,-0.504978,1.000000,0.000000,446,419,-0.465118
9.384000,25.866805,2.240836,0.797551,0.460546,0.360000,-0.968807,0.572519,-0.686796,1.000000,0.000000,480,419,-0.368908
9.486000,25.950632,2.170477,0.731361,0.750745,0.627181,-0.975592,0.451011,-0.891342,1.000000,0.000000,514,419,-0.261255
9.588000,26.085622,2.139068,0.684326,1.311337,1.321246,-0.794051,0.090751,-1.000000,1.000000,0.000000,548,419,-0.128192
9.690000,26.251238,2.153595,0.700114,1.583469,1.619795,-0.604129,-0.195834,-1.000000,1.000000,0.000000,579,422,0.012130
9.792000,26.437555,2.187532,0.725580,1.906824,1.910598,-0.539875,-0.292094,-0.977273,1.000000,0.000000,579,456,0.167341
9.894000,26.647658,2.233592,0.741492,2.168299,2.163864,-0.500245,-0.342526,-0.906273,1.000000,0.000000,579,490,0.345645
9.996000,26.880530,2.286349,0.745055,2.413534,2.407910,-0.468303,-0.363468,-0.858166,1.000000,0.000000,579,524,0.549356
