sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778670796.289984,0,1.633712,0.024564,0.001902,-0.0727,-0.0448,-0.000680,1.648994,-0.000000,-0.000000,-0.0020,1.633601,0.024188,0.001892,-0.0051,-0.0002,-0.000008,-0.114593,0.0000,1.633601,0.000000,0.000000,5.0000,0.000000,2.000000,1823.8876,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0725,0.0000,0.000000,0.2000,17.08,9.07,43.24,3.81,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,8040.668378628228,7267.534753037504,0.091597,0.087141,6561.0,6059.6,-0.050597,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778670796.294569,1,1.704781,0.064471,-0.004689,0.0257,-0.0884,-0.000102,1.648913,-0.000001,-0.000000,-0.0094,1.704916,0.064026,-0.004701,0.0025,-0.0004,-0.000018,-0.023636,0.0000,1.704916,0.000000,-0.000000,5.0000,0.000000,1.577913,878.3588,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0787,0.0000,0.000000,0.2189,15.02,8.27,38.31,3.74,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,8599.302830291703,7858.892929391593,0.107930,0.104220,6557.8,6062.8,-0.044977,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778670796.301568,2,1.555381,0.034706,-0.000051,-0.0481,0.0692,0.000032,1.648775,-0.000002,-0.000001,-0.0125,1.555478,0.034460,-0.000057,0.0020,-0.0004,-0.000019,-0.032143,0.0000,1.555478,0.000000,0.000000,5.0000,0.000000,1.385599,873.9838,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0854,0.0000,0.000000,0.2356,12.81,7.37,32.99,2.24,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,6516.1156795313145,5832.991456587139,0.060489,0.057514,6554.2,6066.4,-0.038707,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778670796.313449,3,1.694939,0.141363,0.006071,-0.0118,0.0991,-0.000745,1.648627,-0.000004,-0.000003,-0.0120,1.695009,0.141323,0.006069,0.0018,-0.0001,-0.000006,-0.029377,0.0000,1.695009,0.000000,-0.000000,5.0000,0.000000,1.299402,877.8334,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0926,0.0000,0.000000,0.2512,10.94,6.68,28.57,2.82,-0.000004,-0.0002,-5.0120,nan,nan,nan,nan,nan,nan,0.0,0.0,1447.6502961812685,933.8607250863693,0.010945,0.007586,6549.7,6070.9,-0.030870,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778670796.325438,4,1.604968,-0.045126,-0.000285,-0.0963,0.0185,-0.000047,1.648492,-0.000007,-0.000005,-0.0107,1.605021,-0.045130,-0.000286,0.0017,-0.0000,-0.000002,-0.019032,0.0000,1.605021,0.000000,0.000000,5.0000,0.000000,1.242494,872.1587,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1002,0.0000,0.000000,0.2661,9.36,6.07,24.79,2.61,-0.000007,-0.0003,-5.0107,nan,nan,nan,nan,nan,nan,0.0,0.0,225.13718184099108,-135.30379732432613,0.001681,-0.001088,6545.1,6075.4,-0.022978,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778670796.337362,5,1.649170,-0.031378,-0.010094,-0.0849,-0.0847,0.000194,1.648464,-0.000004,-0.000003,0.0007,1.649215,-0.031509,-0.010098,0.0022,-0.0011,-0.000043,0.016139,0.0000,1.649215,0.000000,0.000000,5.0000,0.000000,1.183237,869.7780,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1083,0.0000,0.000000,0.2803,8.01,5.50,21.52,2.27,-0.000004,-0.0002,-4.9993,nan,nan,nan,nan,nan,nan,0.0,0.0,4251.513972514312,3757.8535498577608,0.033991,0.032009,6534.8,6085.7,-0.004995,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778670796.349569,6,1.632293,-0.129591,-0.004769,0.0037,-0.0269,0.000187,1.648468,0.000001,-0.000001,0.0002,1.632341,-0.129732,-0.004773,0.0027,-0.0017,-0.000067,0.026175,0.0000,1.632341,0.000000,0.000000,5.0000,0.000000,1.151021,873.1160,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1168,0.0000,0.000000,0.2941,6.88,5.22,18.99,3.62,0.000001,-0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,4640.341243428328,4195.166132543627,0.037697,0.036337,6531.1,6089.5,0.001490,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778670796.361461,7,1.649181,-0.019386,-0.003532,-0.0195,-0.0225,0.000802,1.648453,0.000007,0.000003,-0.0009,1.649217,-0.019527,-0.003535,0.0024,-0.0023,-0.000082,0.034188,0.0000,1.649217,0.000000,0.000000,5.0000,0.000000,1.123388,868.3338,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1257,0.0000,0.000000,0.3076,5.91,4.78,16.60,2.28,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,4731.230725334636,4408.379206006842,0.038630,0.038557,6528.3,6092.3,0.006435,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778670796.373488,8,1.667357,-0.025738,0.006516,-0.0729,0.1493,0.000888,1.648434,0.000014,0.000007,-0.0008,1.667384,-0.025644,0.006518,0.0021,0.0021,0.000077,0.044021,0.0000,1.667384,0.000000,-0.000000,5.0000,0.000000,1.101412,867.7640,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1349,0.0000,0.000000,0.3208,5.08,4.39,14.56,2.16,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-3473.0520319977036,-3127.1224351191095,-0.027148,-0.026073,6525.1,6095.5,0.012023,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778670796.387147,9,1.647514,0.063577,0.000048,0.0746,-0.0449,0.002158,1.648415,0.000021,0.000011,-0.0007,1.647725,0.063594,0.000051,0.0163,0.0004,0.000037,0.054694,0.0000,1.647725,0.000000,0.000000,5.0000,0.000000,1.082241,867.9989,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1444,0.0000,0.000000,0.3338,4.39,4.32,13.10,3.94,0.000021,0.0006,-5.0007,0.008000,0.053351,-0.0990,-0.484297,0.002048,0.001711,0.0,0.0,-780.4649422051406,-277.6656074413395,-0.005845,-0.002219,6521.8,6098.8,0.017744,0.000000,0.000000,0.5000,1.0000,,,,,
