sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0480,1778670809.771754,0,1.720928,0.000411,-0.001529,-0.1005,0.0369,-0.001570,1.648492,-0.000007,-0.000005,-0.0106,1.720956,0.000707,-0.001529,0.0012,0.0001,0.000006,0.026013,0.0000,1.720956,0.000000,-0.000000,1.5676,0.000000,0.320510,38.8631,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0100,0.0000,0.000000,0.0321,17.62,9.09,44.33,3.91,-0.000007,-0.0003,-1.5782,nan,nan,nan,nan,nan,nan,0.0,0.0,-7156.96537081291,-7213.538529151481,-0.068789,-0.079101,6525.4,6095.2,0.004593,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778670809.780192,1,1.549382,0.042088,0.001010,-0.0756,-0.0845,-0.000866,1.648463,-0.000004,-0.000003,0.0001,1.549414,0.042190,0.001006,0.0017,0.0001,0.000004,0.050681,0.0000,1.549414,0.000000,0.000000,1.7719,0.000000,0.461593,36.0180,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0109,0.0000,0.000000,0.0376,15.05,8.03,38.12,2.03,-0.000004,-0.0002,-1.7718,nan,nan,nan,nan,nan,nan,0.0,0.0,-2901.628553099459,-3741.587590181145,-0.022324,-0.031785,6522.3,6098.3,0.006731,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778670809.792150,2,1.678324,-0.041528,0.001357,0.0746,0.0413,0.000437,1.648468,0.000001,-0.000000,0.0003,1.678838,-0.041381,0.001356,0.0161,0.0003,0.000012,0.057412,0.0000,1.678838,0.000000,-0.000000,1.6249,0.000000,0.513098,35.3255,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0119,0.0000,0.000000,0.0437,12.85,7.08,32.78,1.68,0.000001,-0.0000,-1.6247,nan,nan,nan,nan,nan,nan,0.0,0.0,-4270.310782150053,-4670.556993197333,-0.034265,-0.041332,6521.2,6099.4,0.007507,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778670809.804064,3,1.673322,-0.025385,-0.004234,-0.0056,0.0160,-0.000702,1.648453,0.000006,0.000003,-0.0009,1.673681,-0.025246,-0.004235,0.0132,0.0005,0.000020,0.059975,0.0000,1.673681,0.000000,-0.000000,1.6315,0.000000,0.535010,35.1551,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0129,0.0000,0.000000,0.0502,10.99,6.30,28.27,1.88,0.000006,0.0002,-1.6324,nan,nan,nan,nan,nan,nan,0.0,0.0,-4175.926661330209,-4547.337840322308,-0.033396,-0.039992,6520.6,6100.0,0.007958,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778670809.816077,4,1.709737,-0.004396,0.001606,0.0258,-0.0247,-0.001395,1.648433,0.000012,0.000007,-0.0008,1.710115,-0.004324,0.001603,0.0158,0.0004,0.000015,0.064083,0.0000,1.710115,0.000000,-0.000000,1.5830,0.000000,0.539242,35.2340,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0141,0.0000,0.000000,0.0566,9.41,5.59,24.41,1.62,0.000012,0.0004,-1.5838,nan,nan,nan,nan,nan,nan,0.0,0.0,-2177.0844486096653,-2860.7922029531614,-0.016522,-0.023628,6519.1,6101.4,0.008942,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778670809.827926,5,1.620789,0.041711,-0.002984,-0.0179,0.0380,0.002148,1.648415,0.000018,0.000011,-0.0007,1.621055,0.041826,-0.002983,0.0129,0.0010,0.000037,0.067711,0.0000,1.621055,0.000000,0.000000,1.6946,0.000000,0.544755,35.4079,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0153,0.0000,0.000000,0.0632,8.07,5.14,21.28,2.58,0.000018,0.0006,-1.6953,nan,nan,nan,nan,nan,nan,0.0,0.0,-3724.4474971612535,-3799.008537317924,-0.029355,-0.032340,6517.8,6102.8,0.009886,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778670809.840173,6,1.612336,0.009648,-0.003829,-0.0422,0.0753,0.001273,1.648397,0.000024,0.000015,-0.0006,1.612526,0.009849,-0.003826,0.0106,0.0026,0.000096,0.071939,0.0000,1.612526,0.000000,0.000000,1.7043,0.000000,0.542832,34.5923,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0167,0.0000,0.000000,0.0697,6.92,4.63,18.47,1.72,0.000024,0.0008,-1.7048,nan,nan,nan,nan,nan,nan,0.0,0.0,-6071.775586291545,-5745.953172477548,-0.053574,-0.054355,6516.4,6104.2,0.010876,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778670809.852076,7,1.574537,0.031441,0.006130,0.0220,-0.0022,-0.000438,1.648380,0.000029,0.000019,-0.0005,1.574741,0.031595,0.006132,0.0130,0.0028,0.000092,0.076477,0.0000,1.574741,0.000000,0.000000,1.7454,0.000000,0.540887,34.5428,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0181,0.0000,0.000000,0.0762,5.95,4.20,16.10,1.75,0.000029,0.0011,-1.7458,nan,nan,nan,nan,nan,nan,0.0,0.0,-5059.150603068097,-4847.623549477698,-0.042115,-0.043305,6514.9,6105.7,0.011918,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778670809.864068,8,1.656480,0.008218,0.005652,0.0419,-0.0145,0.000289,1.648364,0.000036,0.000023,-0.0004,1.656742,0.008318,0.005654,0.0187,0.0024,0.000080,0.079973,0.0000,1.656742,0.000000,-0.000000,1.6526,0.000000,0.530968,34.3992,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0196,0.0000,0.000000,0.0826,5.11,3.83,14.05,1.72,0.000036,0.0013,-1.6531,nan,nan,nan,nan,nan,nan,0.0,0.0,-3625.3405004407778,-3461.9912961768605,-0.028531,-0.029121,6513.7,6106.9,0.012742,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778670809.875998,9,1.775760,0.014162,0.003399,-0.0231,-0.0185,0.000176,1.648349,0.000042,0.000027,-0.0003,1.775946,0.014215,0.003400,0.0152,0.0017,0.000053,0.083685,0.0000,1.775946,-0.000000,-0.000000,1.4820,0.000000,0.515928,35.5455,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0211,0.0000,0.000000,0.0887,4.42,3.51,12.36,1.71,0.000042,0.0015,-1.4823,0.008000,0.014286,0.2824,-0.489986,0.007929,-0.000027,0.0,0.0,-2102.077117356225,-2001.5652841020485,-0.015971,-0.016223,6512.5,6108.1,0.013587,0.000000,0.000000,0.5000,1.0000,,,,,
