sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778670873.328331,0,1.696167,-0.014093,-0.003069,-0.0040,-0.0088,0.001741,1.648994,-0.000000,-0.000000,-0.0020,1.696056,-0.014154,-0.003063,-0.0051,-0.0000,-0.000002,-0.114572,0.0000,1.696056,0.000000,-0.000000,1.3456,0.000000,2.000000,283.3323,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0502,0.0000,0.000000,0.2000,17.07,8.98,43.12,3.18,-0.000000,-0.0000,-1.3476,nan,nan,nan,nan,nan,nan,0.0,0.0,633.7577559466532,1128.760408260711,0.012083,0.023577,6561.0,6059.6,-0.050588,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778670873.332117,1,1.656981,-0.019172,0.001817,-0.0661,0.0346,0.000638,1.648913,-0.000001,-0.000000,-0.0094,1.656924,-0.019165,0.001823,-0.0024,-0.0000,0.000000,-0.024171,0.0000,1.656924,0.000000,-0.000000,1.4060,0.000000,1.500000,51.2758,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0544,0.0000,0.000000,0.2180,14.93,8.30,38.16,4.44,-0.000001,-0.0000,-1.4154,nan,nan,nan,nan,nan,nan,0.0,0.0,-214.1308738847919,296.1055044748747,-0.004041,0.006047,6557.8,6062.8,-0.044970,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778670873.341293,2,1.610113,-0.019379,-0.006725,-0.0462,-0.0440,-0.001462,1.648775,-0.000002,-0.000002,-0.0125,1.610073,-0.019444,-0.006722,-0.0021,-0.0001,-0.000005,-0.035661,0.0000,1.610073,0.000000,0.000000,1.4695,0.000000,1.062949,41.3166,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0588,0.0000,0.000000,0.2308,12.78,7.37,32.92,2.11,-0.000002,-0.0001,-1.4820,nan,nan,nan,nan,nan,nan,0.0,0.0,777.3174164450438,1020.137534520388,0.014666,0.020930,6554.5,6066.1,-0.039234,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778670873.353041,3,1.613910,0.039678,0.002481,0.0205,0.0305,0.001411,1.648627,-0.000005,-0.000003,-0.0122,1.613998,0.039675,0.002485,0.0022,-0.0000,-0.000000,-0.044260,0.0000,1.613998,0.000000,0.000000,1.4645,0.000000,0.885196,38.0560,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0635,0.0000,0.000000,0.2414,10.95,6.64,28.53,2.52,-0.000005,-0.0002,-1.4767,nan,nan,nan,nan,nan,nan,0.0,0.0,-46.19652922795434,297.4251105021596,-0.000862,0.005995,6551.0,6069.5,-0.033275,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778670873.365154,4,1.642371,-0.029151,-0.005087,-0.0031,-0.0346,-0.000389,1.648492,-0.000007,-0.000005,-0.0105,1.642436,-0.029207,-0.005085,0.0020,-0.0003,-0.000011,-0.036741,0.0000,1.642436,0.000000,0.000000,1.4266,0.000000,0.771637,36.2549,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0682,0.0000,0.000000,0.2506,9.38,6.04,24.80,2.66,-0.000007,-0.0003,-1.4370,nan,nan,nan,nan,nan,nan,0.0,0.0,692.5775699439284,888.7613798769682,0.012921,0.017953,6547.0,6073.6,-0.026149,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778670873.377182,5,1.683029,0.106144,0.000673,-0.0611,-0.0169,0.000851,1.648464,-0.000004,-0.000003,0.0003,1.683079,0.106076,0.000675,0.0020,-0.0006,-0.000018,-0.017748,0.0000,1.683079,0.000000,-0.000000,1.3665,0.000000,0.709785,39.6196,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0731,0.0000,0.000000,0.2592,8.05,5.46,21.57,2.18,-0.000004,-0.0002,-1.3662,nan,nan,nan,nan,nan,nan,0.0,0.0,881.9566217710926,1070.5664029064078,0.016425,0.021570,6540.8,6079.8,-0.015383,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778670873.389077,6,1.701325,-0.012853,-0.002980,0.0066,0.0950,-0.000128,1.648468,0.000001,-0.000000,0.0002,1.701386,-0.012768,-0.002976,0.0030,0.0010,0.000044,-0.010842,0.0000,1.701386,0.000000,-0.000000,1.3367,0.000000,0.660521,34.8943,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0781,0.0000,0.000000,0.2671,6.91,4.99,18.81,2.32,0.000001,-0.0000,-1.3365,nan,nan,nan,nan,nan,nan,0.0,0.0,-1250.4511315473112,-970.3187026407165,-0.023450,-0.019464,6538.2,6082.4,-0.010830,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778670873.401157,7,1.583406,-0.106891,-0.010686,-0.0178,0.1095,0.000977,1.648453,0.000006,0.000003,-0.0009,1.583452,-0.106670,-0.010679,0.0025,0.0037,0.000145,-0.008202,0.0000,1.583452,0.000000,0.000000,1.5025,0.000000,0.652207,37.4921,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0831,0.0000,0.000000,0.2749,5.96,4.63,16.54,2.56,0.000006,0.0002,-1.5033,nan,nan,nan,nan,nan,nan,0.0,0.0,-2995.912294208618,-2628.743741435678,-0.061812,-0.057363,6536.9,6083.7,-0.008551,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778670873.413263,8,1.671104,0.025137,-0.000046,0.0020,0.0538,-0.001904,1.648434,0.000013,0.000007,-0.0008,1.671142,0.025379,-0.000042,0.0025,0.0054,0.000193,-0.001624,0.0000,1.671142,0.000000,-0.000000,1.3850,0.000000,0.628928,34.9045,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0882,0.0000,0.000000,0.2825,5.15,4.33,14.63,2.63,0.000013,0.0004,-1.3858,nan,nan,nan,nan,nan,nan,0.0,0.0,-3267.12318981763,-3006.223216307011,-0.069451,-0.068290,6534.8,6085.7,-0.005017,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778670873.426993,9,1.704304,-0.001007,-0.008811,0.0295,0.0453,-0.000086,1.648415,0.000020,0.000011,-0.0007,1.704408,-0.000763,-0.008806,0.0078,0.0071,0.000245,0.004236,0.0000,1.704408,0.000000,-0.000000,1.3316,0.000000,0.608789,34.5166,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0934,0.0000,0.000000,0.2898,4.43,4.01,12.86,2.20,0.000020,0.0006,-1.3323,0.008000,0.043819,-0.3357,-0.492223,0.036585,-0.000999,0.0,0.0,-3395.3898976835644,-3139.810482708905,-0.073439,-0.072612,6533.0,6087.6,-0.001789,0.000000,0.000000,0.5000,1.0000,,,,,
