time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
8.0730,19.9320,-0.0861,4.248,0,22.236,1.858,0.519,3.0146,2.019,3.019,0,1
8.0760,19.9438,-0.0908,4.249,0,22.236,1.858,0.519,3.0086,2.019,3.019,0,1
8.0790,19.9557,-0.0955,4.250,0,22.236,1.858,0.519,3.0026,2.019,3.019,0,1
8.0820,19.9675,-0.1002,4.250,0,22.236,1.858,0.519,2.9967,2.019,3.019,0,1
8.0850,19.9793,-0.1050,4.251,0,22.236,1.858,0.519,2.9909,2.019,3.019,0,1
8.0880,19.9912,-0.1097,4.252,0,22.236,1.858,0.519,2.9850,2.019,3.019,0,1
8.0910,20.0030,-0.1144,4.253,0,22.236,1.858,0.519,2.9792,2.019,3.019,0,1
8.0940,20.0149,-0.1191,4.253,0,22.236,1.858,0.519,2.9735,2.019,3.019,0,1
8.0970,20.0267,-0.1238,4.253,0,22.236,1.858,0.519,2.9678,2.019,3.019,0,1
8.1000,20.0386,-0.1285,4.253,0,22.236,1.858,0.519,2.9621,2.019,3.019,0,1
8.1030,20.0505,-0.1332,4.253,0,22.236,1.858,0.519,2.9565,2.019,3.019,0,1
8.1060,20.0623,-0.1379,4.253,0,22.236,1.858,0.519,2.9510,2.019,3.019,0,1
8.1090,20.0742,-0.1426,4.253,0,22.236,1.858,0.519,2.9454,2.019,3.019,0,1
8.1120,20.0860,-0.1473,4.253,0,22.236,1.858,0.519,2.9399,2.019,3.019,0,1
8.1150,20.0979,-0.1520,4.254,0,22.236,1.858,0.519,2.9345,2.019,3.019,0,1
8.1180,20.1097,-0.1567,4.254,0,22.236,1.858,0.519,2.9291,2.019,3.019,0,1
8.1210,20.1216,-0.1614,4.255,0,22.236,1.858,0.519,2.9237,2.019,3.019,0,1
8.1240,20.1335,-0.1661,4.256,0,22.236,1.858,0.519,2.9184,2.019,3.019,0,1
8.1270,20.1453,-0.1708,4.256,0,22.236,1.858,0.519,2.9131,2.019,3.019,0,1
8.1300,20.1572,-0.1754,4.256,0,22.236,1.858,0.519,2.9079,2.019,3.019,0,1
8.1330,20.1691,-0.1801,4.256,0,22.236,1.858,0.519,2.9027,2.019,3.019,0,1
8.1360,20.1809,-0.1848,4.256,0,22.236,1.858,0.519,2.8976,2.019,3.019,0,1
8.1390,20.1928,-0.1895,4.258,0,22.236,1.858,0.519,2.8925,2.019,3.019,0,1
8.1420,20.2047,-0.1942,4.258,0,22.236,1.858,0.519,2.8875,2.019,3.019,0,1
8.1450,20.2165,-0.1989,4.259,0,22.236,1.858,0.519,2.8825,2.019,3.019,0,1
8.1480,20.2284,-0.2036,4.258,0,22.236,1.858,0.519,2.8775,2.019,3.019,0,1
8.1510,20.2403,-0.2083,4.259,0,22.236,1.858,0.519,2.8726,2.019,3.019,0,1
8.1540,20.2522,-0.2129,4.259,0,22.236,1.858,0.519,2.8678,2.019,3.019,0,1
8.1570,20.2640,-0.2176,4.259,0,22.236,1.858,0.519,2.8630,2.019,3.019,0,1
8.1600,20.2759,-0.2223,4.259,0,22.236,1.858,0.519,2.8582,2.019,3.019,0,1
8.1630,20.2878,-0.2270,4.259,0,22.236,1.858,0.519,2.8535,2.019,3.019,0,1
8.1660,20.2997,-0.2317,4.260,0,22.236,1.858,0.519,2.8488,2.019,3.019,0,1
8.1690,20.3116,-0.2363,4.260,0,22.236,1.858,0.519,2.8442,2.019,3.019,0,1
8.1720,20.3235,-0.2410,4.261,0,22.236,1.858,0.519,2.8396,2.019,3.019,0,1
