time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,20.238324
0.102000,0.055424,0.000002,1.677832,-0.000081,-0.000751,0.000067,0.000352,0.000000,0.098757,0.000000,0,0,20.238892
0.204000,0.055295,0.000009,1.522611,0.000524,-0.000028,0.000407,0.000372,0.000000,0.170638,0.000000,0,0,20.239020
0.306000,0.055218,0.000029,1.263977,0.000581,0.000238,0.001624,0.000423,0.000000,0.257454,0.000000,0,0,20.239094
0.408000,0.055175,0.000075,0.902700,0.000431,0.000173,0.005189,0.000455,0.000000,0.333084,0.000000,0,0,20.239134
0.510000,0.058467,-0.000212,0.564527,0.026655,0.075806,-0.004183,0.002676,0.000000,0.398982,0.000000,0,0,20.235877
0.612000,0.059420,-0.000078,0.637080,-0.025790,-0.072612,0.000444,0.004263,0.000000,0.446113,0.000000,0,0,20.234916
0.714000,0.053088,0.000237,0.740277,-0.016243,-0.048040,0.004991,0.000988,0.000000,0.521723,0.000000,0,0,20.241200
0.816000,0.048829,0.000786,0.744630,-0.044846,-0.038827,-0.001755,0.023269,0.000000,0.604394,0.000000,0,0,20.245399
0.918000,0.053463,0.000039,0.692545,0.080427,0.121185,0.011513,0.025923,0.000000,0.709343,0.000000,0,0,20.240843
1.020000,0.075638,0.002206,0.663019,0.313290,0.301528,0.030649,-0.024570,0.000000,0.784811,0.000000,0,0,20.218564
1.122000,0.120298,0.006407,0.687813,0.571863,0.555836,0.049862,0.007515,0.000000,0.828755,0.000000,0,0,20.173710
1.224000,0.184408,0.013529,0.722548,0.698478,0.701380,0.073481,0.010123,0.000000,0.846561,0.000000,0,0,20.109229
1.326000,0.265204,0.021293,0.745373,0.885279,0.881373,0.064831,0.024638,0.000000,0.839627,0.000000,0,0,20.028067
1.428000,0.364202,0.028347,0.763772,1.053168,1.055810,0.054129,0.020906,0.000000,0.807537,0.000000,0,0,19.928826
1.530000,0.480684,0.034120,0.775271,1.219781,1.223812,0.035949,0.017339,0.000000,0.759536,0.000000,0,0,19.812269
1.632000,0.614656,0.038573,0.780112,1.391486,1.395882,0.028092,0.017683,0.000000,0.689084,0.000000,0,0,19.678393
1.734000,0.764728,0.042445,0.780030,1.535199,1.538440,0.016809,0.013718,0.000000,0.616728,0.000000,0,0,19.528527
1.836000,0.928589,0.045498,0.779433,1.669339,1.668762,0.003603,0.016425,0.000000,0.529641,0.000000,0,0,19.364994
1.938000,1.105551,0.047869,0.780173,1.796736,1.797748,-0.000103,0.015045,0.000000,0.447938,0.000000,0,0,19.188472
2.040000,1.296130,0.051245,0.780415,1.935624,1.937316,0.010385,0.013067,0.000000,0.357541,0.000000,0,0,18.998304
2.142000,1.500800,0.055833,0.779948,2.070449,2.070035,0.015595,0.015431,0.000000,0.299736,0.007041,0,0,18.794002
2.244000,1.718406,0.061315,0.779728,2.189713,2.190643,0.015867,0.017151,0.000000,0.253515,0.024878,0,0,18.576743
2.346000,1.947572,0.067427,0.779994,2.298845,2.300398,0.016024,0.019308,0.000000,0.223770,0.044294,0,0,18.347922
2.448000,2.187999,0.074007,0.779932,2.418919,2.414499,0.011792,0.025160,0.000000,0.198791,0.068217,0,0,18.107853
2.550000,2.439847,0.080958,0.779095,2.518168,2.519025,0.005210,0.023127,0.000000,0.181721,0.090367,0,0,17.856387
2.652000,2.701761,0.088547,0.778203,2.611634,2.614052,0.003980,0.019408,0.000000,0.166428,0.115582,0,0,17.594849
2.754000,2.972137,0.096785,0.779059,2.677206,2.674754,0.004430,0.010965,0.000000,0.155257,0.137460,0,0,17.324840
2.856000,3.244702,0.105628,0.770506,2.684315,2.651980,0.014623,-0.003943,0.000000,0.144597,0.160508,0,0,17.052608
2.958000,3.509549,0.114836,0.735031,2.527719,2.518405,0.023698,-0.010045,0.045455,0.136349,0.177567,0,0,16.788042
3.060000,3.757494,0.124702,0.736427,2.290577,2.344956,0.028977,0.034337,0.250000,0.128088,0.189793,0,0,16.540255
3.162000,3.986331,0.136720,0.762196,2.143835,2.153761,0.052013,0.069117,0.431818,0.121439,0.192719,0,0,16.311298
3.264000,4.196793,0.151698,0.778213,2.004388,1.991668,0.078914,0.090444,0.604648,0.114571,0.186480,0,0,16.100360
3.366000,4.391500,0.171951,0.777038,1.850038,1.847462,0.124718,0.089012,0.655865,0.108914,0.173355,0,0,15.904611
3.468000,4.570305,0.197803,0.770417,1.681672,1.686914,0.167689,0.096478,0.860411,0.102970,0.152189,0,0,15.724169
3.570000,4.731947,0.228921,0.767229,1.520997,1.520401,0.212901,0.125244,1.000000,0.098012,0.129529,0,0,15.560332
3.672000,4.876315,0.263430,0.766495,1.364915,1.362711,0.226524,0.147426,0.976628,0.092757,0.100684,0,0,15.413400
3.774000,5.004756,0.299535,0.765711,1.216449,1.213961,0.238123,0.159676,0.977273,0.092030,0.069885,0,0,15.282211
3.876000,5.118695,0.337139,0.766469,1.097884,1.093193,0.240416,0.157010,0.935973,0.107061,0.047150,0,0,15.165369
3.978000,5.221300,0.374106,0.766782,1.001365,1.003054,0.222278,0.134910,0.848994,0.157052,0.031811,0,0,15.059917
4.080000,5.315619,0.408895,0.766630,0.920039,0.924406,0.199355,0.119911,0.716737,0.240249,0.019451,0,0,14.962953
4.182000,5.403118,0.440288,0.766694,0.871075,0.869212,0.146263,0.099786,0.620464,0.316629,0.013123,0,0,14.873111
4.284000,5.486965,0.467730,0.766550,0.847841,0.843674,0.128288,0.086282,0.769699,0.397965,0.008854,0,0,14.787269
4.386000,5.569277,0.497075,0.766758,0.865774,0.863083,0.150448,0.109984,0.659557,0.491866,0.005687,0,0,14.702826
4.488000,5.659135,0.531271,0.767738,1.004067,0.998533,0.176889,0.115439,0.501068,0.576397,0.003653,0,0,14.610504
4.590000,5.764607,0.571030,0.770718,1.183854,1.182767,0.183106,0.118520,0.319250,0.627176,0.002464,0,0,14.502226
4.692000,5.890127,0.615896,0.774417,1.400374,1.398129,0.178131,0.104963,0.233394,0.655120,0.001583,0,0,14.373629
4.794000,6.037483,0.665924,0.775553,1.629408,1.625743,0.162590,0.090715,0.129337,0.656592,0.001068,0,0,14.222952
