sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0480,1778815439.503215,0,1.639445,-0.049553,-0.002779,0.0281,-0.0088,0.000534,1.648492,-0.000007,-0.000005,-0.0106,1.640746,-0.049626,-0.002778,0.0294,-0.0000,-0.000001,0.027889,0.0000,1.640746,0.000000,0.000000,1.6719,0.000000,0.325307,38.6828,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0099,0.0000,0.000000,0.0325,17.64,9.06,44.34,3.71,-0.000007,-0.0003,-1.6824,nan,nan,nan,nan,nan,nan,0.0,0.0,2103.730589856742,2380.819105604501,0.015920,0.019443,6524.9,6095.7,0.004924,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778815439.511430,1,1.663965,-0.000314,0.003095,0.0098,-0.0154,-0.000431,1.648463,-0.000004,-0.000003,0.0001,1.664962,-0.000392,0.003094,0.0264,-0.0001,-0.000003,0.053182,0.0000,1.664962,0.000000,-0.000000,1.6425,0.000000,0.452916,35.4822,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0107,0.0000,0.000000,0.0380,15.06,7.95,38.06,1.66,-0.000004,-0.0002,-1.6424,nan,nan,nan,nan,nan,nan,0.0,0.0,2499.7589914427476,2602.791472174998,0.019069,0.021359,6521.7,6098.8,0.007140,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778815439.523454,2,1.627590,-0.040394,0.005533,0.0635,0.0515,0.000634,1.648468,0.000000,-0.000000,0.0002,1.628699,-0.040370,0.005535,0.0339,0.0000,0.000001,0.059077,0.0000,1.628699,0.000000,0.000000,1.6859,0.000000,0.510448,34.9460,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0117,0.0000,0.000000,0.0441,12.86,7.00,32.73,1.66,0.000000,-0.0000,-1.6857,nan,nan,nan,nan,nan,nan,0.0,0.0,-665.2656217906386,-289.4301583661212,-0.004964,-0.002306,6520.7,6099.9,0.007846,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778815439.535535,3,1.691086,0.153143,0.009076,-0.0835,0.0937,-0.001399,1.648453,0.000005,0.000003,-0.0008,1.691859,0.153309,0.009079,0.0275,0.0005,0.000022,0.061532,0.0000,1.691859,0.000000,-0.000000,1.6079,0.000000,0.548459,42.6482,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0127,0.0000,0.000000,0.0507,11.02,6.32,28.36,2.48,0.000005,0.0002,-1.6087,nan,nan,nan,nan,nan,nan,0.0,0.0,-4799.94359390445,-4457.584685332401,-0.039387,-0.039031,6520.1,6100.4,0.008247,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778815439.547512,4,1.725071,0.035687,-0.010791,-0.0213,-0.0139,0.000734,1.648434,0.000012,0.000007,-0.0008,1.725617,0.035786,-0.010788,0.0224,0.0006,0.000024,0.065778,0.0000,1.725617,0.000000,-0.000000,1.5608,0.000000,0.544255,36.2629,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0139,0.0000,0.000000,0.0572,9.44,5.68,24.57,2.04,0.000012,0.0004,-1.5617,nan,nan,nan,nan,nan,nan,0.0,0.0,-3435.5547305220325,-3081.360198405009,-0.026832,-0.025607,6518.8,6101.8,0.009172,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778815439.559551,5,1.655099,-0.000349,0.006152,-0.0124,0.0343,-0.000683,1.648415,0.000018,0.000011,-0.0007,1.655482,-0.000212,0.006154,0.0182,0.0011,0.000044,0.069172,0.0000,1.655482,0.000000,-0.000000,1.6542,0.000000,0.542294,34.6156,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0151,0.0000,0.000000,0.0637,8.11,5.13,21.35,1.98,0.000018,0.0006,-1.6549,nan,nan,nan,nan,nan,nan,0.0,0.0,-4289.1293838316315,-4004.9311864266374,-0.034486,-0.034371,6517.5,6103.1,0.010108,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778815439.571585,6,1.633622,0.076619,-0.001307,-0.0148,-0.0230,0.000320,1.648397,0.000024,0.000015,-0.0006,1.633893,0.076690,-0.001306,0.0149,0.0009,0.000034,0.073288,0.0000,1.633893,0.000000,0.000000,1.6799,0.000000,0.542984,36.6218,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0164,0.0000,0.000000,0.0702,6.98,4.65,18.61,1.97,0.000024,0.0009,-1.6805,nan,nan,nan,nan,nan,nan,0.0,0.0,-2500.8984722548375,-2284.2164647279533,-0.019114,-0.018611,6516.0,6104.5,0.011112,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778815439.583489,7,1.650969,0.004229,-0.000413,0.1580,0.0112,0.001799,1.648380,0.000030,0.000019,-0.0005,1.651670,0.004302,-0.000410,0.0428,0.0012,0.000054,0.076849,0.0000,1.651670,0.000000,0.000000,1.6588,0.000000,0.535001,34.5150,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0178,0.0000,0.000000,0.0766,6.00,4.20,16.20,1.64,0.000030,0.0011,-1.6593,nan,nan,nan,nan,nan,nan,0.0,0.0,-2716.172912054051,-2230.9787131236826,-0.020862,-0.018159,6514.8,6105.8,0.011972,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778815439.595614,8,1.679252,-0.002121,0.002502,-0.0787,0.0365,-0.001226,1.648364,0.000036,0.000023,-0.0004,1.679747,-0.002016,0.002505,0.0346,0.0025,0.000088,0.080322,0.0000,1.679747,0.000000,-0.000000,1.6238,0.000000,0.526313,34.4770,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0192,0.0000,0.000000,0.0830,5.18,3.80,14.15,1.55,0.000036,0.0013,-1.6242,nan,nan,nan,nan,nan,nan,0.0,0.0,-3811.389293516356,-3508.7412004370585,-0.030175,-0.029562,6513.6,6107.0,0.012807,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778815439.607491,9,1.638673,0.065083,0.000331,0.0306,0.0654,-0.000646,1.648349,0.000042,0.000027,-0.0003,1.639099,0.065245,0.000333,0.0340,0.0051,0.000166,0.083761,0.0000,1.639099,0.000000,0.000000,1.6738,0.000000,0.524866,35.8380,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0208,0.0000,0.000000,0.0893,4.48,3.53,12.48,1.98,0.000042,0.0015,-1.6741,0.008000,0.126179,0.1780,-0.471480,0.024674,-0.000133,0.0,0.0,-5702.368918355554,-5374.8929884891,-0.049230,-0.049561,6512.5,6108.1,0.013603,0.000000,0.000000,0.5000,1.0000,,,,,
