time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,31.999950
0.102000,0.055424,0.000003,1.677833,-0.000098,-0.000766,0.000109,0.000355,0.000000,0.134282,0.000000,0,0,32.000516
0.204000,0.055295,0.000014,1.522611,0.000511,-0.000041,0.000632,0.000371,0.000000,0.217625,0.000000,0,0,32.000643
0.306000,0.055218,0.000045,1.263977,0.000593,0.000235,0.002512,0.000425,0.000000,0.312955,0.000000,0,0,32.000716
0.408000,0.055173,0.000113,0.902700,0.000391,0.000074,0.007822,0.000451,0.000000,0.413913,0.000000,0,0,32.000753
0.510000,0.059493,-0.000623,0.573506,0.041128,0.088456,-0.017226,0.007741,0.000000,0.510020,0.000000,0,0,31.996541
0.612000,0.060546,-0.003069,0.652597,-0.037587,-0.081732,-0.025827,0.005736,0.000000,0.584880,0.000000,0,0,31.995765
0.714000,0.053634,-0.005724,0.747422,-0.029119,-0.056023,-0.023680,0.003679,0.000000,0.649531,0.000000,0,0,32.002927
0.816000,0.052072,-0.008191,0.743674,0.067217,0.074269,-0.021403,-0.004113,0.000000,0.700756,0.000000,0,0,32.004752
0.918000,0.076688,-0.008154,0.704981,0.391134,0.414919,0.022812,-0.015953,0.000000,0.747116,0.000000,0,0,31.980283
1.020000,0.137120,-0.008252,0.700858,0.786589,0.773761,0.006423,0.017271,0.000000,0.773812,0.000000,0,0,31.920233
1.122000,0.233998,-0.005416,0.733999,1.112707,1.103847,0.028339,0.016383,0.000000,0.783844,0.000000,0,0,31.823639
1.224000,0.360004,-0.001266,0.765790,1.380573,1.380934,0.040418,0.014027,0.000000,0.770671,0.000000,0,0,31.697952
1.326000,0.516254,0.003701,0.784270,1.677326,1.680031,0.039770,0.017850,0.000000,0.734850,0.000000,0,0,31.542123
1.428000,0.703486,0.008126,0.787353,1.984554,1.982612,0.029003,0.023040,0.000000,0.689116,0.000000,0,0,31.355572
1.530000,0.922327,0.011713,0.782602,2.295011,2.296717,0.012371,0.028067,0.000000,0.626178,0.000000,0,0,31.137716
1.632000,1.172793,0.015214,0.779489,2.599794,2.601610,0.005664,0.024440,0.000000,0.560234,0.000000,0,0,30.888463
1.734000,1.453261,0.019160,0.778273,2.885264,2.887343,0.002138,0.025187,0.000000,0.485032,0.000000,0,0,30.609373
1.836000,1.761854,0.023763,0.779653,3.146624,3.149721,-0.002467,0.025235,0.000000,0.437899,0.013153,0,0,30.302294
1.938000,2.094708,0.029350,0.781523,3.359542,3.359096,-0.005941,0.019391,0.000000,0.396822,0.036934,0,0,29.971034
2.040000,2.445447,0.035761,0.782434,3.501308,3.504693,-0.006142,0.020038,0.000000,0.367625,0.063360,0,0,29.621950
2.142000,2.808465,0.043723,0.780719,3.597757,3.602883,0.003652,0.012403,0.000000,0.340447,0.096138,0,0,29.260527
2.244000,3.179064,0.052971,0.775554,3.677502,3.656177,0.014798,-0.001568,0.000000,0.319875,0.125565,0,0,28.891464
