time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,30.532135
0.102000,0.055424,0.000000,1.677833,-0.000088,-0.000758,-0.000016,0.000360,0.000000,0.010693,0.000000,0,0,30.532703
0.204000,0.055295,-0.000001,1.522611,0.000529,-0.000022,-0.000068,0.000375,0.000000,0.020611,0.000000,0,0,30.532832
0.306000,0.055219,-0.000002,1.263977,0.000586,0.000254,-0.000099,0.000428,0.000000,0.055480,0.000000,0,0,30.532908
0.408000,0.055176,0.000001,0.902700,0.000457,0.000255,0.000075,0.000460,0.000000,0.097381,0.000000,0,0,30.532951
0.510000,0.058034,0.000027,0.564519,0.016990,0.065734,0.002870,0.007100,0.000000,0.139850,0.000000,0,0,30.530100
0.612000,0.058252,0.000594,0.637416,-0.033468,-0.079480,0.006015,0.001283,0.000000,0.177222,0.000000,0,0,30.529835
0.714000,0.051055,0.001449,0.740618,-0.026668,-0.057267,0.008655,-0.002245,0.000000,0.227542,0.000000,0,0,30.536937
0.816000,0.044798,0.002436,0.745787,-0.085296,-0.069462,0.016157,0.001100,0.000000,0.274436,0.000000,0,0,30.543090
0.918000,0.040822,0.003473,0.692323,-0.059141,-0.010719,0.014596,0.000292,0.000000,0.327125,0.000000,0,0,30.546966
1.020000,0.051839,0.003653,0.659759,0.217890,0.205874,-0.008470,0.007576,0.000000,0.369982,0.000000,0,0,30.535972
1.122000,0.067622,0.004023,0.676702,0.073935,0.062113,0.008180,0.000006,0.000000,0.408724,0.000000,0,0,30.520213
1.224000,0.065216,0.004257,0.691758,-0.090161,-0.088749,-0.003772,0.002951,0.000000,0.448988,0.000000,0,0,30.522591
1.326000,0.054308,0.003869,0.688229,-0.087851,-0.088530,0.000786,-0.004127,0.000000,0.518332,0.000000,0,0,30.533494
1.428000,0.052757,0.004340,0.685664,0.067046,0.063438,0.007821,-0.001522,0.000000,0.579267,0.000000,0,0,30.535000
1.530000,0.070052,0.005164,0.687368,0.274132,0.267236,0.006174,0.015225,0.000000,0.633653,0.000000,0,0,30.517697
1.632000,0.105390,0.007663,0.698675,0.419548,0.416416,0.030478,0.007825,0.000000,0.665631,0.000000,0,0,30.482273
1.734000,0.156861,0.011759,0.715666,0.594007,0.589139,0.041225,0.011325,0.000000,0.683301,0.000000,0,0,30.430640
1.836000,0.225522,0.016883,0.734496,0.771375,0.766281,0.049243,0.009439,0.000000,0.681009,0.000000,0,0,30.361790
1.938000,0.312985,0.022354,0.754318,0.950758,0.950037,0.050083,0.012346,0.000000,0.658250,0.000000,0,0,30.274175
2.040000,0.418983,0.027890,0.770178,1.123825,1.126551,0.041877,0.014350,0.000000,0.619986,0.000000,0,0,30.168085
2.142000,0.542636,0.032041,0.778021,1.294093,1.297278,0.022367,0.013499,0.000000,0.557654,0.000000,0,0,30.044516
2.244000,0.683461,0.034975,0.779513,1.451609,1.457641,0.014935,0.016359,0.000000,0.484702,0.000000,0,0,29.903939
2.346000,0.839829,0.037567,0.777804,1.595744,1.599538,0.007825,0.016280,0.000000,0.425927,0.011875,0,0,29.747905
2.448000,1.010150,0.040074,0.776524,1.736179,1.734299,0.002836,0.015176,0.000000,0.386449,0.032544,0,0,29.577977
2.550000,1.193699,0.042628,0.779217,1.857732,1.856789,0.003454,0.011544,0.000000,0.351689,0.060963,0,0,29.394871
2.652000,1.389260,0.046033,0.782362,1.970813,1.971703,0.009996,0.013145,0.000000,0.326727,0.088201,0,0,29.199729
2.754000,1.595950,0.050601,0.783319,2.073834,2.076519,0.019811,0.013713,0.000000,0.303267,0.118947,0,0,28.993405
2.856000,1.813286,0.056539,0.781898,2.177821,2.179191,0.023718,0.017941,0.000000,0.285359,0.145248,0,0,28.776363
2.958000,2.040591,0.063276,0.780547,2.273619,2.274321,0.024425,0.021602,0.000000,0.267613,0.172849,0,0,28.549324
3.060000,2.276897,0.070772,0.779988,2.357270,2.356882,0.026019,0.025236,0.000000,0.253450,0.195472,0,0,28.313258
3.162000,2.520557,0.078820,0.780906,2.410566,2.410512,0.017127,0.021665,0.000000,0.238917,0.218758,0,0,28.069825
3.264000,2.765255,0.085452,0.779685,2.370825,2.376829,-0.008849,0.016881,0.000000,0.227001,0.237234,0,0,27.825486
3.366000,3.003360,0.090466,0.776265,2.295743,2.290515,-0.014571,0.005934,0.000000,0.214526,0.253784,0,0,27.587866
3.468000,3.231528,0.095829,0.764345,2.222218,2.182416,-0.002291,-0.006476,0.000000,0.204145,0.263267,0,0,27.360121
3.570000,3.448445,0.101640,0.733654,2.057566,2.047571,0.005781,0.000650,0.000000,0.194349,0.267277,0,0,27.143549
3.672000,3.648345,0.107808,0.738146,1.821149,1.871847,0.016143,0.025976,0.204545,0.183954,0.264300,0,0,26.943900
3.774000,3.829135,0.116290,0.762742,1.663053,1.679023,0.039372,0.054985,0.386364,0.175221,0.254335,0,0,26.763080
3.876000,3.990813,0.127454,0.775967,1.517104,1.506431,0.068843,0.066855,0.590909,0.165918,0.235264,0,0,26.601054
3.978000,4.136752,0.143375,0.773783,1.377473,1.371742,0.122869,0.081007,0.781170,0.157130,0.209474,0,0,26.454273
4.080000,4.269459,0.164670,0.769276,1.248656,1.252421,0.176274,0.104738,0.757188,0.149720,0.183115,0,0,26.320189
4.182000,4.390055,0.190098,0.766525,1.135144,1.137224,0.190108,0.117420,0.775093,0.141808,0.151505,0,0,26.197802
4.284000,4.499658,0.217709,0.766132,1.043964,1.042680,0.202063,0.114709,0.854787,0.135132,0.122401,0,0,26.086178
4.386000,4.599929,0.246804,0.767744,0.972490,0.972050,0.199241,0.118216,0.836516,0.128582,0.087683,0,0,25.983731
4.488000,4.693731,0.276321,0.768507,0.926964,0.924496,0.198426,0.112887,0.821465,0.131534,0.059158,0,0,25.887706
4.590000,4.784437,0.305438,0.768168,0.906241,0.903965,0.180631,0.107764,0.828579,0.160903,0.037997,0,0,25.794816
4.692000,4.872002,0.334028,0.767092,0.881481,0.877444,0.158001,0.114084,0.765136,0.211974,0.025635,0,0,25.705117
4.794000,4.958267,0.361448,0.766749,0.873316,0.873914,0.149640,0.107647,0.671667,0.278939,0.016465,0,0,25.616828
4.896000,5.045144,0.389091,0.767825,0.900109,0.898629,0.140077,0.087843,0.603747,0.341031,0.011109,0,0,25.527925
4.998000,5.136805,0.418622,0.768681,0.975221,0.972356,0.167559,0.089030,0.500599,0.408278,0.007135,0,0,25.434111
5.100000,5.238786,0.451948,0.770116,1.117186,1.114601,0.159795,0.087484,0.434757,0.460582,0.004814,0,0,25.329717
5.202000,5.357307,0.488965,0.771349,1.305625,1.299912,0.164765,0.095239,0.316771,0.495794,0.003092,0,0,25.208559
5.304000,5.495383,0.530312,0.771502,1.499753,1.498955,0.151911,0.108891,0.245635,0.505132,0.002086,0,0,25.067589
5.406000,5.652909,0.575592,0.773614,1.692594,1.695295,0.138253,0.087230,0.206356,0.493897,0.001340,0,0,24.906952
5.508000,5.829577,0.624874,0.775884,1.888052,1.887979,0.127297,0.084829,0.300533,0.463990,0.000904,0,0,24.726958
5.610000,6.024801,0.679691,0.776703,2.070752,2.073164,0.130763,0.111855,0.224071,0.423215,0.000581,0,0,24.528084
5.712000,6.237036,0.740691,0.778893,2.246671,2.247175,0.126353,0.081880,0.212347,0.397461,0.009543,0,0,24.311845
5.814000,6.465680,0.807056,0.780242,2.402816,2.405614,0.120405,0.100108,0.100454,0.372248,0.029915,0,0,24.078925
5.916000,6.708534,0.877858,0.780759,2.539864,2.542479,0.098358,0.069635,0.055880,0.352255,0.052730,0,0,23.831610
6.018000,6.964644,0.951655,0.781030,2.675986,2.675342,0.076871,0.059748,-0.001432,0.331838,0.080813,0,0,23.570975
6.120000,7.233380,1.027992,0.781258,2.795560,2.795371,0.049659,0.045722,0.009909,0.315159,0.105448,0,0,23.297694
6.222000,7.513014,1.106440,0.781730,2.893279,2.893512,0.031051,0.030376,-0.095691,0.297744,0.132384,0,0,23.013535
6.324000,7.801696,1.184880,0.782324,2.954441,2.957347,-0.001953,0.016690,-0.140015,0.283280,0.155490,0,0,22.720492
6.426000,8.094203,1.260953,0.781671,2.957671,2.961568,-0.045429,-0.019425,-0.211748,0.267998,0.179371,0,0,22.423918
6.528000,8.385964,1.331599,0.778912,2.917974,2.917592,-0.079146,-0.059595,-0.164512,0.255198,0.197136,0,0,22.128538
6.630000,8.672612,1.396936,0.775197,2.840553,2.841822,-0.094318,-0.049111,-0.171105,0.241593,0.212093,0,0,21.838675
6.732000,8.951636,1.457870,0.772570,2.746790,2.748957,-0.087561,-0.047444,-0.191022,0.230150,0.220114,0,0,21.556760
6.834000,9.221014,1.515436,0.772079,2.645459,2.645746,-0.087891,-0.065430,-0.234008,0.217951,0.222897,0,0,21.284742
6.936000,9.480271,1.567941,0.772687,2.542313,2.538293,-0.110203,-0.078385,-0.285532,0.207668,0.219859,0,0,21.023164
7.038000,9.729255,1.613821,0.771458,2.428899,2.430522,-0.123311,-0.063618,-0.322993,0.197881,0.212064,0,0,20.772233
7.140000,9.968531,1.654412,0.768967,2.322497,2.320203,-0.133882,-0.091871,-0.388077,0.188562,0.200232,0,0,20.531297
7.242000,10.197052,1.688544,0.769239,2.208419,2.209851,-0.142876,-0.083930,-0.376292,0.177535,0.181043,0,0,20.301438
7.344000,10.415758,1.717404,0.770377,2.104016,2.108502,-0.176104,-0.104034,-0.420960,0.169183,0.163126,0,0,20.081646
7.446000,10.625403,1.740516,0.770076,2.015652,2.014652,-0.178685,-0.120151,-0.403322,0.160258,0.140814,0,0,19.871177
7.548000,10.826057,1.759797,0.769987,1.923835,1.923829,-0.176892,-0.126798,-0.457281,0.152722,0.119645,0,0,19.669868
7.650000,11.018694,1.774367,0.769269,1.845001,1.844070,-0.191682,-0.125110,-0.429331,0.144668,0.095084,0,0,19.476777
7.752000,11.203866,1.785166,0.769055,1.775368,1.776506,-0.182528,-0.108511,-0.373481,0.138519,0.071222,0,0,19.291311
