sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0960,1778815725.528608,0,1.677578,0.019953,0.001336,0.0130,0.0403,0.001400,1.648434,0.000012,0.000007,-0.0008,1.678177,0.020298,0.001349,0.0131,0.0001,0.000006,0.002036,0.0000,1.678177,0.000000,-0.000000,1.3742,0.000000,0.298012,47.7074,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0082,0.0000,0.000000,0.0298,17.96,9.83,45.75,8.86,0.000012,0.0004,-1.3750,nan,nan,nan,nan,nan,nan,0.0,0.0,-154.92547585380316,-187.80252282491332,-0.084830,-0.075642,6531.4,6089.1,0.000899,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778815725.538162,1,1.677178,-0.023021,-0.005148,0.0510,0.0693,0.002152,1.648415,0.000018,0.000011,-0.0007,1.678031,-0.022635,-0.005134,0.0209,0.0003,0.000012,0.018531,0.0000,1.678031,0.000000,-0.000000,1.3744,0.000000,0.449515,35.6986,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0089,0.0000,0.000000,0.0352,15.76,9.42,40.94,7.10,0.000018,0.0006,-1.3751,nan,nan,nan,nan,nan,nan,0.0,0.0,-220.99794219067388,-297.0368725300392,-0.096414,-0.086290,6530.4,6090.2,0.002741,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778815725.546619,2,1.543674,0.045106,-0.002704,0.0317,-0.0327,-0.001562,1.648397,0.000024,0.000015,-0.0006,1.544506,0.045363,-0.002695,0.0233,0.0003,0.000015,0.027235,0.0000,1.544506,0.000000,0.000000,1.5481,0.000000,0.537932,36.5537,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0097,0.0000,0.000000,0.0417,13.46,9.08,36.00,7.13,0.000024,0.0009,-1.5487,nan,nan,nan,nan,nan,nan,0.0,0.0,-53.38228100079805,-12.687024278616747,-0.064295,-0.058082,6529.0,6091.6,0.005159,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778815725.558693,3,1.618870,-0.040027,-0.001218,-0.0639,-0.0516,-0.001209,1.648380,0.000029,0.000019,-0.0005,1.619467,-0.039904,-0.001214,0.0191,0.0003,0.000012,0.035576,0.0000,1.619467,0.000000,0.000000,1.4574,0.000000,0.572012,34.4004,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0106,0.0000,0.000000,0.0485,11.52,8.77,31.81,7.07,0.000029,0.0011,-1.4579,nan,nan,nan,nan,nan,nan,0.0,0.0,25.606485637837892,174.0831725482696,-0.031178,-0.027697,6527.3,6093.2,0.008082,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778815725.570719,4,1.619378,-0.071177,-0.003606,0.0112,0.0603,0.000535,1.648364,0.000036,0.000023,-0.0004,1.619871,-0.070985,-0.003600,0.0178,0.0007,0.000029,0.041087,0.0000,1.619871,0.000000,0.000000,1.4569,0.000000,0.587389,35.4033,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0115,0.0000,0.000000,0.0556,9.86,8.51,28.23,7.01,0.000036,0.0013,-1.4573,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.6277752425620946,96.14520654882244,-0.048765,-0.045280,6525.7,6094.9,0.010944,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778815725.582625,5,1.665978,0.002178,0.000907,0.0248,0.0149,-0.000345,1.648349,0.000042,0.000027,-0.0003,1.666457,0.002355,0.000912,0.0194,0.0009,0.000039,0.045878,0.0000,1.666457,0.000000,-0.000000,1.3920,0.000000,0.586723,34.0320,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0126,0.0000,0.000000,0.0626,8.45,8.29,25.19,7.07,0.000042,0.0015,-1.3923,nan,nan,nan,nan,nan,nan,0.0,0.0,9.185318514708158,119.77282511462371,-0.044876,-0.042505,6524.1,6096.4,0.013668,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778815725.594681,6,1.532514,0.050785,0.008092,-0.0516,0.0147,0.000756,1.648334,0.000048,0.000031,-0.0003,1.532862,0.050950,0.008097,0.0158,0.0012,0.000050,0.050918,0.0000,1.532862,0.000000,0.000000,1.5614,0.000000,0.591928,36.2784,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0137,0.0000,0.000000,0.0697,7.25,8.11,22.62,7.09,0.000048,0.0018,-1.5617,nan,nan,nan,nan,nan,nan,0.0,0.0,15.016660362882234,144.06843254071381,-0.042339,-0.039461,6522.5,6098.1,0.016576,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778815725.606647,7,1.572493,-0.040802,-0.007467,0.0025,-0.0585,0.001305,1.648320,0.000054,0.000035,-0.0002,1.572759,-0.040760,-0.007464,0.0135,0.0004,0.000021,0.055345,0.0000,1.572759,0.000000,0.000000,1.5152,0.000000,0.587794,33.9739,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0149,0.0000,0.000000,0.0768,6.23,7.96,20.43,7.08,0.000054,0.0020,-1.5154,nan,nan,nan,nan,nan,nan,0.0,0.0,28.311417849074587,229.85370443568564,-0.012305,-0.008313,6521.0,6099.5,0.019058,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778815725.618659,8,1.737412,0.035258,-0.006434,-0.0373,0.0267,0.001384,1.648307,0.000061,0.000039,-0.0001,1.737609,0.035332,-0.006429,0.0111,0.0009,0.000044,0.060261,0.0000,1.737609,0.000000,-0.000000,1.2718,0.000000,0.570477,35.0285,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0162,0.0000,0.000000,0.0836,5.37,7.85,18.59,7.24,0.000061,0.0023,-1.2719,nan,nan,nan,nan,nan,nan,0.0,0.0,31.48165807282571,234.59041050216837,-0.021108,-0.016120,6519.5,6101.1,0.021755,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778815725.633760,9,1.582822,0.023969,0.000875,-0.0564,-0.0020,0.000625,1.648295,0.000068,0.000044,-0.0000,1.582969,0.024026,0.000879,0.0091,0.0009,0.000047,0.064746,0.0000,1.582969,0.000000,0.000000,1.5030,0.000000,0.570253,34.0725,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0175,0.0000,0.000000,0.0904,4.63,7.73,16.98,7.06,0.000068,0.0025,-1.5031,0.008000,0.145399,-0.0271,-0.492111,0.007015,0.000724,0.0,0.0,30.1784629720336,244.37215450993452,-0.016629,-0.011807,6518.0,6102.5,0.024281,0.000000,0.000000,0.5000,1.0000,,,,,
