step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.183,0.040,1.11,1.928,0.00,0,18,10.00,5.63,+0.000,0.513,0.000,+0.000,0.513,0.000,0,inf,7.65,0.000
40,6.239,0.073,-0.78,2.060,-2.39,2,18,10.00,5.63,-0.085,0.156,0.142,-0.085,0.156,0.142,0,22.216,10.61,0.000
60,10.662,0.036,-0.45,3.351,-1.06,3,18,10.00,5.61,-0.038,0.306,0.114,-0.038,0.306,0.114,0,14.682,10.61,0.000
80,16.223,0.171,3.62,2.382,6.34,5,18,10.00,5.52,+0.226,0.338,0.008,+0.226,0.338,0.008,0,10.109,10.61,0.000
100,22.687,1.596,15.19,3.519,0.63,5,18,10.00,5.61,+0.022,0.219,0.135,+0.022,0.219,0.135,0,2.698,10.62,0.000
111,26.040,2.451,13.51,2.934,-6.07,5,18,10.00,5.54,-0.216,0.158,0.015,-0.554,0.133,0.000,1,-0.439,67.21,0.189
112,26.325,2.506,13.04,2.911,-7.84,5,18,10.00,5.38,-0.279,0.169,0.010,-0.445,0.197,0.000,1,-0.047,47.14,0.131
113,26.608,2.552,12.25,2.883,-7.25,5,18,10.00,5.44,-0.258,0.187,0.007,-0.479,0.178,0.000,1,-0.445,47.41,0.115
114,26.891,2.589,11.41,2.869,-6.43,5,18,10.00,5.51,-0.229,0.221,0.004,-0.450,0.194,0.000,1,-0.329,46.62,0.160
115,27.174,2.619,10.49,2.868,-5.72,5,18,10.00,5.56,-0.204,0.259,0.003,-0.469,0.112,0.000,1,-0.287,47.45,0.322
116,27.459,2.643,9.55,2.868,-5.37,5,18,10.00,5.59,-0.191,0.293,0.002,-0.492,0.000,0.124,1,-0.407,47.58,1.168
117,27.738,2.661,8.58,2.744,-2.48,5,18,10.00,5.62,-0.088,0.326,0.001,-0.544,0.164,0.000,1,-0.289,47.58,1.443
118,28.008,2.674,7.58,2.675,-2.16,5,18,10.00,5.62,-0.077,0.364,0.001,-0.540,0.341,0.000,1,-0.435,47.42,1.693
119,28.271,2.678,6.53,2.635,0.86,5,18,10.00,5.62,+0.031,0.413,0.001,-0.585,0.000,0.019,1,-0.461,47.54,2.436
120,28.533,2.676,5.42,2.624,1.65,5,18,10.00,5.62,+0.059,0.460,0.000,-0.709,0.046,0.000,1,-0.404,47.49,2.805
121,28.792,2.668,4.26,2.570,4.16,5,18,10.00,5.62,+0.148,0.504,0.000,-0.442,0.000,0.082,1,-0.355,47.28,4.183
122,29.044,2.654,3.02,2.469,5.76,5,18,10.00,5.57,+0.205,0.546,0.000,-0.860,0.721,0.000,1,-0.014,47.81,6.020
