sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778832369.282323,0,1.570304,0.018379,0.004033,-0.0108,-0.0293,-0.001561,1.648994,-0.000000,-0.000000,-0.0020,1.570198,0.018125,0.004021,-0.0049,-0.0001,-0.000005,-0.110518,0.0000,1.570198,0.000000,0.000000,7.0000,0.000000,2.000000,3018.1400,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0842,0.0000,0.000000,0.2000,17.08,8.86,43.01,2.37,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,6651.564706187823,5461.5900472554495,0.063529,0.053258,6560.0,6060.6,-0.048798,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778832369.285272,1,1.688094,-0.081335,-0.000723,-0.0378,0.0256,-0.001723,1.648913,-0.000001,-0.000000,-0.0094,1.688041,-0.081500,-0.000732,-0.0023,-0.0002,-0.000007,-0.020456,0.0000,1.688041,0.000000,-0.000000,7.0000,0.000000,1.712307,1897.7460,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0914,0.0000,0.000000,0.2205,14.81,7.98,37.59,2.99,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,5012.20820759891,3651.3627914800145,0.042442,0.031943,6556.6,6063.9,-0.043001,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778832369.294862,2,1.635971,-0.012745,0.001152,-0.0564,-0.0380,0.000231,1.648775,-0.000002,-0.000001,-0.0124,1.635937,-0.012937,0.001143,-0.0017,-0.0004,-0.000016,-0.023682,0.0000,1.635937,0.000000,0.000000,7.0000,0.000000,1.576649,1896.6179,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0993,0.0000,0.000000,0.2395,12.66,7.06,32.38,1.86,-0.000002,-0.0001,-7.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,5618.273181880796,4509.370029113873,0.048792,0.040625,6552.7,6067.8,-0.036232,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778832369.306905,3,1.623308,0.055093,0.006657,-0.0128,-0.0117,-0.001065,1.648627,-0.000004,-0.000003,-0.0121,1.623290,0.054920,0.006649,-0.0012,-0.0006,-0.000025,-0.017504,0.0000,1.623290,0.000000,0.000000,7.0000,0.000000,1.507742,1896.9248,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1079,0.0000,0.000000,0.2576,10.84,6.30,27.98,2.03,-0.000004,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,5273.221042594551,4168.117548110534,0.044543,0.036595,6547.9,6072.7,-0.027735,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778832369.318891,4,1.539289,0.008991,-0.000539,0.0090,-0.0325,0.000631,1.648492,-0.000007,-0.000005,-0.0106,1.539323,0.008805,-0.000546,0.0012,-0.0010,-0.000045,-0.002359,0.0000,1.539323,0.000000,0.000000,7.0000,0.000000,1.459333,1898.3661,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1171,0.0000,0.000000,0.2751,9.29,5.60,24.18,1.61,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,5621.299169468007,4744.929826300585,0.048105,0.042503,6542.1,6078.5,-0.017608,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778832369.330887,5,1.667836,-0.106166,0.001093,-0.0490,0.0449,0.001929,1.648465,-0.000003,-0.000003,0.0010,1.667869,-0.106243,0.001091,0.0018,-0.0007,-0.000028,0.032130,0.0000,1.667869,0.000000,-0.000000,7.0000,0.000000,1.409922,1893.0454,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1270,0.0000,0.000000,0.2920,7.97,5.16,21.11,2.64,-0.000003,-0.0002,-6.9990,nan,nan,nan,nan,nan,nan,0.0,0.0,2654.0175312092333,2233.867680091067,0.020263,0.018202,6531.8,6088.8,0.000301,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778832369.342954,6,1.577795,0.069336,-0.003631,-0.0863,-0.0589,-0.000051,1.648468,0.000001,-0.000000,0.0002,1.577821,0.069191,-0.003635,0.0017,-0.0018,-0.000073,0.044492,0.0000,1.577821,0.000000,0.000000,7.0000,0.000000,1.372161,1894.3789,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1374,0.0000,0.000000,0.3085,6.86,4.67,18.39,1.90,0.000001,-0.0000,-6.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,4782.044211632509,4299.961326143622,0.039152,0.037426,6527.4,6093.1,0.007890,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778832369.354887,7,1.666297,0.023439,-0.009486,0.0868,0.0206,-0.000187,1.648452,0.000007,0.000003,-0.0009,1.666593,0.023352,-0.009488,0.0184,-0.0015,-0.000058,0.053962,0.0000,1.666593,0.000000,-0.000000,7.0000,0.000000,1.345865,1888.8233,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1483,0.0000,0.000000,0.3246,5.91,4.21,16.03,1.62,0.000007,0.0002,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,3064.4089192388165,2679.2866132753848,0.023709,0.022078,6524.0,6096.5,0.013839,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778832369.366924,8,1.681863,-0.100802,0.005168,-0.0596,0.0014,0.000545,1.648434,0.000014,0.000007,-0.0008,1.682074,-0.100863,0.005166,0.0151,-0.0015,-0.000055,0.066006,0.0000,1.682074,0.000000,-0.000000,7.0000,0.000000,1.325095,1889.5113,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1597,0.0000,0.000000,0.3405,5.10,3.93,14.14,2.36,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,2383.8503556772193,2157.7069842348924,0.018238,0.017618,6520.2,6100.4,0.020579,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778832369.381145,9,1.612265,0.056612,0.001072,0.0576,-0.0101,0.000585,1.648415,0.000022,0.000011,-0.0007,1.612560,0.056552,0.001071,0.0236,-0.0019,-0.000061,0.078296,0.0000,1.612560,0.000000,0.000000,7.0000,0.000000,1.301317,1890.1423,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1715,0.0000,0.000000,0.3561,4.42,3.67,12.50,2.16,0.000022,0.0006,-7.0007,0.008000,0.039099,-0.1606,-0.477331,-0.009180,0.001500,0.0,0.0,2373.1778723731104,2251.8632343576423,0.018238,0.018486,6516.4,6104.1,0.027101,0.000000,0.000000,0.5000,1.0000,,,,,
