step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,0.802,0.040,0.65,1.950,0.00,1,18,27.00,7.64,+0.000,0.521,0.000,+0.000,0.521,0.000,0,14.374,10.43,0.000
40,5.064,0.389,8.11,1.338,19.64,2,18,27.00,5.92,+0.700,0.184,0.034,+0.700,0.184,0.034,0,13.152,10.39,0.000
60,9.459,1.593,13.26,2.943,-8.09,3,18,27.00,7.26,-0.288,0.257,0.135,-0.288,0.257,0.135,0,5.751,10.48,0.000
80,14.676,1.635,-4.05,3.339,-15.52,3,18,27.00,6.33,-0.553,0.515,0.000,-0.553,0.515,0.000,0,0.760,10.53,0.000
100,21.598,-0.695,-20.60,3.645,3.62,5,18,27.00,7.50,+0.129,0.388,0.002,+0.129,0.388,0.002,0,0.171,10.47,0.000
109,24.942,-1.644,-14.67,4.088,11.91,5,18,27.00,6.72,+0.424,0.383,0.000,+0.474,0.383,0.000,1,-0.421,66.08,0.031
110,25.341,-1.716,-13.44,4.089,14.03,5,18,27.00,6.46,+0.500,0.379,0.000,+0.525,0.386,0.000,1,-0.498,46.81,0.063
111,25.743,-1.775,-12.07,4.084,14.75,5,18,27.00,6.38,+0.525,0.391,0.000,+0.488,0.428,0.000,1,-0.500,46.71,0.091
112,26.146,-1.821,-10.59,4.083,13.86,5,18,27.00,6.48,+0.494,0.401,0.000,+0.483,0.342,0.000,1,-0.490,47.16,0.361
113,26.551,-1.854,-9.10,4.080,15.06,5,18,27.00,6.34,+0.536,0.414,0.000,+0.731,0.457,0.000,1,-0.396,47.29,1.317
114,26.956,-1.876,-7.55,4.061,16.76,5,18,27.00,6.14,+0.597,0.428,0.000,-0.850,0.600,0.000,1,0.338,47.36,1.558
115,27.360,-1.883,-5.58,4.079,16.69,5,18,27.00,6.15,+0.595,0.448,0.000,-0.641,0.575,0.000,1,-0.094,47.21,0.544
116,27.762,-1.896,-4.99,4.046,17.66,5,18,27.00,6.04,+0.629,0.466,0.000,-0.850,0.600,0.000,1,-0.161,47.30,0.563
117,28.159,-1.924,-5.17,3.982,21.33,5,18,27.00,5.65,+0.760,0.485,0.000,-0.737,0.467,0.000,1,-0.248,47.28,0.674
118,28.548,-1.971,-6.05,3.933,23.52,5,18,27.00,5.44,+0.838,0.508,0.000,-0.537,0.573,0.000,1,-0.411,47.62,0.771
119,28.931,-2.039,-7.21,3.916,22.03,5,18,27.00,5.58,+0.785,0.537,0.000,-0.705,0.467,0.000,1,-0.216,47.26,0.675
120,29.312,-2.122,-8.43,3.929,18.71,5,18,27.00,5.93,+0.666,0.566,0.000,-0.609,0.592,0.000,1,-0.148,47.31,0.562
121,29.690,-2.220,-10.01,3.952,15.85,5,18,27.00,6.25,+0.565,0.596,0.000,-0.742,0.609,0.000,1,-0.085,47.51,0.480
122,30.068,-2.331,-11.68,3.989,15.70,5,18,27.00,6.27,+0.559,0.626,0.000,-0.335,0.566,0.000,1,-0.307,47.74,0.153
