time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,30.532135,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000088,-0.000759,0.000070,0.000351,0.000000,0.091577,0.000000,0,0,30.532703,0.000000,0.000000,0.000000
0.204000,0.055295,0.000009,1.522611,0.000525,-0.000026,0.000362,0.000375,0.000000,0.137191,0.000000,0,0,30.532831,0.000000,0.000000,0.000000
0.306000,0.055218,0.000023,1.263977,0.000582,0.000244,0.001218,0.000426,0.000000,0.185110,0.000000,0,0,30.532906,0.000000,0.000000,0.000000
0.408000,0.055236,0.000166,0.904383,0.008785,0.012225,0.011520,0.008084,0.000000,0.233263,0.000000,0,0,30.532877,0.000000,0.000000,0.000000
0.510000,0.060690,0.001541,0.642668,0.044790,0.089240,0.026007,0.004551,0.000000,0.291323,0.000000,0,0,30.527327,0.000000,0.000000,0.000000
0.612000,0.058320,0.004657,0.717530,-0.062799,-0.101974,0.032111,-0.009862,0.000000,0.335441,0.000000,0,0,30.529430,0.000000,0.000000,0.000000
0.714000,0.051096,0.008400,0.790366,-0.043151,-0.053686,0.037020,-0.005045,0.000000,0.389589,0.000000,0,0,30.536318,0.000000,0.000000,0.000000
0.816000,0.050917,0.010469,0.778737,0.036689,0.059284,-0.018683,-0.016792,0.000000,0.437206,0.000000,0,0,30.536325,0.000000,0.000000,0.000000
0.918000,0.060941,0.007615,0.754026,0.102638,0.105823,-0.024979,0.002076,0.000000,0.483959,0.000000,0,0,30.526573,0.000000,0.000000,0.000000
1.020000,0.064834,0.007034,0.753753,-0.015054,-0.018048,0.010537,-0.002001,0.000000,0.522086,0.000000,0,0,30.522741,0.000000,0.000000,0.000000
1.122000,0.064480,0.008487,0.756255,0.041906,0.038361,0.014613,0.003690,0.000000,0.569760,0.000000,0,0,30.522974,0.000000,0.000000,0.000000
1.224000,0.075345,0.010531,0.758867,0.196869,0.190276,0.025583,0.008144,0.000000,0.615082,0.000000,0,0,30.511976,0.000000,0.000000,0.000000
1.326000,0.105980,0.013866,0.766591,0.421623,0.415888,0.032019,0.017266,0.000000,0.660772,0.000000,0,0,30.481171,0.000000,0.000000,0.000000
1.428000,0.163723,0.018455,0.782399,0.709623,0.701244,0.045644,0.007406,0.000000,0.688857,0.000000,0,0,30.423245,0.000000,0.000000,0.000000
1.530000,0.251691,0.024265,0.805123,1.033122,1.023422,0.058278,0.012810,0.000000,0.697482,0.000000,0,0,30.335099,0.000000,0.000000,0.000000
1.632000,0.371208,0.032035,0.829957,1.320507,1.317288,0.064383,0.013921,0.000000,0.681194,0.000000,0,0,30.215350,0.000000,0.000000,0.000000
1.734000,0.519047,0.040240,0.849899,1.581618,1.581934,0.061062,0.013303,0.000000,0.636251,0.000000,0,0,30.067340,0.000000,0.000000,0.000000
1.836000,0.693986,0.047660,0.860179,1.840986,1.845844,0.056187,0.017562,0.000000,0.576487,0.000000,0,0,29.892390,0.000000,0.000000,0.000000
1.938000,0.896166,0.055559,0.863231,2.105806,2.110908,0.056947,0.012301,0.000000,0.489940,0.000000,0,0,29.690257,0.000000,0.000000,0.000000
