time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
8.1630,22.9657,0.4074,3.990,0,24.428,3.048,0.519,3.0187,2.019,3.019,0,1
8.1660,22.9776,0.4093,3.990,0,24.428,3.048,0.519,3.0113,2.019,3.019,0,1
8.1690,22.9895,0.4112,3.989,0,24.428,3.048,0.519,3.0039,2.019,3.019,0,1
8.1720,23.0013,0.4131,3.988,0,24.428,3.048,0.519,2.9966,2.019,3.019,0,1
8.1750,23.0132,0.4151,3.989,0,24.428,3.048,0.519,2.9893,2.019,3.019,0,1
8.1780,23.0250,0.4170,3.989,0,24.428,3.048,0.519,2.9819,2.019,3.019,0,1
8.1810,23.0369,0.4190,3.988,0,24.428,3.048,0.519,2.9746,2.019,3.019,0,1
8.1840,23.0488,0.4210,3.988,0,24.428,3.048,0.519,2.9673,2.019,3.019,0,1
8.1870,23.0606,0.4230,3.988,0,24.428,3.048,0.519,2.9601,2.019,3.019,0,1
8.1900,23.0725,0.4250,3.987,0,24.428,3.048,0.519,2.9528,2.019,3.019,0,1
8.1930,23.0843,0.4271,3.987,0,24.428,3.048,0.519,2.9456,2.019,3.019,0,1
8.1960,23.0962,0.4291,3.987,0,24.428,3.048,0.519,2.9383,2.019,3.019,0,1
8.1990,23.1080,0.4312,3.987,0,24.428,3.048,0.519,2.9311,2.019,3.019,0,1
8.2020,23.1198,0.4333,3.987,0,24.428,3.048,0.519,2.9239,2.019,3.019,0,1
8.2050,23.1317,0.4355,3.987,0,24.428,3.048,0.519,2.9167,2.019,3.019,0,1
8.2080,23.1435,0.4376,3.987,0,24.428,3.048,0.519,2.9096,2.019,3.019,0,1
8.2110,23.1554,0.4398,3.988,0,24.428,3.048,0.519,2.9024,2.019,3.019,0,1
8.2140,23.1672,0.4419,3.987,0,24.428,3.048,0.519,2.8953,2.019,3.019,0,1
8.2170,23.1790,0.4441,3.986,0,24.428,3.048,0.519,2.8882,2.019,3.019,0,1
8.2200,23.1909,0.4463,3.979,0,24.428,3.048,0.519,2.8811,2.019,3.019,0,1
8.2230,23.2027,0.4485,3.982,0,24.428,3.048,0.519,2.8741,2.019,3.019,0,1
8.2260,23.2145,0.4508,3.981,0,24.428,3.048,0.519,2.8670,2.019,3.019,0,1
8.2290,23.2263,0.4530,3.982,0,24.428,3.048,0.519,2.8600,2.019,3.019,0,1
8.2320,23.2381,0.4553,3.985,0,24.428,3.048,0.519,2.8530,2.019,3.019,0,1
8.2350,23.2499,0.4576,3.986,0,24.428,3.048,0.519,2.8460,2.019,3.019,0,1
8.2380,23.2618,0.4599,3.987,0,24.428,3.048,0.519,2.8390,2.019,3.019,0,1
8.2410,23.2736,0.4622,3.987,0,24.428,3.048,0.519,2.8320,2.019,3.019,0,1
8.2440,23.2854,0.4646,3.990,0,24.428,3.048,0.519,2.8251,2.019,3.019,0,1
8.2470,23.2972,0.4669,3.991,0,24.428,3.048,0.519,2.8182,2.019,3.019,0,1
8.2500,23.3091,0.4693,3.992,0,24.428,3.048,0.519,2.8113,2.019,3.019,0,1
8.2530,23.3209,0.4717,3.994,0,24.428,3.048,0.519,2.8044,2.019,3.019,0,1
8.2560,23.3327,0.4741,3.995,0,24.428,3.048,0.519,2.7976,2.019,3.019,0,1
8.2590,23.3445,0.4765,3.997,0,24.428,3.048,0.519,2.7908,2.019,3.019,0,1
8.2620,23.3564,0.4789,3.998,0,24.428,3.048,0.519,2.7840,2.019,3.019,0,1
8.2650,23.3682,0.4813,3.998,0,24.428,3.048,0.519,2.7772,2.019,3.019,0,1
8.2680,23.3800,0.4837,4.001,0,24.428,3.048,0.519,2.7704,2.019,3.019,0,1
8.2710,23.3919,0.4862,4.003,0,24.428,3.048,0.519,2.7637,2.019,3.019,0,1
8.2740,23.4037,0.4886,4.005,0,24.428,3.048,0.519,2.7570,2.019,3.019,0,1
8.2770,23.4156,0.4911,4.006,0,24.428,3.048,0.519,2.7503,2.019,3.019,0,1
8.2800,23.4274,0.4936,4.004,0,24.428,3.048,0.519,2.7437,2.019,3.019,0,1
8.2830,23.4392,0.4961,4.005,0,24.428,3.048,0.519,2.7371,2.019,3.019,0,1
8.2860,23.4511,0.4986,4.007,0,24.428,3.048,0.519,2.7305,2.019,3.019,0,1
8.2890,23.4629,0.5011,4.008,0,24.428,3.048,0.519,2.7239,2.019,3.019,0,1
8.2920,23.4747,0.5037,4.009,0,24.428,3.048,0.519,2.7174,2.019,3.019,0,1
8.2950,23.4866,0.5062,4.009,0,24.428,3.048,0.519,2.7109,2.019,3.019,0,1
