sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778832648.387154,0,1.719098,-0.062086,0.013870,-0.0758,0.0160,-0.002040,1.648994,-0.000000,-0.000000,-0.0020,1.718986,-0.061969,0.013865,-0.0050,0.0001,0.000003,-0.114091,0.0000,1.718986,0.000000,-0.000000,7.0000,0.000000,2.000000,3027.1102,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0846,0.0000,0.000000,0.2000,17.04,8.99,43.08,3.27,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-3293.851001366138,-4407.352911693516,-0.025557,-0.039013,6560.9,6059.7,-0.020144,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778832648.391091,1,1.689029,0.006956,0.001037,0.0278,-0.0177,0.001228,1.648913,-0.000001,-0.000000,-0.0094,1.689181,0.007026,0.001033,0.0029,0.0001,0.000003,-0.024306,0.0000,1.689181,0.000000,-0.000000,7.0000,0.000000,1.703334,1924.7852,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0918,0.0000,0.000000,0.2204,14.89,8.14,37.93,3.33,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-1927.4174603187528,-2855.004800956805,-0.014526,-0.023817,6557.8,6062.8,-0.017984,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778832648.397359,2,1.678693,0.020875,0.006795,0.0174,-0.0255,0.000861,1.648775,-0.000002,-0.000001,-0.0124,1.678914,0.020892,0.006792,0.0058,0.0000,0.000001,-0.027274,0.0000,1.678914,0.000000,-0.000000,7.0000,0.000000,1.566136,1922.9033,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0997,0.0000,0.000000,0.2392,12.70,7.26,32.67,2.28,-0.000002,-0.0001,-7.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,-317.5377897389736,-1085.5368646610953,-0.002359,-0.008754,6553.7,6066.9,-0.015156,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778832648.409245,3,1.674810,0.019990,0.001254,0.1115,-0.0041,0.001414,1.648627,-0.000005,-0.000003,-0.0122,1.675593,0.019998,0.001252,0.0265,0.0000,0.000001,-0.021394,0.0000,1.675593,0.000000,-0.000000,7.0000,0.000000,1.495971,1921.8716,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1083,0.0000,0.000000,0.2572,10.84,6.50,28.19,2.17,-0.000005,-0.0002,-7.0122,nan,nan,nan,nan,nan,nan,0.0,0.0,-160.20771824157043,-566.2003958712756,-0.001190,-0.004540,6548.9,6071.7,-0.011782,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778832648.421258,4,1.607674,-0.011078,0.001412,-0.0307,-0.0080,0.000397,1.648492,-0.000007,-0.000005,-0.0106,1.608225,-0.011083,0.001410,0.0218,-0.0000,-0.000002,-0.007471,0.0000,1.608225,0.000000,0.000000,7.0000,0.000000,1.450059,1920.6149,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1176,0.0000,0.000000,0.2746,9.26,5.86,24.38,2.22,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,254.58181495445157,-38.010105728883296,0.001890,-0.000304,6543.3,6077.2,-0.007927,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778832648.433386,5,1.639799,-0.022313,0.001982,-0.0173,0.0211,-0.000694,1.648463,-0.000004,-0.000003,0.0005,1.640191,-0.022286,0.001981,0.0182,0.0003,0.000007,0.021789,0.0000,1.640191,0.000000,0.000000,7.0000,0.000000,1.401863,1918.5614,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1274,0.0000,0.000000,0.2914,7.92,5.31,21.14,2.22,-0.000004,-0.0002,-6.9995,nan,nan,nan,nan,nan,nan,0.0,0.0,-835.7426635378373,-1107.648780958928,-0.006224,-0.008880,6534.4,6086.2,-0.001706,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778832648.445240,6,1.721391,-0.062759,-0.005582,0.0249,0.0083,0.001721,1.648468,0.000002,-0.000000,0.0002,1.721760,-0.062726,-0.005581,0.0198,0.0004,0.000017,0.032658,0.0000,1.721760,0.000000,-0.000000,7.0000,0.000000,1.370375,1918.5571,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1378,0.0000,0.000000,0.3079,6.77,4.88,18.42,2.45,0.000002,-0.0000,-6.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,-1244.950681579061,-1153.8921478326606,-0.009307,-0.009249,6530.4,6090.2,0.001100,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778832648.457236,7,1.665578,-0.020987,-0.003277,0.0411,-0.0018,-0.001024,1.648453,0.000007,0.000003,-0.0009,1.665971,-0.020965,-0.003277,0.0241,0.0004,0.000011,0.042186,0.0000,1.665971,0.000000,-0.000000,7.0000,0.000000,1.345661,1917.0091,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1486,0.0000,0.000000,0.3240,5.80,4.49,16.10,2.26,0.000007,0.0002,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,-831.0509257493699,-932.8333805190977,-0.006197,-0.007459,6527.0,6093.6,0.003458,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778832648.469419,8,1.743264,0.035802,-0.005093,0.0494,0.0327,0.001058,1.648434,0.000014,0.000007,-0.0008,1.743683,0.035862,-0.005091,0.0293,0.0015,0.000054,0.054419,0.0000,1.743683,0.000000,-0.000000,7.0000,0.000000,1.323125,1916.3150,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1600,0.0000,0.000000,0.3399,4.99,4.17,14.16,2.39,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-2403.0688524269103,-2207.007352367554,-0.018290,-0.017956,6523.1,6097.4,0.006169,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778832648.481793,9,1.678707,0.140697,0.006243,0.0308,-0.0008,-0.000357,1.648415,0.000021,0.000011,-0.0007,1.679082,0.140746,0.006244,0.0298,0.0015,0.000047,0.067679,0.0000,1.679082,0.000000,-0.000000,7.0000,0.000000,1.306367,1919.7683,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1718,0.0000,0.000000,0.3556,4.30,4.09,12.68,3.61,0.000021,0.0006,-7.0007,0.008000,0.221229,-0.4294,-0.470968,0.007162,0.001244,0.0,0.0,-1884.2422034110002,-1786.0400505442599,-0.014234,-0.014420,6519.1,6101.5,0.008967,0.000000,0.000000,0.5000,1.0000,,,,,
