sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778832853.542276,0,1.673045,-0.068451,-0.003158,-0.0059,0.0150,-0.000051,1.648994,-0.000000,-0.000000,-0.0020,1.672940,-0.068327,-0.003155,-0.0048,0.0001,0.000003,-0.108478,0.0000,1.672940,0.000000,-0.000000,7.0000,0.000000,2.000000,3019.4257,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0841,0.0000,0.000000,0.2000,17.08,8.90,43.05,2.65,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-1537.0704132560743,-1435.4195771934626,-0.029840,-0.030175,6559.4,6061.1,-0.047897,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778832853.545498,1,1.656182,-0.076779,0.002636,0.0542,0.0538,-0.001207,1.648913,-0.000001,-0.000000,-0.0094,1.656534,-0.076594,0.002639,0.0083,0.0002,0.000008,-0.018648,0.0000,1.656534,0.000000,-0.000000,7.0000,0.000000,1.710153,1898.9816,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0913,0.0000,0.000000,0.2205,14.85,8.00,37.70,2.92,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-2217.625670936989,-2125.2032308366624,-0.044121,-0.045930,6556.2,6064.3,-0.042317,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778832853.554773,2,1.710098,-0.056157,-0.003081,-0.0742,-0.0554,0.001095,1.648775,-0.000002,-0.000001,-0.0124,1.710347,-0.056097,-0.003080,0.0068,0.0001,0.000005,-0.022043,0.0000,1.710347,0.000000,-0.000000,7.0000,0.000000,1.576185,1893.9635,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0992,0.0000,0.000000,0.2394,12.69,7.07,32.46,1.81,-0.000002,-0.0001,-7.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,-789.4478120274739,-734.1701377461945,-0.014849,-0.014912,6552.4,6068.2,-0.035556,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778832853.566761,3,1.580456,0.012517,0.001419,-0.0906,-0.0169,-0.000171,1.648627,-0.000005,-0.000003,-0.0121,1.580634,0.012539,0.001419,0.0057,0.0001,0.000003,-0.015448,0.0000,1.580634,0.000000,0.000000,7.0000,0.000000,1.504151,1897.8366,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1078,0.0000,0.000000,0.2575,10.87,6.31,28.05,2.01,-0.000005,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-287.6254633725476,-280.2259518612744,-0.005347,-0.005617,6547.4,6073.2,-0.026868,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778832853.578806,4,1.757180,0.051262,-0.001058,-0.0371,0.0310,0.000359,1.648492,-0.000007,-0.000005,-0.0106,1.757309,0.051327,-0.001056,0.0050,0.0004,0.000015,-0.001070,0.0000,1.757309,-0.000000,-0.000000,7.0000,0.000000,1.460287,1889.2620,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1171,0.0000,0.000000,0.2750,9.31,5.65,24.28,1.88,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,-887.097340248195,-812.4806964287794,-0.016531,-0.016290,6541.7,6078.8,-0.017037,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778832853.590803,5,1.626847,0.023866,-0.001725,0.0634,0.0800,0.001343,1.648463,-0.000004,-0.000003,0.0009,1.627210,0.024039,-0.001720,0.0169,0.0015,0.000061,0.025769,0.0000,1.627210,0.000000,0.000000,7.0000,0.000000,1.412688,1892.7305,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1269,0.0000,0.000000,0.2920,8.00,5.04,21.03,1.58,-0.000004,-0.0002,-6.9991,nan,nan,nan,nan,nan,nan,0.0,0.0,-2305.1280550262295,-2066.9589314819304,-0.045099,-0.043191,6533.4,6087.1,-0.002574,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778832853.602830,6,1.612614,0.002098,-0.002193,-0.0201,-0.0117,0.000750,1.648468,0.000002,-0.000000,0.0002,1.612871,0.002216,-0.002189,0.0139,0.0015,0.000062,0.036422,0.0000,1.612871,0.000000,0.000000,7.0000,0.000000,1.380117,1892.3541,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1373,0.0000,0.000000,0.3085,6.88,4.51,18.27,1.51,0.000002,-0.0000,-6.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,-1697.8821293715355,-1467.9593143233108,-0.032300,-0.029802,6529.5,6091.1,0.004354,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778832853.614809,7,1.683521,0.078964,0.005912,0.0801,-0.0054,0.000417,1.648452,0.000007,0.000003,-0.0009,1.683956,0.079051,0.005915,0.0269,0.0015,0.000063,0.045964,0.0000,1.683956,0.000000,-0.000000,7.0000,0.000000,1.359069,1890.2778,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1482,0.0000,0.000000,0.3248,5.93,4.11,15.97,1.86,0.000007,0.0002,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,-1286.9826940037199,-1078.9696983014517,-0.024201,-0.021654,6526.0,6094.5,0.010320,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778832853.626867,8,1.691354,-0.050506,-0.000765,-0.0036,0.0117,-0.000469,1.648434,0.000014,0.000007,-0.0008,1.691664,-0.050425,-0.000763,0.0220,0.0019,0.000074,0.058231,0.0000,1.691664,0.000000,-0.000000,7.0000,0.000000,1.336684,1887.9043,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1596,0.0000,0.000000,0.3409,5.13,3.83,14.09,2.22,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-1260.6553955204904,-1108.6789747517164,-0.023761,-0.022306,6522.2,6098.4,0.017089,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778832853.652222,9,1.695839,-0.076649,-0.003890,-0.0307,-0.0135,-0.000117,1.648415,0.000022,0.000011,-0.0007,1.696063,-0.076605,-0.003889,0.0180,0.0014,0.000053,0.071070,0.0000,1.696063,0.000000,-0.000000,7.0000,0.000000,1.315466,1887.7422,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1714,0.0000,0.000000,0.3567,4.48,3.73,12.70,3.18,0.000022,0.0006,-7.0007,0.008000,0.028304,-0.0581,-0.482845,0.006684,-0.002631,0.0,0.0,-740.2997622105579,-642.3001384443744,-0.013862,-0.012837,6518.3,6102.3,0.023830,0.000000,0.000000,0.5000,1.0000,,,,,
