time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
9.1500,22.3616,0.8516,3.845,0,24.428,3.048,0.519,3.0158,2.019,3.019,0,1
9.1530,22.3731,0.8518,3.845,0,24.428,3.048,0.519,3.0077,2.019,3.019,0,1
9.1560,22.3847,0.8521,3.844,0,24.428,3.048,0.519,2.9996,2.019,3.019,0,1
9.1590,22.3962,0.8524,3.845,0,24.428,3.048,0.519,2.9916,2.019,3.019,0,1
9.1620,22.4078,0.8527,3.844,0,24.428,3.048,0.519,2.9835,2.019,3.019,0,1
9.1650,22.4194,0.8530,3.844,0,24.428,3.048,0.519,2.9755,2.019,3.019,0,1
9.1680,22.4309,0.8533,3.845,0,24.428,3.048,0.519,2.9674,2.019,3.019,0,1
9.1710,22.4425,0.8536,3.845,0,24.428,3.048,0.519,2.9594,2.019,3.019,0,1
9.1740,22.4540,0.8540,3.846,0,24.428,3.048,0.519,2.9514,2.019,3.019,0,1
9.1770,22.4656,0.8543,3.844,0,24.428,3.048,0.519,2.9435,2.019,3.019,0,1
9.1800,22.4771,0.8547,3.845,0,24.428,3.048,0.519,2.9355,2.019,3.019,0,1
9.1830,22.4887,0.8550,3.844,0,24.428,3.048,0.519,2.9276,2.019,3.019,0,1
9.1860,22.5002,0.8554,3.844,0,24.428,3.048,0.519,2.9197,2.019,3.019,0,1
9.1890,22.5118,0.8558,3.845,0,24.428,3.048,0.519,2.9118,2.019,3.019,0,1
9.1920,22.5234,0.8562,3.845,0,24.428,3.048,0.519,2.9039,2.019,3.019,0,1
9.1950,22.5349,0.8566,3.845,0,24.428,3.048,0.519,2.8960,2.019,3.019,0,1
9.1980,22.5465,0.8570,3.846,0,24.428,3.048,0.519,2.8882,2.019,3.019,0,1
9.2010,22.5580,0.8574,3.845,0,24.428,3.048,0.519,2.8803,2.019,3.019,0,1
9.2040,22.5696,0.8579,3.846,0,24.428,3.048,0.519,2.8725,2.019,3.019,0,1
9.2070,22.5811,0.8583,3.844,0,24.428,3.048,0.519,2.8647,2.019,3.019,0,1
9.2100,22.5927,0.8588,3.844,0,24.428,3.048,0.519,2.8569,2.019,3.019,0,1
9.2130,22.6042,0.8593,3.839,0,24.428,3.048,0.519,2.8492,2.019,3.019,0,1
9.2160,22.6157,0.8597,3.841,0,24.428,3.048,0.519,2.8414,2.019,3.019,0,1
9.2190,22.6273,0.8602,3.842,0,24.428,3.048,0.519,2.8337,2.019,3.019,0,1
9.2220,22.6388,0.8607,3.841,0,24.428,3.048,0.519,2.8260,2.019,3.019,0,1
9.2250,22.6504,0.8612,3.842,0,24.428,3.048,0.519,2.8183,2.019,3.019,0,1
9.2280,22.6619,0.8617,3.843,0,24.428,3.048,0.519,2.8106,2.019,3.019,0,1
9.2310,22.6735,0.8623,3.842,0,24.428,3.048,0.519,2.8030,2.019,3.019,0,1
9.2340,22.6850,0.8628,3.843,0,24.428,3.048,0.519,2.7954,2.019,3.019,0,1
9.2370,22.6965,0.8634,3.843,0,24.428,3.048,0.519,2.7877,2.019,3.019,0,1
9.2400,22.7081,0.8639,3.844,0,24.428,3.048,0.519,2.7801,2.019,3.019,0,1
9.2430,22.7196,0.8645,3.845,0,24.428,3.048,0.519,2.7726,2.019,3.019,0,1
9.2460,22.7312,0.8651,3.846,0,24.428,3.048,0.519,2.7650,2.019,3.019,0,1
9.2490,22.7427,0.8657,3.847,0,24.428,3.048,0.519,2.7574,2.019,3.019,0,1
9.2520,22.7543,0.8663,3.850,0,24.428,3.048,0.519,2.7499,2.019,3.019,0,1
9.2550,22.7658,0.8670,3.851,0,24.428,3.048,0.519,2.7424,2.019,3.019,0,1
9.2580,22.7774,0.8676,3.853,0,24.428,3.048,0.519,2.7349,2.019,3.019,0,1
9.2610,22.7889,0.8683,3.853,0,24.428,3.048,0.519,2.7274,2.019,3.019,0,1
9.2640,22.8005,0.8689,3.855,0,24.428,3.048,0.519,2.7200,2.019,3.019,0,1
9.2670,22.8120,0.8696,3.856,0,24.428,3.048,0.519,2.7125,2.019,3.019,0,1
