time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,20.238324,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000080,-0.000752,0.000073,0.000331,0.000000,0.091188,0.000000,0,0,20.238892,0.000000,0.000000,0.000000
0.204000,0.055295,0.000009,1.522611,0.000521,-0.000031,0.000361,0.000376,0.000000,0.136712,0.000000,0,0,20.239020,0.000000,0.000000,0.000000
0.306000,0.055218,0.000023,1.263977,0.000581,0.000243,0.001211,0.000428,0.000000,0.184415,0.000000,0,0,20.239095,0.000000,0.000000,0.000000
0.408000,0.055220,0.000165,0.904376,0.004554,0.008643,0.011730,0.008267,0.000000,0.232636,0.000000,0,0,20.239082,0.000000,0.000000,0.000000
0.510000,0.060599,0.001576,0.642589,0.042078,0.086528,0.027694,-0.014289,0.000000,0.291277,0.000000,0,0,20.233604,0.000000,0.000000,0.000000
0.612000,0.059147,0.003841,0.716618,-0.040955,-0.080435,0.021748,-0.012897,0.000000,0.336209,0.000000,0,0,20.234861,0.000000,0.000000,0.000000
0.714000,0.053726,0.006469,0.789665,-0.023811,-0.035510,0.026720,-0.011607,0.000000,0.389682,0.000000,0,0,20.240045,0.000000,0.000000,0.000000
0.816000,0.054288,0.007005,0.778455,0.011739,0.032445,-0.030618,-0.001553,0.000000,0.436303,0.000000,0,0,20.239440,0.000000,0.000000,0.000000
0.918000,0.061044,0.003084,0.753110,0.073023,0.076797,-0.027928,-0.002110,0.000000,0.482827,0.000000,0,0,20.233035,0.000000,0.000000,0.000000
1.020000,0.063510,0.001945,0.752329,-0.001148,-0.004969,0.005644,-0.002497,0.000000,0.519841,0.000000,0,0,20.230672,0.000000,0.000000,0.000000
1.122000,0.064982,0.003136,0.755691,0.058534,0.054341,0.008615,0.003036,0.000000,0.562652,0.000000,0,0,20.229106,0.000000,0.000000,0.000000
1.224000,0.077120,0.004713,0.759253,0.203924,0.198660,0.024029,0.003112,0.000000,0.602553,0.000000,0,0,20.216878,0.000000,0.000000,0.000000
1.326000,0.108187,0.007504,0.767234,0.434822,0.427614,0.035543,0.004565,0.000000,0.643156,0.000000,0,0,20.185687,0.000000,0.000000,0.000000
1.428000,0.166656,0.011546,0.782722,0.718973,0.712339,0.041187,0.017877,0.000000,0.668009,0.000000,0,0,20.127084,0.000000,0.000000,0.000000
