sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778833152.905653,0,1.623061,-0.022771,0.004219,0.0058,0.0045,0.001579,1.648994,-0.000000,-0.000000,-0.0020,1.623209,-0.022722,0.004226,0.0009,0.0000,0.000001,-0.112383,0.0000,1.623209,0.000000,0.000000,1.4525,0.000000,2.000000,361.8409,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0508,0.0000,0.000000,0.2000,17.08,9.29,43.45,5.27,-0.000000,-0.0000,-1.4545,nan,nan,nan,nan,nan,nan,0.0,0.0,-77.85891573900393,15.181862757160772,-0.014008,-0.003578,6560.4,6060.1,-0.049621,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778833152.911600,1,1.638544,-0.006518,-0.000090,0.0509,0.0075,0.001230,1.648913,-0.000001,-0.000000,-0.0094,1.639065,-0.006465,-0.000083,0.0122,0.0000,0.000002,-0.020049,0.0000,1.639065,0.000000,0.000000,1.4312,0.000000,2.000000,256.9628,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0552,0.0000,0.000000,0.2240,15.24,8.79,39.28,5.97,-0.000001,-0.0000,-1.4406,nan,nan,nan,nan,nan,nan,0.0,0.0,-68.9211909408838,22.296535623417554,-0.014977,-0.004994,6557.2,6063.4,-0.043976,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778833152.918144,2,1.632297,0.014479,-0.007525,0.0364,0.0043,-0.000517,1.648775,-0.000002,-0.000001,-0.0124,1.632918,0.014522,-0.007520,0.0172,0.0001,0.000003,-0.010739,0.0000,1.632918,0.000000,0.000000,1.4396,0.000000,2.000000,257.9036,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0601,0.0000,0.000000,0.2480,13.05,7.93,34.03,3.04,-0.000002,-0.0001,-1.4520,nan,nan,nan,nan,nan,nan,0.0,0.0,-65.27329083157179,29.959531218935382,-0.013416,-0.006026,6552.4,6068.2,-0.035551,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778833152.929943,3,1.605300,0.008700,0.002224,0.0182,-0.0692,-0.000151,1.648627,-0.000005,-0.000003,-0.0121,1.605849,0.008631,0.002226,0.0179,-0.0002,-0.000008,0.004024,0.0000,1.605849,0.000000,0.000000,1.4749,0.000000,2.000000,272.7259,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0655,0.0000,0.000000,0.2720,11.16,7.18,29.51,2.95,-0.000005,-0.0002,-1.4869,nan,nan,nan,nan,nan,nan,0.0,0.0,-99.81698752681515,24.221189711351286,0.016063,0.021828,6546.3,6074.3,-0.024942,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778833152.941921,4,1.619208,0.073852,0.001403,-0.0496,0.0436,0.000631,1.648492,-0.000007,-0.000005,-0.0106,1.619600,0.073865,0.001407,0.0150,0.0000,0.000003,0.024240,0.0000,1.619600,0.000000,0.000000,1.4572,0.000000,2.000000,259.6411,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0713,0.0000,0.000000,0.2960,9.56,6.54,25.65,2.87,-0.000007,-0.0003,-1.4678,nan,nan,nan,nan,nan,nan,0.0,0.0,-67.26193497575046,36.456954532869204,-0.004297,0.001160,6539.1,6081.4,-0.012524,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778833152.953890,5,1.635453,-0.046321,-0.005281,-0.0073,-0.0725,0.001831,1.648464,-0.000004,-0.000003,0.0007,1.635738,-0.046420,-0.005279,0.0129,-0.0008,-0.000026,0.056531,0.0000,1.635738,0.000000,0.000000,1.4358,0.000000,2.000000,258.9334,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0777,0.0000,0.000000,0.3200,8.19,5.99,22.37,2.88,-0.000004,-0.0002,-1.4351,nan,nan,nan,nan,nan,nan,0.0,0.0,-59.78340309480206,69.43708124214288,0.023482,0.030218,6529.3,6091.3,0.004721,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778833152.965905,6,1.670404,0.034098,-0.005478,0.0393,-0.0203,0.000590,1.648468,0.000001,-0.000000,0.0002,1.670762,0.033990,-0.005476,0.0185,-0.0012,-0.000038,0.073189,0.0000,1.670762,0.000000,-0.000000,1.3855,0.000000,2.000000,281.3923,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0844,0.0000,0.000000,0.3440,7.03,5.51,19.57,2.81,0.000001,-0.0000,-1.3854,nan,nan,nan,nan,nan,nan,0.0,0.0,-43.45131176023594,86.40059614479159,0.026428,0.032613,6523.6,6097.0,0.014610,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778833152.977967,7,1.590444,-0.085461,-0.000500,0.0293,-0.1076,-0.000162,1.648453,0.000006,0.000003,-0.0009,1.590802,-0.085697,-0.000501,0.0210,-0.0037,-0.000126,0.089468,0.0000,1.590802,0.000000,0.000000,1.4935,0.000000,2.000000,269.9266,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0916,0.0000,0.000000,0.3680,6.05,5.11,17.22,2.83,0.000006,0.0002,-1.4944,nan,nan,nan,nan,nan,nan,0.0,0.0,56.35855110557118,191.2551322949778,0.062977,0.067742,6518.2,6102.3,0.023945,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778833152.989932,8,1.647881,0.027017,0.005912,-0.0447,0.0760,-0.001013,1.648434,0.000013,0.000007,-0.0008,1.648139,0.026938,0.005912,0.0173,-0.0017,-0.000048,0.107398,0.0000,1.648139,0.000000,0.000000,1.4186,0.000000,2.000000,278.4103,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0991,0.0000,0.000000,0.3920,5.22,4.77,15.21,2.86,0.000013,0.0004,-1.4194,nan,nan,nan,nan,nan,nan,0.0,0.0,-30.03903698604924,87.72395806461299,0.022068,0.024632,6512.6,6107.9,0.033693,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778833153.002141,9,1.734402,0.074134,-0.001383,0.0005,0.0319,-0.001086,1.648415,0.000020,0.000011,-0.0007,1.734590,0.074113,-0.001383,0.0145,-0.0006,-0.000016,0.125462,0.0000,1.734590,0.000000,-0.000000,1.2775,0.000000,2.000000,277.9457,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1070,0.0000,0.000000,0.4160,4.51,4.47,13.49,2.77,0.000020,0.0006,-1.2782,0.008000,0.114390,-0.3199,-0.487082,-0.003231,0.000375,0.0,0.0,-46.28213967762997,51.888877539540616,0.006134,0.006813,6507.2,6113.4,0.043222,0.000000,0.000000,0.5000,1.0000,,,,,
