step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
14,0.365,0.020,0.59,1.112,0.00,1,18,10.00,5.63,+0.000,0.944,0.000,+0.001,0.944,0.000,1,15.698,48.95,0.000
15,0.484,0.027,0.68,1.283,0.00,1,18,10.00,5.63,+0.000,0.915,0.000,-0.002,0.915,0.000,1,15.537,46.57,0.000
20,1.331,0.065,1.55,2.106,0.00,1,18,10.00,5.63,+0.000,0.652,0.000,+0.000,0.652,0.000,0,14.351,7.66,0.000
40,7.125,0.090,-1.24,2.632,-1.36,3,18,10.00,5.62,-0.049,0.175,0.162,-0.049,0.175,0.162,0,10.913,7.77,0.000
60,12.067,0.008,-0.72,3.342,1.69,3,18,10.00,5.61,+0.060,0.316,0.078,+0.060,0.316,0.078,0,3.890,10.45,0.000
76,17.004,0.294,5.63,2.776,7.84,3,18,10.00,5.38,+0.279,0.227,0.019,+0.168,0.222,0.000,1,0.569,68.62,0.012
77,17.277,0.337,6.23,2.795,7.07,3,18,10.00,5.45,+0.252,0.288,0.012,+0.042,0.293,0.000,1,0.113,47.28,0.002
78,17.552,0.378,6.66,2.833,7.44,3,18,10.00,5.42,+0.265,0.351,0.008,+0.114,0.353,0.000,1,-0.361,48.10,0.018
79,17.832,0.419,6.92,2.884,7.26,3,18,10.00,5.43,+0.259,0.401,0.006,-0.169,0.229,0.000,1,-0.060,47.36,0.129
80,18.118,0.460,7.19,2.942,11.52,3,18,10.00,5.01,+0.410,0.442,0.004,+0.534,0.361,0.000,1,-0.346,47.45,0.067
81,18.409,0.498,7.06,2.988,12.39,3,18,10.00,4.92,+0.441,0.465,0.002,+0.352,0.527,0.000,1,-0.338,47.40,0.067
82,18.706,0.543,7.47,3.075,13.63,3,18,10.00,4.80,+0.486,0.479,0.002,+0.891,0.201,0.000,1,-0.476,48.49,0.224
83,19.010,0.595,7.97,3.148,14.08,3,18,10.00,4.75,+0.502,0.484,0.001,-0.349,0.127,0.000,1,-0.437,47.61,1.406
84,19.318,0.658,8.96,3.197,11.46,3,18,10.00,5.02,+0.408,0.478,0.001,-0.670,0.624,0.000,1,-0.363,47.27,1.148
85,19.632,0.721,9.25,3.256,11.97,4,18,10.00,4.96,+0.427,0.465,0.000,-0.449,0.317,0.000,1,-0.492,47.52,0.428
86,19.953,0.776,9.02,3.337,15.40,5,18,10.00,4.62,+0.548,0.434,0.000,-0.465,0.225,0.000,1,-0.516,49.08,2.026
87,20.284,0.823,8.67,3.418,18.36,5,18,10.00,4.35,+0.654,0.406,0.000,-0.576,0.249,0.000,1,-0.523,55.95,3.404
88,20.624,0.862,8.17,3.481,21.98,5,18,10.00,4.05,+0.783,0.386,0.000,-0.507,0.402,0.000,1,-0.514,47.53,1.734
89,20.972,0.892,7.37,3.559,25.82,5,18,10.00,3.77,+0.920,0.371,0.008,-0.583,0.463,0.000,1,-0.492,47.53,1.038
90,21.328,0.914,6.43,3.635,25.19,5,18,10.00,3.81,+0.897,0.356,0.018,-0.562,0.369,0.000,1,-0.451,48.32,1.089
91,21.694,0.926,5.32,3.731,28.07,5,18,10.00,3.62,+1.000,0.341,0.029,-0.735,0.451,0.000,1,-0.426,47.57,2.641
92,22.069,0.930,4.22,3.822,28.07,5,18,10.00,3.62,+1.000,0.324,0.043,-0.339,0.116,0.000,1,-0.497,47.31,2.577
93,22.453,0.923,2.91,3.910,28.07,5,18,10.00,3.62,+1.000,0.310,0.057,+0.932,0.197,0.000,1,-0.502,47.67,1.664
