sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778833481.293012,0,1.625785,-0.018280,0.004864,-0.0156,0.0327,-0.001890,1.648994,-0.000000,-0.000000,-0.0020,1.625673,-0.018023,0.004862,-0.0050,0.0001,0.000006,-0.113970,0.0000,1.625673,0.000000,0.000000,1.6894,0.000000,2.000000,210.1260,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0523,0.0000,0.000000,0.2000,17.08,9.36,43.51,5.70,-0.000000,-0.0000,-1.6914,nan,nan,nan,nan,nan,nan,0.0,0.0,32.699844121922666,-102.72476294464003,-0.059302,-0.071732,6560.8,6059.7,-0.020123,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778833481.299402,1,1.687618,0.017108,-0.002657,0.0024,-0.0377,0.000062,1.648913,-0.000001,-0.000000,-0.0094,1.687578,0.017255,-0.002660,-0.0019,0.0001,0.000006,-0.020179,0.0000,1.687578,0.000000,-0.000000,1.6135,0.000000,2.000000,203.2494,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0568,0.0000,0.000000,0.2240,15.33,8.83,39.49,5.86,-0.000001,-0.0000,-1.6229,nan,nan,nan,nan,nan,nan,0.0,0.0,21.9906566011409,22.77892168506378,-0.033321,-0.043294,6557.3,6063.2,-0.017693,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778833481.305841,2,1.532682,-0.062682,-0.005514,-0.0805,-0.0325,-0.001469,1.648775,-0.000002,-0.000002,-0.0125,1.532659,-0.062617,-0.005518,-0.0012,0.0001,0.000004,-0.009024,0.0000,1.532659,0.000000,0.000000,1.7892,0.000000,2.000000,203.0642,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0619,0.0000,0.000000,0.2480,13.61,7.97,35.19,3.11,-0.000002,-0.0001,-1.8017,nan,nan,nan,nan,nan,nan,0.0,0.0,36.4986825910683,54.01149802033852,-0.013402,-0.023331,6552.5,6068.1,-0.014322,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778833481.314484,3,1.631322,0.055041,0.010042,-0.0188,-0.0122,0.000649,1.648627,-0.000005,-0.000003,-0.0121,1.631314,0.055074,0.010039,-0.0005,0.0001,0.000003,0.005383,0.0000,1.631314,0.000000,0.000000,1.6829,0.000000,2.000000,195.2760,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0675,0.0000,0.000000,0.2720,11.64,7.21,30.50,2.87,-0.000005,-0.0002,-1.6950,nan,nan,nan,nan,nan,nan,0.0,0.0,49.458075293135465,62.37305361896043,-0.006501,-0.013680,6546.4,6074.1,-0.010089,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778833481.326525,4,1.523100,0.052587,-0.011466,0.0332,0.0806,0.001341,1.648492,-0.000007,-0.000005,-0.0106,1.523279,0.052739,-0.011466,0.0066,0.0007,0.000026,0.025640,0.0000,1.523279,0.000000,0.000000,1.7989,0.000000,2.000000,195.0410,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0736,0.0000,0.000000,0.2960,9.98,6.55,26.50,2.82,-0.000007,-0.0003,-1.8095,nan,nan,nan,nan,nan,nan,0.0,0.0,32.01932663783087,24.323884487085195,-0.037236,-0.041306,6539.2,6081.3,-0.005064,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778833481.338521,5,1.719714,-0.084870,0.000921,-0.0916,-0.0009,0.000360,1.648464,-0.000004,-0.000003,0.0005,1.719851,-0.084750,0.000922,0.0064,0.0008,0.000032,0.066749,0.0000,1.719851,0.000000,-0.000000,1.5692,0.000000,2.000000,182.7322,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0801,0.0000,0.000000,0.3200,8.56,5.98,23.09,2.77,-0.000004,-0.0002,-1.5687,nan,nan,nan,nan,nan,nan,0.0,0.0,34.146948751850815,34.941645965211976,-0.029894,-0.032719,6527.0,6093.5,0.003430,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778833481.350570,6,1.649784,-0.027293,-0.001287,0.0295,0.0154,-0.001622,1.648468,0.000001,-0.000000,0.0002,1.650004,-0.027179,-0.001287,0.0113,0.0012,0.000040,0.083236,0.0000,1.650004,0.000000,0.000000,1.6608,0.000000,2.000000,233.2827,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0870,0.0000,0.000000,0.3440,7.36,5.50,20.22,2.79,0.000001,-0.0000,-1.6606,nan,nan,nan,nan,nan,nan,0.0,0.0,34.95238483970269,32.54846124263142,-0.029083,-0.033432,6521.4,6099.2,0.007388,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778833481.362573,7,1.679494,-0.062082,0.001837,0.0281,0.0256,-0.000055,1.648453,0.000007,0.000003,-0.0009,1.679752,-0.061955,0.001838,0.0150,0.0018,0.000062,0.097825,0.0000,1.679752,0.000000,-0.000000,1.6238,0.000000,2.000000,198.3449,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0944,0.0000,0.000000,0.3680,6.34,5.78,18.47,7.37,0.000007,0.0002,-1.6246,nan,nan,nan,nan,nan,nan,0.0,0.0,35.649313247181325,27.228753000670423,-0.033330,-0.036907,6516.4,6104.2,0.010848,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778833481.374388,8,1.735898,0.016572,-0.002821,-0.0039,0.0099,0.000468,1.648434,0.000013,0.000007,-0.0008,1.736094,0.016685,-0.002820,0.0126,0.0020,0.000063,0.116577,0.0000,1.736094,0.000000,-0.000000,1.5453,0.000000,2.000000,162.5916,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1022,0.0000,0.000000,0.3920,5.45,5.59,16.50,4.49,0.000013,0.0004,-1.5461,nan,nan,nan,nan,nan,nan,0.0,0.0,35.46640664880189,30.031345753669683,-0.030983,-0.033271,6510.9,6109.7,0.014689,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778833481.388611,9,1.581518,0.046569,0.000699,0.0561,-0.0433,0.001037,1.648415,0.000020,0.000011,-0.0007,1.581827,0.046601,0.000699,0.0215,0.0007,0.000022,0.135174,0.0000,1.581827,0.000000,0.000000,1.7378,0.000000,2.000000,264.4879,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1103,0.0000,0.000000,0.4160,4.73,5.50,14.97,5.00,0.000020,0.0006,-1.7385,0.008000,0.114043,-0.2353,-0.480330,0.004569,0.000480,0.0,0.0,48.27998449285451,45.9803008593107,-0.008886,-0.009407,6505.4,6115.2,0.018550,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778833481.398567,10,1.599717,-0.075614,-0.004669,-0.0212,0.0318,0.000627,1.648397,0.000026,0.000015,-0.0006,1.599947,-0.075548,-0.004668,0.0178,0.0018,0.000063,0.153580,0.0000,1.599947,0.000000,0.000000,1.7182,0.000000,2.000000,245.2901,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1188,0.0000,0.000000,0.4400,4.10,5.30,13.49,4.13,0.000026,0.0008,-1.7188,0.008000,0.166150,-0.1156,-0.484137,0.009837,-0.000024,0.0,0.0,36.807925810285425,35.5987446128661,-0.019856,-0.019474,6500.0,6120.6,0.022280,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778833481.410463,11,1.634659,-0.028449,-0.005424,-0.0094,-0.0122,-0.000582,1.648380,0.000033,0.000018,-0.0005,1.634829,-0.028415,-0.005423,0.0148,0.0012,0.000029,0.171359,0.0000,1.634829,0.000000,0.000000,1.6788,0.000000,2.000000,201.4224,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1276,0.0000,0.000000,0.4640,3.54,5.14,12.22,4.26,0.000033,0.0011,-1.6793,0.008000,0.062373,-0.0126,-0.487207,0.005579,-0.003216,0.0,0.0,43.38357972620628,38.435863509323184,-0.010947,-0.011383,6494.8,6125.7,0.025883,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778833481.422237,12,1.653919,0.026672,0.000361,-0.1142,-0.0442,0.003549,1.648364,0.000040,0.000022,-0.0004,1.654047,0.026651,0.000363,0.0123,-0.0010,0.000023,0.190100,0.0000,1.654047,0.000000,0.000000,1.6559,0.000000,2.000000,184.9994,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1368,0.0000,0.000000,0.4880,3.07,5.00,11.13,4.20,0.000040,0.0013,-1.6563,0.008000,0.039859,-0.5318,-0.490222,-0.004046,0.004587,0.0,0.0,72.15778099677762,66.55057046723122,0.006074,0.010258,6489.5,6131.0,0.029583,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778833481.434377,13,1.589866,-0.080667,-0.003220,-0.0930,0.0769,0.000501,1.648349,0.000047,0.000027,-0.0003,1.589963,-0.080594,-0.003216,0.0104,0.0032,0.000150,0.207774,0.0000,1.589963,0.000000,0.000000,1.7291,0.000000,2.000000,222.6812,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1463,0.0000,0.000000,0.5120,2.66,4.87,10.20,4.12,0.000047,0.0015,-1.7294,0.008000,0.133830,0.4667,-0.494244,0.011616,-0.000404,0.0,0.0,32.42353861999574,29.012423569347177,-0.025164,-0.021151,6484.6,6136.0,0.033038,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778833481.446444,14,1.666526,0.040143,-0.002618,0.0123,0.0734,0.000443,1.648334,0.000055,0.000031,-0.0002,1.666622,0.040281,-0.002614,0.0111,0.0072,0.000266,0.225468,0.0000,1.666622,0.000000,-0.000000,1.6404,0.000000,2.000000,184.9137,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1561,0.0000,0.000000,0.5360,2.32,4.76,9.41,4.12,0.000055,0.0018,-1.6407,0.008000,0.162484,-0.2165,-0.497581,0.023575,-0.001813,0.0,0.0,37.33688289814802,16.149460663461113,-0.048946,-0.045150,6479.7,6140.9,0.036448,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778833481.458385,15,1.592114,0.022006,0.003215,0.0718,0.0370,-0.001394,1.648320,0.000063,0.000035,-0.0002,1.592310,0.022151,0.003217,0.0233,0.0088,0.000264,0.242574,0.0000,1.592310,0.000000,0.000000,1.7265,0.000000,2.000000,200.4691,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1662,0.0000,0.000000,0.5600,2.03,4.66,8.72,4.14,0.000063,0.0020,-1.7267,0.008000,0.119357,0.2514,-0.487093,0.026177,-0.000939,0.0,0.0,35.97060532189583,7.436102231169954,-0.052926,-0.051643,6475.0,6145.6,0.039717,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778833481.470330,16,1.639102,0.017903,0.005229,0.0073,0.0492,-0.000927,1.648307,0.000071,0.000039,-0.0001,1.639262,0.018065,0.005231,0.0206,0.0110,0.000290,0.259122,0.0000,1.639262,0.000000,0.000000,1.6736,0.000000,2.000000,189.7684,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1765,0.0000,0.000000,0.5840,1.78,4.59,8.15,4.20,0.000071,0.0022,-1.6737,0.008000,0.121483,0.1858,-0.491249,0.030629,-0.001510,0.0,0.0,28.31502142171469,-13.712030521758876,-0.061111,-0.061258,6470.5,6150.1,0.042847,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778833481.485289,17,1.570291,0.006251,-0.004902,0.0283,-0.0145,0.001955,1.648295,0.000079,0.000044,-0.0000,1.570458,0.006364,-0.004899,0.0225,0.0084,0.000271,0.276356,0.0000,1.570458,0.000000,0.000000,1.7499,0.000000,2.000000,201.1566,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1871,0.0000,0.000000,0.6080,1.57,4.60,7.74,4.60,0.000079,0.0025,-1.7499,0.008000,0.217212,-0.1201,-0.491225,0.021902,0.000222,0.0,0.0,35.29849595666546,22.127524403306836,-0.044921,-0.042545,6465.9,6154.7,0.046062,0.000000,0.000000,0.5000,1.0000,,,,,
0.2160,1778833481.494447,18,1.674954,-0.071679,0.004144,0.0036,0.0586,0.001033,1.648284,0.000088,0.000048,0.0000,1.675088,-0.071533,0.004148,0.0193,0.0117,0.000287,0.293579,0.0000,1.675088,0.000000,-0.000000,1.6297,0.000000,2.000000,221.5946,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1980,0.0000,0.000000,0.6320,1.40,4.52,7.32,4.12,0.000088,0.0028,-1.6297,0.008000,0.125474,0.2066,-0.496335,0.028999,0.002103,0.0,0.0,28.815932343740315,5.105907421953518,-0.059492,-0.056262,6461.4,6159.2,0.049223,0.000000,0.000000,0.5000,1.0000,,,,,
0.2280,1778833481.506510,19,1.661378,-0.026917,0.005897,0.0267,-0.0266,0.000966,1.648273,0.000097,0.000053,0.0001,1.661518,-0.026826,0.005900,0.0211,0.0077,0.000276,0.309971,0.0000,1.661518,0.000000,-0.000000,1.6468,0.000000,2.000000,218.6628,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2090,0.0000,0.000000,0.6560,1.24,4.45,6.93,4.00,0.000097,0.0030,-1.6467,0.008000,0.049864,0.5855,-0.496342,0.018241,-0.002869,0.0,0.0,32.42882605301449,26.822472393964716,-0.038320,-0.034477,6457.0,6163.6,0.052253,0.000000,0.000000,0.5000,1.0000,,,,,
0.2400,1778833481.518416,20,1.664272,-0.060219,-0.009993,-0.0256,-0.0272,0.000406,1.648263,0.000106,0.000057,0.0001,1.664382,-0.060173,-0.009990,0.0175,0.0042,0.000217,0.326099,0.0000,1.664382,0.000000,-0.000000,1.6432,0.000000,1.500000,52.0009,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2202,0.0000,0.000000,0.6740,1.11,5.31,7.54,10.23,0.000106,0.0033,-1.6431,0.008000,0.038596,-0.2742,-0.501800,0.009440,-0.001616,0.0,0.0,27.32522781134398,22.504263897610926,-0.020624,-0.017003,6452.8,6167.8,0.055219,0.000000,0.000000,0.5000,1.0000,,,,,
0.2520,1778833481.530473,21,1.690595,-0.008274,0.004465,0.0385,0.0603,0.001044,1.648253,0.000116,0.000062,0.0001,1.690749,-0.008175,0.004468,0.0222,0.0079,0.000286,0.334523,0.0000,1.690749,0.000000,-0.000000,1.6094,0.000000,1.000000,41.0010,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2312,0.0000,0.000000,0.6860,1.00,5.55,7.56,6.86,0.000116,0.0036,-1.6092,0.008000,0.038167,0.2403,-0.499186,0.019285,0.001568,0.0,0.0,33.19843029382301,29.078469978141285,-0.040600,-0.036351,6450.0,6170.5,0.057124,0.000000,0.000000,0.5000,1.0000,,,,,
