time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
8.0130,22.8112,0.5003,3.969,0,24.428,3.048,0.519,3.0176,2.019,3.019,0,1
8.0160,22.8230,0.5025,3.971,0,24.428,3.048,0.519,3.0095,2.019,3.019,0,1
8.0190,22.8348,0.5047,3.973,0,24.428,3.048,0.519,3.0013,2.019,3.019,0,1
8.0220,22.8466,0.5069,3.972,0,24.428,3.048,0.519,2.9932,2.019,3.019,0,1
8.0250,22.8583,0.5092,3.973,0,24.428,3.048,0.519,2.9851,2.019,3.019,0,1
8.0280,22.8701,0.5114,3.971,0,24.428,3.048,0.519,2.9770,2.019,3.019,0,1
8.0310,22.8818,0.5137,3.971,0,24.428,3.048,0.519,2.9689,2.019,3.019,0,1
8.0340,22.8936,0.5160,3.973,0,24.428,3.048,0.519,2.9609,2.019,3.019,0,1
8.0370,22.9054,0.5183,3.975,0,24.428,3.048,0.519,2.9528,2.019,3.019,0,1
8.0400,22.9171,0.5206,3.975,0,24.428,3.048,0.519,2.9448,2.019,3.019,0,1
8.0430,22.9289,0.5230,3.977,0,24.428,3.048,0.519,2.9367,2.019,3.019,0,1
8.0460,22.9406,0.5254,3.978,0,24.428,3.048,0.519,2.9287,2.019,3.019,0,1
8.0490,22.9524,0.5278,3.978,0,24.428,3.048,0.519,2.9207,2.019,3.019,0,1
8.0520,22.9641,0.5302,3.979,0,24.428,3.048,0.519,2.9127,2.019,3.019,0,1
8.0550,22.9759,0.5326,3.981,0,24.428,3.048,0.519,2.9047,2.019,3.019,0,1
8.0580,22.9876,0.5351,3.983,0,24.428,3.048,0.519,2.8967,2.019,3.019,0,1
8.0610,22.9994,0.5375,3.984,0,24.428,3.048,0.519,2.8887,2.019,3.019,0,1
8.0640,23.0112,0.5400,3.984,0,24.428,3.048,0.519,2.8808,2.019,3.019,0,1
8.0670,23.0229,0.5425,3.985,0,24.428,3.048,0.519,2.8728,2.019,3.019,0,1
8.0700,23.0347,0.5450,3.985,0,24.428,3.048,0.519,2.8649,2.019,3.019,0,1
8.0730,23.0464,0.5476,3.986,0,24.428,3.048,0.519,2.8570,2.019,3.019,0,1
8.0760,23.0582,0.5501,3.987,0,24.428,3.048,0.519,2.8491,2.019,3.019,0,1
8.0790,23.0699,0.5527,3.988,0,24.428,3.048,0.519,2.8412,2.019,3.019,0,1
8.0820,23.0817,0.5553,3.988,0,24.428,3.048,0.519,2.8333,2.019,3.019,0,1
8.0850,23.0934,0.5580,3.988,0,24.428,3.048,0.519,2.8254,2.019,3.019,0,1
8.0880,23.1052,0.5606,3.989,0,24.428,3.048,0.519,2.8175,2.019,3.019,0,1
8.0910,23.1169,0.5633,3.991,0,24.428,3.048,0.519,2.8097,2.019,3.019,0,1
8.0940,23.1286,0.5660,3.992,0,24.428,3.048,0.519,2.8018,2.019,3.019,0,1
8.0970,23.1404,0.5687,3.993,0,24.428,3.048,0.519,2.7940,2.019,3.019,0,1
8.1000,23.1521,0.5714,3.995,0,24.428,3.048,0.519,2.7862,2.019,3.019,0,1
8.1030,23.1639,0.5741,3.995,0,24.428,3.048,0.519,2.7784,2.019,3.019,0,1
8.1060,23.1756,0.5769,3.996,0,24.428,3.048,0.519,2.7706,2.019,3.019,0,1
8.1090,23.1874,0.5797,3.997,0,24.428,3.048,0.519,2.7628,2.019,3.019,0,1
8.1120,23.1991,0.5825,3.999,0,24.428,3.048,0.519,2.7551,2.019,3.019,0,1
8.1150,23.2109,0.5853,4.001,0,24.428,3.048,0.519,2.7473,2.019,3.019,0,1
8.1180,23.2226,0.5881,3.999,0,24.428,3.048,0.519,2.7396,2.019,3.019,0,1
8.1210,23.2344,0.5909,4.005,0,24.428,3.048,0.519,2.7319,2.019,3.019,0,1
8.1240,23.2461,0.5938,3.995,0,24.428,3.048,0.519,2.7242,2.019,3.019,0,1
8.1270,23.2579,0.5966,3.999,0,24.428,3.048,0.519,2.7166,2.019,3.019,0,1
8.1300,23.2696,0.5995,3.998,0,24.428,3.048,0.519,2.7090,2.019,3.019,0,1
8.1330,23.2813,0.6024,3.999,0,24.428,3.048,0.519,2.7014,2.019,3.019,0,1
8.1360,23.2931,0.6053,3.999,0,24.428,3.048,0.519,2.6938,2.019,3.019,0,1
8.1390,23.3048,0.6082,4.001,0,24.428,3.048,0.519,2.6862,2.019,3.019,0,1
8.1420,23.3166,0.6112,4.005,0,24.428,3.048,0.519,2.6786,2.019,3.019,0,1
8.1450,23.3283,0.6141,4.007,0,24.428,3.048,0.519,2.6711,2.019,3.019,0,1
8.1480,23.3401,0.6171,4.011,0,24.428,3.048,0.519,2.6635,2.019,3.019,0,1
8.1510,23.3518,0.6201,4.013,0,24.428,3.048,0.519,2.6560,2.019,3.019,0,1
8.1540,23.3636,0.6231,4.015,0,24.428,3.048,0.519,2.6485,2.019,3.019,0,1
8.1570,23.3753,0.6262,4.016,0,24.428,3.048,0.519,2.6410,2.019,3.019,0,1
8.1600,23.3871,0.6292,4.017,0,24.428,3.048,0.519,2.6335,2.019,3.019,0,1
8.1630,23.3989,0.6323,4.021,0,24.428,3.048,0.519,2.6261,2.019,3.019,0,1
8.1660,23.4106,0.6354,4.025,0,24.428,3.048,0.519,2.6187,2.019,3.019,0,1
8.1690,23.4224,0.6385,4.026,0,24.428,3.048,0.519,2.6112,2.019,3.019,0,1
8.1720,23.4342,0.6416,4.030,0,24.428,3.048,0.519,2.6039,2.019,3.019,0,1
8.1750,23.4460,0.6447,4.032,0,24.428,3.048,0.519,2.5965,2.019,3.019,0,1
8.1780,23.4577,0.6479,4.031,0,24.428,3.048,0.519,2.5892,2.019,3.019,0,1
