time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,20.238324,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000093,-0.000762,0.000058,0.000369,0.000000,0.097621,0.000000,0,0,20.238892,0.000000,0.000000,0.000000
0.204000,0.055295,0.000009,1.522611,0.000524,-0.000027,0.000378,0.000379,0.000000,0.169747,0.000000,0,0,20.239020,0.000000,0.000000,0.000000
0.306000,0.055218,0.000027,1.263977,0.000569,0.000229,0.001546,0.000422,0.000000,0.255165,0.000000,0,0,20.239095,0.000000,0.000000,0.000000
0.408000,0.055175,0.000072,0.902700,0.000425,0.000171,0.004993,0.000453,0.000000,0.327382,0.000000,0,0,20.239134,0.000000,0.000000,0.000000
0.510000,0.058421,-0.000214,0.564535,0.025130,0.073924,-0.004017,0.004112,0.000000,0.391120,0.000000,0,0,20.235923,0.000000,0.000000,0.000000
0.612000,0.059395,-0.000034,0.637564,-0.028291,-0.075114,0.000564,0.006514,0.000000,0.438077,0.000000,0,0,20.234937,0.000000,0.000000,0.000000
0.714000,0.052757,0.000388,0.741136,-0.019767,-0.052944,0.005497,0.001282,0.000000,0.507823,0.000000,0,0,20.241518,0.000000,0.000000,0.000000
0.816000,0.047862,0.000864,0.744989,-0.046540,-0.041992,-0.000899,0.024303,0.000000,0.601565,0.000000,0,0,20.246355,0.000000,0.000000,0.000000
0.918000,0.052788,0.000493,0.692064,0.076335,0.120023,0.017990,0.022579,0.000000,0.687672,0.000000,0,0,20.241478,0.000000,0.000000,0.000000
1.020000,0.073569,0.002593,0.662585,0.285760,0.272691,0.031866,-0.030618,0.000000,0.754742,0.000000,0,0,20.220594,0.000000,0.000000,0.000000
1.122000,0.115525,0.006804,0.686750,0.544185,0.527486,0.044515,0.008503,0.000000,0.790402,0.000000,0,0,20.178433,0.000000,0.000000,0.000000
1.224000,0.176990,0.013572,0.720947,0.672399,0.675484,0.073115,0.012965,0.000000,0.806710,0.000000,0,0,20.116618,0.000000,0.000000,0.000000
1.326000,0.254922,0.021397,0.743419,0.856545,0.854283,0.063454,0.024107,0.000000,0.801166,0.000000,0,0,20.038305,0.000000,0.000000,0.000000
1.428000,0.351106,0.028408,0.762008,1.029921,1.030004,0.055238,0.019040,0.000000,0.771609,0.000000,0,0,19.941871,0.000000,0.000000,0.000000
1.530000,0.464882,0.034138,0.774372,1.196582,1.198904,0.036633,0.016776,0.000000,0.725221,0.000000,0,0,19.828013,0.000000,0.000000,0.000000
1.632000,0.596099,0.038569,0.779860,1.364218,1.368731,0.028717,0.019409,0.000000,0.653808,0.000000,0,0,19.696886,0.000000,0.000000,0.000000
1.734000,0.743686,0.042454,0.779715,1.512492,1.515842,0.015723,0.011957,0.000000,0.577692,0.000000,0,0,19.549494,0.000000,0.000000,0.000000
1.836000,0.905283,0.045380,0.779474,1.648153,1.648283,0.003975,0.012716,0.000000,0.480982,0.000000,0,0,19.388226,0.000000,0.000000,0.000000
1.938000,1.080104,0.047636,0.780217,1.778267,1.778700,-0.000782,0.015454,0.000000,0.394931,0.000000,0,0,19.213847,0.000000,0.000000,0.000000
2.040000,1.268669,0.050852,0.780374,1.913595,1.915693,0.010463,0.012191,0.000000,0.326456,0.012906,0,0,19.025697,0.000000,0.000000,0.000000
2.142000,1.471043,0.055415,0.779783,2.044088,2.045074,0.015514,0.011440,0.000000,0.283180,0.031952,0,0,18.823683,0.000000,0.000000,0.000000
2.244000,1.685468,0.060914,0.779758,2.157467,2.158064,0.018745,0.015266,0.000000,0.247601,0.057416,0,0,18.609590,0.000000,0.000000,0.000000
2.346000,1.910799,0.067039,0.780281,2.256072,2.257749,0.018788,0.020621,0.000000,0.223859,0.081457,0,0,18.384587,0.000000,0.000000,0.000000
