step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.057,0.053,0.59,1.843,0.00,0,18,10.00,5.63,+0.000,0.318,0.024,+0.000,0.318,0.024,0,inf,7.71,0.000
40,4.417,0.220,4.05,0.639,23.06,2,18,10.00,3.98,+0.821,0.274,0.024,+0.821,0.274,0.024,0,23.925,7.85,0.000
60,8.247,1.292,15.02,3.251,-5.22,3,18,10.00,5.59,-0.186,0.279,0.161,-0.186,0.279,0.161,0,15.903,7.69,0.000
80,13.204,1.729,1.46,2.274,-13.80,5,18,10.00,4.79,-0.492,0.461,0.004,-0.492,0.461,0.004,0,11.322,7.71,0.000
82,13.679,1.691,-0.36,2.538,-14.23,5,18,10.00,4.74,-0.507,0.516,0.002,-0.513,0.512,0.000,1,10.649,50.03,0.000
84,14.210,1.633,-2.26,2.834,-14.87,5,18,10.00,4.68,-0.530,0.515,0.001,-0.523,0.506,0.000,1,9.922,47.24,0.000
85,14.496,1.594,-3.24,2.982,-13.94,5,18,10.00,4.77,-0.496,0.496,0.000,-0.497,0.493,0.000,1,9.655,47.23,0.000
86,14.796,1.549,-4.26,3.122,-16.17,5,18,10.00,4.55,-0.576,0.471,0.000,-0.569,0.464,0.000,1,9.812,47.97,0.000
87,15.109,1.497,-5.28,3.254,-15.77,5,18,10.00,4.58,-0.562,0.431,0.000,-0.549,0.429,0.000,1,9.640,47.61,0.000
88,15.433,1.436,-6.44,3.391,-15.93,5,18,10.00,4.57,-0.568,0.404,0.000,-0.568,0.397,0.000,1,9.199,46.76,0.000
89,15.769,1.367,-7.67,3.498,-17.71,5,18,10.00,4.40,-0.631,0.381,0.012,-0.629,0.360,0.000,1,9.043,46.66,0.000
90,16.112,1.289,-8.97,3.598,-16.83,5,18,10.00,4.48,-0.600,0.362,0.027,-0.601,0.333,0.000,1,8.418,47.53,0.000
91,16.463,1.200,-10.36,3.687,-15.32,5,18,10.00,4.62,-0.546,0.344,0.045,-0.534,0.302,0.000,1,7.888,47.79,0.000
100,19.595,0.080,-19.94,3.514,-3.20,5,18,10.00,5.61,-0.114,0.220,0.146,-0.114,0.220,0.146,0,5.624,7.80,0.000
118,24.801,-1.527,-13.90,3.092,12.91,5,18,10.00,4.87,+0.460,0.341,0.001,+0.468,0.339,0.000,1,-0.099,48.56,0.001
119,25.108,-1.574,-12.93,3.167,13.30,5,18,10.00,4.83,+0.474,0.354,0.001,+0.488,0.355,0.000,1,0.081,47.84,0.001
120,25.424,-1.617,-11.85,3.253,13.82,5,18,10.00,4.78,+0.492,0.361,0.000,+0.511,0.357,0.000,1,-0.092,46.97,0.001
121,25.750,-1.654,-10.69,3.344,12.99,5,18,10.00,4.86,+0.463,0.348,0.000,+0.509,0.334,0.000,1,-0.225,48.84,0.001
122,26.086,-1.685,-9.43,3.434,14.79,5,18,10.00,4.68,+0.527,0.339,0.000,+0.594,0.338,0.000,1,-0.123,48.10,0.002
