sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778833818.690175,0,1.576360,-0.145606,-0.010369,0.0021,-0.0359,0.000150,1.648994,-0.000000,-0.000000,-0.0020,1.576338,-0.145902,-0.010375,-0.0030,-0.0002,-0.000006,-0.116426,0.0000,1.576338,0.000000,0.000000,5.0000,0.000000,2.000000,1833.6069,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0721,0.0000,0.000000,0.2000,17.08,9.66,43.82,7.75,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,17.20178089327821,-312.69511459955174,0.071211,0.072199,6561.4,6059.1,-0.051406,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778833818.698644,1,1.665580,0.049821,-0.006569,0.0652,0.0193,-0.001161,1.648913,-0.000001,-0.000000,-0.0094,1.666102,0.049608,-0.006574,0.0118,-0.0002,-0.000007,-0.022243,0.0000,1.666102,0.000000,-0.000000,5.0000,0.000000,2.000000,1804.7921,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0783,0.0000,0.000000,0.2240,15.64,9.37,40.65,7.70,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,6.794430156053792,-214.62171228411034,0.050716,0.050033,6558.3,6062.2,-0.045981,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778833818.706993,2,1.609786,-0.059212,-0.005157,0.0535,0.0217,0.000267,1.648775,-0.000002,-0.000002,-0.0125,1.610581,-0.059350,-0.005160,0.0201,-0.0001,-0.000006,-0.008116,0.0000,1.610581,0.000000,0.000000,5.0000,0.000000,2.000000,1812.2604,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0853,0.0000,0.000000,0.2480,14.46,8.72,37.64,5.08,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,5.3131644906501805,-93.70072627184815,0.032359,0.032149,6553.4,6067.2,-0.037391,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778833818.712674,3,1.746752,-0.077920,0.003031,0.0362,0.0080,-0.000503,1.648627,-0.000004,-0.000003,-0.0121,1.747564,-0.078012,0.003029,0.0238,-0.0002,-0.000007,0.006928,0.0000,1.747564,0.000000,-0.000000,5.0000,0.000000,2.000000,1821.6109,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0929,0.0000,0.000000,0.2720,12.50,8.15,33.16,4.91,-0.000004,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,5.239013878148427,-8.694928752461678,0.023313,0.022501,6547.3,6073.3,-0.026731,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778833818.723857,4,1.630992,-0.001848,0.004432,-0.0868,0.0013,-0.000334,1.648492,-0.000007,-0.000005,-0.0106,1.631576,-0.001919,0.004430,0.0198,-0.0002,-0.000010,0.026434,0.0000,1.631576,0.000000,0.000000,5.0000,0.000000,2.000000,1833.6017,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1013,0.0000,0.000000,0.2960,10.71,7.66,29.09,4.87,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,4.4159561887369705,56.72416578561989,0.018498,0.017417,6540.3,6080.3,-0.014448,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778833818.735733,5,1.586120,-0.041602,0.003548,-0.0153,-0.0519,-0.001890,1.648462,-0.000004,-0.000003,0.0004,1.586549,-0.041742,0.003544,0.0171,-0.0007,-0.000029,0.065092,0.0000,1.586549,0.000000,0.000000,5.0000,0.000000,2.000000,1871.6016,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1102,0.0000,0.000000,0.3200,9.18,7.26,25.63,5.01,-0.000004,-0.0002,-4.9996,nan,nan,nan,nan,nan,nan,0.0,0.0,-22.889770005249964,56.78735357046935,0.036177,0.032893,6528.7,6091.9,0.005760,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778833818.747979,6,1.595392,-0.030613,0.002634,-0.0232,-0.1092,0.001744,1.648469,0.000002,0.000000,0.0003,1.595705,-0.030887,0.002628,0.0143,-0.0020,-0.000081,0.081716,0.0000,1.595705,0.000000,0.000000,5.0000,0.000000,2.000000,1890.7990,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1198,0.0000,0.000000,0.3440,7.90,6.94,22.74,5.12,0.000002,0.0000,-4.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,-19.33203644634895,-22.222173289832696,0.070259,0.069839,6523.0,6097.6,0.015712,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778833818.759689,7,1.673761,-0.045199,-0.010031,-0.0560,0.0380,0.001285,1.648453,0.000007,0.000003,-0.0008,1.673988,-0.045360,-0.010033,0.0120,-0.0016,-0.000061,0.096710,0.0000,1.673988,0.000000,-0.000000,5.0000,0.000000,2.000000,1904.8182,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1300,0.0000,0.000000,0.3680,6.80,6.67,20.26,5.17,0.000007,0.0002,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-29.768425295486033,84.82415649636266,0.041233,0.042532,6517.9,6102.7,0.024571,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778833818.771611,8,1.563513,-0.057095,-0.005164,-0.0087,-0.0277,0.000147,1.648434,0.000013,0.000007,-0.0008,1.563682,-0.057261,-0.005166,0.0102,-0.0023,-0.000084,0.114232,0.0000,1.563682,0.000000,0.000000,5.0000,0.000000,2.000000,1907.3566,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1407,0.0000,0.000000,0.3920,5.84,6.50,18.18,5.54,0.000013,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-28.427560116807307,112.81443500985358,0.043872,0.045107,6512.3,6108.2,0.034232,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778833818.786309,9,1.649322,0.008135,-0.003634,0.0153,0.0898,0.000139,1.648415,0.000020,0.000011,-0.0007,1.649499,0.008131,-0.003634,0.0117,-0.0001,0.000002,0.132472,0.0000,1.649499,0.000000,0.000000,5.0000,0.000000,2.000000,1907.0291,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1520,0.0000,0.000000,0.4160,5.03,6.42,16.49,5.93,0.000020,0.0006,-5.0007,0.008000,0.156256,0.3473,-0.490244,-0.000557,-0.006601,0.0,0.0,12.25543413419733,287.1823759568214,0.000548,0.001723,6506.8,6113.8,0.043857,0.000000,0.000000,0.5000,1.0000,,,,,
