time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
9.3930,22.4093,0.8065,3.901,0,24.428,3.048,0.519,3.0167,2.019,3.019,0,1
9.3960,22.4210,0.8067,3.901,0,24.428,3.048,0.519,3.0087,2.019,3.019,0,1
9.3990,22.4327,0.8070,3.902,0,24.428,3.048,0.519,3.0007,2.019,3.019,0,1
9.4020,22.4444,0.8072,3.904,0,24.428,3.048,0.519,2.9927,2.019,3.019,0,1
9.4050,22.4561,0.8075,3.904,0,24.428,3.048,0.519,2.9848,2.019,3.019,0,1
9.4080,22.4678,0.8078,3.903,0,24.428,3.048,0.519,2.9768,2.019,3.019,0,1
9.4110,22.4795,0.8081,3.902,0,24.428,3.048,0.519,2.9689,2.019,3.019,0,1
9.4140,22.4912,0.8085,3.903,0,24.428,3.048,0.519,2.9610,2.019,3.019,0,1
9.4170,22.5029,0.8088,3.903,0,24.428,3.048,0.519,2.9531,2.019,3.019,0,1
9.4200,22.5146,0.8092,3.906,0,24.428,3.048,0.519,2.9452,2.019,3.019,0,1
9.4230,22.5263,0.8095,3.906,0,24.428,3.048,0.519,2.9374,2.019,3.019,0,1
9.4260,22.5380,0.8099,3.909,0,24.428,3.048,0.519,2.9295,2.019,3.019,0,1
9.4290,22.5497,0.8103,3.909,0,24.428,3.048,0.519,2.9217,2.019,3.019,0,1
9.4320,22.5614,0.8107,3.910,0,24.428,3.048,0.519,2.9138,2.019,3.019,0,1
9.4350,22.5731,0.8111,3.910,0,24.428,3.048,0.519,2.9060,2.019,3.019,0,1
9.4380,22.5849,0.8116,3.911,0,24.428,3.048,0.519,2.8982,2.019,3.019,0,1
9.4410,22.5966,0.8120,3.913,0,24.428,3.048,0.519,2.8904,2.019,3.019,0,1
9.4440,22.6083,0.8124,3.914,0,24.428,3.048,0.519,2.8827,2.019,3.019,0,1
9.4470,22.6201,0.8129,3.914,0,24.428,3.048,0.519,2.8749,2.019,3.019,0,1
9.4500,22.6318,0.8134,3.915,0,24.428,3.048,0.519,2.8672,2.019,3.019,0,1
9.4530,22.6435,0.8139,3.916,0,24.428,3.048,0.519,2.8595,2.019,3.019,0,1
9.4560,22.6553,0.8144,3.915,0,24.428,3.048,0.519,2.8518,2.019,3.019,0,1
9.4590,22.6670,0.8149,3.916,0,24.428,3.048,0.519,2.8441,2.019,3.019,0,1
9.4620,22.6787,0.8154,3.917,0,24.428,3.048,0.519,2.8364,2.019,3.019,0,1
9.4650,22.6905,0.8160,3.918,0,24.428,3.048,0.519,2.8288,2.019,3.019,0,1
9.4680,22.7022,0.8165,3.919,0,24.428,3.048,0.519,2.8211,2.019,3.019,0,1
9.4710,22.7140,0.8171,3.920,0,24.428,3.048,0.519,2.8135,2.019,3.019,0,1
9.4740,22.7257,0.8176,3.921,0,24.428,3.048,0.519,2.8059,2.019,3.019,0,1
9.4770,22.7375,0.8182,3.921,0,24.428,3.048,0.519,2.7984,2.019,3.019,0,1
9.4800,22.7492,0.8188,3.922,0,24.428,3.048,0.519,2.7908,2.019,3.019,0,1
9.4830,22.7610,0.8194,3.924,0,24.428,3.048,0.519,2.7833,2.019,3.019,0,1
9.4860,22.7728,0.8200,3.925,0,24.428,3.048,0.519,2.7757,2.019,3.019,0,1
9.4890,22.7845,0.8206,3.926,0,24.428,3.048,0.519,2.7682,2.019,3.019,0,1
9.4920,22.7963,0.8213,3.928,0,24.428,3.048,0.519,2.7607,2.019,3.019,0,1
9.4950,22.8081,0.8219,3.928,0,24.428,3.048,0.519,2.7533,2.019,3.019,0,1
9.4980,22.8199,0.8226,3.929,0,24.428,3.048,0.519,2.7458,2.019,3.019,0,1
9.5010,22.8317,0.8233,3.930,0,24.428,3.048,0.519,2.7384,2.019,3.019,0,1
9.5040,22.8434,0.8240,3.928,0,24.428,3.048,0.519,2.7310,2.019,3.019,0,1
9.5070,22.8552,0.8247,3.929,0,24.428,3.048,0.519,2.7236,2.019,3.019,0,1
9.5100,22.8670,0.8254,3.930,0,24.428,3.048,0.519,2.7162,2.019,3.019,0,1
9.5130,22.8788,0.8261,3.920,0,24.428,3.048,0.519,2.7089,2.019,3.019,0,1
9.5160,22.8906,0.8268,3.930,0,24.428,3.048,0.519,2.7016,2.019,3.019,0,1
9.5190,22.9023,0.8275,3.926,0,24.428,3.048,0.519,2.6943,2.019,3.019,0,1
9.5220,22.9141,0.8282,3.926,0,24.428,3.048,0.519,2.6871,2.019,3.019,0,1
9.5250,22.9259,0.8290,3.927,0,24.428,3.048,0.519,2.6798,2.019,3.019,0,1
9.5280,22.9377,0.8297,3.928,0,24.428,3.048,0.519,2.6726,2.019,3.019,0,1
9.5310,22.9494,0.8305,3.929,0,24.428,3.048,0.519,2.6654,2.019,3.019,0,1
9.5340,22.9612,0.8313,3.931,0,24.428,3.048,0.519,2.6582,2.019,3.019,0,1
9.5370,22.9730,0.8321,3.935,0,24.428,3.048,0.519,2.6511,2.019,3.019,0,1
9.5400,22.9849,0.8330,3.938,0,24.428,3.048,0.519,2.6439,2.019,3.019,0,1
9.5430,22.9967,0.8338,3.944,0,24.428,3.048,0.519,2.6368,2.019,3.019,0,1
9.5460,23.0085,0.8347,3.946,0,24.428,3.048,0.519,2.6296,2.019,3.019,0,1
9.5490,23.0204,0.8355,3.953,0,24.428,3.048,0.519,2.6225,2.019,3.019,0,1
9.5520,23.0322,0.8364,3.949,0,24.428,3.048,0.519,2.6154,2.019,3.019,0,1
9.5550,23.0441,0.8373,3.952,0,24.428,3.048,0.519,2.6084,2.019,3.019,0,1
9.5580,23.0559,0.8382,3.954,0,24.428,3.048,0.519,2.6014,2.019,3.019,0,1
9.5610,23.0678,0.8391,3.956,0,24.428,3.048,0.519,2.5944,2.019,3.019,0,1
9.5640,23.0796,0.8400,3.958,0,24.428,3.048,0.519,2.5874,2.019,3.019,0,1
9.5670,23.0915,0.8409,3.959,0,24.428,3.048,0.519,2.5804,2.019,3.019,0,1
9.5700,23.1034,0.8419,3.961,0,24.428,3.048,0.519,2.5735,2.019,3.019,0,1
9.5730,23.1152,0.8428,3.963,0,24.428,3.048,0.519,2.5666,2.019,3.019,0,1
9.5760,23.1271,0.8438,3.964,0,24.428,3.048,0.519,2.5597,2.019,3.019,0,1
9.5790,23.1390,0.8447,3.966,0,24.428,3.048,0.519,2.5529,2.019,3.019,0,1
9.5820,23.1509,0.8457,3.967,0,24.428,3.048,0.519,2.5461,2.019,3.019,0,1
9.5850,23.1627,0.8467,3.968,0,24.428,3.048,0.519,2.5393,2.019,3.019,0,1
9.5880,23.1746,0.8477,3.970,0,24.428,3.048,0.519,2.5325,2.019,3.019,0,1
9.5910,23.1865,0.8487,3.971,0,24.428,3.048,0.519,2.5258,2.019,3.019,0,1
9.5940,23.1984,0.8497,3.973,0,24.428,3.048,0.519,2.5190,2.019,3.019,0,1
9.5970,23.2103,0.8507,3.975,0,24.428,3.048,0.519,2.5124,2.019,3.019,0,1
9.6000,23.2222,0.8518,3.977,0,24.428,3.048,0.519,2.5057,2.019,3.019,0,1
9.6030,23.2341,0.8528,3.979,0,24.428,3.048,0.519,2.4991,2.019,3.019,0,1
9.6060,23.2460,0.8539,3.975,0,24.428,3.048,0.519,2.4925,2.019,3.019,0,1
9.6090,23.2579,0.8549,3.976,0,24.428,3.048,0.519,2.4859,2.019,3.019,0,1
9.6120,23.2698,0.8560,3.978,0,24.428,3.048,0.519,2.4794,2.019,3.019,0,1
9.6150,23.2818,0.8571,3.981,0,24.428,3.048,0.519,2.4729,2.019,3.019,0,1
9.6180,23.2937,0.8582,3.985,0,24.428,3.048,0.519,2.4664,2.019,3.019,0,1
9.6210,23.3056,0.8594,3.987,0,24.428,3.048,0.519,2.4599,2.019,3.019,0,1
9.6240,23.3175,0.8605,3.989,0,24.428,3.048,0.519,2.4535,2.019,3.019,0,1
9.6270,23.3295,0.8616,3.993,0,24.428,3.048,0.519,2.4471,2.019,3.019,0,1
9.6300,23.3414,0.8628,3.996,0,24.428,3.048,0.519,2.4407,2.019,3.019,0,1
9.6330,23.3534,0.8640,3.998,0,24.428,3.048,0.519,2.4344,2.019,3.019,0,1
9.6360,23.3653,0.8652,4.000,0,24.428,3.048,0.519,2.4280,2.019,3.019,0,1
9.6390,23.3773,0.8664,4.001,0,24.428,3.048,0.519,2.4218,2.019,3.019,0,1
9.6420,23.3893,0.8676,4.003,0,24.428,3.048,0.519,2.4155,2.019,3.019,0,1
9.6450,23.4012,0.8688,4.006,0,24.428,3.048,0.519,2.4093,2.019,3.019,0,1
9.6480,23.4132,0.8700,4.008,0,24.428,3.048,0.519,2.4031,2.019,3.019,0,1
9.6510,23.4252,0.8712,4.010,0,24.428,3.048,0.519,2.3969,2.019,3.019,0,1
9.6540,23.4372,0.8724,4.012,0,24.428,3.048,0.519,2.3908,2.019,3.019,0,1
9.6570,23.4492,0.8737,4.016,0,24.428,3.048,0.519,2.3848,2.019,3.019,0,1
9.6600,23.4612,0.8750,4.018,0,24.428,3.048,0.519,2.3787,2.019,3.019,0,1
9.6630,23.4732,0.8762,4.018,0,24.428,3.048,0.519,2.3727,2.019,3.019,0,1
9.6660,23.4852,0.8775,4.020,0,24.428,3.048,0.519,2.3667,2.019,3.019,0,1
9.6690,23.4972,0.8788,4.022,0,24.428,3.048,0.519,2.3608,2.019,3.019,0,1
9.6720,23.5092,0.8801,4.024,0,24.428,3.048,0.519,2.3549,2.019,3.019,0,1
9.6750,23.5212,0.8814,4.024,0,24.428,3.048,0.519,2.3490,2.019,3.019,0,1
9.6780,23.5332,0.8827,4.027,0,24.428,3.048,0.519,2.3432,2.019,3.019,0,1
9.6810,23.5453,0.8840,4.028,0,24.428,3.048,0.519,2.3374,2.019,3.019,0,1
9.6840,23.5573,0.8853,4.028,0,24.428,3.048,0.519,2.3317,2.019,3.019,0,1
9.6870,23.5693,0.8866,4.031,0,24.428,3.048,0.519,2.3260,2.019,3.019,0,1
9.6900,23.5813,0.8880,4.032,0,24.428,3.048,0.519,2.3203,2.019,3.019,0,1
9.6930,23.5934,0.8893,4.034,0,24.428,3.048,0.519,2.3147,2.019,3.019,0,1
9.6960,23.6054,0.8907,4.036,0,24.428,3.048,0.519,2.3091,2.019,3.019,0,1
9.6990,23.6175,0.8921,4.038,0,24.428,3.048,0.519,2.3036,2.019,3.019,0,1
9.7020,23.6295,0.8935,4.036,0,24.428,3.048,0.519,2.2981,2.019,3.019,0,1
9.7050,23.6416,0.8948,4.043,0,24.428,3.048,0.519,2.2926,2.019,3.019,0,1
9.7080,23.6536,0.8962,4.037,0,24.428,3.048,0.519,2.2872,2.019,3.019,0,1
9.7110,23.6657,0.8976,4.042,0,24.428,3.048,0.519,2.2818,2.019,3.019,0,1
9.7140,23.6778,0.8991,4.041,0,24.428,3.048,0.519,2.2765,2.019,3.019,0,1
9.7170,23.6898,0.9005,4.040,0,24.428,3.048,0.519,2.2712,2.019,3.019,0,1
9.7200,23.7019,0.9019,4.041,0,24.428,3.048,0.519,2.2659,2.019,3.019,0,1
9.7230,23.7139,0.9033,4.042,0,24.428,3.048,0.519,2.2607,2.019,3.019,0,1
9.7260,23.7260,0.9048,4.044,0,24.428,3.048,0.519,2.2556,2.019,3.019,0,1
9.7290,23.7381,0.9063,4.046,0,24.428,3.048,0.519,2.2505,2.019,3.019,0,1
9.7320,23.7502,0.9077,4.050,0,24.428,3.048,0.519,2.2454,2.019,3.019,0,1
9.7350,23.7623,0.9093,4.054,0,24.428,3.048,0.519,2.2403,2.019,3.019,0,1
9.7380,23.7744,0.9108,4.057,0,24.428,3.048,0.519,2.2353,2.019,3.019,0,1
9.7410,23.7865,0.9123,4.060,0,24.428,3.048,0.519,2.2304,2.019,3.019,0,1
9.7440,23.7986,0.9138,4.062,0,24.428,3.048,0.519,2.2254,2.019,3.019,0,1
9.7470,23.8107,0.9153,4.064,0,24.428,3.048,0.519,2.2206,2.019,3.019,0,1
9.7500,23.8228,0.9168,4.066,0,24.428,3.048,0.519,2.2158,2.019,3.019,0,1
9.7530,23.8349,0.9184,4.068,0,24.428,3.048,0.519,2.2110,2.019,3.019,0,1
9.7560,23.8471,0.9199,4.070,0,24.428,3.048,0.519,2.2063,2.019,3.019,0,1
9.7590,23.8592,0.9215,4.072,0,24.428,3.048,0.519,2.2016,2.019,3.019,0,1
9.7620,23.8713,0.9230,4.074,0,24.428,3.048,0.519,2.1970,2.019,3.019,0,1
9.7650,23.8835,0.9246,4.077,0,24.428,3.048,0.519,2.1925,2.019,3.019,0,1
9.7680,23.8956,0.9262,4.079,0,24.428,3.048,0.519,2.1880,2.019,3.019,0,1
9.7710,23.9078,0.9278,4.081,0,24.428,3.048,0.519,2.1835,2.019,3.019,0,1
9.7740,23.9199,0.9293,4.084,0,24.428,3.048,0.519,2.1791,2.019,3.019,0,1
9.7770,23.9321,0.9309,4.086,0,24.428,3.048,0.519,2.1747,2.019,3.019,0,1
9.7800,23.9443,0.9325,4.088,0,24.428,3.048,0.519,2.1705,2.019,3.019,0,1
9.7830,23.9565,0.9341,4.090,0,24.428,3.048,0.519,2.1662,2.019,3.019,0,1
9.7860,23.9686,0.9357,4.093,0,24.428,3.048,0.519,2.1620,2.019,3.019,0,1
9.7890,23.9808,0.9373,4.096,0,24.428,3.048,0.519,2.1579,2.019,3.019,0,1
9.7920,23.9930,0.9389,4.097,0,24.428,3.048,0.519,2.1538,2.019,3.019,0,1
9.7950,24.0052,0.9406,4.098,0,24.428,3.048,0.519,2.1498,2.019,3.019,0,1
9.7980,24.0174,0.9422,4.101,0,24.428,3.048,0.519,2.1459,2.019,3.019,0,1
9.8010,24.0296,0.9438,4.099,0,24.428,3.048,0.519,2.1420,2.019,3.019,0,1
9.8040,24.0418,0.9454,4.108,0,24.428,3.048,0.519,2.1381,2.019,3.019,0,1
9.8070,24.0541,0.9471,4.103,0,24.428,3.048,0.519,2.1343,2.019,3.019,0,1
9.8100,24.0663,0.9487,4.107,0,24.428,3.048,0.519,2.1306,2.019,3.019,0,1
9.8130,24.0785,0.9504,4.109,0,24.428,3.048,0.519,2.1269,2.019,3.019,0,1
9.8160,24.0907,0.9520,4.109,0,24.428,3.048,0.519,2.1233,2.019,3.019,0,1
9.8190,24.1030,0.9537,4.111,0,24.428,3.048,0.519,2.1198,2.019,3.019,0,1
9.8220,24.1152,0.9554,4.112,0,24.428,3.048,0.519,2.1163,2.019,3.019,0,1
9.8250,24.1274,0.9570,4.118,0,24.428,3.048,0.519,2.1129,2.019,3.019,0,1
9.8280,24.1397,0.9587,4.118,0,24.428,3.048,0.519,2.1095,2.019,3.019,0,1
9.8310,24.1519,0.9604,4.120,0,24.428,3.048,0.519,2.1062,2.019,3.019,0,1
9.8340,24.1642,0.9621,4.123,0,24.428,3.048,0.519,2.1029,2.019,3.019,0,1
9.8370,24.1765,0.9638,4.125,0,24.428,3.048,0.519,2.0998,2.019,3.019,0,1
9.8400,24.1887,0.9655,4.127,0,24.428,3.048,0.519,2.0966,2.019,3.019,0,1
9.8430,24.2010,0.9672,4.130,0,24.428,3.048,0.519,2.0936,2.019,3.019,0,1
9.8460,24.2133,0.9689,4.131,0,24.428,3.048,0.519,2.0906,2.019,3.019,0,1
9.8490,24.2256,0.9706,4.131,0,24.428,3.048,0.519,2.0876,2.019,3.019,0,1
9.8520,24.2379,0.9723,4.129,0,24.428,3.048,0.519,2.0848,2.019,3.019,0,1
9.8550,24.2501,0.9741,4.126,0,24.428,3.048,0.519,2.0820,2.019,3.019,0,1
9.8580,24.2624,0.9758,4.127,0,24.428,3.048,0.519,2.0792,2.019,3.019,0,1
9.8610,24.2746,0.9775,4.127,0,24.428,3.048,0.519,2.0766,2.019,3.019,0,1
9.8640,24.2869,0.9793,4.127,0,24.428,3.048,0.519,2.0740,2.019,3.019,0,1
9.8670,24.2992,0.9810,4.129,0,24.428,3.048,0.519,2.0714,2.019,3.019,0,1
9.8700,24.3114,0.9828,4.125,0,24.428,3.048,0.519,2.0689,2.019,3.019,0,1
9.8730,24.3237,0.9846,4.126,0,24.428,3.048,0.519,2.0665,2.019,3.019,0,1
9.8760,24.3359,0.9864,4.127,0,24.428,3.048,0.519,2.0641,2.019,3.019,0,1
9.8790,24.3482,0.9882,4.127,0,24.428,3.048,0.519,2.0618,2.019,3.019,0,1
9.8820,24.3605,0.9900,4.126,0,24.428,3.048,0.519,2.0595,2.019,3.019,0,1
9.8850,24.3727,0.9918,4.127,0,24.428,3.048,0.519,2.0573,2.019,3.019,0,1
9.8880,24.3850,0.9937,4.127,0,24.428,3.048,0.519,2.0552,2.019,3.019,0,1
9.8910,24.3972,0.9956,4.127,0,24.428,3.048,0.519,2.0531,2.019,3.019,0,1
9.8940,24.4095,0.9974,4.127,0,24.428,3.048,0.519,2.0511,2.019,3.019,0,1
9.8970,24.4217,0.9993,4.126,0,24.428,3.048,0.519,2.0492,2.019,3.019,0,1
9.9000,24.4339,1.0012,4.126,0,24.428,3.048,0.519,2.0472,2.019,3.019,0,1
9.9030,24.4462,1.0031,4.127,0,24.428,3.048,0.519,2.0454,2.019,3.019,0,1
9.9060,24.4584,1.0051,4.131,0,24.428,3.048,0.519,2.0436,2.019,3.019,0,1
9.9090,24.4707,1.0070,4.131,0,24.428,3.048,0.519,2.0419,2.019,3.019,0,1
9.9120,24.4829,1.0090,4.131,0,24.428,3.048,0.519,2.0403,2.019,3.019,0,1
9.9150,24.4952,1.0109,4.130,0,24.428,3.048,0.519,2.0387,2.019,3.019,0,1
9.9180,24.5074,1.0129,4.130,0,24.428,3.048,0.519,2.0371,2.019,3.019,0,1
9.9210,24.5197,1.0149,4.130,0,24.428,3.048,0.519,2.0357,2.019,3.019,0,1
9.9240,24.5319,1.0169,4.130,0,24.428,3.048,0.519,2.0343,2.019,3.019,0,1
9.9270,24.5442,1.0189,4.130,0,24.428,3.048,0.519,2.0329,2.019,3.019,0,1
9.9300,24.5564,1.0209,4.129,0,24.428,3.048,0.519,2.0316,2.019,3.019,0,1
9.9330,24.5686,1.0229,4.129,0,24.428,3.048,0.519,2.0304,2.019,3.019,0,1
9.9360,24.5808,1.0250,4.128,0,24.428,3.048,0.519,2.0293,2.019,3.019,0,1
9.9390,24.5931,1.0270,4.127,0,24.428,3.048,0.519,2.0282,2.019,3.019,0,1
9.9420,24.6053,1.0291,4.124,0,24.428,3.048,0.519,2.0272,2.019,3.019,0,1
9.9450,24.6175,1.0312,4.123,0,24.428,3.048,0.519,2.0262,2.019,3.019,0,1
9.9480,24.6297,1.0332,4.122,0,24.428,3.048,0.519,2.0253,2.019,3.019,0,1
9.9510,24.6419,1.0353,4.122,0,24.428,3.048,0.519,2.0245,2.019,3.019,0,1
9.9540,24.6541,1.0374,4.121,0,24.428,3.048,0.519,2.0237,2.019,3.019,0,1
9.9570,24.6663,1.0395,4.121,0,24.428,3.048,0.519,2.0230,2.019,3.019,0,1
9.9600,24.6785,1.0417,4.121,0,24.428,3.048,0.519,2.0224,2.019,3.019,0,1
9.9630,24.6907,1.0438,4.121,0,24.428,3.048,0.519,2.0218,2.019,3.019,0,1
9.9660,24.7029,1.0460,4.120,0,24.428,3.048,0.519,2.0213,2.019,3.019,0,1
9.9690,24.7151,1.0481,4.120,0,24.428,3.048,0.519,2.0209,2.019,3.019,0,1
9.9720,24.7273,1.0503,4.119,0,24.428,3.048,0.519,2.0205,2.019,3.019,0,1
9.9750,24.7394,1.0525,4.120,0,24.428,3.048,0.519,2.0201,2.019,3.019,0,1
9.9780,24.7516,1.0547,4.117,0,24.428,3.048,0.519,2.0199,2.019,3.019,0,1
9.9810,24.7638,1.0569,4.118,0,24.428,3.048,0.519,2.0197,2.019,3.019,0,1
9.9840,24.7760,1.0591,4.118,0,24.428,3.048,0.519,2.0196,2.019,3.019,0,1
9.9870,24.7882,1.0614,4.116,0,24.428,3.048,0.519,2.0195,2.019,3.019,0,1
9.9900,24.8003,1.0636,4.115,0,24.428,3.048,0.519,2.0195,2.019,3.019,0,1
9.9930,24.8125,1.0659,4.115,0,24.428,3.048,0.519,2.0196,2.019,3.019,0,1
9.9960,24.8246,1.0682,4.114,0,24.428,3.048,0.519,2.0197,2.019,3.019,0,1
9.9990,24.8368,1.0704,4.112,0,24.428,3.048,0.519,2.0199,2.019,3.019,0,1
10.0020,24.8490,1.0728,4.117,0,24.428,3.048,0.519,2.0201,2.019,3.019,0,1
10.0050,24.8611,1.0751,4.101,0,24.428,3.048,0.519,2.0204,2.019,3.019,0,1
10.0080,24.8732,1.0774,4.106,0,24.428,3.048,0.519,2.0208,2.019,3.019,0,1
10.0110,24.8854,1.0797,4.106,0,24.428,3.048,0.519,2.0212,2.019,3.019,0,1
10.0140,24.8975,1.0821,4.105,0,24.428,3.048,0.519,2.0217,2.019,3.019,0,1
10.0170,24.9096,1.0844,4.102,0,24.428,3.048,0.519,2.0223,2.019,3.019,0,1
10.0200,24.9217,1.0868,4.100,0,24.428,3.048,0.519,2.0229,2.019,3.019,0,1
10.0230,24.9338,1.0892,4.101,0,24.428,3.048,0.519,2.0236,2.019,3.019,0,1
10.0260,24.9460,1.0916,4.101,0,24.428,3.048,0.519,2.0243,2.019,3.019,0,1
10.0290,24.9581,1.0940,4.101,0,24.428,3.048,0.519,2.0251,2.019,3.019,0,1
10.0320,24.9702,1.0964,4.100,0,24.428,3.048,0.519,2.0260,2.019,3.019,0,1
10.0350,24.9823,1.0989,4.101,0,24.428,3.048,0.519,2.0269,2.019,3.019,0,1
10.0380,24.9944,1.1014,4.100,0,24.428,3.048,0.519,2.0279,2.019,3.019,0,1
10.0410,25.0065,1.1039,4.099,0,24.428,3.048,0.519,2.0289,2.019,3.019,0,1
10.0440,25.0186,1.1063,4.100,0,24.428,3.048,0.519,2.0300,2.019,3.019,0,1
10.0470,25.0306,1.1088,4.099,0,24.428,3.048,0.519,2.0312,2.019,3.019,0,1
10.0500,25.0427,1.1113,4.100,0,24.428,3.048,0.519,2.0324,2.019,3.019,0,1
10.0530,25.0548,1.1139,4.098,0,24.428,3.048,0.519,2.0337,2.019,3.019,0,1
10.0560,25.0669,1.1164,4.098,0,24.428,3.048,0.519,2.0351,2.019,3.019,0,1
10.0590,25.0790,1.1189,4.097,0,24.428,3.048,0.519,2.0365,2.019,3.019,0,1
10.0620,25.0910,1.1214,4.096,0,24.428,3.048,0.519,2.0380,2.019,3.019,0,1
10.0650,25.1031,1.1240,4.095,0,24.428,3.048,0.519,2.0396,2.019,3.019,0,1
10.0680,25.1152,1.1265,4.094,0,24.428,3.048,0.519,2.0412,2.019,3.019,0,1
10.0710,25.1272,1.1291,4.093,0,24.428,3.048,0.519,2.0429,2.019,3.019,0,1
10.0740,25.1393,1.1317,4.093,0,24.428,3.048,0.519,2.0446,2.019,3.019,0,1
10.0770,25.1513,1.1342,4.092,0,24.428,3.048,0.519,2.0464,2.019,3.019,0,1
10.0800,25.1634,1.1368,4.092,0,24.428,3.048,0.519,2.0483,2.019,3.019,0,1
10.0830,25.1754,1.1394,4.090,0,24.428,3.048,0.519,2.0502,2.019,3.019,0,1
10.0860,25.1874,1.1420,4.090,0,24.428,3.048,0.519,2.0522,2.019,3.019,0,1
10.0890,25.1994,1.1447,4.089,0,24.428,3.048,0.519,2.0543,2.019,3.019,0,1
10.0920,25.2115,1.1473,4.088,0,24.428,3.048,0.519,2.0564,2.019,3.019,0,1
10.0950,25.2235,1.1499,4.088,0,24.428,3.048,0.519,2.0586,2.019,3.019,0,1
10.0980,25.2355,1.1526,4.086,0,24.428,3.048,0.519,2.0608,2.019,3.019,0,1
10.1010,25.2475,1.1552,4.089,0,24.428,3.048,0.519,2.0631,2.019,3.019,0,1
10.1040,25.2594,1.1579,4.052,0,24.428,3.048,0.519,2.0655,2.019,3.019,0,1
10.1070,25.2714,1.1605,4.085,0,24.428,3.048,0.519,2.0679,2.019,3.019,0,1
10.1100,25.2834,1.1632,4.077,0,24.428,3.048,0.519,2.0704,2.019,3.019,0,1
10.1130,25.2953,1.1659,4.076,0,24.428,3.048,0.519,2.0729,2.019,3.019,0,1
10.1160,25.3073,1.1686,4.077,0,24.428,3.048,0.519,2.0755,2.019,3.019,0,1
10.1190,25.3193,1.1713,4.075,0,24.428,3.048,0.519,2.0781,2.019,3.019,0,1
10.1220,25.3312,1.1740,4.070,0,24.428,3.048,0.519,2.0808,2.019,3.019,0,1
10.1250,25.3431,1.1768,4.066,0,24.428,3.048,0.519,2.0836,2.019,3.019,0,1
10.1280,25.3551,1.1795,4.068,0,24.428,3.048,0.519,2.0864,2.019,3.019,0,1
10.1310,25.3670,1.1822,4.068,0,24.428,3.048,0.519,2.0893,2.019,3.019,0,1
10.1340,25.3789,1.1850,4.064,0,24.428,3.048,0.519,2.0922,2.019,3.019,0,1
10.1370,25.3908,1.1878,4.063,0,24.428,3.048,0.519,2.0952,2.019,3.019,0,1
10.1400,25.4028,1.1905,4.062,0,24.428,3.048,0.519,2.0982,2.019,3.019,0,1
10.1430,25.4147,1.1933,4.060,0,24.428,3.048,0.519,2.1013,2.019,3.019,0,1
10.1460,25.4265,1.1961,4.056,0,24.428,3.048,0.519,2.1045,2.019,3.019,0,1
10.1490,25.4384,1.1989,4.053,0,24.428,3.048,0.519,2.1077,2.019,3.019,0,1
10.1520,25.4503,1.2017,4.049,0,24.428,3.048,0.519,2.1110,2.019,3.019,0,1
10.1550,25.4622,1.2045,4.047,0,24.428,3.048,0.519,2.1143,2.019,3.019,0,1
10.1580,25.4740,1.2074,4.044,0,24.428,3.048,0.519,2.1176,2.019,3.019,0,1
10.1610,25.4858,1.2102,4.041,0,24.428,3.048,0.519,2.1211,2.019,3.019,0,1
10.1640,25.4977,1.2130,4.038,0,24.428,3.048,0.519,2.1245,2.019,3.019,0,1
10.1670,25.5095,1.2159,4.035,0,24.428,3.048,0.519,2.1281,2.019,3.019,0,1
10.1700,25.5213,1.2187,4.031,0,24.428,3.048,0.519,2.1316,2.019,3.019,0,1
10.1730,25.5331,1.2216,4.028,0,24.428,3.048,0.519,2.1353,2.019,3.019,0,1
10.1760,25.5449,1.2245,4.025,0,24.428,3.048,0.519,2.1389,2.019,3.019,0,1
10.1790,25.5567,1.2274,4.023,0,24.428,3.048,0.519,2.1426,2.019,3.019,0,1
10.1820,25.5684,1.2303,4.018,0,24.428,3.048,0.519,2.1464,2.019,3.019,0,1
10.1850,25.5802,1.2332,4.017,0,24.428,3.048,0.519,2.1502,2.019,3.019,0,1
10.1880,25.5919,1.2361,4.015,0,24.428,3.048,0.519,2.1541,2.019,3.019,0,1
10.1910,25.6037,1.2391,4.012,0,24.428,3.048,0.519,2.1580,2.019,3.019,0,1
10.1940,25.6154,1.2420,4.010,0,24.428,3.048,0.519,2.1619,2.019,3.019,0,1
10.1970,25.6271,1.2450,4.007,0,24.428,3.048,0.519,2.1659,2.019,3.019,0,1
10.2000,25.6389,1.2479,4.008,0,24.428,3.048,0.519,2.1700,2.019,3.019,0,1
10.2030,25.6506,1.2509,4.004,0,24.428,3.048,0.519,2.1741,2.019,3.019,0,1
10.2060,25.6623,1.2539,4.005,0,24.428,3.048,0.519,2.1782,2.019,3.019,0,1
10.2090,25.6740,1.2569,4.002,0,24.428,3.048,0.519,2.1824,2.019,3.019,0,1
