sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778834127.570436,0,1.598129,-0.016837,-0.002755,-0.1386,0.0561,-0.001552,1.648994,-0.000000,-0.000000,-0.0020,1.598024,-0.016382,-0.002752,-0.0048,0.0002,0.000010,-0.109468,0.0000,1.598024,0.000000,0.000000,5.0000,0.000000,2.000000,1827.1344,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0729,0.0000,0.000000,0.2000,17.07,9.58,43.73,7.20,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-247.43166045212564,-607.2629756922105,-0.106754,-0.116876,6559.7,6060.9,-0.019328,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778834127.578347,1,1.709803,-0.032074,-0.006783,0.0669,0.0642,0.000700,1.648913,-0.000001,-0.000000,-0.0094,1.710275,-0.031608,-0.006778,0.0107,0.0004,0.000016,-0.015350,0.0000,1.710275,0.000000,-0.000000,5.0000,0.000000,2.000000,1807.5886,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0792,0.0000,0.000000,0.2240,15.54,9.40,40.49,8.39,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-276.91771589191893,-621.8321351299197,-0.111228,-0.118502,6556.5,6064.1,-0.017071,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778834127.587334,2,1.682151,0.038481,0.004919,-0.0061,0.0221,0.000365,1.648775,-0.000002,-0.000002,-0.0125,1.682509,0.038896,0.004924,0.0089,0.0004,0.000019,-0.001723,0.0000,1.682509,0.000000,-0.000000,5.0000,0.000000,2.000000,1814.4945,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0862,0.0000,0.000000,0.2480,14.39,8.73,37.50,4.90,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,-206.39512556801836,-549.5952852352424,-0.098532,-0.103953,6551.7,6068.8,-0.013784,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778834127.592834,3,1.545712,-0.019173,0.012581,-0.0058,0.0363,0.000940,1.648627,-0.000005,-0.000003,-0.0121,1.545972,-0.018780,0.012587,0.0077,0.0007,0.000031,0.013397,0.0000,1.545972,0.000000,0.000000,5.0000,0.000000,2.000000,1823.5999,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0940,0.0000,0.000000,0.2720,12.43,8.16,33.02,4.94,-0.000005,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-188.09427520541374,-527.0166096379006,-0.094077,-0.097263,6545.6,6075.0,-0.009495,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778834127.603955,4,1.633204,0.027743,-0.001266,-0.0776,-0.0151,-0.000392,1.648492,-0.000007,-0.000005,-0.0106,1.633401,0.028029,-0.001262,0.0069,0.0009,0.000038,0.032698,0.0000,1.633401,0.000000,0.000000,5.0000,0.000000,2.000000,1839.2119,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1024,0.0000,0.000000,0.2960,10.64,7.64,28.92,4.72,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,-81.33375118539007,-424.63465333614806,-0.069876,-0.072954,6538.6,6082.0,-0.004622,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778834127.615981,5,1.619668,0.074412,0.011238,-0.0409,-0.0837,0.001574,1.648462,-0.000004,-0.000003,0.0007,1.619820,0.074514,0.011240,0.0066,0.0005,0.000020,0.069096,0.0000,1.619820,0.000000,0.000000,5.0000,0.000000,2.000000,1879.0406,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1114,0.0000,0.000000,0.3200,9.12,7.20,25.45,4.73,-0.000004,-0.0002,-4.9993,nan,nan,nan,nan,nan,nan,0.0,0.0,33.92423453560835,-209.80853761846998,-0.024999,-0.025482,6527.6,6093.0,0.003058,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778834127.627978,6,1.621466,0.025841,-0.006618,-0.0177,-0.0670,0.000938,1.648468,0.000001,-0.000000,0.0001,1.621581,0.025819,-0.006618,0.0058,-0.0002,-0.000006,0.084659,0.0000,1.621581,0.000000,0.000000,5.0000,0.000000,2.000000,1894.2789,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1210,0.0000,0.000000,0.3440,7.83,6.83,22.50,4.72,0.000001,-0.0000,-4.9999,nan,nan,nan,nan,nan,nan,0.0,0.0,50.12393178850171,-73.51986564770007,0.005188,0.005997,6522.1,6098.5,0.006871,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778834127.640053,7,1.591062,-0.025689,0.005147,0.0355,0.0213,0.001164,1.648453,0.000006,0.000003,-0.0009,1.591289,-0.025671,0.005149,0.0121,0.0002,0.000009,0.100069,0.0000,1.591289,0.000000,0.000000,5.0000,0.000000,2.000000,1906.1118,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1313,0.0000,0.000000,0.3680,6.74,6.55,20.04,4.97,0.000006,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,36.36411312732076,-131.39106002233066,-0.004769,-0.002628,6516.9,6103.7,0.010495,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778834127.652070,8,1.637306,-0.024676,-0.002759,-0.0507,-0.1176,0.002370,1.648434,0.000014,0.000007,-0.0008,1.637474,-0.024829,-0.002759,0.0102,-0.0022,-0.000074,0.117700,0.0000,1.637474,0.000000,0.000000,5.0000,0.000000,2.000000,1905.9835,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1420,0.0000,0.000000,0.3920,5.81,6.43,18.05,5.71,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-6.890760322252447,12.760434509626094,0.040201,0.044948,6511.4,6109.2,0.014362,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778834127.666177,9,1.619196,0.015651,-0.003678,-0.0002,0.0204,-0.001285,1.648415,0.000021,0.000011,-0.0007,1.619323,0.015558,-0.003678,0.0088,-0.0017,-0.000052,0.136023,0.0000,1.619323,0.000000,0.000000,5.0000,0.000000,2.000000,1907.6402,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1533,0.0000,0.000000,0.4160,5.00,6.33,16.34,5.76,0.000021,0.0006,-5.0007,0.008000,0.043197,-0.0595,-0.493215,-0.013191,-0.000789,0.0,0.0,0.13493005729515062,-59.94025209436526,0.025319,0.027509,6505.8,6114.7,0.018212,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778834127.675948,10,1.605618,-0.101594,-0.005747,0.0272,-0.0467,-0.001234,1.648397,0.000027,0.000015,-0.0006,1.605793,-0.101732,-0.005749,0.0128,-0.0031,-0.000106,0.154167,0.0000,1.605793,0.000000,0.000000,5.0000,0.000000,2.000000,1917.1541,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1651,0.0000,0.000000,0.4400,4.32,6.13,14.77,5.01,0.000027,0.0008,-5.0006,0.008000,0.169614,0.0448,-0.489267,-0.019684,-0.002468,0.0,0.0,-33.382560645232644,-51.60138332048748,0.039256,0.039445,6500.5,6120.1,0.021936,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778834127.687882,11,1.602283,-0.048800,0.001227,-0.0246,-0.0017,-0.000428,1.648380,0.000034,0.000018,-0.0005,1.602415,-0.048910,0.001225,0.0108,-0.0030,-0.000104,0.171951,0.0000,1.602415,0.000000,0.000000,5.0000,0.000000,2.000000,1919.1399,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1774,0.0000,0.000000,0.4640,3.74,5.92,13.39,4.74,0.000034,0.0011,-5.0005,0.008000,0.157139,-0.1987,-0.491344,-0.016202,0.002237,0.0,0.0,-36.060022499625425,-93.2471112268199,0.032583,0.032189,6495.3,6125.3,0.025557,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778834127.699919,12,1.679721,-0.087096,-0.011215,0.0462,0.1084,0.000492,1.648364,0.000042,0.000023,-0.0004,1.679932,-0.087047,-0.011214,0.0181,0.0017,0.000052,0.189853,0.0000,1.679932,0.000000,-0.000000,5.0000,0.000000,2.000000,1931.2640,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1901,0.0000,0.000000,0.4880,3.25,5.76,12.25,4.84,0.000042,0.0013,-5.0004,0.008000,0.108378,-1.3506,-0.485417,0.007917,0.002344,0.0,0.0,-29.311884659136233,-279.3337048594965,-0.015983,-0.015672,6490.2,6130.4,0.029138,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778834127.711960,13,1.646521,-0.100836,-0.001872,-0.0291,-0.0220,0.001393,1.648349,0.000050,0.000027,-0.0003,1.646680,-0.100821,-0.001870,0.0151,0.0005,0.000040,0.207335,0.0000,1.646680,0.000000,0.000000,5.0000,0.000000,2.000000,1941.9595,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2032,0.0000,0.000000,0.5120,2.83,5.60,11.27,4.72,0.000050,0.0015,-5.0003,0.008000,0.134068,-0.0317,-0.490429,0.002126,0.000873,0.0,0.0,-33.637480441506376,-245.66299637422475,-0.005233,-0.003202,6485.2,6135.3,0.032573,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778834127.724026,14,1.629678,0.094578,0.002067,-0.0784,-0.0131,0.001126,1.648334,0.000058,0.000031,-0.0002,1.629799,0.094576,0.002069,0.0126,-0.0002,0.000035,0.224964,0.0000,1.629799,0.000000,0.000000,5.0000,0.000000,2.000000,1954.1141,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2167,0.0000,0.000000,0.5360,2.49,5.47,10.45,4.71,0.000058,0.0018,-5.0002,0.008000,0.045245,-0.4976,-0.496554,-0.000820,0.005344,0.0,0.0,-44.52265009357883,-240.0271074023417,0.000155,0.003232,6480.4,6140.2,0.035983,0.000000,0.000000,0.5000,1.0000,,,,,
