time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,22.542451,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000087,-0.000757,0.000109,0.000346,0.000000,0.142022,0.000000,0,0,22.543016,0.000000,0.000000,0.000000
0.204000,0.055295,0.000014,1.522611,0.000533,-0.000021,0.000655,0.000369,0.000000,0.244963,0.000000,0,0,22.543143,0.000000,0.000000,0.000000
0.306000,0.055218,0.000049,1.263977,0.000592,0.000229,0.002809,0.000422,0.000000,0.365517,0.000000,0,0,22.543215,0.000000,0.000000,0.000000
0.408000,0.055223,0.000182,0.904390,0.003958,0.008203,0.011357,0.006857,0.000000,0.483063,0.000000,0,0,22.543194,0.000000,0.000000,0.000000
0.510000,0.061970,0.001325,0.642798,0.062814,0.107936,0.029127,0.010322,0.000000,0.588190,0.000000,0,0,22.536357,0.000000,0.000000,0.000000
0.612000,0.062159,0.003600,0.716106,-0.029552,-0.070439,0.023291,-0.017440,0.000000,0.665656,0.000000,0,0,22.535887,0.000000,0.000000,0.000000
0.714000,0.059437,0.007543,0.789741,0.010884,-0.000362,0.045877,-0.025477,0.000000,0.723363,0.000000,0,0,22.538100,0.000000,0.000000,0.000000
0.816000,0.067162,0.008951,0.782781,0.170246,0.177632,-0.027057,0.011459,0.000000,0.771965,0.000000,0,0,22.530260,0.000000,0.000000,0.000000
0.918000,0.103409,0.003501,0.763866,0.533319,0.528326,-0.031956,-0.001880,0.000000,0.811760,0.000000,0,0,22.494968,0.000000,0.000000,0.000000
1.020000,0.175613,0.003442,0.777506,0.903343,0.891948,0.028438,0.006168,0.000000,0.832667,0.000000,0,0,22.423333,0.000000,0.000000,0.000000
1.122000,0.283127,0.007424,0.806930,1.209545,1.204111,0.045374,0.013797,0.000000,0.830855,0.000000,0,0,22.316162,0.000000,0.000000,0.000000
1.224000,0.420964,0.013737,0.835770,1.494460,1.492973,0.065557,0.007575,0.000000,0.803341,0.000000,0,0,22.178619,0.000000,0.000000,0.000000
1.326000,0.587295,0.021396,0.855688,1.762939,1.764590,0.071591,0.014528,0.000000,0.760989,0.000000,0,0,22.012644,0.000000,0.000000,0.000000
1.428000,0.781855,0.029405,0.864714,2.039869,2.040867,0.071548,0.020345,0.000000,0.698744,0.000000,0,0,21.818631,0.000000,0.000000,0.000000
1.530000,1.003946,0.036781,0.864231,2.293663,2.299351,0.053842,0.023686,0.000000,0.633958,0.000000,0,0,21.597404,0.000000,0.000000,0.000000
1.632000,1.251356,0.043174,0.857746,2.536160,2.545308,0.045276,0.022991,0.000000,0.547232,0.000000,0,0,21.351212,0.000000,0.000000,0.000000
1.734000,1.524312,0.050119,0.852368,2.792939,2.798863,0.044746,0.015751,0.000000,0.482771,0.002455,0,0,21.079646,0.000000,0.000000,0.000000
1.836000,1.821349,0.058030,0.852921,3.012060,3.010022,0.044646,0.015390,0.000000,0.429892,0.020689,0,0,20.784116,0.000000,0.000000,0.000000
1.938000,2.136753,0.066436,0.855184,3.159739,3.164122,0.045092,0.020693,0.000000,0.393609,0.044185,0,0,20.470358,0.000000,0.000000,0.000000
2.040000,2.466006,0.075478,0.851275,3.279584,3.281715,0.038558,0.020318,0.000000,0.360972,0.074957,0,0,20.142840,0.000000,0.000000,0.000000
2.142000,2.803537,0.083996,0.844173,3.325737,3.324873,0.025033,0.008578,0.000000,0.337039,0.103401,0,0,19.807249,0.000000,0.000000,0.000000
2.244000,3.143972,0.092785,0.833748,3.376176,3.346434,0.044550,-0.019806,0.000000,0.314119,0.133761,0,0,19.468807,0.000000,0.000000,0.000000
2.346000,3.481634,0.101377,0.800233,3.253765,3.224987,-0.001498,0.056555,-0.045455,0.296336,0.157335,0,0,19.133207,0.000000,0.000000,0.000000
2.448000,3.803704,0.104358,0.795886,3.053504,3.104523,-0.057107,-0.020569,-0.164391,0.278480,0.176391,0,0,18.813905,0.000000,0.000000,0.000000
2.550000,4.113488,0.100555,0.818548,2.953292,2.970411,-0.110228,-0.075612,-0.195843,0.264083,0.184875,0,0,18.507823,0.000000,0.000000,0.000000
2.652000,4.411212,0.092256,0.834811,2.885975,2.873160,-0.105597,-0.063818,-0.084350,0.249193,0.185534,0,0,18.214441,0.000000,0.000000,0.000000
2.754000,4.700501,0.082998,0.831167,2.811101,2.793740,-0.104645,-0.048864,-0.084379,0.236913,0.179533,0,0,17.929675,0.000000,0.000000,0.000000
2.856000,4.980407,0.073649,0.821461,2.699084,2.693191,-0.065930,-0.011308,-0.080866,0.224003,0.167180,0,0,17.654334,0.000000,0.000000,0.000000
2.958000,5.249270,0.066308,0.817634,2.575192,2.580479,-0.066407,-0.028223,-0.056300,0.213228,0.152490,0,0,17.389732,0.000000,0.000000,0.000000
3.060000,5.507549,0.059503,0.819888,2.487852,2.489082,-0.036871,0.008637,-0.029794,0.201805,0.132737,0,0,17.135621,0.000000,0.000000,0.000000
3.162000,5.757510,0.055221,0.821812,2.419228,2.420402,-0.019220,-0.015847,-0.062341,0.192213,0.113322,0,0,16.889440,0.000000,0.000000,0.000000
3.264000,6.000531,0.051323,0.820235,2.351063,2.350938,-0.008081,-0.016836,-0.010851,0.182000,0.090654,0,0,16.650148,0.000000,0.000000,0.000000
3.366000,6.237079,0.049038,0.817464,2.290147,2.289680,0.006707,0.012746,-0.023847,0.174228,0.068307,0,0,16.417079,0.000000,0.000000,0.000000
3.468000,6.467772,0.047078,0.816359,2.238138,2.237648,0.009413,0.011808,-0.016365,0.179943,0.043873,0,0,16.189821,0.000000,0.000000,0.000000
3.570000,6.693163,0.046054,0.818381,2.189151,2.188059,0.010965,-0.018762,0.012781,0.196958,0.029600,0,0,15.967723,0.000000,0.000000,0.000000
3.672000,6.914569,0.045565,0.820199,2.163486,2.158498,0.023520,-0.001792,-0.062793,0.247497,0.019012,0,0,15.749544,0.000000,0.000000,0.000000
3.774000,7.134956,0.045472,0.817930,2.173733,2.166548,0.024146,0.009207,0.055985,0.302917,0.012827,0,0,15.532382,0.000000,0.000000,0.000000
3.876000,7.357461,0.046466,0.815204,2.205876,2.202859,0.024895,0.023051,0.015326,0.358074,0.008654,0,0,15.313027,0.000000,0.000000,0.000000
3.978000,7.585217,0.046524,0.815046,2.268578,2.269008,0.000380,-0.001266,-0.003638,0.400779,0.005839,0,0,15.088749,0.000000,0.000000,0.000000
4.080000,7.821728,0.044601,0.816967,2.370813,2.370390,-0.018954,-0.009115,0.014624,0.433736,0.003750,0,0,14.856301,0.000000,0.000000,0.000000
4.182000,8.070600,0.042102,0.818605,2.518515,2.515015,-0.009883,0.001640,0.001193,0.449827,0.002409,0,0,14.611914,0.000000,0.000000,0.000000
4.284000,8.335366,0.039534,0.818566,2.670974,2.670087,-0.001846,0.022354,0.019122,0.450326,0.001625,0,0,14.352051,0.000000,0.000000,0.000000
4.386000,8.617104,0.038679,0.817128,2.846242,2.847621,0.007264,0.011953,0.078876,0.432550,0.001044,0,0,14.075356,0.000000,0.000000,0.000000
4.488000,8.916099,0.039103,0.816226,3.003588,3.006712,0.016935,0.024614,0.038488,0.403021,0.000670,0,0,13.781654,0.000000,0.000000,0.000000
4.590000,9.230777,0.040970,0.815928,3.155251,3.154295,0.014987,0.006737,0.043922,0.385475,0.002930,0,0,13.472489,0.000000,0.000000,0.000000
4.692000,9.559303,0.043266,0.815690,3.281570,3.281114,0.013283,-0.005984,0.094107,0.367399,0.017471,0,0,13.149893,0.000000,0.000000,0.000000
4.794000,9.898701,0.045570,0.817523,3.365479,3.366064,0.003840,0.016031,0.030384,0.351447,0.033827,0,0,12.816907,0.000000,0.000000,0.000000
4.896000,10.245249,0.046941,0.821934,3.421216,3.422994,-0.006729,0.002918,-0.063693,0.333892,0.054017,0,0,12.477418,0.000000,0.000000,0.000000
4.998000,10.596067,0.046625,0.824538,3.448720,3.450352,-0.016788,-0.027403,-0.044010,0.318768,0.071836,0,0,12.134456,0.000000,0.000000,0.000000
5.100000,10.948444,0.045050,0.823641,3.450762,3.455039,-0.008801,-0.003283,-0.051962,0.302384,0.090061,0,0,11.790640,0.000000,0.000000,0.000000
