step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.992,0.064,0.69,3.134,0.00,0,18,27.00,7.54,+0.000,0.472,0.003,+0.000,0.472,0.003,0,inf,7.67,0.000
40,8.137,0.044,-0.31,2.728,0.30,3,18,27.00,7.58,+0.011,0.377,0.009,+0.011,0.377,0.009,0,18.220,7.65,0.000
60,14.989,0.098,1.84,3.473,5.67,5,18,27.00,7.46,+0.202,0.261,0.019,+0.202,0.261,0.019,0,10.610,8.14,0.000
80,22.464,1.595,14.11,4.175,0.89,5,18,27.00,7.46,+0.032,0.355,0.000,+0.032,0.355,0.000,0,1.196,7.76,0.000
83,23.670,1.904,14.32,4.199,-0.86,5,18,27.00,7.46,-0.031,0.351,0.000,-0.040,0.361,0.000,1,0.485,48.87,0.001
84,24.073,2.005,14.24,4.203,-2.42,5,18,27.00,7.46,-0.086,0.351,0.000,+0.076,0.459,0.000,1,-0.463,47.70,0.069
85,24.476,2.107,14.23,4.215,-4.28,5,18,27.00,7.45,-0.153,0.351,0.000,+0.320,0.399,0.000,1,-0.334,46.83,0.111
86,24.880,2.214,14.48,4.228,-7.02,5,18,27.00,7.28,-0.250,0.350,0.000,-0.478,0.241,0.000,1,-0.502,47.92,0.251
87,25.283,2.330,15.01,4.234,-10.31,5,18,27.00,6.91,-0.367,0.350,0.000,+0.850,0.600,0.000,1,0.606,47.60,0.454
88,25.687,2.435,14.41,4.226,-11.51,5,18,27.00,6.76,-0.410,0.350,0.000,+0.850,0.600,0.000,1,0.280,47.03,0.482
89,26.088,2.548,14.81,4.191,-16.59,5,18,27.00,6.16,-0.591,0.350,0.000,+0.850,0.600,0.000,1,0.177,47.48,0.612
90,26.481,2.677,16.05,4.175,-21.70,5,18,27.00,5.60,-0.773,0.350,0.000,+0.850,0.600,0.000,1,0.159,47.38,0.877
91,26.867,2.826,17.61,4.154,-26.80,5,18,27.00,5.12,-0.955,0.353,0.000,+0.850,0.600,0.000,1,0.180,47.33,2.288
92,27.244,2.994,19.31,4.137,-28.07,5,18,27.00,5.01,-1.000,0.373,0.000,+0.245,0.111,0.000,1,-0.410,46.85,0.680
93,27.613,3.179,21.11,4.145,-28.07,5,18,27.00,5.01,-1.000,0.387,0.000,+0.326,0.287,0.000,1,-0.169,46.85,0.743
94,27.980,3.364,22.27,4.123,-28.07,5,18,27.00,5.01,-1.000,0.404,0.000,+0.361,0.297,0.000,1,-0.035,47.99,0.849
95,28.342,3.551,23.38,4.077,-28.07,5,18,27.00,5.01,-1.000,0.423,0.000,+0.449,0.307,0.000,1,0.087,47.03,0.975
96,28.698,3.741,24.61,4.030,-28.07,5,18,27.00,5.02,-1.000,0.446,0.000,+0.781,0.628,0.000,1,-0.437,47.29,1.092
97,29.046,3.939,26.02,4.013,-28.07,5,18,27.00,5.02,-1.000,0.469,0.000,+0.202,0.467,0.000,1,-0.321,46.94,0.411
98,29.386,4.149,27.74,4.035,-28.07,5,18,27.00,5.02,-1.000,0.494,0.000,+0.232,0.511,0.000,1,-0.191,47.63,0.435
99,29.727,4.362,28.78,4.068,-28.07,5,18,27.00,5.02,-1.000,0.512,0.000,+0.131,0.526,0.000,1,-0.377,47.47,0.358
100,30.068,4.577,29.55,4.095,-28.07,5,18,27.00,5.01,-1.000,0.522,0.000,-0.897,0.569,0.000,1,-0.383,47.16,0.033
101,30.412,4.792,30.19,4.079,-28.07,5,18,27.00,5.01,-1.000,0.523,0.000,-0.934,0.521,0.000,1,-0.375,47.11,0.022
102,30.760,4.992,29.68,4.023,-28.07,5,18,27.00,5.02,-1.000,0.516,0.000,-0.885,0.513,0.000,1,-0.424,47.51,0.040
103,31.113,5.170,28.55,3.959,-28.07,5,18,27.00,5.02,-1.000,0.508,0.000,-0.861,0.507,0.000,1,-0.397,47.18,0.050
104,31.471,5.326,27.08,3.925,-28.07,5,18,27.00,5.02,-1.000,0.505,0.000,-0.847,0.522,0.000,1,-0.471,47.17,0.053
105,31.835,5.462,25.37,3.925,-28.07,5,18,27.00,5.02,-1.000,0.514,0.000,-0.847,0.540,0.000,1,-0.467,47.17,0.066
106,32.209,5.581,23.53,3.953,-28.07,5,18,27.00,5.02,-1.000,0.530,0.000,-0.810,0.474,0.000,1,-0.475,46.99,0.085
107,32.591,5.682,21.57,3.966,-28.07,5,18,27.00,5.02,-1.000,0.549,0.000,-0.818,0.544,0.000,1,-0.477,47.28,0.089
108,32.978,5.769,19.49,3.959,-28.07,5,18,27.00,5.02,-1.000,0.568,0.000,-0.835,0.546,0.000,1,-0.494,47.14,0.074
109,33.368,5.842,17.27,3.953,-28.07,5,18,27.00,5.02,-1.000,0.584,0.000,-0.786,0.591,0.000,1,-0.491,47.06,0.071
110,33.759,5.900,14.94,3.954,-28.07,5,18,27.00,5.02,-1.000,0.603,0.000,-0.780,0.563,0.000,1,-0.452,47.54,0.026
111,34.152,5.944,12.66,3.960,-27.29,5,18,27.00,5.09,-0.972,0.624,0.000,-0.600,0.668,0.000,1,-0.354,46.72,0.099
112,34.546,5.975,10.39,3.989,-24.76,5,18,27.00,5.32,-0.882,0.650,0.000,-0.689,0.632,0.000,1,-0.205,47.09,0.035
113,34.943,5.995,8.37,3.992,-21.70,5,18,27.00,5.61,-0.773,0.672,0.000,-0.693,0.704,0.000,1,-0.015,46.99,0.003
114,35.341,6.000,6.35,3.993,-20.94,5,18,27.00,5.69,-0.746,0.694,0.000,-0.776,0.689,0.000,1,0.206,47.74,0.000
115,35.739,5.992,4.34,3.991,-18.00,5,18,27.00,6.01,-0.641,0.714,0.000,-0.648,0.717,0.000,1,-0.124,47.29,0.001
116,36.136,5.970,2.22,3.996,-15.45,5,18,27.00,6.30,-0.550,0.735,0.000,-0.555,0.733,0.000,1,0.248,47.24,0.000
117,36.534,5.936,0.35,4.034,-14.95,5,18,27.00,6.36,-0.532,0.752,0.000,-0.525,0.757,0.000,1,-0.138,47.15,0.000
118,36.935,5.892,-1.38,4.059,-13.62,5,18,27.00,6.52,-0.485,0.766,0.000,-0.492,0.767,0.000,1,0.172,47.43,0.000
119,37.336,5.840,-3.03,4.071,-12.67,5,18,27.00,6.63,-0.451,0.778,0.000,-0.449,0.777,0.000,1,0.158,47.07,0.000
120,37.736,5.778,-4.56,4.069,-12.14,5,18,27.00,6.70,-0.432,0.789,0.000,-0.431,0.791,0.000,1,0.108,47.13,0.000
121,38.135,5.707,-5.98,4.092,-11.63,5,18,27.00,6.76,-0.414,0.799,0.000,-0.410,0.799,0.000,1,0.039,47.42,0.000
122,38.534,5.629,-7.39,4.099,-12.38,5,18,27.00,6.66,-0.441,0.809,0.000,-0.433,0.803,0.000,1,0.321,47.19,0.000
