sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778650321.747357,0,1.596918,0.023234,0.009323,0.0057,-0.0021,0.000023,1.648994,-0.000000,-0.000000,-0.0020,1.597058,0.023218,0.009322,0.0007,-0.0000,-0.000000,-0.112455,0.0000,1.597058,0.000000,0.000000,1.4858,0.000000,2.000000,398.4973,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0510,0.0000,0.000000,0.2000,17.08,9.11,43.27,4.05,-0.000000,-0.0000,-1.4879,nan,nan,nan,nan,nan,nan,0.0,0.0,-4.450105306026259,-280.1879882380099,0.004151,0.004304,6560.4,6060.1,-0.049653,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778650321.755497,1,1.676806,0.035190,0.002744,-0.0168,-0.0621,0.000563,1.648913,-0.000001,-0.000000,-0.0094,1.676926,0.035077,0.002742,0.0022,-0.0001,-0.000005,-0.023353,0.0000,1.676926,0.000000,-0.000000,1.3761,0.000000,2.000000,279.3162,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0554,0.0000,0.000000,0.2240,14.59,8.55,37.72,5.37,-0.000001,-0.0000,-1.3855,nan,nan,nan,nan,nan,nan,0.0,0.0,18.590926778259245,-53.22563576040618,0.027050,0.027892,6557.3,6063.3,-0.044116,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778650321.767433,2,1.626194,0.099741,-0.000795,0.0037,0.0197,-0.000714,1.648775,-0.000002,-0.000001,-0.0124,1.626308,0.099682,-0.000797,0.0028,-0.0001,-0.000005,-0.013729,0.0000,1.626308,0.000000,0.000000,1.4484,0.000000,2.000000,296.7787,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0603,0.0000,0.000000,0.2480,12.46,7.64,32.56,2.51,-0.000002,-0.0001,-1.4609,nan,nan,nan,nan,nan,nan,0.0,0.0,14.849206011133475,-203.9394014816418,0.014643,0.014409,6552.4,6068.2,-0.035616,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778650321.779480,3,1.599132,0.009148,-0.004281,0.0403,-0.0230,0.000085,1.648627,-0.000004,-0.000003,-0.0120,1.599445,0.009063,-0.004283,0.0105,-0.0003,-0.000012,0.000667,0.0000,1.599445,0.000000,0.000000,1.4829,0.000000,2.000000,309.7022,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0657,0.0000,0.000000,0.2720,10.65,6.91,28.21,2.73,-0.000004,-0.0002,-1.4949,nan,nan,nan,nan,nan,nan,0.0,0.0,25.397231968991036,-170.504038482733,0.020673,0.020593,6546.5,6074.1,-0.025266,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778650321.791422,4,1.664339,-0.043215,-0.008338,0.0959,-0.0040,0.000019,1.648492,-0.000007,-0.000005,-0.0105,1.665031,-0.043293,-0.008339,0.0276,-0.0004,-0.000016,0.022127,0.0000,1.665031,0.000000,-0.000000,1.3941,0.000000,2.000000,290.6200,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0716,0.0000,0.000000,0.2960,9.11,6.24,24.46,2.47,-0.000007,-0.0003,-1.4047,nan,nan,nan,nan,nan,nan,0.0,0.0,27.422980719039742,-221.05716357726976,0.018196,0.018157,6539.1,6081.5,-0.012415,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778650321.803405,5,1.605377,-0.020764,0.010570,0.0724,0.0529,-0.000314,1.648464,-0.000004,-0.000003,0.0004,1.606178,-0.020734,0.010570,0.0371,0.0002,0.000007,0.056676,0.0000,1.606178,0.000000,0.000000,1.4744,0.000000,2.000000,288.9767,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0779,0.0000,0.000000,0.3200,7.81,5.68,21.29,2.51,-0.000004,-0.0002,-1.4740,nan,nan,nan,nan,nan,nan,0.0,0.0,-5.428669061048211,-445.58982881153764,-0.005612,-0.006046,6528.7,6091.9,0.005729,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778650321.815446,6,1.548736,0.143901,0.001877,-0.0201,-0.0083,0.000635,1.648468,0.000001,-0.000000,0.0002,1.549304,0.143908,0.001877,0.0304,0.0001,0.000003,0.073515,0.0000,1.549304,0.000000,0.000000,1.5426,0.000000,2.000000,307.8810,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0847,0.0000,0.000000,0.3440,6.70,5.20,18.59,2.48,0.000001,-0.0000,-1.5424,nan,nan,nan,nan,nan,nan,0.0,0.0,-6.711254358157873,-424.41806461902024,-0.001710,-0.001249,6523.0,6097.6,0.015617,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778650321.827524,7,1.732308,-0.038132,-0.000630,0.0189,0.0036,-0.002151,1.648453,0.000007,0.000003,-0.0009,1.732774,-0.038126,-0.000631,0.0285,0.0002,-0.000003,0.089059,0.0000,1.732774,0.000000,-0.000000,1.2810,0.000000,2.000000,337.5042,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0918,0.0000,0.000000,0.3680,5.77,4.79,16.33,2.49,0.000007,0.0002,-1.2818,nan,nan,nan,nan,nan,nan,0.0,0.0,-14.519020716840359,-457.80077569946104,-0.001438,-0.003815,6517.9,6102.7,0.024546,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778650321.839405,8,1.708701,0.042013,0.005694,-0.0119,0.0617,0.000301,1.648434,0.000014,0.000007,-0.0008,1.709034,0.042103,0.005695,0.0234,0.0021,0.000065,0.107030,0.0000,1.709034,0.000000,-0.000000,1.3237,0.000000,2.000000,356.8409,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0993,0.0000,0.000000,0.3920,4.96,4.46,14.37,2.54,0.000014,0.0004,-1.3245,nan,nan,nan,nan,nan,nan,0.0,0.0,-93.05724892346247,-643.4395887775141,-0.025234,-0.026764,6512.3,6108.3,0.034265,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778650321.851473,9,1.686624,0.097829,-0.001282,-0.0885,0.0563,-0.000208,1.648415,0.000020,0.000011,-0.0007,1.686864,0.097969,-0.001281,0.0192,0.0042,0.000132,0.125527,0.0000,1.686864,0.000000,-0.000000,1.3605,0.000000,2.000000,379.3334,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1072,0.0000,0.000000,0.4160,4.28,4.16,12.73,2.49,0.000020,0.0006,-1.3612,0.008000,0.084042,-0.5914,-0.482246,0.021380,0.002594,0.0,0.0,-173.15709520220688,-783.3189780936891,-0.042012,-0.043509,6506.8,6113.8,0.043925,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778650321.863428,10,1.647252,0.062668,-0.003277,-0.0107,-0.0303,0.001541,1.648397,0.000027,0.000015,-0.0006,1.647426,0.062739,-0.003275,0.0158,0.0027,0.000088,0.143571,0.0000,1.647426,0.000000,0.000000,1.4196,0.000000,2.000000,333.1377,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1155,0.0000,0.000000,0.4400,3.70,3.91,11.30,2.48,0.000027,0.0008,-1.4202,0.008000,0.084271,-0.3352,-0.485682,0.011382,0.001800,0.0,0.0,-124.30292843455734,-634.0517596513514,-0.023126,-0.022367,6501.5,6119.1,0.053189,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778650321.875468,11,1.725574,-0.034650,-0.001818,-0.0084,-0.0387,0.001079,1.648380,0.000033,0.000018,-0.0005,1.725701,-0.034638,-0.001816,0.0131,0.0005,0.000042,0.161531,0.0000,1.725701,0.000000,-0.000000,1.2941,0.000000,2.000000,305.6514,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1240,0.0000,0.000000,0.4640,3.19,3.69,10.08,2.48,0.000033,0.0011,-1.2946,0.008000,0.143043,-0.0422,-0.488453,0.001693,0.003140,0.0,0.0,-64.49771773118468,-500.3450212671032,-0.004346,-0.002355,6496.3,6124.3,0.062229,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778650321.887427,12,1.586988,-0.067581,-0.003588,0.0288,-0.0514,0.000365,1.648364,0.000041,0.000023,-0.0004,1.587132,-0.067628,-0.003588,0.0165,-0.0027,-0.000040,0.179887,0.0000,1.587132,0.000000,0.000000,1.4980,0.000000,2.000000,309.5335,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1329,0.0000,0.000000,0.4880,2.78,3.53,9.09,2.57,0.000041,0.0013,-1.4984,0.008000,0.098708,0.0358,-0.485183,-0.008580,-0.000385,0.0,0.0,11.633944308921969,-372.5627025677957,0.016159,0.018231,6491.1,6129.5,0.071255,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778650321.899468,13,1.628659,-0.044530,0.003484,-0.0343,-0.0562,0.001482,1.648349,0.000048,0.000027,-0.0003,1.628767,-0.044621,0.003485,0.0136,-0.0063,-0.000095,0.198685,0.0000,1.628767,0.000000,0.000000,1.4451,0.000000,2.000000,359.6906,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1421,0.0000,0.000000,0.5120,2.43,3.37,8.23,2.49,0.000048,0.0015,-1.4455,0.008000,0.086595,0.6590,-0.490210,-0.017791,-0.002680,0.0,0.0,84.49810365039033,-261.97931216905647,0.033849,0.037411,6485.9,6134.7,0.080323,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778650321.911404,14,1.632906,-0.020159,-0.001408,0.0437,0.0267,0.000324,1.648334,0.000055,0.000031,-0.0002,1.633049,-0.020202,-0.001407,0.0197,-0.0036,-0.000011,0.216729,0.0000,1.633049,0.000000,0.000000,1.4394,0.000000,2.000000,360.5770,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1516,0.0000,0.000000,0.5360,2.12,3.24,7.47,2.48,0.000055,0.0018,-1.4396,0.008000,0.023836,-0.6760,-0.487535,-0.009181,0.002291,0.0,0.0,19.903135797764236,-364.0471013753786,0.016773,0.020063,6480.9,6139.6,0.088978,0.000000,0.000000,0.5000,1.0000,,,,,
