sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0960,1778656131.114013,0,1.638514,-0.046790,-0.001895,-0.0442,-0.0559,0.000836,1.648434,0.000012,0.000007,-0.0008,1.638514,-0.047249,-0.001901,0.0001,-0.0002,-0.000008,0.001481,0.0000,1.638514,0.000000,0.000000,1.6745,0.000000,0.196690,112.5957,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0103,0.0000,0.000000,0.0197,18.02,9.46,45.50,6.40,0.000012,0.0004,-1.6753,nan,nan,nan,nan,nan,nan,0.0,0.0,596.6179189778517,2836.3027111597444,0.108758,0.114213,6531.6,6089.0,0.000261,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778656131.121102,1,1.763364,0.051054,-0.001017,-0.0149,-0.0534,0.002007,1.648415,0.000018,0.000011,-0.0007,1.763369,0.050602,-0.001022,0.0003,-0.0004,-0.000015,0.011981,0.0000,1.763369,-0.000000,-0.000000,1.5027,0.000000,0.217764,225.1081,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0112,0.0000,0.000000,0.0223,15.55,9.44,40.54,9.33,0.000018,0.0006,-1.5034,nan,nan,nan,nan,nan,nan,0.0,0.0,593.5165740271023,2835.2514044744057,0.107070,0.114004,6531.0,6089.6,0.000707,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778656131.131880,2,1.593137,-0.060219,-0.008808,0.0164,0.0957,-0.001247,1.648397,0.000024,0.000015,-0.0006,1.593255,-0.060431,-0.008810,0.0036,-0.0003,-0.000013,0.014586,0.0000,1.593255,0.000000,0.000000,1.7255,0.000000,0.484935,166.0983,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0122,0.0000,0.000000,0.0281,13.27,8.77,35.31,4.97,0.000024,0.0009,-1.7261,nan,nan,nan,nan,nan,nan,0.0,0.0,610.3967620467567,2729.92097947307,0.050348,0.054403,6530.2,6090.3,0.001211,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778656131.143815,3,1.606962,0.022652,0.004607,0.0056,0.0171,0.002273,1.648380,0.000029,0.000019,-0.0005,1.607086,0.022513,0.004608,0.0043,-0.0004,-0.000014,0.028024,0.0000,1.607086,0.000000,0.000000,1.7103,0.000000,-0.015065,173.5937,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0132,0.0000,0.000000,0.0279,11.34,8.14,30.81,4.53,0.000029,0.0011,-1.7108,nan,nan,nan,nan,nan,nan,0.0,0.0,775.5196279229474,2888.8939725269206,0.032602,0.038779,6528.7,6091.8,0.002256,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778656131.155833,4,1.615733,0.027256,0.001882,-0.0019,0.0318,-0.000239,1.648364,0.000035,0.000023,-0.0004,1.615818,0.027195,0.001884,0.0033,-0.0003,-0.000010,0.012119,0.0000,1.615818,0.000000,0.000000,1.7006,0.000000,0.139512,132.6526,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0144,0.0000,0.000000,0.0296,9.70,7.61,27.00,4.61,0.000035,0.0013,-1.7010,nan,nan,nan,nan,nan,nan,0.0,0.0,1059.8614580703402,3184.4022723038465,0.014147,0.018828,6528.8,6091.8,0.002213,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778656131.167824,5,1.692910,0.002235,0.006254,-0.0921,0.0058,0.000440,1.648349,0.000042,0.000027,-0.0003,1.692971,0.002197,0.006256,0.0027,-0.0003,-0.000009,0.017666,0.0000,1.692971,0.000000,-0.000000,1.6064,0.000000,0.334625,121.2556,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0157,0.0000,0.000000,0.0336,8.29,7.13,23.72,4.46,0.000042,0.0015,-1.6067,nan,nan,nan,nan,nan,nan,0.0,0.0,1170.4163762174487,3285.205777343831,0.008896,0.013234,6528.3,6092.2,0.002523,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778656131.179799,6,1.626618,0.028615,0.002922,0.0778,0.0083,0.000397,1.648334,0.000048,0.000031,-0.0002,1.626985,0.028598,0.002924,0.0174,-0.0002,-0.000003,0.025082,0.0000,1.626985,0.000000,0.000000,1.6879,0.000000,0.542779,118.7478,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0170,0.0000,0.000000,0.0401,7.10,6.72,20.93,4.40,0.000048,0.0018,-1.6881,nan,nan,nan,nan,nan,nan,0.0,0.0,1294.9269807399053,3391.744387059752,0.003707,0.007714,6527.4,6093.1,0.003168,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778656131.191810,7,1.619005,0.023635,0.000747,0.0083,0.0109,0.000195,1.648320,0.000055,0.000035,-0.0002,1.619299,0.023638,0.000749,0.0158,-0.0000,0.000006,0.034554,0.0000,1.619299,0.000000,0.000000,1.6966,0.000000,0.698808,109.2761,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0185,0.0000,0.000000,0.0485,6.09,6.41,18.59,4.61,0.000055,0.0020,-1.6968,nan,nan,nan,nan,nan,nan,0.0,0.0,1433.3889567027788,3506.352071688282,-0.001365,0.002115,6525.8,6094.8,0.004288,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778656131.203816,8,1.675480,0.181956,0.004152,-0.0219,-0.0705,0.001225,1.648307,0.000061,0.000039,-0.0001,1.675693,0.181862,0.004153,0.0130,-0.0017,-0.000044,0.044214,0.0000,1.675693,0.000000,-0.000000,1.6290,0.000000,0.762604,123.4682,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0200,0.0000,0.000000,0.0577,5.23,6.13,16.60,4.54,0.000061,0.0023,-1.6291,nan,nan,nan,nan,nan,nan,0.0,0.0,911.679751608703,3028.1320725761734,0.025413,0.029782,6523.8,6096.8,0.005724,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778656131.215844,9,1.648459,-0.022515,0.002797,-0.0427,0.0098,-0.000411,1.648295,0.000068,0.000044,-0.0000,1.648615,-0.022576,0.002798,0.0106,-0.0014,-0.000035,0.051787,0.0000,1.648615,0.000000,0.000000,1.6625,0.000000,0.767512,112.2727,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0215,0.0000,0.000000,0.0669,4.51,5.88,14.90,4.51,0.000068,0.0025,-1.6625,0.008000,0.047137,0.2692,-0.490210,-0.009016,0.000462,0.0,0.0,1070.205974807347,3191.3785644326085,0.016957,0.019956,6521.8,6098.8,0.007104,0.000000,0.000000,0.5000,1.0000,,,,,
