time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,14.039899,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000089,-0.000760,0.000076,0.000358,0.000000,0.099289,0.000000,0,0,14.040468,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000512,-0.000039,0.000423,0.000370,0.000000,0.171431,0.000000,0,0,14.040596,0.000000,0.000000,0.000000
0.306000,0.055218,0.000030,1.263977,0.000579,0.000237,0.001660,0.000422,0.000000,0.256474,0.000000,0,0,14.040672,0.000000,0.000000,0.000000
0.408000,0.055174,0.000076,0.902700,0.000426,0.000169,0.005239,0.000455,0.000000,0.334898,0.000000,0,0,14.040714,0.000000,0.000000,0.000000
0.510000,0.058436,-0.000226,0.564490,0.027301,0.076065,-0.004723,0.004054,0.000000,0.388780,0.000000,0,0,14.037469,0.000000,0.000000,0.000000
0.612000,0.059732,0.000244,0.637480,-0.022669,-0.069850,0.004119,0.003798,0.000000,0.438676,0.000000,0,0,14.036153,0.000000,0.000000,0.000000
0.714000,0.053642,0.001049,0.740807,-0.013678,-0.045622,0.007825,0.000414,0.000000,0.500152,0.000000,0,0,14.042199,0.000000,0.000000,0.000000
0.816000,0.049626,0.002020,0.745891,-0.044943,-0.036030,0.003833,0.024026,0.000000,0.592680,0.000000,0,0,14.046165,0.000000,0.000000,0.000000
0.918000,0.053274,0.001529,0.692341,0.069085,0.108330,0.011849,0.025331,0.000000,0.699084,0.000000,0,0,14.042544,0.000000,0.000000,0.000000
1.020000,0.074276,0.004074,0.661963,0.302979,0.290173,0.038624,-0.026600,0.000000,0.772728,0.000000,0,0,14.021446,0.000000,0.000000,0.000000
1.122000,0.116930,0.008950,0.687350,0.536462,0.522654,0.057094,0.010363,0.000000,0.810357,0.000000,0,0,13.978613,0.000000,0.000000,0.000000
1.224000,0.178235,0.016974,0.721505,0.681269,0.680447,0.078573,0.017306,0.000000,0.819153,0.000000,0,0,13.917002,0.000000,0.000000,0.000000
1.326000,0.256151,0.025915,0.744838,0.852328,0.850104,0.076013,0.022130,0.000000,0.802393,0.000000,0,0,13.838759,0.000000,0.000000,0.000000
1.428000,0.351906,0.033771,0.762539,1.026241,1.025916,0.057803,0.023329,0.000000,0.757675,0.000000,0,0,13.742745,0.000000,0.000000,0.000000
1.530000,0.465080,0.040010,0.774563,1.189053,1.193124,0.039490,0.016172,0.000000,0.696533,0.000000,0,0,13.629404,0.000000,0.000000,0.000000
1.632000,0.595562,0.044690,0.780220,1.357747,1.360172,0.024102,0.016751,0.000000,0.609715,0.000000,0,0,13.498844,0.000000,0.000000,0.000000
1.734000,0.742218,0.047930,0.781814,1.508118,1.508029,0.003933,0.013655,0.000000,0.521236,0.000000,0,0,13.352193,0.000000,0.000000,0.000000
1.836000,0.902850,0.050141,0.781816,1.637424,1.638908,0.000615,0.013098,0.000000,0.417541,0.001264,0,0,13.191629,0.000000,0.000000,0.000000
1.938000,1.076826,0.053142,0.780421,1.767197,1.769839,0.006190,0.014142,0.000000,0.353201,0.017993,0,0,13.017699,0.000000,0.000000,0.000000
2.040000,1.264032,0.057142,0.779326,1.894655,1.895078,0.013136,0.012873,0.000000,0.301521,0.047377,0,0,12.830510,0.000000,0.000000,0.000000
2.142000,1.463272,0.062212,0.779423,2.007244,2.007474,0.017995,0.016961,0.000000,0.267971,0.079227,0,0,12.631251,0.000000,0.000000,0.000000
