time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
7.6890,13.4861,2.3506,3.209,2,16.406,0.764,0.828,3.3231,2.328,3.328,0,1
7.6920,13.4953,2.3535,3.214,2,16.406,0.764,0.828,3.3164,2.328,3.328,0,1
7.6950,13.5046,2.3564,3.219,2,16.406,0.764,0.828,3.3096,2.328,3.328,0,1
7.6980,13.5138,2.3593,3.223,2,16.406,0.764,0.828,3.3029,2.328,3.328,0,1
7.7010,13.5231,2.3622,3.228,2,16.406,0.764,0.828,3.2962,2.328,3.328,0,1
7.7040,13.5323,2.3651,3.233,2,16.406,0.764,0.828,3.2896,2.328,3.328,0,1
7.7070,13.5416,2.3680,3.238,2,16.406,0.764,0.828,3.2829,2.328,3.328,0,1
7.7100,13.5509,2.3710,3.243,2,16.406,0.764,0.828,3.2762,2.328,3.328,0,1
7.7130,13.5602,2.3739,3.248,2,16.406,0.764,0.828,3.2695,2.328,3.328,0,1
7.7160,13.5695,2.3769,3.253,2,16.406,0.764,0.828,3.2629,2.328,3.328,0,1
7.7190,13.5789,2.3798,3.258,2,16.406,0.764,0.828,3.2562,2.328,3.328,0,1
7.7220,13.5882,2.3828,3.255,2,16.406,0.764,0.828,3.2496,2.328,3.328,0,1
7.7250,13.5976,2.3858,3.273,2,16.406,0.764,0.828,3.2430,2.328,3.328,0,1
7.7280,13.6070,2.3888,3.275,2,16.406,0.764,0.828,3.2364,2.328,3.328,0,1
7.7310,13.6164,2.3918,3.285,2,16.406,0.764,0.828,3.2298,2.328,3.328,0,1
7.7340,13.6258,2.3948,3.280,2,16.406,0.764,0.828,3.2232,2.328,3.328,0,1
7.7370,13.6352,2.3979,3.289,2,16.406,0.764,0.828,3.2166,2.328,3.328,0,1
7.7400,13.6446,2.4009,3.297,2,16.406,0.764,0.828,3.2100,2.328,3.328,0,1
7.7430,13.6541,2.4040,3.301,2,16.406,0.764,0.828,3.2035,2.328,3.328,0,1
7.7460,13.6635,2.4071,3.307,2,16.406,0.764,0.828,3.1969,2.328,3.328,0,1
7.7490,13.6730,2.4101,3.312,2,16.406,0.764,0.828,3.1904,2.328,3.328,0,1
7.7520,13.6825,2.4132,3.313,2,16.406,0.764,0.828,3.1839,2.328,3.328,0,1
7.7550,13.6920,2.4163,3.319,2,16.406,0.764,0.828,3.1774,2.328,3.328,0,1
