time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,13.904415,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000101,-0.000767,0.000076,0.000385,0.000000,0.099721,0.000000,0,0,13.904981,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000534,-0.000018,0.000427,0.000377,0.000000,0.171738,0.000000,0,0,13.905108,0.000000,0.000000,0.000000
0.306000,0.055218,0.000030,1.263977,0.000578,0.000236,0.001679,0.000421,0.000000,0.256925,0.000000,0,0,13.905182,0.000000,0.000000,0.000000
0.408000,0.055174,0.000076,0.902700,0.000425,0.000167,0.005283,0.000453,0.000000,0.336130,0.000000,0,0,13.905220,0.000000,0.000000,0.000000
0.510000,0.058476,-0.000223,0.564452,0.028196,0.077009,-0.004507,0.004121,0.000000,0.390702,0.000000,0,0,13.901974,0.000000,0.000000,0.000000
0.612000,0.059873,0.000355,0.637400,-0.023412,-0.070088,0.004809,0.005790,0.000000,0.443317,0.000000,0,0,13.900520,0.000000,0.000000,0.000000
0.714000,0.053722,0.001242,0.740465,-0.014638,-0.046896,0.009085,0.001968,0.000000,0.518588,0.000000,0,0,13.906532,0.000000,0.000000,0.000000
0.816000,0.049703,0.002232,0.745115,-0.037631,-0.031461,-0.000138,0.028627,0.000000,0.604287,0.000000,0,0,13.910413,0.000000,0.000000,0.000000
0.918000,0.054557,0.001477,0.692927,0.083784,0.123994,0.012805,0.013541,0.000000,0.698857,0.000000,0,0,13.905675,0.000000,0.000000,0.000000
1.020000,0.077662,0.003304,0.663350,0.329812,0.317663,0.024632,-0.023113,0.000000,0.775346,0.000000,0,0,13.882512,0.000000,0.000000,0.000000
1.122000,0.123416,0.007138,0.688730,0.566156,0.552492,0.050979,0.011141,0.000000,0.809622,0.000000,0,0,13.836618,0.000000,0.000000,0.000000
1.224000,0.187391,0.014458,0.722672,0.703018,0.702964,0.074619,0.016358,0.000000,0.817618,0.000000,0,0,13.772226,0.000000,0.000000,0.000000
1.326000,0.268152,0.022593,0.745423,0.879512,0.877400,0.069065,0.026064,0.000000,0.801506,0.000000,0,0,13.691063,0.000000,0.000000,0.000000
1.428000,0.366945,0.030117,0.763163,1.051089,1.053997,0.056893,0.021614,0.000000,0.757541,0.000000,0,0,13.592054,0.000000,0.000000,0.000000
1.530000,0.483161,0.036112,0.774331,1.216092,1.220035,0.034178,0.020207,0.000000,0.697022,0.000000,0,0,13.475911,0.000000,0.000000,0.000000
1.632000,0.616318,0.040635,0.779007,1.381544,1.386219,0.025118,0.018492,0.000000,0.610684,0.000000,0,0,13.343111,0.000000,0.000000,0.000000
1.734000,0.765591,0.044172,0.780100,1.532263,1.532733,0.009097,0.016626,0.000000,0.522358,0.000000,0,0,13.194425,0.000000,0.000000,0.000000
1.836000,0.928646,0.046663,0.780741,1.659603,1.660562,0.000379,0.016769,0.000000,0.416898,0.001154,0,0,13.032185,0.000000,0.000000,0.000000
1.938000,1.104934,0.049612,0.780389,1.789157,1.791883,0.008191,0.013785,0.000000,0.351525,0.017170,0,0,12.856768,0.000000,0.000000,0.000000
2.040000,1.294542,0.053929,0.779481,1.919256,1.920580,0.015901,0.009819,0.000000,0.299149,0.046012,0,0,12.667984,0.000000,0.000000,0.000000
2.142000,1.496181,0.059332,0.779459,2.029386,2.029653,0.020198,0.016029,0.000000,0.265251,0.077149,0,0,12.467150,0.000000,0.000000,0.000000
2.244000,1.708339,0.065564,0.779853,2.126955,2.127717,0.021392,0.019393,0.000000,0.236600,0.113489,0,0,12.255797,0.000000,0.000000,0.000000
2.346000,1.930147,0.072570,0.780512,2.221610,2.221263,0.022308,0.022155,0.000000,0.216883,0.144333,0,0,12.034800,0.000000,0.000000,0.000000
2.448000,2.161350,0.080031,0.780452,2.310264,2.308924,0.016343,0.027794,0.000000,0.199093,0.175453,0,0,11.804454,0.000000,0.000000,0.000000
2.550000,2.400029,0.087162,0.778597,2.365946,2.368696,0.005506,0.025393,0.000000,0.186010,0.199445,0,0,11.566766,0.000000,0.000000,0.000000
2.652000,2.641165,0.094071,0.777809,2.331975,2.336912,-0.001089,0.016432,0.000000,0.173449,0.221919,0,0,11.326708,0.000000,0.000000,0.000000
2.754000,2.873855,0.100442,0.778725,2.216726,2.223410,-0.003212,0.013851,0.000000,0.163682,0.235818,0,0,11.095138,0.000000,0.000000,0.000000
2.856000,3.094033,0.107204,0.774887,2.106521,2.097376,0.008076,0.000954,0.000000,0.153859,0.242108,0,0,10.875964,0.000000,0.000000,0.000000
