sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778830976.151274,0,1.609953,-0.012700,-0.007456,-0.0230,-0.0002,-0.000818,1.648994,-0.000000,-0.000000,-0.0020,1.609843,-0.012706,-0.007460,-0.0050,-0.0000,-0.000000,-0.113229,0.0000,1.609843,0.000000,0.000000,1.4698,0.000000,2.000000,415.9405,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0511,0.0000,0.000000,0.2000,17.08,9.27,43.42,5.12,-0.000000,-0.0000,-1.4718,nan,nan,nan,nan,nan,nan,0.0,0.0,-116.95498255727067,12.863241002821013,0.002944,-0.002457,6560.6,6059.9,-0.049995,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778830976.159966,1,1.630699,-0.056255,0.007457,-0.0860,-0.0807,-0.001007,1.648913,-0.000001,-0.000000,-0.0094,1.630645,-0.056392,0.007451,-0.0024,-0.0001,-0.000006,-0.023427,0.0000,1.630645,0.000000,0.000000,1.4426,0.000000,2.000000,296.4965,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0555,0.0000,0.000000,0.2240,14.60,8.59,37.79,4.77,-0.000001,-0.0000,-1.4520,nan,nan,nan,nan,nan,nan,0.0,0.0,-118.50324344603368,9.395766160260564,0.034234,0.028597,6557.4,6063.2,-0.044313,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778830976.171957,2,1.597296,-0.010008,-0.002039,-0.0523,0.0152,-0.000817,1.648775,-0.000002,-0.000002,-0.0124,1.597263,-0.010094,-0.002044,-0.0016,-0.0002,-0.000007,-0.014488,0.0000,1.597263,0.000000,0.000000,1.4856,0.000000,2.000000,319.9168,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0604,0.0000,0.000000,0.2480,12.48,7.73,32.70,2.83,-0.000002,-0.0001,-1.4980,nan,nan,nan,nan,nan,nan,0.0,0.0,-112.82666665900594,9.970030564765736,0.022222,0.016629,6552.6,6067.9,-0.036034,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778830976.183861,3,1.624606,0.035526,0.003529,-0.0250,0.0372,-0.001317,1.648627,-0.000004,-0.000003,-0.0122,1.624590,0.035515,0.003525,-0.0008,-0.0000,-0.000002,0.000832,0.0000,1.624590,0.000000,0.000000,1.4507,0.000000,2.000000,289.6696,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0659,0.0000,0.000000,0.2720,10.68,7.00,28.37,2.85,-0.000004,-0.0002,-1.4628,nan,nan,nan,nan,nan,nan,0.0,0.0,-93.07313935516552,31.151321384336825,0.004329,-0.001867,6546.5,6074.1,-0.025327,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778830976.195879,4,1.666198,0.052864,-0.003632,-0.0815,-0.0515,-0.000506,1.648492,-0.000007,-0.000005,-0.0106,1.666194,0.052775,-0.003637,-0.0001,-0.0005,-0.000021,0.021003,0.0000,1.666194,0.000000,-0.000000,1.3924,0.000000,2.000000,285.8692,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0718,0.0000,0.000000,0.2960,9.16,6.37,24.68,2.82,-0.000007,-0.0003,-1.4030,nan,nan,nan,nan,nan,nan,0.0,0.0,-82.61267671556317,34.8903772970974,0.023717,0.018077,6539.5,6081.1,-0.013075,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778830976.207911,5,1.620717,-0.127436,-0.008207,-0.0108,0.0244,-0.001125,1.648463,-0.000004,-0.000003,0.0001,1.620721,-0.127472,-0.008211,0.0006,-0.0002,-0.000016,0.047853,0.0000,1.620721,0.000000,0.000000,1.4558,0.000000,2.000000,305.5503,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0781,0.0000,0.000000,0.3200,7.86,5.83,21.56,2.79,-0.000004,-0.0002,-1.4557,nan,nan,nan,nan,nan,nan,0.0,0.0,-69.88675655248414,43.073330108851565,0.010376,0.004388,6531.0,6089.5,0.001618,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778830976.219887,6,1.655616,0.002912,0.001075,0.0015,0.0235,-0.000008,1.648468,0.000001,-0.000000,0.0002,1.655629,0.002918,0.001072,0.0012,0.0001,-0.000003,0.066411,0.0000,1.655629,0.000000,-0.000000,1.4079,0.000000,2.000000,296.0008,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0849,0.0000,0.000000,0.3440,6.76,5.37,18.89,2.77,0.000001,-0.0000,-1.4077,nan,nan,nan,nan,nan,nan,0.0,0.0,-54.992316675900064,42.835098543469144,-0.000728,-0.005567,6524.9,6095.6,0.012240,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778830976.231955,7,1.609672,0.040035,-0.004460,-0.0302,-0.0768,-0.000796,1.648453,0.000007,0.000003,-0.0009,1.609684,0.039931,-0.004465,0.0013,-0.0017,-0.000075,0.081873,0.0000,1.609684,0.000000,0.000000,1.4700,0.000000,2.000000,287.7740,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0921,0.0000,0.000000,0.3680,5.83,4.99,16.64,2.79,0.000007,0.0002,-1.4709,nan,nan,nan,nan,nan,nan,0.0,0.0,-29.6417148345097,77.14250372337312,0.029608,0.024691,6519.9,6100.7,0.021115,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778830976.243877,8,1.633862,-0.028067,-0.003888,-0.0197,0.0023,0.000479,1.648434,0.000013,0.000007,-0.0008,1.633874,-0.028144,-0.003892,0.0015,-0.0016,-0.000072,0.100243,0.0000,1.633874,0.000000,0.000000,1.4383,0.000000,2.000000,298.2871,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0997,0.0000,0.000000,0.3920,5.03,4.66,14.71,2.83,0.000013,0.0004,-1.4391,nan,nan,nan,nan,nan,nan,0.0,0.0,-31.366764130179305,74.04007709082327,0.022699,0.019344,6514.2,6106.4,0.030982,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778830976.255930,9,1.497573,0.070520,0.002515,0.0395,-0.0074,0.000950,1.648415,0.000020,0.000011,-0.0007,1.497686,0.070452,0.002513,0.0092,-0.0019,-0.000073,0.119123,0.0000,1.497686,-0.000000,0.000000,1.6015,0.000000,2.000000,309.2142,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1076,0.0000,0.000000,0.4160,4.35,4.38,13.09,2.77,0.000020,0.0006,-1.6022,0.008000,0.182537,0.5596,-0.492211,-0.009927,-0.002305,0.0,0.0,-27.340440928425778,78.34500555972056,0.020571,0.019079,6508.6,6112.0,0.040790,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778830976.267892,10,1.607573,0.038747,-0.003458,0.0008,0.0251,0.001438,1.648397,0.000027,0.000015,-0.0006,1.607658,0.038727,-0.003457,0.0079,-0.0007,-0.000013,0.137637,0.0000,1.607658,0.000000,0.000000,1.4726,0.000000,2.000000,300.0521,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1160,0.0000,0.000000,0.4400,3.78,4.14,11.69,2.77,0.000027,0.0008,-1.4732,0.008000,0.119666,-0.6251,-0.493566,-0.003139,0.000081,0.0,0.0,-46.766226541677156,49.76412000847181,0.005972,0.006607,6503.2,6117.4,0.050233,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778830976.279930,11,1.609858,-0.012781,0.000936,0.0007,-0.0418,0.001242,1.648380,0.000033,0.000018,-0.0005,1.609924,-0.012843,0.000936,0.0069,-0.0028,-0.000053,0.156495,0.0000,1.609924,0.000000,0.000000,1.4697,0.000000,2.000000,310.4580,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1246,0.0000,0.000000,0.4640,3.29,3.93,10.52,2.75,0.000033,0.0011,-1.4702,0.008000,0.037494,0.1663,-0.494672,-0.010617,-0.000452,0.0,0.0,-19.73191249497691,93.89233576576464,0.020219,0.022318,6497.8,6122.8,0.059628,0.000000,0.000000,0.5000,1.0000,,,,,
