time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.7110,12.8643,1.8222,3.300,4,15.955,1.813,0.597,3.0905,2.097,3.097,0,1
6.7140,12.8743,1.8216,3.300,4,15.955,1.813,0.597,3.0806,2.097,3.097,0,1
6.7170,12.8842,1.8211,3.298,4,15.955,1.813,0.597,3.0706,2.097,3.097,0,1
6.7200,12.8942,1.8205,3.300,4,15.955,1.813,0.597,3.0607,2.097,3.097,0,1
6.7230,12.9041,1.8199,3.296,4,15.955,1.813,0.597,3.0507,2.097,3.097,0,1
6.7260,12.9140,1.8193,3.301,4,15.955,1.813,0.597,3.0408,2.097,3.097,0,1
6.7290,12.9240,1.8187,3.300,4,15.955,1.813,0.597,3.0309,2.097,3.097,0,1
6.7320,12.9339,1.8180,3.301,4,15.955,1.813,0.597,3.0209,2.097,3.097,0,1
6.7350,12.9438,1.8174,3.300,4,15.955,1.813,0.597,3.0110,2.097,3.097,0,1
6.7380,12.9538,1.8168,3.302,4,15.955,1.813,0.597,3.0010,2.097,3.097,0,1
6.7410,12.9637,1.8162,3.300,4,15.955,1.813,0.597,2.9911,2.097,3.097,0,1
6.7440,12.9737,1.8155,3.300,4,15.955,1.813,0.597,2.9812,2.097,3.097,0,1
6.7470,12.9836,1.8149,3.301,4,15.955,1.813,0.597,2.9712,2.097,3.097,0,1
6.7500,12.9935,1.8142,3.301,4,15.955,1.813,0.597,2.9613,2.097,3.097,0,1
6.7530,13.0034,1.8136,3.301,4,15.955,1.813,0.597,2.9514,2.097,3.097,0,1
6.7560,13.0134,1.8129,3.301,4,15.955,1.813,0.597,2.9414,2.097,3.097,0,1
6.7590,13.0233,1.8122,3.300,4,15.955,1.813,0.597,2.9315,2.097,3.097,0,1
6.7620,13.0332,1.8115,3.301,4,15.955,1.813,0.597,2.9216,2.097,3.097,0,1
6.7650,13.0432,1.8108,3.301,4,15.955,1.813,0.597,2.9117,2.097,3.097,0,1
6.7680,13.0531,1.8101,3.301,4,15.955,1.813,0.597,2.9017,2.097,3.097,0,1
6.7710,13.0630,1.8094,3.303,4,15.955,1.813,0.597,2.8918,2.097,3.097,0,1
6.7740,13.0729,1.8087,3.302,4,15.955,1.813,0.597,2.8819,2.097,3.097,0,1
6.7770,13.0829,1.8080,3.303,4,15.955,1.813,0.597,2.8720,2.097,3.097,0,1
6.7800,13.0928,1.8072,3.304,4,15.955,1.813,0.597,2.8620,2.097,3.097,0,1
6.7830,13.1027,1.8065,3.304,4,15.955,1.813,0.597,2.8521,2.097,3.097,0,1
6.7860,13.1127,1.8057,3.304,4,15.955,1.813,0.597,2.8422,2.097,3.097,0,1
6.7890,13.1226,1.8050,3.306,4,15.955,1.813,0.597,2.8322,2.097,3.097,0,1
6.7920,13.1325,1.8042,3.306,4,15.955,1.813,0.597,2.8223,2.097,3.097,0,1
6.7950,13.1425,1.8035,3.307,4,15.955,1.813,0.597,2.8124,2.097,3.097,0,1
6.7980,13.1524,1.8027,3.307,4,15.955,1.813,0.597,2.8024,2.097,3.097,0,1
6.8010,13.1623,1.8019,3.308,4,15.955,1.813,0.597,2.7925,2.097,3.097,0,1
6.8040,13.1723,1.8012,3.308,4,15.955,1.813,0.597,2.7826,2.097,3.097,0,1
