time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.731430,0.000000,0.000000,0.000000
0.102000,0.055424,0.000004,1.677833,-0.000075,-0.000747,0.000139,0.000346,0.000000,0.163511,0.000000,0,0,16.731991,0.000000,0.000000,0.000000
0.204000,0.055295,0.000019,1.522611,0.000530,-0.000026,0.000852,0.000370,0.000000,0.283092,0.000000,0,0,16.732117,0.000000,0.000000,0.000000
0.306000,0.055218,0.000063,1.263977,0.000588,0.000206,0.003645,0.000419,0.000000,0.422389,0.000000,0,0,16.732186,0.000000,0.000000,0.000000
0.408000,0.055248,0.000216,0.905197,0.007951,0.011186,0.012687,0.012419,0.000000,0.566659,0.000000,0,0,16.732132,0.000000,0.000000,0.000000
0.510000,0.063673,0.001120,0.696213,0.070316,0.096898,0.013884,0.012334,0.000000,0.685579,0.000000,0,0,16.723670,0.000000,0.000000,0.000000
0.612000,0.063682,0.002836,0.818961,0.003802,-0.045363,0.014434,-0.005372,0.000000,0.797536,0.000000,0,0,16.723387,0.000000,0.000000,0.000000
0.714000,0.061503,0.005335,0.884858,0.023984,0.000757,0.024975,-0.007908,0.000000,0.863402,0.000000,0,0,16.725139,0.000000,0.000000,0.000000
0.816000,0.066208,0.007267,0.869156,0.070588,0.090424,0.000304,0.004832,0.000000,0.912264,0.000000,0,0,16.720186,0.000000,0.000000,0.000000
0.918000,0.086179,0.004433,0.823321,0.295076,0.319698,-0.029752,0.051463,0.000000,0.940807,0.000000,0,0,16.700924,0.000000,0.000000,0.000000
1.020000,0.134811,0.003272,0.816758,0.644090,0.627642,0.014871,0.018211,0.000000,0.961981,0.000000,0,0,16.653106,0.000000,0.000000,0.000000
1.122000,0.210727,0.007980,0.852713,0.833817,0.834963,0.047020,0.009872,0.000000,0.974349,0.000000,0,0,16.577419,0.000000,0.000000,0.000000
1.224000,0.304488,0.015469,0.883970,1.004825,1.004411,0.067939,0.007906,0.000000,0.983525,0.000000,0,0,16.483675,0.000000,0.000000,0.000000
1.326000,0.416064,0.023979,0.902368,1.180715,1.181303,0.063317,0.020679,0.000000,0.988885,0.000000,0,0,16.372189,0.000000,0.000000,0.000000
1.428000,0.546011,0.031614,0.908433,1.364837,1.364210,0.053021,0.031392,0.000000,0.992861,0.000000,0,0,16.242723,0.000000,0.000000,0.000000
1.530000,0.694672,0.038592,0.906421,1.543620,1.545311,0.039363,0.038992,0.000000,0.995183,0.000000,0,0,16.094910,0.000000,0.000000,0.000000
1.632000,0.861299,0.045551,0.903369,1.713483,1.715961,0.031822,0.034997,0.000000,0.996906,0.000000,0,0,15.929396,0.000000,0.000000,0.000000
1.734000,1.044917,0.053058,0.901499,1.875020,1.878209,0.035447,0.022970,0.000000,0.997913,0.000000,0,0,15.747059,0.000000,0.000000,0.000000
1.836000,1.244336,0.061457,0.900082,2.030480,2.031270,0.031384,0.022300,0.000000,0.998659,0.000000,0,0,15.549023,0.000000,0.000000,0.000000
1.938000,1.459502,0.070913,0.899698,2.184587,2.186843,0.036495,0.014867,0.000000,0.999095,0.000000,0,0,15.335324,0.000000,0.000000,0.000000
2.040000,1.689822,0.080981,0.899410,2.322343,2.327110,0.031143,0.015447,0.000000,0.999419,0.000000,0,0,15.106628,0.000000,0.000000,0.000000
2.142000,1.934467,0.091177,0.897551,2.472785,2.468478,0.018615,0.018865,0.000000,0.999608,0.000000,0,0,14.863850,0.000000,0.000000,0.000000
2.244000,2.193655,0.100996,0.895035,2.617781,2.614603,0.010765,0.027159,0.000000,0.999748,0.000000,0,0,14.606876,0.000000,0.000000,0.000000
2.346000,2.468103,0.111720,0.891537,2.766693,2.767704,0.009947,0.021082,0.000000,0.999830,0.000000,0,0,14.334798,0.000000,0.000000,0.000000
2.448000,2.757902,0.123990,0.889547,2.915651,2.916263,0.016359,0.021494,0.000000,0.994098,0.000000,0,0,14.047426,0.000000,0.000000,0.000000
2.550000,3.063065,0.137513,0.889612,3.074508,3.071344,0.011521,0.016180,0.000000,0.981100,0.000000,0,0,13.744816,0.000000,0.000000,0.000000
2.652000,3.382052,0.152113,0.871026,3.236194,3.173345,0.017229,0.012315,0.000000,0.963748,0.000000,0,0,13.428531,0.000000,0.000000,0.000000
2.754000,3.712303,0.168457,0.848910,3.251481,3.283204,0.023927,0.005022,-0.159091,0.944668,0.000000,0,0,13.100983,0.000000,0.000000,0.000000
2.856000,4.053055,0.184158,0.865572,3.375830,3.407224,-0.006134,-0.032617,-0.308270,0.917904,0.000000,0,0,12.763384,0.000000,0.000000,0.000000
2.958000,4.406351,0.195654,0.885662,3.535033,3.522381,-0.041785,-0.077757,-0.408300,0.888133,0.000000,0,0,12.414458,0.000000,0.000000,0.000000
3.060000,4.771586,0.198909,0.888508,3.650564,3.641626,-0.106587,-0.090592,-0.340118,0.846336,0.000000,0,0,12.055689,0.000000,0.000000,0.000000
3.162000,5.150442,0.193739,0.880543,3.779181,3.773619,-0.144018,-0.090236,-0.301532,0.802830,0.000000,0,0,11.685646,0.000000,0.000000,0.000000
3.264000,5.542582,0.183692,0.872114,3.901836,3.903937,-0.148562,-0.097644,-0.241617,0.746016,0.000000,0,0,11.304138,0.000000,0.000000,0.000000
3.366000,5.947542,0.170007,0.869782,4.023984,4.023764,-0.149354,-0.097931,-0.150433,0.689604,0.000000,0,0,10.911551,0.000000,0.000000,0.000000
3.468000,6.362420,0.153182,0.872793,4.109124,4.109939,-0.131534,-0.089135,-0.149865,0.620834,0.000000,0,0,10.510812,0.000000,0.000000,0.000000
