time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,13.904415,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000094,-0.000760,0.000081,0.000410,0.000000,0.101888,0.000000,0,0,13.904981,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000531,-0.000021,0.000443,0.000379,0.000000,0.176153,0.000000,0,0,13.905108,0.000000,0.000000,0.000000
0.306000,0.055218,0.000031,1.263977,0.000585,0.000241,0.001741,0.000424,0.000000,0.264240,0.000000,0,0,13.905182,0.000000,0.000000,0.000000
0.408000,0.055174,0.000080,0.902700,0.000424,0.000161,0.005514,0.000453,0.000000,0.350767,0.000000,0,0,13.905220,0.000000,0.000000,0.000000
0.510000,0.057992,-0.000301,0.535889,0.032932,0.073399,-0.005553,0.011461,0.000000,0.414915,0.000000,0,0,13.902464,0.000000,0.000000,0.000000
0.612000,0.060168,-0.000206,0.544272,-0.048808,-0.083820,0.005116,-0.003919,0.000000,0.476610,0.000000,0,0,13.900291,0.000000,0.000000,0.000000
0.714000,0.052904,0.000422,0.649006,-0.029999,-0.051903,0.006244,-0.005400,0.000000,0.530946,0.000000,0,0,13.907437,0.000000,0.000000,0.000000
0.816000,0.050860,0.001245,0.659351,0.029021,0.037634,0.014749,-0.001300,0.000000,0.591931,0.000000,0,0,13.909374,0.000000,0.000000,0.000000
0.918000,0.066305,0.000180,0.624546,0.225914,0.233491,-0.015733,0.016457,0.000000,0.639836,0.000000,0,0,13.894149,0.000000,0.000000,0.000000
1.020000,0.093119,0.001017,0.620242,0.315870,0.313050,0.023165,0.009134,0.000000,0.680956,0.000000,0,0,13.867414,0.000000,0.000000,0.000000
1.122000,0.137057,0.004491,0.635927,0.574251,0.563238,0.038960,0.012221,0.000000,0.708031,0.000000,0,0,13.823366,0.000000,0.000000,0.000000
1.224000,0.208091,0.009057,0.658095,0.854353,0.844642,0.044769,0.013865,0.000000,0.723043,0.000000,0,0,13.752273,0.000000,0.000000,0.000000
1.326000,0.309546,0.015656,0.683669,1.154167,1.145532,0.060414,0.013498,0.000000,0.715556,0.000000,0,0,13.650726,0.000000,0.000000,0.000000
1.428000,0.441152,0.023989,0.709563,1.438110,1.434583,0.070756,0.011495,0.000000,0.676897,0.000000,0,0,13.519031,0.000000,0.000000,0.000000
1.530000,0.600614,0.032512,0.728596,1.682572,1.686332,0.058570,0.010812,0.000000,0.618374,0.000000,0,0,13.359645,0.000000,0.000000,0.000000
1.632000,0.785115,0.039585,0.736028,1.925123,1.929822,0.048401,0.018488,0.000000,0.528974,0.000000,0,0,13.175564,0.000000,0.000000,0.000000
1.734000,0.995196,0.046109,0.734863,2.179813,2.183534,0.038936,0.024171,0.000000,0.449072,0.001303,0,0,12.966157,0.000000,0.000000,0.000000
1.836000,1.230605,0.052645,0.732659,2.418410,2.420650,0.031005,0.015977,0.000000,0.384805,0.021098,0,0,12.731621,0.000000,0.000000,0.000000
1.938000,1.488158,0.059669,0.735370,2.610335,2.617282,0.034862,0.021795,0.000000,0.342926,0.047852,0,0,12.475074,0.000000,0.000000,0.000000
2.040000,1.763607,0.068288,0.737137,2.757772,2.766904,0.041056,0.015684,0.000000,0.307256,0.084542,0,0,12.200609,0.000000,0.000000,0.000000
2.142000,2.048808,0.077456,0.735553,2.810829,2.812810,0.030899,0.009979,0.000000,0.282504,0.118751,0,0,11.916444,0.000000,0.000000,0.000000
2.244000,2.334398,0.084673,0.732376,2.778777,2.778210,0.007948,0.004215,0.000000,0.259988,0.153019,0,0,11.632187,0.000000,0.000000,0.000000
2.346000,2.613651,0.089740,0.730506,2.686682,2.693438,-0.016163,0.009744,0.000000,0.243299,0.175953,0,0,11.354550,0.000000,0.000000,0.000000
2.448000,2.882462,0.092893,0.729553,2.576585,2.580642,-0.025706,0.004339,0.000000,0.227169,0.190732,0,0,11.087586,0.000000,0.000000,0.000000
2.550000,3.140370,0.096524,0.719222,2.506054,2.475191,-0.002990,-0.014760,0.000000,0.214555,0.193583,0,0,10.831443,0.000000,0.000000,0.000000
2.652000,3.386474,0.102345,0.684418,2.390713,2.340623,-0.022924,0.032217,0.000000,0.201812,0.186145,0,0,10.586773,0.000000,0.000000,0.000000
2.754000,3.615271,0.105128,0.674547,2.110466,2.148629,-0.024490,-0.010762,0.090909,0.191487,0.170606,0,0,10.359721,0.000000,0.000000,0.000000
2.856000,3.825365,0.110095,0.696624,1.964139,1.991533,0.032438,0.043224,0.295455,0.180771,0.143912,0,0,10.150953,0.000000,0.000000,0.000000
2.958000,4.021873,0.121382,0.716236,1.872825,1.876046,0.094780,0.087487,0.477273,0.171911,0.113298,0,0,9.954794,0.000000,0.000000,0.000000
3.060000,4.208719,0.141616,0.721447,1.812060,1.804247,0.171883,0.126838,0.676026,0.165517,0.073625,0,0,9.766959,0.000000,0.000000,0.000000
