time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.0600,17.4014,-0.7454,4.435,2,19.058,2.137,0.828,3.3246,2.328,3.328,0,1
6.0630,17.4146,-0.7471,4.432,2,19.058,2.137,0.828,3.3196,2.328,3.328,0,1
6.0660,17.4277,-0.7489,4.433,2,19.058,2.137,0.828,3.3146,2.328,3.328,0,1
6.0690,17.4409,-0.7506,4.433,2,19.058,2.137,0.828,3.3097,2.328,3.328,0,1
6.0720,17.4541,-0.7523,4.433,2,19.058,2.137,0.828,3.3047,2.328,3.328,0,1
6.0750,17.4673,-0.7540,4.433,2,19.058,2.137,0.828,3.2999,2.328,3.328,0,1
6.0780,17.4805,-0.7557,4.434,2,19.058,2.137,0.828,3.2950,2.328,3.328,0,1
6.0810,17.4937,-0.7574,4.435,2,19.058,2.137,0.828,3.2902,2.328,3.328,0,1
6.0840,17.5069,-0.7591,4.435,2,19.058,2.137,0.828,3.2854,2.328,3.328,0,1
6.0870,17.5201,-0.7608,4.435,2,19.058,2.137,0.828,3.2807,2.328,3.328,0,1
6.0900,17.5333,-0.7625,4.435,2,19.058,2.137,0.828,3.2760,2.328,3.328,0,1
6.0930,17.5465,-0.7641,4.436,2,19.058,2.137,0.828,3.2714,2.328,3.328,0,1
6.0960,17.5597,-0.7658,4.437,2,19.058,2.137,0.828,3.2667,2.328,3.328,0,1
6.0990,17.5729,-0.7674,4.436,2,19.058,2.137,0.828,3.2622,2.328,3.328,0,1
6.1020,17.5861,-0.7690,4.436,2,19.058,2.137,0.828,3.2576,2.328,3.328,0,1
6.1050,17.5993,-0.7707,4.436,2,19.058,2.137,0.828,3.2531,2.328,3.328,0,1
6.1080,17.6125,-0.7723,4.437,2,19.058,2.137,0.828,3.2487,2.328,3.328,0,1
6.1110,17.6257,-0.7739,4.437,2,19.058,2.137,0.828,3.2443,2.328,3.328,0,1
6.1140,17.6389,-0.7755,4.437,2,19.058,2.137,0.828,3.2399,2.328,3.328,0,1
6.1170,17.6521,-0.7770,4.437,2,19.058,2.137,0.828,3.2355,2.328,3.328,0,1
6.1200,17.6653,-0.7786,4.436,2,19.058,2.137,0.828,3.2312,2.328,3.328,0,1
6.1230,17.6785,-0.7802,4.436,2,19.058,2.137,0.828,3.2270,2.328,3.328,0,1
6.1260,17.6917,-0.7817,4.436,2,19.058,2.137,0.828,3.2228,2.328,3.328,0,1
6.1290,17.7049,-0.7832,4.437,2,19.058,2.137,0.828,3.2186,2.328,3.328,0,1
6.1320,17.7182,-0.7848,4.437,2,19.058,2.137,0.828,3.2144,2.328,3.328,0,1
6.1350,17.7314,-0.7863,4.437,2,19.058,2.137,0.828,3.2103,2.328,3.328,0,1
6.1380,17.7446,-0.7878,4.435,2,19.058,2.137,0.828,3.2062,2.328,3.328,0,1
6.1410,17.7578,-0.7893,4.438,2,19.058,2.137,0.828,3.2022,2.328,3.328,0,1
6.1440,17.7710,-0.7907,4.429,2,19.058,2.137,0.828,3.1982,2.328,3.328,0,1
6.1470,17.7843,-0.7922,4.441,2,19.058,2.137,0.828,3.1942,2.328,3.328,0,1
6.1500,17.7975,-0.7937,4.441,2,19.058,2.137,0.828,3.1903,2.328,3.328,0,1
6.1530,17.8108,-0.7951,4.445,2,19.058,2.137,0.828,3.1864,2.328,3.328,0,1
6.1560,17.8241,-0.7966,4.444,2,19.058,2.137,0.828,3.1826,2.328,3.328,0,1
6.1590,17.8373,-0.7980,4.440,2,19.058,2.137,0.828,3.1788,2.328,3.328,0,1
6.1620,17.8506,-0.7994,4.442,2,19.058,2.137,0.828,3.1750,2.328,3.328,0,1
6.1650,17.8638,-0.8009,4.444,2,19.058,2.137,0.828,3.1713,2.328,3.328,0,1
6.1680,17.8771,-0.8023,4.446,2,19.058,2.137,0.828,3.1677,2.328,3.328,0,1
6.1710,17.8904,-0.8037,4.447,2,19.058,2.137,0.828,3.1641,2.328,3.328,0,1
6.1740,17.9037,-0.8051,4.449,2,19.058,2.137,0.828,3.1605,2.328,3.328,0,1
6.1770,17.9169,-0.8065,4.450,2,19.058,2.137,0.828,3.1570,2.328,3.328,0,1
6.1800,17.9302,-0.8079,4.446,2,19.058,2.137,0.828,3.1535,2.328,3.328,0,1
6.1830,17.9435,-0.8093,4.439,2,19.058,2.137,0.828,3.1501,2.328,3.328,0,1
6.1860,17.9567,-0.8107,4.436,2,19.058,2.137,0.828,3.1468,2.328,3.328,0,1
6.1890,17.9699,-0.8121,4.435,2,19.058,2.137,0.828,3.1435,2.328,3.328,0,1
6.1920,17.9832,-0.8135,4.433,2,19.058,2.137,0.828,3.1402,2.328,3.328,0,1
6.1950,17.9964,-0.8149,4.433,2,19.058,2.137,0.828,3.1370,2.328,3.328,0,1
6.1980,18.0097,-0.8162,4.433,2,19.058,2.137,0.828,3.1338,2.328,3.328,0,1
6.2010,18.0229,-0.8176,4.432,2,19.058,2.137,0.828,3.1307,2.328,3.328,0,1
6.2040,18.0362,-0.8189,4.432,2,19.058,2.137,0.828,3.1276,2.328,3.328,0,1
6.2070,18.0494,-0.8202,4.431,2,19.058,2.137,0.828,3.1246,2.328,3.328,0,1
6.2100,18.0626,-0.8216,4.431,2,19.058,2.137,0.828,3.1216,2.328,3.328,0,1
6.2130,18.0759,-0.8229,4.432,2,19.058,2.137,0.828,3.1186,2.328,3.328,0,1
6.2160,18.0891,-0.8242,4.432,2,19.058,2.137,0.828,3.1157,2.328,3.328,0,1
6.2190,18.1024,-0.8255,4.432,2,19.058,2.137,0.828,3.1128,2.328,3.328,0,1
6.2220,18.1156,-0.8267,4.432,2,19.058,2.137,0.828,3.1100,2.328,3.328,0,1
6.2250,18.1289,-0.8280,4.432,2,19.058,2.137,0.828,3.1072,2.328,3.328,0,1
6.2280,18.1421,-0.8293,4.432,2,19.058,2.137,0.828,3.1045,2.328,3.328,0,1
6.2310,18.1554,-0.8305,4.432,2,19.058,2.137,0.828,3.1018,2.328,3.328,0,1
6.2340,18.1686,-0.8317,4.433,2,19.058,2.137,0.828,3.0991,2.328,3.328,0,1
6.2370,18.1819,-0.8329,4.433,2,19.058,2.137,0.828,3.0965,2.328,3.328,0,1
6.2400,18.1951,-0.8341,4.433,2,19.058,2.137,0.828,3.0939,2.328,3.328,0,1
6.2430,18.2084,-0.8353,4.433,2,19.058,2.137,0.828,3.0914,2.328,3.328,0,1
6.2460,18.2217,-0.8365,4.434,2,19.058,2.137,0.828,3.0889,2.328,3.328,0,1
6.2490,18.2349,-0.8376,4.434,2,19.058,2.137,0.828,3.0864,2.328,3.328,0,1
6.2520,18.2482,-0.8388,4.433,2,19.058,2.137,0.828,3.0840,2.328,3.328,0,1
6.2550,18.2615,-0.8399,4.433,2,19.058,2.137,0.828,3.0817,2.328,3.328,0,1
6.2580,18.2747,-0.8410,4.432,2,19.058,2.137,0.828,3.0793,2.328,3.328,0,1
6.2610,18.2880,-0.8421,4.431,2,19.058,2.137,0.828,3.0770,2.328,3.328,0,1
6.2640,18.3012,-0.8432,4.431,2,19.058,2.137,0.828,3.0748,2.328,3.328,0,1
6.2670,18.3145,-0.8443,4.431,2,19.058,2.137,0.828,3.0726,2.328,3.328,0,1
6.2700,18.3278,-0.8453,4.431,2,19.058,2.137,0.828,3.0705,2.328,3.328,0,1
6.2730,18.3410,-0.8464,4.430,2,19.058,2.137,0.828,3.0684,2.328,3.328,0,1
6.2760,18.3543,-0.8474,4.430,2,19.058,2.137,0.828,3.0663,2.328,3.328,0,1
6.2790,18.3676,-0.8485,4.429,2,19.058,2.137,0.828,3.0643,2.328,3.328,0,1
