time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.793971,0.000000,0.000000,0.000000
0.102000,0.055424,0.000004,1.677833,-0.000109,-0.000779,0.000138,0.000289,0.000000,0.152138,0.000000,0,0,16.794537,0.000000,0.000000,0.000000
0.204000,0.055295,0.000018,1.522611,0.000516,-0.000039,0.000844,0.000364,0.000000,0.284477,0.000000,0,0,16.794664,0.000000,0.000000,0.000000
0.306000,0.055218,0.000063,1.263977,0.000582,0.000200,0.003639,0.000419,0.000000,0.423503,0.000000,0,0,16.794736,0.000000,0.000000,0.000000
0.408000,0.055296,0.000213,0.905246,0.011362,0.016490,0.010932,0.011978,0.000000,0.567375,0.000000,0,0,16.794642,0.000000,0.000000,0.000000
0.510000,0.063714,0.001153,0.696079,0.072126,0.099126,0.013002,0.009106,0.000000,0.686061,0.000000,0,0,16.786171,0.000000,0.000000,0.000000
0.612000,0.063589,0.003002,0.818804,0.002105,-0.047425,0.015950,-0.002583,0.000000,0.797846,0.000000,0,0,16.786088,0.000000,0.000000,0.000000
0.714000,0.061284,0.005644,0.884764,0.022912,-0.000775,0.025792,-0.004762,0.000000,0.863611,0.000000,0,0,16.788084,0.000000,0.000000,0.000000
0.816000,0.066009,0.007909,0.868779,0.079234,0.098478,0.006646,-0.000372,0.000000,0.912399,0.000000,0,0,16.783136,0.000000,0.000000,0.000000
0.918000,0.086613,0.005377,0.823075,0.295863,0.321317,-0.027174,0.049778,0.000000,0.940897,0.000000,0,0,16.762943,0.000000,0.000000,0.000000
1.020000,0.135491,0.004515,0.816666,0.647300,0.630355,0.014589,0.021732,0.000000,0.962039,0.000000,0,0,16.714468,0.000000,0.000000,0.000000
1.122000,0.211662,0.009327,0.852731,0.836202,0.836044,0.048365,0.011006,0.000000,0.974389,0.000000,0,0,16.638238,0.000000,0.000000,0.000000
1.224000,0.305565,0.017026,0.883872,1.004813,1.003810,0.066729,0.010045,0.000000,0.983550,0.000000,0,0,16.544065,0.000000,0.000000,0.000000
1.326000,0.416820,0.025517,0.901570,1.176625,1.177648,0.065408,0.023390,0.000000,0.988902,0.000000,0,0,16.432560,0.000000,0.000000,0.000000
1.428000,0.546340,0.033365,0.907319,1.358436,1.358977,0.055131,0.031701,0.000000,0.992872,0.000000,0,0,16.302980,0.000000,0.000000,0.000000
1.530000,0.694305,0.040831,0.906388,1.534277,1.535819,0.041905,0.037702,0.000000,0.995191,0.000000,0,0,16.155122,0.000000,0.000000,0.000000
1.632000,0.859951,0.048490,0.903818,1.705232,1.707717,0.038491,0.037611,0.000000,0.996911,0.000000,0,0,15.989679,0.000000,0.000000,0.000000
1.734000,1.042521,0.056671,0.901564,1.862237,1.866086,0.040344,0.026049,0.000000,0.997916,0.000000,0,0,15.807371,0.000000,0.000000,0.000000
1.836000,1.241040,0.065716,0.899725,2.023436,2.024286,0.037992,0.022974,0.000000,0.998661,0.000000,0,0,15.609131,0.000000,0.000000,0.000000
1.938000,1.455274,0.075613,0.899977,2.168319,2.172770,0.037378,0.012806,0.000000,0.999097,0.000000,0,0,15.395193,0.000000,0.000000,0.000000
2.040000,1.684010,0.085824,0.899425,2.307962,2.311965,0.030735,0.018520,0.000000,0.999420,0.000000,0,0,15.166829,0.000000,0.000000,0.000000
2.142000,1.927084,0.095774,0.897718,2.460358,2.453945,0.012490,0.022613,0.000000,0.999609,0.000000,0,0,14.924276,0.000000,0.000000,0.000000
2.244000,2.185132,0.105556,0.894614,2.606503,2.606471,0.010783,0.026013,0.000000,0.999749,0.000000,0,0,14.666895,0.000000,0.000000,0.000000
2.346000,2.458932,0.116628,0.891312,2.760307,2.761697,0.009665,0.019036,0.000000,0.999830,0.000000,0,0,14.393749,0.000000,0.000000,0.000000
2.448000,2.748303,0.129362,0.890502,2.912557,2.913478,0.014966,0.021225,0.000000,0.998567,0.000000,0,0,14.104974,0.000000,0.000000,0.000000
2.550000,3.053079,0.143079,0.890519,3.069302,3.066875,0.008720,0.020855,0.000000,0.988783,0.000000,0,0,13.800822,0.000000,0.000000,0.000000
2.652000,3.371866,0.157497,0.873089,3.236118,3.173855,0.012698,0.018224,-0.022727,0.973342,0.000000,0,0,13.482718,0.000000,0.000000,0.000000
2.754000,3.701450,0.174037,0.848509,3.248751,3.279887,0.026347,-0.002186,-0.136364,0.955215,0.000000,0,0,13.153676,0.000000,0.000000,0.000000
2.856000,4.041738,0.190547,0.862568,3.369123,3.401273,-0.003184,-0.040423,-0.287609,0.930257,0.000000,0,0,12.814065,0.000000,0.000000,0.000000
2.958000,4.394708,0.202884,0.883036,3.531248,3.518080,-0.037520,-0.080552,-0.386666,0.902470,0.000000,0,0,12.462475,0.000000,0.000000,0.000000
3.060000,4.759625,0.207085,0.888118,3.648374,3.638354,-0.097113,-0.065818,-0.398165,0.862918,0.000000,0,0,12.100208,0.000000,0.000000,0.000000
