time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.5280,14.5092,3.4954,4.195,2,16.406,0.764,0.828,3.3253,2.328,3.328,0,1
6.5310,14.5215,3.4978,4.194,2,16.406,0.764,0.828,3.3202,2.328,3.328,0,1
6.5340,14.5338,3.5002,4.193,2,16.406,0.764,0.828,3.3152,2.328,3.328,0,1
6.5370,14.5462,3.5026,4.193,2,16.406,0.764,0.828,3.3102,2.328,3.328,0,1
6.5400,14.5585,3.5050,4.191,2,16.406,0.764,0.828,3.3052,2.328,3.328,0,1
6.5430,14.5709,3.5073,4.192,2,16.406,0.764,0.828,3.3003,2.328,3.328,0,1
6.5460,14.5833,3.5096,4.193,2,16.406,0.764,0.828,3.2954,2.328,3.328,0,1
6.5490,14.5956,3.5119,4.191,2,16.406,0.764,0.828,3.2905,2.328,3.328,0,1
6.5520,14.6080,3.5142,4.190,2,16.406,0.764,0.828,3.2856,2.328,3.328,0,1
6.5550,14.6203,3.5165,4.188,2,16.406,0.764,0.828,3.2808,2.328,3.328,0,1
6.5580,14.6327,3.5188,4.187,2,16.406,0.764,0.828,3.2760,2.328,3.328,0,1
6.5610,14.6450,3.5211,4.186,2,16.406,0.764,0.828,3.2712,2.328,3.328,0,1
6.5640,14.6574,3.5233,4.185,2,16.406,0.764,0.828,3.2665,2.328,3.328,0,1
6.5670,14.6697,3.5255,4.184,2,16.406,0.764,0.828,3.2618,2.328,3.328,0,1
6.5700,14.6821,3.5278,4.183,2,16.406,0.764,0.828,3.2571,2.328,3.328,0,1
6.5730,14.6944,3.5300,4.182,2,16.406,0.764,0.828,3.2525,2.328,3.328,0,1
6.5760,14.7067,3.5322,4.181,2,16.406,0.764,0.828,3.2479,2.328,3.328,0,1
6.5790,14.7191,3.5343,4.180,2,16.406,0.764,0.828,3.2433,2.328,3.328,0,1
6.5820,14.7314,3.5365,4.179,2,16.406,0.764,0.828,3.2388,2.328,3.328,0,1
6.5850,14.7438,3.5387,4.179,2,16.406,0.764,0.828,3.2342,2.328,3.328,0,1
6.5880,14.7561,3.5408,4.177,2,16.406,0.764,0.828,3.2298,2.328,3.328,0,1
6.5910,14.7684,3.5429,4.177,2,16.406,0.764,0.828,3.2253,2.328,3.328,0,1
6.5940,14.7808,3.5451,4.177,2,16.406,0.764,0.828,3.2209,2.328,3.328,0,1
6.5970,14.7931,3.5471,4.177,2,16.406,0.764,0.828,3.2165,2.328,3.328,0,1
6.6000,14.8055,3.5492,4.175,2,16.406,0.764,0.828,3.2121,2.328,3.328,0,1
6.6030,14.8178,3.5513,4.174,2,16.406,0.764,0.828,3.2078,2.328,3.328,0,1
6.6060,14.8302,3.5533,4.174,2,16.406,0.764,0.828,3.2034,2.328,3.328,0,1
6.6090,14.8425,3.5553,4.173,2,16.406,0.764,0.828,3.1991,2.328,3.328,0,1
6.6120,14.8549,3.5573,4.173,2,16.406,0.764,0.828,3.1949,2.328,3.328,0,1
6.6150,14.8672,3.5593,4.172,2,16.406,0.764,0.828,3.1906,2.328,3.328,0,1
6.6180,14.8796,3.5613,4.171,2,16.406,0.764,0.828,3.1864,2.328,3.328,0,1
6.6210,14.8920,3.5632,4.171,2,16.406,0.764,0.828,3.1822,2.328,3.328,0,1
6.6240,14.9043,3.5652,4.171,2,16.406,0.764,0.828,3.1781,2.328,3.328,0,1
6.6270,14.9167,3.5671,4.171,2,16.406,0.764,0.828,3.1739,2.328,3.328,0,1
6.6300,14.9291,3.5690,4.170,2,16.406,0.764,0.828,3.1698,2.328,3.328,0,1
6.6330,14.9414,3.5709,4.167,2,16.406,0.764,0.828,3.1658,2.328,3.328,0,1
6.6360,14.9538,3.5728,4.178,2,16.406,0.764,0.828,3.1617,2.328,3.328,0,1
6.6390,14.9662,3.5747,4.171,2,16.406,0.764,0.828,3.1577,2.328,3.328,0,1
6.6420,14.9786,3.5765,4.174,2,16.406,0.764,0.828,3.1537,2.328,3.328,0,1
6.6450,14.9910,3.5784,4.176,2,16.406,0.764,0.828,3.1498,2.328,3.328,0,1
6.6480,15.0035,3.5802,4.177,2,16.406,0.764,0.828,3.1459,2.328,3.328,0,1
6.6510,15.0159,3.5821,4.181,2,16.406,0.764,0.828,3.1420,2.328,3.328,0,1
6.6540,15.0283,3.5839,4.172,2,16.406,0.764,0.828,3.1382,2.328,3.328,0,1
6.6570,15.0407,3.5857,4.174,2,16.406,0.764,0.828,3.1344,2.328,3.328,0,1
6.6600,15.0531,3.5875,4.176,2,16.406,0.764,0.828,3.1307,2.328,3.328,0,1
6.6630,15.0656,3.5894,4.181,2,16.406,0.764,0.828,3.1269,2.328,3.328,0,1
6.6660,15.0780,3.5912,4.183,2,16.406,0.764,0.828,3.1233,2.328,3.328,0,1
6.6690,15.0904,3.5930,4.179,2,16.406,0.764,0.828,3.1196,2.328,3.328,0,1
6.6720,15.1029,3.5948,4.183,2,16.406,0.764,0.828,3.1161,2.328,3.328,0,1
6.6750,15.1153,3.5965,4.175,2,16.406,0.764,0.828,3.1125,2.328,3.328,0,1
6.6780,15.1277,3.5983,4.175,2,16.406,0.764,0.828,3.1090,2.328,3.328,0,1
6.6810,15.1401,3.6001,4.176,2,16.406,0.764,0.828,3.1055,2.328,3.328,0,1
6.6840,15.1525,3.6018,4.172,2,16.406,0.764,0.828,3.1020,2.328,3.328,0,1
6.6870,15.1649,3.6035,4.168,2,16.406,0.764,0.828,3.0986,2.328,3.328,0,1
6.6900,15.1773,3.6052,4.167,2,16.406,0.764,0.828,3.0952,2.328,3.328,0,1
6.6930,15.1897,3.6069,4.165,2,16.406,0.764,0.828,3.0919,2.328,3.328,0,1
6.6960,15.2021,3.6085,4.163,2,16.406,0.764,0.828,3.0885,2.328,3.328,0,1
6.6990,15.2145,3.6101,4.161,2,16.406,0.764,0.828,3.0852,2.328,3.328,0,1
6.7020,15.2269,3.6117,4.158,2,16.406,0.764,0.828,3.0819,2.328,3.328,0,1
6.7050,15.2393,3.6133,4.158,2,16.406,0.764,0.828,3.0786,2.328,3.328,0,1
6.7080,15.2517,3.6148,4.156,2,16.406,0.764,0.828,3.0754,2.328,3.328,0,1
6.7110,15.2641,3.6163,4.158,2,16.406,0.764,0.828,3.0722,2.328,3.328,0,1
6.7140,15.2765,3.6178,4.155,2,16.406,0.764,0.828,3.0690,2.328,3.328,0,1
6.7170,15.2889,3.6193,4.154,2,16.406,0.764,0.828,3.0658,2.328,3.328,0,1
6.7200,15.3013,3.6208,4.154,2,16.406,0.764,0.828,3.0626,2.328,3.328,0,1
6.7230,15.3137,3.6222,4.153,2,16.406,0.764,0.828,3.0595,2.328,3.328,0,1
6.7260,15.3261,3.6236,4.152,2,16.406,0.764,0.828,3.0564,2.328,3.328,0,1
6.7290,15.3385,3.6250,4.151,2,16.406,0.764,0.828,3.0534,2.328,3.328,0,1
6.7320,15.3509,3.6263,4.150,2,16.406,0.764,0.828,3.0503,2.328,3.328,0,1
6.7350,15.3633,3.6277,4.147,2,16.406,0.764,0.828,3.0473,2.328,3.328,0,1
6.7380,15.3757,3.6290,4.146,2,16.406,0.764,0.828,3.0443,2.328,3.328,0,1
6.7410,15.3881,3.6303,4.144,2,16.406,0.764,0.828,3.0414,2.328,3.328,0,1
6.7440,15.4005,3.6316,4.143,2,16.406,0.764,0.828,3.0385,2.328,3.328,0,1
6.7470,15.4129,3.6329,4.142,2,16.406,0.764,0.828,3.0356,2.328,3.328,0,1
6.7500,15.4253,3.6341,4.142,2,16.406,0.764,0.828,3.0327,2.328,3.328,0,1
6.7530,15.4377,3.6353,4.141,2,16.406,0.764,0.828,3.0299,2.328,3.328,0,1
6.7560,15.4501,3.6365,4.139,2,16.406,0.764,0.828,3.0271,2.328,3.328,0,1
6.7590,15.4625,3.6377,4.139,2,16.406,0.764,0.828,3.0243,2.328,3.328,0,1
6.7620,15.4749,3.6389,4.135,2,16.406,0.764,0.828,3.0216,2.328,3.328,0,1
6.7650,15.4874,3.6400,4.136,2,16.406,0.764,0.828,3.0188,2.328,3.328,0,1
6.7680,15.4998,3.6411,4.134,2,16.406,0.764,0.828,3.0161,2.328,3.328,0,1
6.7710,15.5122,3.6422,4.132,2,16.406,0.764,0.828,3.0135,2.328,3.328,0,1
6.7740,15.5246,3.6432,4.130,2,16.406,0.764,0.828,3.0108,2.328,3.328,0,1
6.7770,15.5370,3.6443,4.131,2,16.406,0.764,0.828,3.0082,2.328,3.328,0,1
6.7800,15.5494,3.6453,4.131,2,16.406,0.764,0.828,3.0056,2.328,3.328,0,1
6.7830,15.5618,3.6463,4.129,2,16.406,0.764,0.828,3.0031,2.328,3.328,0,1
6.7860,15.5742,3.6473,4.130,2,16.406,0.764,0.828,3.0006,2.328,3.328,0,1
6.7890,15.5866,3.6482,4.127,2,16.406,0.764,0.828,2.9981,2.328,3.328,0,1
6.7920,15.5990,3.6492,4.127,2,16.406,0.764,0.828,2.9956,2.328,3.328,0,1
6.7950,15.6114,3.6501,4.128,2,16.406,0.764,0.828,2.9932,2.328,3.328,0,1
6.7980,15.6238,3.6510,4.127,2,16.406,0.764,0.828,2.9907,2.328,3.328,0,1
