time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,13.904415,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000093,-0.000762,0.000073,0.000353,0.000000,0.100141,0.000000,0,0,13.904981,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000521,-0.000030,0.000424,0.000381,0.000000,0.174136,0.000000,0,0,13.905108,0.000000,0.000000,0.000000
0.306000,0.055218,0.000030,1.263977,0.000578,0.000236,0.001686,0.000422,0.000000,0.262166,0.000000,0,0,13.905182,0.000000,0.000000,0.000000
0.408000,0.055223,0.000172,0.904396,0.005350,0.008165,0.011329,0.007796,0.000000,0.348285,0.000000,0,0,13.905161,0.000000,0.000000,0.000000
0.510000,0.060996,0.001472,0.642765,0.049003,0.093683,0.025598,-0.013813,0.000000,0.411118,0.000000,0,0,13.899278,0.000000,0.000000,0.000000
0.612000,0.058724,0.003146,0.717651,-0.055736,-0.095289,0.014932,-0.016765,0.000000,0.471283,0.000000,0,0,13.901346,0.000000,0.000000,0.000000
0.714000,0.052709,0.005284,0.790809,-0.026228,-0.037088,0.022237,-0.016428,0.000000,0.523236,0.000000,0,0,13.907081,0.000000,0.000000,0.000000
0.816000,0.054604,0.005990,0.779406,0.076041,0.092443,-0.003253,0.020245,0.000000,0.578143,0.000000,0,0,13.905118,0.000000,0.000000,0.000000
0.918000,0.069115,0.002361,0.754764,0.178600,0.177003,-0.011731,0.008078,0.000000,0.618618,0.000000,0,0,13.891111,0.000000,0.000000,0.000000
1.020000,0.090600,0.002696,0.757821,0.275443,0.271011,0.016616,0.009919,0.000000,0.654607,0.000000,0,0,13.869726,0.000000,0.000000,0.000000
1.122000,0.131644,0.005982,0.771119,0.536468,0.528473,0.032956,0.017528,0.000000,0.678395,0.000000,0,0,13.828574,0.000000,0.000000,0.000000
1.224000,0.200770,0.010960,0.790609,0.836018,0.827551,0.047355,0.016397,0.000000,0.690794,0.000000,0,0,13.759330,0.000000,0.000000,0.000000
1.326000,0.301464,0.017024,0.814403,1.141286,1.133123,0.060481,0.008417,0.000000,0.682135,0.000000,0,0,13.658600,0.000000,0.000000,0.000000
1.428000,0.432668,0.024742,0.838383,1.436160,1.431302,0.068596,0.006993,0.000000,0.641789,0.000000,0,0,13.527373,0.000000,0.000000,0.000000
1.530000,0.593100,0.033108,0.856363,1.704854,1.705940,0.064786,0.015396,0.000000,0.582201,0.000000,0,0,13.367040,0.000000,0.000000,0.000000
1.632000,0.779957,0.040355,0.862847,1.947179,1.953411,0.049380,0.023685,0.000000,0.490592,0.000000,0,0,13.180597,0.000000,0.000000,0.000000
1.734000,0.992102,0.046778,0.861082,2.193039,2.202807,0.042033,0.019850,0.000000,0.422648,0.006340,0,0,12.969151,0.000000,0.000000,0.000000
1.836000,1.229709,0.053679,0.857208,2.440180,2.443836,0.043536,0.014144,0.000000,0.367223,0.030172,0,0,12.732388,0.000000,0.000000,0.000000
1.938000,1.489737,0.060644,0.856317,2.642655,2.642926,0.029569,0.014090,-0.038037,0.340318,0.000000,0,0,12.473389,0.000000,0.000000,0.000000
2.040000,1.767533,0.066837,0.855662,2.776645,2.784316,0.030055,0.014790,0.000000,0.298748,0.097853,0,0,12.196889,0.000000,0.000000,0.000000
2.142000,2.054424,0.073123,0.850006,2.815924,2.821623,0.011861,0.009678,0.000000,0.276288,0.134939,0,0,11.911408,0.000000,0.000000,0.000000
2.244000,2.339711,0.078102,0.842229,2.756808,2.759979,0.004991,0.004728,0.000000,0.255498,0.173973,0,0,11.627745,0.000000,0.000000,0.000000
2.346000,2.614694,0.082839,0.837913,2.625286,2.626668,0.005453,0.005700,0.000000,0.239841,0.201107,0,0,11.354402,0.000000,0.000000,0.000000
2.448000,2.874058,0.087851,0.838070,2.469769,2.467381,0.009853,0.005195,0.000000,0.224499,0.219105,0,0,11.096577,0.000000,0.000000,0.000000
2.550000,3.119285,0.093978,0.830961,2.373600,2.347574,0.031905,-0.010704,0.000000,0.212366,0.222265,0,0,10.852679,0.000000,0.000000,0.000000
2.652000,3.352665,0.100286,0.801398,2.274883,2.228494,0.015640,-0.001863,0.000000,0.200001,0.213625,0,0,10.620550,0.000000,0.000000,0.000000
2.754000,3.569258,0.099454,0.784072,1.987752,2.025367,-0.041704,0.000577,0.113636,0.189915,0.196772,0,0,10.406078,0.000000,0.000000,0.000000
2.856000,3.765122,0.100059,0.799637,1.801769,1.827498,-0.003524,0.036661,0.318182,0.179396,0.168056,0,0,10.212006,0.000000,0.000000,0.000000
2.958000,3.942965,0.108026,0.818325,1.676505,1.677830,0.074716,0.075045,0.500000,0.170667,0.136091,0,0,10.034796,0.000000,0.000000,0.000000
3.060000,4.107981,0.125412,0.824463,1.582731,1.575997,0.166721,0.111452,0.689662,0.162481,0.093622,0,0,9.868975,0.000000,0.000000,0.000000
3.162000,4.264200,0.152150,0.822192,1.520539,1.514173,0.228302,0.149178,0.845797,0.175331,0.063165,0,0,9.710548,0.000000,0.000000,0.000000
3.264000,4.413909,0.187465,0.817321,1.474096,1.468703,0.281031,0.168867,0.904924,0.233046,0.040570,0,0,9.557369,0.000000,0.000000,0.000000
3.366000,4.558225,0.229217,0.814459,1.430690,1.427494,0.321549,0.177136,0.801691,0.305025,0.000000,0,0,9.408660,0.000000,0.000000,0.000000
