sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778831792.982250,0,1.541889,0.001838,0.004011,0.0332,-0.1115,-0.000746,1.648994,-0.000000,-0.000000,-0.0020,1.543256,0.000909,0.003988,0.0281,-0.0005,-0.000019,-0.114384,0.0000,1.543256,0.000000,0.000000,5.0000,0.000000,2.000000,3412.3729,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0719,0.0000,0.000000,0.2000,17.24,9.26,43.75,5.08,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,77.92945997397916,756.1523223339277,0.221754,0.217060,6560.9,6059.6,-0.020196,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778831792.987941,1,1.703805,0.019822,0.006151,0.0645,-0.0828,0.000688,1.648913,-0.000001,-0.000000,-0.0094,1.705279,0.018948,0.006131,0.0368,-0.0009,-0.000037,-0.023324,0.0000,1.705279,0.000000,-0.000000,5.0000,0.000000,2.000000,3344.0875,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0781,0.0000,0.000000,0.2240,14.81,8.33,37.95,3.05,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,98.93705845987495,721.5424138683416,0.210301,0.207340,6557.6,6063.0,-0.017848,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778831792.999590,2,1.711120,0.011061,-0.001784,-0.0346,-0.0019,-0.002031,1.648775,-0.000002,-0.000001,-0.0124,1.712150,0.010348,-0.001802,0.0300,-0.0013,-0.000056,-0.015349,0.0000,1.712150,0.000000,-0.000000,5.0000,0.000000,2.000000,3342.9878,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0851,0.0000,0.000000,0.2480,12.67,7.97,33.31,5.94,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,159.48547679497236,582.5644094849349,0.172385,0.167439,6552.9,6067.7,-0.014598,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778831793.011588,3,1.587518,-0.066205,0.014577,0.0127,-0.0399,-0.000336,1.648627,-0.000004,-0.000003,-0.0120,1.588340,-0.066823,0.014562,0.0271,-0.0020,-0.000082,0.000256,0.0000,1.588340,0.000000,0.000000,5.0000,0.000000,2.000000,3343.9741,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0927,0.0000,0.000000,0.2720,10.84,7.20,28.89,2.85,-0.000004,-0.0002,-5.0120,nan,nan,nan,nan,nan,nan,0.0,0.0,209.05623534558237,525.8735218071793,0.154815,0.150385,6546.9,6073.6,-0.010429,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778831793.023664,4,1.597802,0.007187,-0.004041,-0.0007,-0.0152,-0.001122,1.648492,-0.000007,-0.000005,-0.0105,1.598377,0.006660,-0.004054,0.0224,-0.0027,-0.000110,0.020839,0.0000,1.598377,0.000000,0.000000,5.0000,0.000000,2.000000,3344.8997,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1011,0.0000,0.000000,0.2960,9.31,6.55,25.17,2.84,-0.000007,-0.0003,-5.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,258.5702555998822,447.46281639270876,0.131680,0.126674,6539.8,6080.8,-0.005439,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778831793.035686,5,1.603690,-0.031128,-0.006853,0.0113,0.0866,0.001309,1.648463,-0.000004,-0.000003,0.0009,1.604153,-0.031412,-0.006860,0.0211,-0.0022,-0.000088,0.052538,0.0000,1.604153,0.000000,0.000000,5.0000,0.000000,2.000000,3355.3898,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1100,0.0000,0.000000,0.3200,8.00,5.99,22.00,2.81,-0.000004,-0.0002,-4.9991,nan,nan,nan,nan,nan,nan,0.0,0.0,242.9580991155935,266.9818321966648,0.072346,0.069926,6530.1,6090.5,0.001311,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778831793.047608,6,1.635364,0.044727,0.002452,-0.0579,-0.0072,0.002639,1.648468,0.000001,-0.000000,0.0002,1.635698,0.044500,0.002449,0.0174,-0.0026,-0.000097,0.070401,0.0000,1.635698,0.000000,0.000000,5.0000,0.000000,2.000000,3364.5886,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1196,0.0000,0.000000,0.3440,6.89,5.51,19.28,2.81,0.000001,-0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,219.62340837984803,236.92098633260062,0.059528,0.060934,6524.1,6096.4,0.005452,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778831793.059406,7,1.629411,0.020486,0.001993,-0.0253,0.0090,-0.000231,1.648453,0.000007,0.000003,-0.0008,1.629651,0.020322,0.001990,0.0145,-0.0026,-0.000089,0.086937,0.0000,1.629651,0.000000,0.000000,5.0000,0.000000,2.000000,3373.1477,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1298,0.0000,0.000000,0.3680,5.93,5.13,16.98,2.95,0.000007,0.0002,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,183.0361582803504,186.5698675667887,0.044701,0.045543,6518.7,6101.8,0.009219,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778831793.071374,8,1.621906,0.021862,0.004724,-0.1282,-0.0379,0.002679,1.648434,0.000014,0.000007,-0.0008,1.622081,0.021687,0.004723,0.0121,-0.0038,-0.000115,0.105453,0.0000,1.622081,0.000000,0.000000,5.0000,0.000000,2.000000,3372.6292,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1405,0.0000,0.000000,0.3920,5.10,4.81,15.01,3.01,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,196.63817011224032,206.90240075583998,0.049068,0.053162,6513.0,6107.5,0.013205,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778831793.083589,9,1.666186,0.061421,-0.001418,0.1381,0.0491,0.001755,1.648415,0.000021,0.000011,-0.0007,1.666678,0.061351,-0.001416,0.0369,-0.0020,-0.000036,0.124056,0.0000,1.666678,0.000000,-0.000000,5.0000,0.000000,2.000000,3364.5189,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1517,0.0000,0.000000,0.4160,4.41,4.59,13.41,3.34,0.000021,0.0006,-5.0007,0.008000,0.094639,-0.3044,-0.464654,-0.011097,0.001774,0.0,0.0,111.28418829824167,117.216399645742,0.019513,0.025064,6507.5,6113.1,0.017089,0.000000,0.000000,0.5000,1.0000,,,,,
