time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.793971,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000067,-0.000740,0.000115,0.000357,0.000000,0.129808,0.000000,0,0,16.794537,0.000000,0.000000,0.000000
0.204000,0.055295,0.000015,1.522611,0.000524,-0.000030,0.000674,0.000368,0.000000,0.243034,0.000000,0,0,16.794664,0.000000,0.000000,0.000000
0.306000,0.055218,0.000050,1.263977,0.000579,0.000217,0.002840,0.000420,0.000000,0.368552,0.000000,0,0,16.794737,0.000000,0.000000,0.000000
0.408000,0.055244,0.000188,0.904411,0.008874,0.011675,0.012520,0.007572,0.000000,0.526147,0.000000,0,0,16.794695,0.000000,0.000000,0.000000
0.510000,0.061969,0.001333,0.642869,0.064791,0.109810,0.029088,0.009939,0.000000,0.658225,0.000000,0,0,16.787885,0.000000,0.000000,0.000000
0.612000,0.062791,0.003168,0.716044,-0.017864,-0.059373,0.018836,-0.016774,0.000000,0.779883,0.000000,0,0,16.786863,0.000000,0.000000,0.000000
0.714000,0.061602,0.007061,0.789333,0.033442,0.020373,0.049659,-0.031662,0.000000,0.851493,0.000000,0,0,16.787611,0.000000,0.000000,0.000000
0.816000,0.071721,0.008779,0.784550,0.222756,0.224534,-0.021581,0.019833,0.000000,0.904615,0.000000,0,0,16.777363,0.000000,0.000000,0.000000
0.918000,0.114690,0.004630,0.768840,0.587173,0.583914,-0.025911,-0.011965,0.000000,0.935646,0.000000,0,0,16.735126,0.000000,0.000000,0.000000
1.020000,0.193131,0.004987,0.784636,0.947491,0.941597,0.014589,0.012088,0.000000,0.958666,0.000000,0,0,16.657139,0.000000,0.000000,0.000000
1.122000,0.305511,0.008875,0.814102,1.257868,1.252406,0.046320,0.011570,0.000000,0.972113,0.000000,0,0,16.545035,0.000000,0.000000,0.000000
1.224000,0.447955,0.015326,0.841555,1.535794,1.536059,0.063920,0.007244,0.000000,0.982088,0.000000,0,0,16.402775,0.000000,0.000000,0.000000
1.326000,0.618951,0.022896,0.859014,1.810108,1.810960,0.071376,0.014921,0.000000,0.987915,0.000000,0,0,16.232026,0.000000,0.000000,0.000000
1.428000,0.818430,0.030853,0.865504,2.092234,2.093291,0.066545,0.021433,0.000000,0.992238,0.000000,0,0,16.032944,0.000000,0.000000,0.000000
