time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.0990,13.5240,2.4233,4.193,2,16.406,0.764,0.828,3.3255,2.328,3.328,0,1
6.1020,13.5365,2.4249,4.193,2,16.406,0.764,0.828,3.3154,2.328,3.328,0,1
6.1050,13.5490,2.4264,4.194,2,16.406,0.764,0.828,3.3054,2.328,3.328,0,1
6.1080,13.5615,2.4280,4.195,2,16.406,0.764,0.828,3.2954,2.328,3.328,0,1
6.1110,13.5740,2.4296,4.196,2,16.406,0.764,0.828,3.2855,2.328,3.328,0,1
6.1140,13.5864,2.4312,4.195,2,16.406,0.764,0.828,3.2755,2.328,3.328,0,1
6.1170,13.5989,2.4327,4.196,2,16.406,0.764,0.828,3.2656,2.328,3.328,0,1
6.1200,13.6114,2.4343,4.197,2,16.406,0.764,0.828,3.2557,2.328,3.328,0,1
6.1230,13.6239,2.4359,4.198,2,16.406,0.764,0.828,3.2458,2.328,3.328,0,1
6.1260,13.6364,2.4375,4.197,2,16.406,0.764,0.828,3.2359,2.328,3.328,0,1
6.1290,13.6488,2.4391,4.198,2,16.406,0.764,0.828,3.2261,2.328,3.328,0,1
6.1320,13.6613,2.4407,4.197,2,16.406,0.764,0.828,3.2162,2.328,3.328,0,1
6.1350,13.6738,2.4423,4.198,2,16.406,0.764,0.828,3.2064,2.328,3.328,0,1
6.1380,13.6863,2.4440,4.198,2,16.406,0.764,0.828,3.1966,2.328,3.328,0,1
6.1410,13.6988,2.4456,4.198,2,16.406,0.764,0.828,3.1869,2.328,3.328,0,1
6.1440,13.7113,2.4472,4.195,2,16.406,0.764,0.828,3.1772,2.328,3.328,0,1
6.1470,13.7237,2.4488,4.197,2,16.406,0.764,0.828,3.1674,2.328,3.328,0,1
6.1500,13.7362,2.4505,4.197,2,16.406,0.764,0.828,3.1578,2.328,3.328,0,1
6.1530,13.7487,2.4521,4.197,2,16.406,0.764,0.828,3.1481,2.328,3.328,0,1
6.1560,13.7612,2.4538,4.199,2,16.406,0.764,0.828,3.1385,2.328,3.328,0,1
6.1590,13.7736,2.4554,4.194,2,16.406,0.764,0.828,3.1288,2.328,3.328,0,1
6.1620,13.7861,2.4571,4.200,2,16.406,0.764,0.828,3.1192,2.328,3.328,0,1
6.1650,13.7986,2.4587,4.198,2,16.406,0.764,0.828,3.1097,2.328,3.328,0,1
6.1680,13.8111,2.4604,4.197,2,16.406,0.764,0.828,3.1001,2.328,3.328,0,1
6.1710,13.8236,2.4620,4.199,2,16.406,0.764,0.828,3.0906,2.328,3.328,0,1
6.1740,13.8361,2.4637,4.199,2,16.406,0.764,0.828,3.0811,2.328,3.328,0,1
6.1770,13.8486,2.4654,4.198,2,16.406,0.764,0.828,3.0716,2.328,3.328,0,1
6.1800,13.8611,2.4670,4.201,2,16.406,0.764,0.828,3.0621,2.328,3.328,0,1
6.1830,13.8735,2.4687,4.200,2,16.406,0.764,0.828,3.0527,2.328,3.328,0,1
6.1860,13.8860,2.4703,4.202,2,16.406,0.764,0.828,3.0432,2.328,3.328,0,1
6.1890,13.8985,2.4720,4.202,2,16.406,0.764,0.828,3.0338,2.328,3.328,0,1
6.1920,13.9110,2.4737,4.203,2,16.406,0.764,0.828,3.0245,2.328,3.328,0,1
6.1950,13.9235,2.4754,4.203,2,16.406,0.764,0.828,3.0151,2.328,3.328,0,1
6.1980,13.9360,2.4770,4.203,2,16.406,0.764,0.828,3.0058,2.328,3.328,0,1
6.2010,13.9485,2.4787,4.204,2,16.406,0.764,0.828,2.9965,2.328,3.328,0,1
6.2040,13.9610,2.4804,4.204,2,16.406,0.764,0.828,2.9872,2.328,3.328,0,1
6.2070,13.9735,2.4821,4.204,2,16.406,0.764,0.828,2.9779,2.328,3.328,0,1
6.2100,13.9860,2.4838,4.205,2,16.406,0.764,0.828,2.9687,2.328,3.328,0,1
6.2130,13.9985,2.4854,4.205,2,16.406,0.764,0.828,2.9595,2.328,3.328,0,1
6.2160,14.0110,2.4871,4.206,2,16.406,0.764,0.828,2.9503,2.328,3.328,0,1
6.2190,14.0235,2.4888,4.205,2,16.406,0.764,0.828,2.9412,2.328,3.328,0,1
