time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.4590,18.2618,0.4916,4.373,0,19.519,3.264,0.545,3.0441,2.045,3.045,0,1
6.4620,18.2747,0.4940,4.374,0,19.519,3.264,0.545,3.0366,2.045,3.045,0,1
6.4650,18.2877,0.4964,4.375,0,19.519,3.264,0.545,3.0291,2.045,3.045,0,1
6.4680,18.3006,0.4989,4.377,0,19.519,3.264,0.545,3.0216,2.045,3.045,0,1
6.4710,18.3135,0.5014,4.378,0,19.519,3.264,0.545,3.0141,2.045,3.045,0,1
6.4740,18.3264,0.5038,4.379,0,19.519,3.264,0.545,3.0067,2.045,3.045,0,1
6.4770,18.3394,0.5063,4.381,0,19.519,3.264,0.545,2.9994,2.045,3.045,0,1
6.4800,18.3523,0.5088,4.383,0,19.519,3.264,0.545,2.9920,2.045,3.045,0,1
6.4830,18.3652,0.5113,4.384,0,19.519,3.264,0.545,2.9847,2.045,3.045,0,1
6.4860,18.3782,0.5137,4.385,0,19.519,3.264,0.545,2.9774,2.045,3.045,0,1
6.4890,18.3911,0.5162,4.385,0,19.519,3.264,0.545,2.9702,2.045,3.045,0,1
6.4920,18.4040,0.5187,4.387,0,19.519,3.264,0.545,2.9630,2.045,3.045,0,1
6.4950,18.4170,0.5212,4.388,0,19.519,3.264,0.545,2.9558,2.045,3.045,0,1
6.4980,18.4299,0.5237,4.389,0,19.519,3.264,0.545,2.9487,2.045,3.045,0,1
6.5010,18.4429,0.5262,4.391,0,19.519,3.264,0.545,2.9416,2.045,3.045,0,1
6.5040,18.4558,0.5288,4.393,0,19.519,3.264,0.545,2.9345,2.045,3.045,0,1
6.5070,18.4688,0.5313,4.396,0,19.519,3.264,0.545,2.9275,2.045,3.045,0,1
6.5100,18.4817,0.5338,4.396,0,19.519,3.264,0.545,2.9205,2.045,3.045,0,1
6.5130,18.4947,0.5364,4.397,0,19.519,3.264,0.545,2.9136,2.045,3.045,0,1
6.5160,18.5076,0.5389,4.399,0,19.519,3.264,0.545,2.9067,2.045,3.045,0,1
6.5190,18.5206,0.5414,4.399,0,19.519,3.264,0.545,2.8998,2.045,3.045,0,1
6.5220,18.5336,0.5440,4.400,0,19.519,3.264,0.545,2.8929,2.045,3.045,0,1
6.5250,18.5465,0.5466,4.402,0,19.519,3.264,0.545,2.8862,2.045,3.045,0,1
6.5280,18.5595,0.5491,4.404,0,19.519,3.264,0.545,2.8794,2.045,3.045,0,1
6.5310,18.5725,0.5517,4.404,0,19.519,3.264,0.545,2.8727,2.045,3.045,0,1
6.5340,18.5854,0.5543,4.404,0,19.519,3.264,0.545,2.8660,2.045,3.045,0,1
6.5370,18.5984,0.5569,4.405,0,19.519,3.264,0.545,2.8593,2.045,3.045,0,1
6.5400,18.6114,0.5595,4.407,0,19.519,3.264,0.545,2.8527,2.045,3.045,0,1
6.5430,18.6243,0.5621,4.408,0,19.519,3.264,0.545,2.8461,2.045,3.045,0,1
6.5460,18.6373,0.5647,4.411,0,19.519,3.264,0.545,2.8396,2.045,3.045,0,1
6.5490,18.6503,0.5673,4.411,0,19.519,3.264,0.545,2.8331,2.045,3.045,0,1
6.5520,18.6632,0.5699,4.403,0,19.519,3.264,0.545,2.8267,2.045,3.045,0,1
6.5550,18.6762,0.5725,4.414,0,19.519,3.264,0.545,2.8203,2.045,3.045,0,1
6.5580,18.6892,0.5752,4.414,0,19.519,3.264,0.545,2.8139,2.045,3.045,0,1
6.5610,18.7022,0.5778,4.413,0,19.519,3.264,0.545,2.8076,2.045,3.045,0,1
6.5640,18.7152,0.5804,4.413,0,19.519,3.264,0.545,2.8013,2.045,3.045,0,1
6.5670,18.7282,0.5831,4.411,0,19.519,3.264,0.545,2.7951,2.045,3.045,0,1
6.5700,18.7411,0.5857,4.411,0,19.519,3.264,0.545,2.7889,2.045,3.045,0,1
6.5730,18.7541,0.5884,4.410,0,19.519,3.264,0.545,2.7827,2.045,3.045,0,1
6.5760,18.7671,0.5911,4.411,0,19.519,3.264,0.545,2.7766,2.045,3.045,0,1
6.5790,18.7801,0.5937,4.412,0,19.519,3.264,0.545,2.7705,2.045,3.045,0,1
6.5820,18.7931,0.5964,4.413,0,19.519,3.264,0.545,2.7645,2.045,3.045,0,1
6.5850,18.8060,0.5991,4.414,0,19.519,3.264,0.545,2.7585,2.045,3.045,0,1
6.5880,18.8190,0.6018,4.415,0,19.519,3.264,0.545,2.7526,2.045,3.045,0,1
6.5910,18.8320,0.6045,4.412,0,19.519,3.264,0.545,2.7467,2.045,3.045,0,1
6.5940,18.8450,0.6072,4.414,0,19.519,3.264,0.545,2.7409,2.045,3.045,0,1
6.5970,18.8580,0.6099,4.415,0,19.519,3.264,0.545,2.7351,2.045,3.045,0,1
6.6000,18.8710,0.6127,4.414,0,19.519,3.264,0.545,2.7293,2.045,3.045,0,1
6.6030,18.8839,0.6154,4.416,0,19.519,3.264,0.545,2.7236,2.045,3.045,0,1
6.6060,18.8969,0.6181,4.419,0,19.519,3.264,0.545,2.7179,2.045,3.045,0,1
6.6090,18.9099,0.6209,4.420,0,19.519,3.264,0.545,2.7123,2.045,3.045,0,1
6.6120,18.9229,0.6236,4.422,0,19.519,3.264,0.545,2.7068,2.045,3.045,0,1
6.6150,18.9359,0.6264,4.424,0,19.519,3.264,0.545,2.7012,2.045,3.045,0,1
6.6180,18.9489,0.6292,4.425,0,19.519,3.264,0.545,2.6958,2.045,3.045,0,1
6.6210,18.9619,0.6319,4.427,0,19.519,3.264,0.545,2.6903,2.045,3.045,0,1
6.6240,18.9749,0.6347,4.427,0,19.519,3.264,0.545,2.6850,2.045,3.045,0,1
6.6270,18.9879,0.6375,4.428,0,19.519,3.264,0.545,2.6796,2.045,3.045,0,1
6.6300,19.0009,0.6402,4.429,0,19.519,3.264,0.545,2.6744,2.045,3.045,0,1
6.6330,19.0139,0.6430,4.431,0,19.519,3.264,0.545,2.6691,2.045,3.045,0,1
6.6360,19.0269,0.6458,4.433,0,19.519,3.264,0.545,2.6640,2.045,3.045,0,1
6.6390,19.0399,0.6486,4.433,0,19.519,3.264,0.545,2.6588,2.045,3.045,0,1
6.6420,19.0529,0.6514,4.434,0,19.519,3.264,0.545,2.6538,2.045,3.045,0,1
6.6450,19.0659,0.6542,4.437,0,19.519,3.264,0.545,2.6487,2.045,3.045,0,1
6.6480,19.0790,0.6570,4.437,0,19.519,3.264,0.545,2.6438,2.045,3.045,0,1
6.6510,19.0920,0.6598,4.437,0,19.519,3.264,0.545,2.6389,2.045,3.045,0,1
6.6540,19.1050,0.6627,4.438,0,19.519,3.264,0.545,2.6340,2.045,3.045,0,1
6.6570,19.1180,0.6655,4.438,0,19.519,3.264,0.545,2.6292,2.045,3.045,0,1
6.6600,19.1310,0.6683,4.438,0,19.519,3.264,0.545,2.6244,2.045,3.045,0,1
6.6630,19.1440,0.6712,4.440,0,19.519,3.264,0.545,2.6197,2.045,3.045,0,1
6.6660,19.1571,0.6740,4.441,0,19.519,3.264,0.545,2.6151,2.045,3.045,0,1
6.6690,19.1701,0.6769,4.441,0,19.519,3.264,0.545,2.6105,2.045,3.045,0,1
6.6720,19.1831,0.6797,4.441,0,19.519,3.264,0.545,2.6059,2.045,3.045,0,1
6.6750,19.1961,0.6826,4.441,0,19.519,3.264,0.545,2.6014,2.045,3.045,0,1
6.6780,19.2091,0.6855,4.442,0,19.519,3.264,0.545,2.5970,2.045,3.045,0,1
6.6810,19.2221,0.6884,4.442,0,19.519,3.264,0.545,2.5926,2.045,3.045,0,1
6.6840,19.2352,0.6913,4.441,0,19.519,3.264,0.545,2.5883,2.045,3.045,0,1
6.6870,19.2482,0.6942,4.442,0,19.519,3.264,0.545,2.5840,2.045,3.045,0,1
6.6900,19.2612,0.6970,4.442,0,19.519,3.264,0.545,2.5798,2.045,3.045,0,1
6.6930,19.2742,0.6999,4.443,0,19.519,3.264,0.545,2.5756,2.045,3.045,0,1
6.6960,19.2872,0.7029,4.442,0,19.519,3.264,0.545,2.5715,2.045,3.045,0,1
6.6990,19.3003,0.7058,4.442,0,19.519,3.264,0.545,2.5675,2.045,3.045,0,1
6.7020,19.3133,0.7087,4.441,0,19.519,3.264,0.545,2.5635,2.045,3.045,0,1
6.7050,19.3263,0.7116,4.442,0,19.519,3.264,0.545,2.5596,2.045,3.045,0,1
6.7080,19.3393,0.7146,4.442,0,19.519,3.264,0.545,2.5557,2.045,3.045,0,1
