time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,17.689647
0.102000,0.055424,0.000004,1.677833,-0.000084,-0.000754,0.000121,0.000353,0.000000,0.142106,0.000000,0,0,17.690209
0.204000,0.055295,0.000016,1.522611,0.000521,-0.000033,0.000713,0.000367,0.000000,0.244866,0.000000,0,0,17.690334
0.306000,0.055218,0.000052,1.263977,0.000581,0.000217,0.002960,0.000419,0.000000,0.370485,0.000000,0,0,17.690404
0.408000,0.055172,0.000137,0.902700,0.000373,0.000001,0.009572,0.000449,0.000000,0.527897,0.000000,0,0,17.690435
0.510000,0.058671,-0.000661,0.536209,0.052654,0.092523,-0.013806,0.010751,0.000000,0.659426,0.000000,0,0,17.687117
0.612000,0.063051,-0.000880,0.543768,-0.021119,-0.057955,0.001964,-0.003410,0.000000,0.780719,0.000000,0,0,17.682833
0.714000,0.060167,0.000617,0.648624,0.032654,0.007112,0.020332,-0.016337,0.000000,0.852056,0.000000,0,0,17.685430
0.816000,0.065514,0.001676,0.662663,0.131086,0.128173,-0.026340,0.004462,0.000000,0.904977,0.000000,0,0,17.679982
0.918000,0.094164,-0.000816,0.638499,0.434273,0.445778,-0.003842,0.003192,0.000000,0.935890,0.000000,0,0,17.652139
1.020000,0.158020,-0.000623,0.636764,0.804852,0.799038,0.016590,-0.006103,0.000000,0.958823,0.000000,0,0,17.589137
1.122000,0.256309,0.003276,0.664432,1.131278,1.121675,0.041201,0.022737,0.000000,0.972219,0.000000,0,0,17.491572
1.224000,0.384358,0.009366,0.697821,1.396149,1.392599,0.060462,0.014141,0.000000,0.982156,0.000000,0,0,17.364309
1.326000,0.540198,0.016814,0.723417,1.662536,1.662073,0.067708,0.009175,0.000000,0.987961,0.000000,0,0,17.209435
1.428000,0.723331,0.024836,0.737437,1.926453,1.926533,0.069463,0.014933,0.000000,0.992268,0.000000,0,0,17.027587
1.530000,0.933272,0.032510,0.740672,2.176842,2.180719,0.056685,0.021432,0.000000,0.994783,0.000000,0,0,16.819413
1.632000,1.168250,0.039014,0.736183,2.413842,2.421029,0.041799,0.026379,0.000000,0.996649,0.000000,0,0,16.586824
1.734000,1.428621,0.045429,0.731118,2.672619,2.676740,0.035782,0.022293,0.000000,0.997739,0.000000,0,0,16.329313
