time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,14.937640
0.102000,0.055424,0.000000,1.677833,-0.000097,-0.000766,-0.000022,0.000360,0.000000,0.000000,0.000000,0,0,14.938205
0.204000,0.055295,-0.000002,1.522611,0.000524,-0.000026,-0.000117,0.000376,0.000000,0.000000,0.000000,0,0,14.938333
0.306000,0.055219,-0.000006,1.263977,0.000591,0.000258,-0.000310,0.000430,0.000000,0.012785,0.000000,0,0,14.938410
0.408000,0.055176,-0.000008,0.902700,0.000452,0.000253,-0.000543,0.000460,0.000000,0.028587,0.000000,0,0,14.938453
0.510000,0.058110,0.000056,0.564438,0.019999,0.067233,0.002110,0.007394,0.000000,0.069027,0.000000,0,0,14.935534
0.612000,0.058279,0.000424,0.636433,-0.034558,-0.080655,0.001147,0.000224,0.000000,0.107827,0.000000,0,0,14.935319
0.714000,0.050996,0.000917,0.739783,-0.027198,-0.057461,0.005038,-0.002881,0.000000,0.151077,0.000000,0,0,14.942484
0.816000,0.045014,0.001712,0.745339,-0.081060,-0.065824,0.015932,-0.000101,0.000000,0.190662,0.000000,0,0,14.948321
0.918000,0.041238,0.002636,0.692568,-0.059262,-0.011364,0.013946,0.003339,0.000000,0.240230,0.000000,0,0,14.951953
1.020000,0.051646,0.002476,0.659212,0.217017,0.206026,-0.015604,0.007694,0.000000,0.286194,0.000000,0,0,14.941645
1.122000,0.066127,0.002245,0.675820,0.061229,0.047862,0.001377,-0.000318,0.000000,0.336817,0.000000,0,0,14.927306
1.224000,0.061244,0.002278,0.690552,-0.129778,-0.126507,-0.004663,-0.008285,0.000000,0.373902,0.000000,0,0,14.932147
1.326000,0.046932,0.001764,0.687607,-0.107274,-0.106253,-0.005974,0.001261,0.000000,0.408801,0.000000,0,0,14.946412
1.428000,0.044729,0.001375,0.686260,0.063915,0.063098,-0.003331,0.002477,0.000000,0.469743,0.000000,0,0,14.948646
1.530000,0.059035,0.001229,0.685358,0.208098,0.201295,-0.001181,0.005594,0.000000,0.547453,0.000000,0,0,14.934469
1.632000,0.079312,0.002038,0.690205,0.190095,0.188602,0.016525,0.004600,0.000000,0.636975,0.000000,0,0,14.914249
1.734000,0.102278,0.004154,0.698517,0.288967,0.282579,0.027011,0.005217,0.000000,0.720227,0.000000,0,0,14.891199
1.836000,0.140204,0.007105,0.710817,0.459230,0.453680,0.029480,0.012572,0.000000,0.768587,0.000000,0,0,14.853201
1.938000,0.195625,0.010729,0.727316,0.636418,0.633522,0.036652,0.011792,0.000000,0.795759,0.000000,0,0,14.797761
2.040000,0.270028,0.015114,0.745144,0.820749,0.821334,0.036713,0.022154,0.000000,0.799682,0.000000,0,0,14.723395
2.142000,0.363624,0.020160,0.762388,1.007879,1.009666,0.041003,0.011650,0.000000,0.784606,0.000000,0,0,14.629906
2.244000,0.476243,0.025256,0.774593,1.188448,1.191255,0.032108,0.015036,0.000000,0.752544,0.000000,0,0,14.517542
2.346000,0.606687,0.029279,0.778513,1.358318,1.361569,0.023061,0.019868,0.000000,0.693379,0.000000,0,0,14.387639
2.448000,0.754014,0.032352,0.776711,1.513529,1.517481,0.010971,0.020451,0.000000,0.622653,0.000000,0,0,14.241123
2.550000,0.916443,0.035172,0.774293,1.661227,1.662093,0.002566,0.012428,0.000000,0.526420,0.000000,0,0,14.079678
2.652000,1.093173,0.037785,0.775609,1.799724,1.797714,-0.001152,0.015075,0.000000,0.460007,0.010467,0,0,13.904103
2.754000,1.283392,0.040997,0.779601,1.926294,1.928072,0.009073,0.007074,0.000000,0.404971,0.036595,0,0,13.715103
2.856000,1.486521,0.045443,0.782685,2.047965,2.050325,0.015246,0.010439,0.000000,0.367893,0.067047,0,0,13.513174
2.958000,1.701610,0.051249,0.782701,2.162114,2.164271,0.024507,0.011625,0.000000,0.335157,0.106441,0,0,13.299244
3.060000,1.927641,0.057773,0.781191,2.267281,2.267525,0.024994,0.017659,0.000000,0.311585,0.143025,0,0,13.074410
3.162000,2.163844,0.064897,0.780762,2.362471,2.363089,0.024292,0.021947,0.000000,0.289377,0.182823,0,0,12.839458
3.264000,2.409284,0.072992,0.781304,2.448616,2.447738,0.026535,0.021395,0.000000,0.272387,0.215455,0,0,12.595269
3.366000,2.661580,0.081624,0.781555,2.490841,2.493187,0.016619,0.020178,0.000000,0.000000,0.247809,0,0,12.344263
3.468000,2.914930,0.089086,0.779130,2.453655,2.458426,-0.004919,0.018947,0.000000,0.242042,0.271974,0,0,12.092432
3.570000,3.160996,0.095642,0.771610,2.384932,2.361699,-0.002699,0.001562,0.000000,0.228196,0.293494,0,0,11.848001
3.672000,3.395851,0.102794,0.742667,2.276263,2.230311,0.005754,-0.003949,0.000000,0.216834,0.306818,0,0,11.614630
3.774000,3.613391,0.110017,0.731873,1.985265,2.034376,0.005000,0.011554,0.000000,0.204931,0.313959,0,0,11.398425
3.876000,3.809880,0.115556,0.756690,1.802970,1.829324,-0.016781,0.008784,0.045455,0.195023,0.312094,0,0,11.203333
3.978000,3.986622,0.119274,0.775393,1.647268,1.639415,-0.010167,0.019933,0.250000,0.184537,0.299261,0,0,11.028077
4.080000,4.144130,0.125447,0.775005,1.467901,1.459344,0.026814,0.021915,0.431818,0.175744,0.277777,0,0,10.871488
4.182000,4.284219,0.134932,0.770266,1.291222,1.295961,0.052569,0.063262,0.506688,0.166390,0.244874,0,0,10.731617
4.284000,4.408519,0.147930,0.767581,1.157328,1.157491,0.097475,0.074781,0.643052,0.158517,0.210464,0,0,10.606806
4.386000,4.519316,0.165088,0.767467,1.046869,1.044139,0.120162,0.071458,0.710041,0.150121,0.167960,0,0,10.494689
4.488000,4.619475,0.184882,0.767437,0.958528,0.956636,0.136902,0.080250,0.766328,0.143043,0.127941,0,0,10.392671
4.590000,4.711966,0.206820,0.767013,0.888737,0.888262,0.166712,0.100152,0.911418,0.142731,0.082176,0,0,10.297897
4.692000,4.798573,0.232049,0.768214,0.845529,0.846024,0.190192,0.116959,0.979176,0.188064,0.055442,0,0,10.208435
4.794000,4.882099,0.259531,0.768688,0.834472,0.832377,0.212099,0.122411,0.956465,0.271732,0.035610,0,0,10.121684
4.896000,4.966372,0.289238,0.767957,0.866931,0.863062,0.211314,0.137694,0.936655,0.366167,0.024025,0,0,10.033876
4.998000,5.055500,0.322538,0.766020,0.950981,0.946722,0.245506,0.142851,0.834454,0.487568,0.015431,0,0,9.940751
5.100000,5.156180,0.361411,0.765256,1.116580,1.112243,0.258137,0.151628,0.659058,0.601256,0.010411,0,0,9.835410
5.202000,5.274312,0.404937,0.768092,1.301264,1.300188,0.258090,0.153730,0.468367,0.199884,0.000000,0,0,9.712171
5.304000,5.410857,0.452061,0.770202,1.441981,1.447706,0.229363,0.160933,1.000000,0.000000,0.241740,0,0,9.570251
5.406000,5.552368,0.504537,0.771211,1.508594,1.510066,0.274074,0.147775,0.432111,0.879980,0.002898,0,0,9.422724
5.508000,5.708707,0.560920,0.766352,1.712796,1.706982,0.249100,0.172136,0.677081,0.872900,0.000000,0,0,9.260061
5.610000,5.882604,0.625997,0.766481,1.838275,1.839418,0.290271,0.198707,1.000000,0.000000,0.393370,0,0,9.078938
5.712000,6.059544,0.701010,0.772351,1.922532,1.921618,0.312552,0.213068,0.286826,0.962582,0.000847,0,0,8.893658
5.814000,6.251655,0.782181,0.773753,2.117876,2.115881,0.286374,0.210560,0.797280,0.940389,0.000000,0,0,8.692802
5.916000,6.460811,0.873355,0.773598,2.306441,2.310055,0.315830,0.245293,1.000000,0.325110,0.000000,0,0,8.474133
6.018000,6.684418,0.978867,0.777005,2.483716,2.483527,0.356405,0.293770,1.000000,0.497353,0.000000,0,0,8.239921
6.120000,6.920265,1.099280,0.780917,2.653976,2.655064,0.376770,0.318993,0.964135,0.915461,0.000000,0,0,7.992636
6.222000,7.167927,1.233997,0.781209,2.822767,2.825975,0.351418,0.363583,-0.483320,0.904551,0.000102,0,0,7.733202
6.324000,7.429189,1.376238,0.779866,2.974885,2.972520,0.239835,0.195400,-0.589741,0.871547,0.000069,0,0,7.460900
6.426000,7.705100,1.518266,0.777933,3.101276,3.105926,0.157958,0.145272,0.261270,0.853134,0.000000,0,0,7.175545
6.528000,7.994440,1.665039,0.779310,3.255504,3.253560,0.111363,0.107155,0.123677,0.814831,0.000000,0,0,6.878204
6.630000,8.297969,1.818079,0.781576,3.403052,3.402337,0.090922,0.112351,0.156814,0.760446,0.000000,0,0,6.568415
6.732000,8.613787,1.979283,0.783333,3.546156,3.545953,0.067784,0.090572,0.033649,0.649238,0.000000,0,0,6.248557
6.834000,8.942256,2.147651,0.782806,3.689625,3.689060,0.040422,0.086305,-0.063665,0.576372,0.000000,0,0,5.919009
6.936000,9.282388,2.321973,0.781739,3.803211,3.804757,0.012276,0.059360,-0.133578,0.500909,0.000000,0,0,5.581580
7.038000,9.633721,2.499800,0.781758,3.909718,3.912452,-0.025895,0.017577,-0.177951,0.446109,0.000000,0,0,5.237567
7.140000,9.995948,2.679285,0.781087,4.017386,4.013201,-0.061942,-0.031718,-0.160677,0.403260,0.000000,0,0,4.888119
7.242000,10.368963,2.860060,0.776857,4.115524,4.107197,-0.071605,-0.093135,0.008340,0.000000,0.108685,0,0,4.534369
7.344000,10.745441,3.041524,0.772358,4.074405,4.084146,-0.044736,0.042647,-0.396382,0.000000,0.118546,0,0,4.184789
7.446000,11.116832,3.218980,0.771285,3.973680,3.984554,-0.091961,-0.025938,-0.625239,0.000000,0.140602,0,0,3.848369
7.548000,11.479604,3.382976,0.772137,3.819522,3.820663,-0.138695,-0.101474,-0.681772,0.000000,0.175884,0,0,3.527376
7.650000,11.829296,3.531480,0.773225,3.624326,3.624618,-0.167353,-0.115847,-0.668243,0.000000,0.213939,0,0,3.225343
7.752000,12.161812,3.666013,0.772901,3.400289,3.402704,-0.162944,-0.110930,-0.655762,0.000000,0.251887,0,0,2.945944
7.854000,12.474013,3.788187,0.771771,3.165050,3.167934,-0.146096,-0.097507,-0.621599,0.000000,0.273674,0,0,2.691882
7.956000,12.764131,3.899060,0.770463,2.919757,2.921635,-0.125249,-0.095374,-0.634011,0.000000,0.276456,0,0,2.464260
8.058000,13.031137,3.999506,0.770155,2.675417,2.677808,-0.102639,-0.082425,-0.465707,0.000000,0.261573,0,0,2.263239
8.160000,13.275095,4.090004,0.769134,2.427867,2.429332,-0.083664,-0.072190,-0.275726,0.000000,0.237690,0,0,2.087636
8.262000,13.495346,4.170694,0.768835,2.174423,2.176536,-0.063092,-0.056532,-0.086867,0.000000,0.207161,0,0,1.936534
8.364000,13.691622,4.242197,0.768064,1.925730,1.923467,-0.048975,-0.063792,0.100964,0.000000,0.172150,0,0,1.808702
8.466000,13.863588,4.304331,0.767034,1.668516,1.668420,-0.033525,-0.043932,0.131350,0.000000,0.129201,0,0,1.702394
8.568000,14.011084,4.357698,0.765564,1.408152,1.411397,-0.023298,-0.031399,0.091914,0.000000,0.088060,0,0,1.616078
8.670000,14.133968,4.402258,0.764681,1.159872,1.157703,-0.014032,-0.021845,0.048528,0.000000,0.059412,0,0,1.547876
8.772000,14.232338,4.438250,0.763194,0.909164,0.908086,-0.009657,-0.011836,-0.023878,0.299024,0.000000,0,0,1.496020
8.874000,14.309676,4.466680,0.759642,0.720406,0.719651,-0.015262,-0.017500,-0.123314,0.409916,0.000000,0,0,1.457001
8.976000,14.371228,4.488798,0.760529,0.579146,0.575647,-0.022168,-0.022720,-0.238085,0.521583,0.000000,0,0,1.426685
9.078000,14.422564,4.505598,0.763961,0.503301,0.498918,-0.027383,-0.021319,-0.295737,0.630248,0.000000,0,0,1.401003
9.180000,14.471609,4.521670,0.765268,0.550775,0.546344,-0.018456,-0.020444,-0.313723,0.736437,0.000000,0,0,1.377099
9.282000,14.532659,4.540466,0.762073,0.724428,0.718503,-0.050099,-0.064255,1.000000,0.834514,0.000000,0,0,1.347340
9.384000,14.601861,4.563827,0.762146,0.645301,0.659207,0.036139,0.036410,-0.346688,0.000000,1.000000,0,0,1.316255
9.486000,14.665641,4.588661,0.762788,0.742354,0.734509,-0.047325,-0.028730,-0.323073,0.922944,0.000000,0,0,1.291211
9.588000,14.736153,4.608237,0.768403,0.634705,0.637628,-0.050953,-0.002458,-0.337439,0.000000,1.000000,0,0,1.259005
9.690000,14.801775,4.626395,0.769740,0.764985,0.756090,-0.063709,-0.015403,-0.384160,0.964925,0.000000,0,0,1.230173
9.792000,14.875362,4.646575,0.768266,0.649030,0.657483,-0.057473,-0.005427,-0.573109,0.000000,1.000000,0,0,1.199093
9.894000,14.945185,4.663846,0.769084,0.805043,0.796065,-0.088587,-0.062563,-0.571968,0.984801,0.000000,0,0,1.169511
9.996000,15.021831,4.681368,0.767574,0.675983,0.681730,-0.096119,-0.027598,-1.000000,0.000000,1.000000,0,0,1.137437
