time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,17.689647
0.102000,0.055424,0.000000,1.677833,-0.000097,-0.000766,-0.000022,0.000360,0.000000,0.000000,0.000000,0,0,17.690209
0.204000,0.055295,-0.000002,1.522611,0.000524,-0.000026,-0.000117,0.000376,0.000000,0.000000,0.000000,0,0,17.690337
0.306000,0.055219,-0.000006,1.263977,0.000580,0.000249,-0.000318,0.000428,0.000000,0.000000,0.000000,0,0,17.690413
0.408000,0.055176,-0.000005,0.902700,0.000454,0.000255,-0.000291,0.000459,0.000000,0.141308,0.000000,0,0,17.690455
0.510000,0.058010,0.000047,0.564475,0.017437,0.064678,0.002827,0.005860,0.000000,0.244034,0.000000,0,0,17.687651
0.612000,0.057815,0.000183,0.637045,-0.039612,-0.085113,-0.001236,-0.004945,0.000000,0.386604,0.000000,0,0,17.687821
0.714000,0.050127,0.000313,0.740377,-0.031026,-0.061082,0.000449,-0.006263,0.000000,0.527349,0.000000,0,0,17.695382
0.816000,0.044054,0.000546,0.746089,-0.075256,-0.061187,0.003878,-0.003208,0.000000,0.674740,0.000000,0,0,17.701332
0.918000,0.042191,0.000968,0.693215,-0.017849,0.024941,0.009205,0.012145,0.000000,0.780501,0.000000,0,0,17.703101
1.020000,0.058304,0.001614,0.658629,0.296776,0.279452,0.006492,0.007440,0.000000,0.859018,0.000000,0,0,17.687102
1.122000,0.097986,0.004035,0.680414,0.521792,0.500599,0.048164,0.011649,0.000000,0.904882,0.000000,0,0,17.647566
1.224000,0.157950,0.010748,0.716919,0.663106,0.662353,0.067159,0.011627,0.000000,0.938907,0.000000,0,0,17.587319
1.326000,0.233456,0.018614,0.740903,0.832005,0.828225,0.070496,0.013973,0.000000,0.958782,0.000000,0,0,17.511553
1.428000,0.326793,0.025921,0.759542,1.005663,1.004953,0.064727,0.022524,0.000000,0.973526,0.000000,0,0,17.418300
1.530000,0.437901,0.032616,0.772550,1.172475,1.173852,0.047469,0.018922,0.000000,0.982139,0.000000,0,0,17.307630
1.632000,0.566068,0.037701,0.778425,1.330491,1.335940,0.027160,0.017187,0.000000,0.988528,0.000000,0,0,17.180420
1.734000,0.710216,0.041797,0.779756,1.479203,1.481769,0.016819,0.010067,0.000000,0.992260,0.000000,0,0,17.037640
1.836000,0.868258,0.044763,0.780125,1.614521,1.614349,0.002522,0.012397,0.000000,0.995029,0.000000,0,0,16.881381
1.938000,1.039983,0.047662,0.780708,1.748372,1.749383,0.006406,0.011864,0.000000,0.996646,0.000000,0,0,16.711684
2.040000,1.225815,0.051758,0.780247,1.890895,1.891914,0.013028,0.009491,0.000000,0.997846,0.000000,0,0,16.527923
2.142000,1.425955,0.056753,0.780032,2.028198,2.028720,0.016010,0.013669,0.000000,0.998547,0.000000,0,0,16.329959
2.244000,1.640083,0.062487,0.780108,2.164427,2.165328,0.015275,0.015370,0.000000,0.999066,0.000000,0,0,16.118144
2.346000,1.867882,0.068729,0.780023,2.301744,2.301279,0.015476,0.019509,0.000000,0.999370,0.000000,0,0,15.892844
2.448000,2.110069,0.075740,0.780764,2.446912,2.445068,0.012575,0.021795,0.000000,0.999595,0.000000,0,0,15.653318
2.550000,2.366778,0.083049,0.780299,2.586654,2.586156,0.004273,0.025792,0.000000,0.999727,0.000000,0,0,15.399535
2.652000,2.637992,0.090616,0.778958,2.731404,2.731179,-0.003221,0.021217,0.000000,0.999825,0.000000,0,0,15.131540
2.754000,2.924172,0.098706,0.780297,2.880535,2.878218,-0.004938,0.021778,0.000000,0.999882,0.000000,0,0,14.848851
2.856000,3.226160,0.108184,0.773266,3.059792,3.026098,-0.000467,0.016363,0.000000,0.998551,0.000000,0,0,14.550503
2.958000,3.540007,0.118367,0.738920,3.121866,3.113724,0.003634,0.012382,0.000000,0.988033,0.000000,0,0,14.240522
3.060000,3.862228,0.130276,0.743047,3.171921,3.219976,0.000627,0.011088,0.000000,0.966555,0.000000,0,0,13.922148
3.162000,4.198499,0.142712,0.770652,3.372462,3.376541,0.001453,0.013590,0.000000,0.940680,0.000000,0,0,13.590068
3.264000,4.550175,0.156884,0.784633,3.537714,3.526025,0.011082,0.014493,-0.068182,0.905352,0.000000,0,0,13.242746
3.366000,4.917315,0.171670,0.781013,3.673234,3.668885,0.004489,-0.015088,-0.250000,0.872512,0.000000,0,0,12.880384
