time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.7530,18.5994,0.3651,3.732,0,19.519,3.264,0.545,3.0412,2.045,3.045,0,1
6.7560,18.6104,0.3673,3.733,0,19.519,3.264,0.545,3.0358,2.045,3.045,0,1
6.7590,18.6214,0.3696,3.735,0,19.519,3.264,0.545,3.0303,2.045,3.045,0,1
6.7620,18.6324,0.3719,3.736,0,19.519,3.264,0.545,3.0249,2.045,3.045,0,1
6.7650,18.6434,0.3742,3.738,0,19.519,3.264,0.545,3.0195,2.045,3.045,0,1
6.7680,18.6544,0.3765,3.741,0,19.519,3.264,0.545,3.0141,2.045,3.045,0,1
6.7710,18.6654,0.3788,3.743,0,19.519,3.264,0.545,3.0088,2.045,3.045,0,1
6.7740,18.6764,0.3811,3.746,0,19.519,3.264,0.545,3.0035,2.045,3.045,0,1
6.7770,18.6874,0.3834,3.748,0,19.519,3.264,0.545,2.9981,2.045,3.045,0,1
6.7800,18.6985,0.3858,3.752,0,19.519,3.264,0.545,2.9928,2.045,3.045,0,1
6.7830,18.7095,0.3881,3.755,0,19.519,3.264,0.545,2.9876,2.045,3.045,0,1
6.7860,18.7206,0.3905,3.758,0,19.519,3.264,0.545,2.9823,2.045,3.045,0,1
6.7890,18.7316,0.3929,3.762,0,19.519,3.264,0.545,2.9771,2.045,3.045,0,1
6.7920,18.7427,0.3952,3.765,0,19.519,3.264,0.545,2.9719,2.045,3.045,0,1
6.7950,18.7538,0.3976,3.769,0,19.519,3.264,0.545,2.9667,2.045,3.045,0,1
6.7980,18.7648,0.4001,3.772,0,19.519,3.264,0.545,2.9615,2.045,3.045,0,1
6.8010,18.7759,0.4025,3.775,0,19.519,3.264,0.545,2.9564,2.045,3.045,0,1
6.8040,18.7870,0.4049,3.777,0,19.519,3.264,0.545,2.9513,2.045,3.045,0,1
6.8070,18.7982,0.4073,3.781,0,19.519,3.264,0.545,2.9462,2.045,3.045,0,1
6.8100,18.8093,0.4098,3.783,0,19.519,3.264,0.545,2.9411,2.045,3.045,0,1
6.8130,18.8204,0.4122,3.786,0,19.519,3.264,0.545,2.9360,2.045,3.045,0,1
6.8160,18.8315,0.4147,3.791,0,19.519,3.264,0.545,2.9310,2.045,3.045,0,1
6.8190,18.8427,0.4172,3.791,0,19.519,3.264,0.545,2.9260,2.045,3.045,0,1
6.8220,18.8538,0.4197,3.794,0,19.519,3.264,0.545,2.9210,2.045,3.045,0,1
6.8250,18.8650,0.4222,3.797,0,19.519,3.264,0.545,2.9161,2.045,3.045,0,1
6.8280,18.8761,0.4247,3.800,0,19.519,3.264,0.545,2.9111,2.045,3.045,0,1
